,UMAP_1,UMAP_2,W3IWER4_A
442,9.733483,5.630911,1
495,10.225443,5.4881554,1
411,7.358551,2.18415,1
176,10.862187,2.0288167,1
123,7.5594163,4.793141,1
550,6.413597,3.959484,1
71,8.748267,2.888705,1
341,10.357751,5.699433,1
537,11.83292,4.0919223,1
8,8.277372,4.3129463,1
43,12.172934,2.3924134,1
347,11.925,4.4472585,1
453,11.955926,5.174916,1
501,8.987744,4.328154,1
543,9.881817,4.301368,1
102,9.669073,3.7310603,1
376,9.18588,3.452668,1
531,11.966144,2.5629973,1
520,9.326951,1.6013219,1
472,11.097754,3.008035,1
82,8.643899,4.4798603,1
354,10.094402,5.5778136,1
57,7.955477,1.996215,1
370,8.750724,3.7361448,1
106,9.787094,4.4904633,1
174,3.8351865,2.4505262,1
322,8.878097,4.8855057,1
470,10.862926,1.8535019,1
195,9.946334,2.5288868,1
410,9.527165,2.733566,1
226,6.160923,4.0200233,1
92,11.210632,3.7782161,1
58,8.727402,4.1803718,1
528,9.305546,1.5169574,1
220,10.921916,1.8134304,1
113,9.140873,5.499287,1
214,11.993453,4.1975737,1
130,10.706952,1.8231399,1
443,8.885177,1.6012515,1
81,9.9599,2.0941727,1
230,9.214849,2.327335,1
522,9.111034,3.4016495,1
78,4.598137,2.5649652,1
536,12.6616745,5.083453,1
420,9.628634,3.288189,1
316,10.680823,5.58583,1
551,4.0794573,2.3197718,1
549,10.849782,5.8669724,1
441,10.688608,3.2314067,1
157,8.827551,5.5909,1
15,12.11208,2.3148868,1
122,11.981305,2.2318676,1
498,8.603802,3.308357,1
499,12.0152445,2.1198723,1
368,9.826849,4.2821856,1
490,8.961355,1.5474292,1
274,8.876814,3.7440007,1
110,4.8165135,2.2749372,1
288,11.249481,2.581988,1
464,8.595902,1.9438027,1
529,11.244302,2.0578394,1
474,12.377042,4.8308263,1
547,6.1672854,4.029711,1
456,11.09903,3.167076,1
445,9.052607,3.7642128,1
548,9.307893,3.0872746,1
479,7.882631,1.377831,1
468,10.33798,2.621356,1
