,UMAP_1,UMAP_2,label,naive,MLP,logisticRegression,decisionTree,randomForest,xgb
575,-2.89752,6.0527368,1,0,1,1,1,1,1
1428,-1.1221533,7.933542,0,0,1,1,0,0,1
1386,11.325909,11.971932,0,0,0,0,1,0,0
1967,11.75909,13.349497,0,0,0,0,1,1,0
2243,11.823204,14.2689705,1,0,0,0,1,1,0
1196,-1.6156561,6.998752,0,0,1,1,0,1,1
419,11.366511,12.268318,0,0,0,0,1,1,0
1826,-4.557665,5.443054,0,0,1,1,1,1,1
1260,-0.81690794,8.335565,1,0,1,1,1,1,1
3072,-3.892333,8.754497,1,0,1,1,0,0,0
1642,-3.8624113,8.77383,1,0,1,1,0,0,0
3189,-4.765058,5.7736936,1,0,1,1,1,1,1
928,-5.6968307,8.059036,0,0,1,1,1,0,1
610,-1.4679337,9.176195,0,0,1,1,0,0,1
1575,-3.93557,7.2559204,0,0,1,1,1,1,1
185,-3.6571698,3.7357898,0,0,1,1,1,0,0
2782,10.9784565,12.8739,0,0,0,0,1,1,1
449,11.947805,13.432845,0,0,0,0,1,1,0
1198,-2.8110933,6.5898585,0,0,1,1,1,1,1
1356,12.56385,13.184235,0,0,0,0,0,1,0
399,-2.7216737,6.464193,0,0,1,1,1,1,1
3168,-5.0155306,6.1235437,1,0,1,1,1,1,1
1781,-4.9155254,6.1906195,0,0,1,1,1,1,1
2995,11.865725,12.097792,1,0,0,0,1,0,0
411,11.120206,12.642984,0,0,0,0,1,1,0
2878,-1.406495,8.936486,0,0,1,1,0,0,1
3264,-3.3293037,6.9553504,0,0,1,1,1,1,1
2071,-4.713869,6.1217437,1,0,1,1,1,1,1
680,-3.1123776,5.7596283,0,0,1,1,1,1,1
865,-5.566436,7.002775,0,0,1,1,1,1,1
444,-3.2406116,7.6161838,0,0,1,1,0,1,1
211,-3.9013755,3.9508126,0,0,1,1,1,0,0
569,-3.8769913,6.1723337,0,0,1,1,1,1,1
1243,-1.7502645,8.939025,0,0,1,1,0,0,1
780,-1.3634461,8.044267,0,0,1,1,0,0,1
779,-4.327564,5.523312,0,0,1,1,1,1,1
2076,12.509404,12.110502,1,0,0,0,0,0,0
1744,-5.5574136,7.0713487,1,0,1,1,1,1,1
144,-4.007773,3.73264,0,0,1,1,1,0,0
898,-3.331095,8.088408,0,0,1,1,0,0,1
1429,12.345458,13.604441,0,0,0,0,1,1,0
2033,11.495589,12.7354765,0,0,0,0,1,1,0
1150,-4.8962917,6.1593246,1,0,1,1,1,1,1
1282,-4.7953243,6.5537815,0,0,1,1,1,1,1
1206,-4.681551,8.038267,1,0,1,1,1,0,1
1172,-4.2409525,6.423734,1,0,1,1,1,1,1
258,11.980873,14.177055,0,0,0,0,1,1,0
393,11.736645,12.983964,1,0,0,0,1,1,0
960,-2.1252577,8.848048,0,0,1,1,0,0,1
877,-1.2771674,7.0514812,1,0,1,1,0,1,1
947,-4.8311167,8.619987,0,0,1,1,0,0,1
1944,-1.2118272,8.753228,1,0,1,1,0,0,1
1950,11.257771,12.385751,0,0,0,0,1,1,0
2501,11.545818,12.629269,0,0,0,0,1,1,0
3087,-1.2631522,7.5784698,0,0,1,1,0,0,1
1387,-5.633654,7.457556,0,0,1,1,1,1,1
820,12.204257,11.451491,1,0,0,0,1,0,0
1115,-1.7394176,9.005333,1,0,1,1,0,0,1
1998,11.969387,13.21329,0,0,0,0,1,1,0
1691,-1.179452,8.6869,1,0,1,1,0,1,1
1458,-4.1926045,5.629008,0,0,1,1,1,1,1
2714,11.765867,13.743709,0,0,0,0,1,1,0
1971,11.523342,11.9812565,0,0,0,0,1,0,0
920,-3.5424807,6.155145,1,0,1,1,1,1,1
1176,-3.294264,6.258301,0,0,1,1,1,1,1
1903,-2.4417586,6.273078,0,0,1,1,1,1,1
1874,-0.86240745,8.193451,0,0,1,1,0,0,1
311,12.508418,11.8730755,1,0,0,0,0,0,0
1956,12.641919,12.065485,0,0,0,0,0,0,0
1530,-0.9465198,7.276578,0,0,1,1,0,1,1
430,11.13189,13.259052,0,0,0,0,1,1,1
1313,-3.6431308,5.9582253,0,0,1,1,1,1,1
281,11.915862,13.875907,0,0,0,0,1,1,0
2072,-1.7720305,8.851787,1,0,1,1,0,0,1
586,-1.0959188,7.773831,1,0,1,1,0,0,1
647,-5.197935,8.233503,1,0,1,1,1,0,1
1876,-4.035472,7.917713,1,0,1,1,1,1,0
1134,-2.172008,8.797607,0,0,1,1,0,0,1
2027,12.045929,13.842145,1,0,0,0,1,1,0
1622,-5.0426464,5.996891,0,0,1,1,1,1,1
1132,-3.6267881,8.639753,0,0,1,1,0,0,0
2800,-3.8527293,4.5669546,1,0,1,1,1,1,1
1447,-4.1555324,7.941886,0,0,1,1,1,0,1
1604,-5.741749,7.9249196,1,0,1,1,1,1,1
642,-0.5923591,8.249752,0,0,1,1,0,0,0
2712,11.025392,13.240796,0,0,0,0,1,1,1
220,-5.0861444,7.591235,0,0,1,1,1,1,1
164,12.016129,14.176476,0,0,0,0,1,1,0
1256,-0.81769603,8.259361,0,0,1,1,0,0,1
2059,11.795245,11.9996395,0,0,0,0,1,0,0
1111,11.934103,12.007839,0,0,0,0,1,0,0
1073,-3.0888264,7.3549285,0,0,1,1,0,1,1
1870,-2.8983314,6.7119317,0,0,1,1,1,1,1
593,11.951226,11.572689,1,0,0,0,1,0,0
1345,11.063106,12.539734,0,0,0,0,1,1,0
808,-1.1009912,8.854055,1,0,1,1,0,1,1
2044,11.445078,13.329874,0,0,0,0,1,1,0
1411,-2.8177192,6.6112843,1,0,1,1,1,1,1
1510,-3.4009752,7.4199796,0,0,1,1,0,1,0
1655,-1.517092,8.470064,1,0,1,1,1,1,1
160,-3.9335465,3.7090333,0,0,1,1,1,0,0
1275,-3.582393,8.69284,0,0,1,1,0,0,0
883,-3.1563957,7.084336,1,0,1,1,0,1,1
2479,-5.1219897,7.546143,0,0,1,1,1,1,1
1146,-2.9625075,6.870748,1,0,1,1,1,1,1
1096,-3.3019786,6.8075495,1,0,1,1,1,1,1
874,12.398903,13.425095,0,0,0,0,1,1,0
663,-4.155894,6.251247,0,0,1,1,1,1,1
1056,-4.8677573,6.7533913,1,0,1,1,1,1,1
2068,-3.9696443,8.232998,0,0,1,1,1,0,0
2753,11.340994,12.328057,0,0,0,0,1,1,0
1793,-2.513069,6.3197303,0,0,1,1,1,1,1
878,-4.306504,8.061054,0,0,1,1,1,0,1
984,-4.841581,8.163041,0,0,1,1,1,0,1
968,-1.0897846,7.5664353,1,0,1,1,0,1,1
1039,-3.029415,6.5690503,0,0,1,1,1,1,1
1242,-0.72444135,8.7756405,0,0,1,1,0,1,1
2345,11.778477,14.195664,0,0,0,0,1,1,0
1667,-4.6824427,6.8426046,1,0,1,1,1,1,1
682,-3.4101489,7.6182027,0,0,1,1,0,1,0
1069,-3.4086711,8.257897,0,0,1,1,0,0,0
1314,-3.3625948,8.507125,1,0,1,1,1,0,1
192,11.418207,12.873789,0,0,0,0,1,1,0
1239,-4.9113073,8.549473,0,0,1,1,1,0,1
270,11.486466,13.28331,0,0,0,0,1,1,0
1182,-4.8744383,5.5874505,1,0,1,1,1,0,1
658,-0.8798352,7.633653,1,0,1,1,0,1,1
1658,-0.9107562,8.775936,1,0,1,1,0,1,1
1005,-4.047969,6.9608126,1,0,1,1,1,1,1
106,12.65848,12.212594,1,0,0,0,0,0,0
1089,-3.2627969,6.144507,0,0,1,1,1,1,1
1663,-4.002115,6.2157507,0,0,1,1,1,1,1
1406,-3.4613144,8.655379,0,0,1,1,0,0,0
706,-0.98406625,8.525932,0,0,1,1,1,1,1
2940,12.351974,11.921127,1,0,0,0,1,0,0
1910,-3.8551052,7.7268524,0,0,1,1,0,1,1
1037,-4.54406,8.15002,0,0,1,1,1,0,1
3086,-1.4151021,7.0727773,1,0,1,1,0,1,1
2703,12.404689,11.717702,1,0,0,0,1,0,0
349,11.573241,11.778945,0,0,0,0,1,0,0
3309,-4.2279415,8.159181,1,0,1,1,1,0,1
1269,12.666153,12.958308,0,0,0,0,0,0,0
915,-3.5154164,7.3987966,0,0,1,1,0,1,0
1165,-1.3285699,8.701912,1,0,1,1,0,0,1
304,11.066273,13.264823,0,0,0,0,1,1,1
2769,11.326303,13.615485,1,0,0,0,1,1,0
1352,-4.703674,5.5304832,1,0,1,1,1,1,1
1154,-3.5565443,6.385851,1,0,1,1,1,1,1
1565,-0.8568387,7.871641,0,0,1,1,0,0,1
2017,-5.489771,7.155169,0,0,1,1,1,1,1
111,-3.900459,3.6823506,0,0,1,1,1,0,0
611,-3.7294667,8.581288,1,0,1,1,0,0,0
1753,-4.3932266,7.201417,1,0,1,1,1,1,1
1112,-3.841002,5.681781,0,0,1,1,1,1,1
2247,12.133029,14.268386,0,0,0,0,1,1,0
1881,-4.555648,7.780594,0,0,1,1,1,1,1
1552,-5.719599,7.9926496,1,0,1,1,1,0,1
1347,-5.774392,8.007365,0,0,1,1,1,0,1
1656,-0.8808648,7.25686,0,0,1,1,0,1,1
1168,-4.006586,6.3627267,0,0,1,1,1,1,1
3077,-1.027219,7.8208475,0,0,1,1,0,0,1
668,12.369963,13.490001,0,0,0,0,1,1,0
1508,-3.7179399,6.3427963,0,0,1,1,1,1,1
1419,-0.75913835,7.7618356,1,0,1,1,0,0,1
1860,12.464012,13.503347,1,0,0,0,0,1,0
2410,11.377076,12.532473,1,0,0,0,1,1,0
641,-3.0433278,6.337761,1,0,1,1,1,1,1
1229,-3.7350748,8.670011,0,0,1,1,0,0,0
1047,-1.3633744,7.064153,0,0,1,1,0,1,1
476,-4.898644,7.6846814,1,0,1,1,1,1,1
2064,12.45595,13.56958,0,0,0,0,0,1,0
2218,-3.8165164,4.107727,0,0,1,1,1,0,0
1188,11.94379,11.79665,0,0,0,0,1,0,0
1695,12.373932,11.59003,0,0,0,0,1,0,0
637,-4.2876344,6.831374,0,0,1,1,1,1,1
34,-3.9690192,3.7386522,0,0,1,1,1,0,0
1249,-4.2896667,7.9938765,0,0,1,1,1,0,1
891,-4.2090282,8.547211,1,0,1,1,1,0,1
1772,-4.732861,5.498027,1,0,1,1,1,1,1
2186,-3.7968073,3.8092728,1,0,1,1,1,0,0
295,11.630783,13.6859665,0,0,0,0,1,1,0
581,-4.188013,8.494402,0,0,1,1,1,0,1
301,11.757529,13.768975,1,0,0,0,1,1,0
2408,12.404199,12.061572,1,0,0,0,1,0,0
1216,-3.7418606,5.7117853,0,0,1,1,1,1,1
169,12.171923,12.002856,1,0,0,0,1,0,0
215,-3.6606553,4.0863953,0,0,1,1,1,0,0
2031,11.696997,11.817211,0,0,0,0,1,0,0
1990,11.61756,13.851085,0,0,0,0,1,1,0
1021,-4.484221,6.24036,0,0,1,1,1,1,1
885,-4.441305,7.4415126,0,0,1,1,1,1,1
371,12.587949,12.702494,0,0,0,0,0,0,0
1960,11.069755,13.093831,0,0,0,0,1,1,1
3279,-4.43224,7.065187,0,0,1,1,1,1,1
3013,12.452746,12.351771,0,0,0,0,0,0,0
892,-4.945481,8.511539,1,0,1,1,1,0,1
1357,-3.9659815,6.204018,0,0,1,1,1,1,1
1389,-3.809309,8.457516,0,0,1,1,1,0,0
737,10.996889,12.785606,0,0,0,0,1,1,0
172,-3.5180287,4.1582627,1,0,1,1,1,0,0
1607,-2.1712234,8.9069605,1,0,1,1,0,0,1
1015,-4.3619223,6.3922973,0,0,1,1,1,1,1
334,11.18247,13.393213,0,0,0,0,1,1,0
2052,12.245096,11.836924,0,0,0,0,1,0,0
1075,-2.2596467,8.745391,0,0,1,1,0,0,1
412,11.172857,13.142507,0,0,0,0,1,1,0
553,-4.208715,5.4940405,1,0,1,1,1,1,1
755,-5.6964154,7.926581,0,0,1,1,1,1,1
3277,12.028111,11.516001,1,0,0,0,1,0,0
3255,-0.79134583,8.071412,1,0,1,1,0,0,1
556,-5.1864634,8.252536,0,0,1,1,1,0,1
1022,-1.2515817,8.518522,0,0,1,1,1,1,1
861,-4.615292,7.42366,0,0,1,1,1,1,1
1914,-4.5897665,5.495923,1,0,1,1,1,1,1
274,-1.2933612,6.9239454,0,0,1,1,1,1,1
2003,11.571834,13.893319,0,0,0,0,1,1,0
1190,-5.5099444,7.6633816,0,0,1,1,1,1,1
1610,-1.0150974,7.2606645,1,0,1,1,0,1,1
2067,-4.6796026,5.622815,0,0,1,1,1,1,1
2848,-4.758655,7.6704526,1,0,1,1,1,1,1
2095,-3.3504882,6.6471233,0,0,1,1,1,1,1
130,-3.7014258,4.138163,1,0,1,1,1,0,0
847,11.880077,11.491898,0,0,0,0,1,0,0
573,-2.626785,6.1205616,1,0,1,1,1,1,1
2148,11.50949,13.080766,0,0,0,0,1,1,0
1985,11.471048,12.640937,0,0,0,0,1,1,0
