,UMAP_1,UMAP_2,W3IWER4_A
1241,3.3927252,4.8438063,1
322,-3.489172,-4.9373064,1
102,-1.524947,-1.9389551,1
1175,-6.995912,-14.533011,1
353,-3.8617089,11.001503,1
1601,-4.1349783,17.179083,1
1445,2.1792326,19.087814,1
1652,-16.078476,7.0131764,1
1112,4.720237,6.3967648,1
1244,14.920309,0.5119769,1
1202,1.9412221,8.55005,1
1555,-1.9349723,18.786861,1
1392,-2.4288003,18.420033,1
1207,14.21757,-2.0669575,1
505,20.062048,-9.612428,1
1334,-3.9462256,-4.2431097,1
23,9.980797,-11.849965,1
488,4.462501,7.0045576,1
169,-6.993135,-14.535102,1
1395,2.3709962,19.697582,1
1324,-3.9926598,-4.2667203,1
383,9.997371,-11.854703,1
1629,-7.5038466,3.1307552,1
1171,3.1592531,4.7251625,1
1308,7.6592755,-5.9731755,1
1131,4.6596417,-13.33806,1
544,-1.1834575,-1.3603427,1
481,14.394615,-2.2634475,1
368,-5.7089043,-3.3667023,1
1540,0.22087203,13.042009,1
1310,-8.504125,-0.90792096,1
254,1.3756349,-12.118654,1
1573,-3.05641,17.827976,1
176,6.4692698,-6.287636,1
1605,-11.425797,15.560708,1
1327,20.012526,-9.561358,1
1332,-8.037157,-9.710895,1
1136,14.9663315,-2.6402802,1
113,14.416336,-2.2848558,1
459,-0.89242697,2.6767116,1
1403,0.023999963,12.846026,1
1283,14.936562,0.5215004,1
1644,-8.658209,7.1373124,1
526,7.5019155,-1.2044514,1
1574,2.1523478,19.034105,1
463,11.987019,-9.128843,1
1166,-1.1481262,-1.4599477,1
491,14.239786,-2.0915468,1
92,12.258784,-14.214,1
466,4.9488783,-3.5144567,1
160,3.201806,4.770005,1
76,15.007947,-2.6811192,1
1382,-11.433086,15.553402,1
1227,-3.8332753,6.945155,1
1243,-7.609787,-9.68158,1
438,4.9716144,-12.631613,1
1152,-6.0348463,-3.477971,1
1427,-7.3696904,3.2613409,1
1187,11.160908,-9.135287,1
1379,1.4051117,-12.174101,1
1623,-4.1616354,17.180628,1
1444,-4.154755,17.18998,1
1279,3.1359274,-13.603924,1
17,1.163385,-11.959843,1
1525,2.1712935,19.0727,1
1467,-15.87082,7.8951473,1
1443,-12.011529,11.280946,1
1221,-1.2715563,-1.6243832,1
296,14.203319,-2.0519316,1
1257,3.711944,5.2046914,1
78,-0.7242601,-4.930832,1
1439,-3.0853567,17.803934,1
1647,2.3891869,19.70148,1
444,9.356986,9.883239,1
1315,9.152686,9.717908,1
1585,-13.614665,9.389969,1
1348,9.03667,9.888133,1
1572,-13.506521,9.493692,1
1210,3.6352427,-11.771703,1
1174,-6.9830675,-14.545014,1
1533,-8.731208,7.0808177,1
1296,-5.5289683,-8.883495,1
543,-5.787018,-3.4005952,1
1511,-1.8734219,18.83966,1
1208,3.6514695,-11.716729,1
1189,16.737476,3.3525114,1
1586,-11.855853,11.092126,1
531,8.4943495,2.867759,1
1409,1.9288629,18.746483,1
337,3.3395867,-13.545317,1
1215,20.028385,-9.574632,1
1401,-2.9782462,17.904879,1
75,-10.455645,-3.827887,1
1462,-12.049222,11.334018,1
1431,-8.647388,7.148273,1
1173,9.189602,9.710767,1
135,8.563872,-6.5817885,1
1463,-3.0024242,17.880201,1
1438,1.5716833,17.783665,1
1167,8.993545,9.901448,1
1478,10.375325,14.253313,1
410,14.944633,0.53669304,1
1522,-2.4290488,18.419542,1
500,-1.8644135,-19.543652,1
1319,14.223248,-2.0753748,1
485,-0.76823443,-4.8891463,1
1200,7.402325,-1.0601099,1
1512,-16.09726,7.060261,1
1655,-11.4330015,15.553277,1
1138,5.056086,-12.708425,1
1648,1.626325,17.690617,1
1420,-15.881287,7.882913,1
465,2.722866,-13.181663,1
219,9.390249,9.920711,1
1548,-12.03044,11.316923,1
1598,-13.449667,9.549915,1
1430,-13.618388,9.38637,1
130,-2.5650375,-5.213283,1
1143,8.264772,3.138009,1
6,11.738138,-12.21092,1
1514,-8.004084,7.4458914,1
1460,0.10574637,12.927839,1
264,4.804015,-13.464026,1
1107,11.7353115,-12.207139,1
1386,-11.8992,19.113958,1
1289,6.17645,-6.272128,1
1506,-11.864151,11.09249,1
1531,-7.4583826,3.1760998,1
1471,-11.890465,19.10501,1
476,-3.4362328,-3.6524496,1
1193,3.4215665,4.9141335,1
478,-1.5661345,-1.9479551,1
1356,9.000155,9.898949,1
494,-1.8725128,-19.551785,1
1613,-1.8728546,18.840631,1
319,20.053532,-9.5957,1
1468,10.356771,14.23534,1
101,7.8227887,-1.8316168,1
1329,1.1966989,-11.993576,1
1203,4.3530765,7.0718822,1
305,3.6611664,-11.767781,1
425,9.983431,-11.851546,1
1191,12.275049,-14.19357,1
1597,2.3888981,19.683592,1
1536,-7.4156446,3.2153878,1
1346,3.7111073,-13.371057,1
391,11.586973,0.3039275,1
161,9.023456,9.890101,1
495,5.315573,6.833195,1
1157,19.987238,-9.539721,1
2,-6.0399427,-3.5006564,1
453,3.7649345,5.260282,1
1602,-2.3736227,18.468987,1
1500,-3.7444146,11.107458,1
1190,1.8455571,0.67633605,1
1461,-13.593344,9.4110775,1
426,-8.441845,-0.8466045,1
527,12.01063,-9.131509,1
1196,5.994238,0.41384074,1
1168,7.675203,-6.2087955,1
504,-8.006527,-9.725745,1
1580,2.0470695,18.900278,1
1170,1.0103295,4.4983315,1
1556,-8.217253,7.314533,1
541,7.4330473,-1.1115303,1
1345,-4.0402904,7.136428,1
517,-3.9883327,7.084801,1
1524,-15.865732,7.8989472,1
1232,-6.908162,-14.620779,1
1261,12.829545,10.013698,1
1615,-8.706554,7.0977583,1
1384,1.9799612,18.809294,1
1452,-11.90194,19.117027,1
1435,-4.137965,17.201477,1
530,1.8346914,0.66575634,1
1498,-7.4664145,3.167782,1
149,-1.125422,-1.4489983,1
1547,-12.022419,11.291734,1
1446,0.236936,13.058298,1
445,-6.933164,-14.59585,1
327,1.4280468,-12.152145,1
1179,11.00713,-8.940472,1
1336,1.863186,8.362984,1
14,11.459779,0.42679563,1
1213,20.039787,-9.574331,1
1627,1.9213097,18.734505,1
1518,-8.7646475,7.0480876,1
20,3.022317,-13.972694,1
370,-6.8995905,-14.629406,1
1503,-7.3739524,3.2560966,1
1424,-8.132901,7.3671536,1
1517,-8.66162,7.102331,1
1155,-10.239211,-3.6107395,1
1123,8.407305,2.9750605,1
1300,-10.414611,-3.7862892,1
1277,3.0382245,-13.9639225,1
1504,10.355455,14.234466,1
1484,-2.4686475,18.385454,1
132,-1.5747377,-1.9664776,1
1477,-11.899807,19.114729,1
1451,-3.0755227,17.81001,1
437,-5.996205,-3.4612172,1
1355,12.011551,-9.134464,1
508,1.8581216,8.368739,1
411,2.7138996,-13.18184,1
28,4.6695447,6.5317607,1
497,5.766046,-6.5029,1
1650,10.346431,14.225369,1
1411,-8.765355,7.04651,1
1150,-1.51598,-1.932033,1
1480,-11.93861,11.684215,1
1338,3.3984048,4.8508635,1
1416,-13.51933,9.48129,1
542,3.6866393,-11.761951,1
1251,-7.958784,-9.776553,1
1278,16.732166,3.3463523,1
1226,3.1835215,-15.411006,1
1378,-1.5523741,-1.8957882,1
1592,0.09459246,12.916608,1
1142,5.009023,-3.5732594,1
1527,-11.901019,19.115864,1
1645,-12.801432,1.903908,1
1530,-11.8879385,11.13258,1
1535,0.089022085,12.910979,1
1299,12.280796,-14.174735,1
1434,-8.031127,7.4246335,1
1390,-8.41887,7.237138,1
1560,-8.740025,7.0704412,1
1526,2.0157914,18.855728,1
1565,-4.1721435,17.169815,1
1360,2.913507,-15.069638,1
1234,-10.405919,-3.7788415,1
1550,0.017464101,12.839249,1
439,8.509967,-6.55378,1
486,-3.6322813,-4.866752,1
1483,-13.630302,9.373907,1
10,2.9081924,-15.272535,1
1515,-16.102623,7.0403857,1
1393,-16.090933,7.0596166,1
263,5.761253,-6.5031085,1
1458,-7.4558,3.179758,1
1146,6.195617,-10.937051,1
1223,6.1892705,-6.26694,1
1569,-1.8805293,18.831299,1
1543,-3.0911698,17.811998,1
1282,-0.8940492,2.6733959,1
529,14.19677,-2.045805,1
1272,9.387402,9.914438,1
1182,17.408373,4.259066,1
464,1.3895346,-12.147929,1
1646,-1.8713398,18.84159,1
362,12.847474,10.0315695,1
68,1.1174101,-11.921681,1
387,1.3846803,8.358244,1
1408,-11.425743,15.56084,1
1651,-7.3979063,3.236333,1
1144,12.262164,-14.21082,1
1624,-12.025227,11.295709,1
1519,-11.860199,19.075262,1
310,4.7377887,6.3903875,1
431,4.3711095,7.076943,1
8,-3.617148,-4.883293,1
1205,-1.8993216,-19.578522,1
1481,-13.47272,9.527031,1
1248,11.739455,-12.211452,1
1404,-8.174775,7.3268785,1
1320,12.287465,-14.16069,1
66,4.7003994,-13.339471,1
1353,17.394377,4.248919,1
379,-10.405967,-3.7788944,1
1110,1.8630985,0.69980115,1
440,-8.504051,-0.9078991,1
1630,-12.778384,1.9296677,1
274,-7.0107265,-14.54276,1
1491,2.0574493,18.914537,1
1117,9.981077,-11.850167,1
1622,-1.773595,18.933737,1
450,16.733309,3.3471165,1
1376,14.933694,0.5240684,1
1489,1.9243939,18.737984,1
436,1.2864926,4.725771,1
1510,-8.827717,6.9843135,1
1192,1.8841594,8.480635,1
1128,-1.4003181,2.0184948,1
54,-1.426573,1.9943937,1
533,17.428495,4.285115,1
540,3.270909,4.7405486,1
1501,-11.846963,11.07966,1
1466,-11.91251,19.127268,1
1265,-5.9490943,-3.4438257,1
1132,1.1615684,-11.963533,1
479,3.6213446,-11.721825,1
1108,-3.6776433,-4.8332443,1
1212,4.738878,6.3955617,1
446,4.7393317,6.405246,1
1583,-2.4885004,18.363857,1
1280,-1.4200137,2.0008476,1
95,6.198127,-10.934224,1
1238,11.586783,0.3045215,1
1180,-3.3940232,-3.5884893,1
197,17.391235,4.2408543,1
1328,-1.8938689,-19.573053,1
1116,3.0259683,-13.98546,1
1385,-2.4702327,18.38373,1
1331,14.94418,0.5283659,1
1281,3.7155037,5.208702,1
487,9.132656,9.746172,1
1567,-2.9185128,17.96304,1
34,-0.88219965,2.6784232,1
1616,-16.101337,7.0525336,1
1318,9.3486805,10.005559,1
71,1.158846,-11.961444,1
1169,19.32365,-9.383749,1
1258,11.484981,0.40101126,1
1490,-8.418441,7.2361236,1
87,4.9491363,-3.5146663,1
503,14.932504,0.517363,1
188,-3.3771114,-3.570097,1
1396,-1.9664956,18.758482,1
1505,-7.4293613,3.2041981,1
1391,-11.39563,15.591043,1
522,5.9960675,0.43728438,1
1260,-3.8373184,6.9512696,1
1197,5.7690396,-6.500529,1
545,7.4800177,-1.1617069,1
420,-3.3529556,-3.5394766,1
1312,1.1662887,-11.96975,1
1469,-8.642666,7.1510124,1
1654,1.6474419,17.70724,1
1437,2.1006105,18.978327,1
1538,-8.577528,7.2067547,1
110,1.207373,4.6519804,1
0,5.4099245,6.928884,1
1516,-2.985907,17.889858,1
47,-7.952187,-9.66522,1
510,3.3872375,4.8388524,1
1309,14.406152,-2.275067,1
85,11.728822,-12.199271,1
1486,-1.9364372,18.777573,1
1470,-11.426496,15.560049,1
1488,0.03787124,12.859656,1
1113,11.515213,0.3720586,1
1141,11.728991,-12.199005,1
1134,1.1775638,-11.977915,1
1449,-11.982361,11.2639065,1
1513,10.356916,14.235616,1
1608,-11.902852,19.11815,1
1611,-8.421319,7.2406015,1
1160,1.3539679,8.371341,1
1341,8.295411,3.1025984,1
288,-1.8994037,-19.578594,1
220,11.193188,-9.17107,1
520,9.02946,9.908955,1
1120,3.1730146,-13.616257,1
519,7.546312,-6.095364,1
1106,1.1586653,-11.964371,1
58,-3.963125,7.060214,1
1609,2.20315,19.107508,1
260,5.99341,0.4149399,1
501,1.1762668,-11.971581,1
366,-8.449661,-0.8543667,1
1317,1.2714196,4.7103276,1
447,-5.5289087,-8.883458,1
1156,4.9642186,-12.633012,1
1349,3.658483,5.147989,1
1542,-1.7322005,18.974783,1
1566,1.9038599,18.712805,1
1255,12.981562,10.426677,1
538,-3.3790333,-5.000196,1
153,7.6787963,-6.1733594,1
518,3.7408237,-13.374365,1
1237,1.4022975,8.349364,1
1617,-11.927068,11.713772,1
1428,2.3919141,19.707102,1
1127,5.351244,6.8647795,1
1472,-12.7637,1.9440831,1
1256,3.1974974,-15.430292,1
496,-3.9998524,-4.2717032,1
1528,-15.875873,7.888152,1
