,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,PC_10,label,naive,MLP,logisticRegression,decisionTree,randomForest,xgb
1011,-1.722689521794438,2.161769135982546,-0.9001517092973856,-0.692580739236924,2.003875667007979,0.07459953839119811,-0.854724237184888,0.4449740657997951,0.974147494214023,-0.33294181134015804,0,0,0,0,0,0,0
575,-1.8254097449846856,-0.015315159419564732,0.7656006528269679,-1.3119160691256568,-1.2477165660292249,1.0154334785341126,0.0770480872538155,-0.2984303764677336,0.5054459395624178,-1.1410585751450475,1,0,1,1,1,1,1
2316,2.068504933067781,-1.6983563853604913,4.03961759267623,-0.4393068209229764,-0.5858977946122583,1.5597335180104817,-1.0830775629187936,-0.2765579527451902,-0.06947181534538933,0.28343802227553794,0,0,1,1,1,1,1
1092,0.4098805673078834,-1.2706772851121668,-2.1428553583267207,0.7339582881331878,-0.3996499002433809,0.9548075382529876,1.5473025492726493,2.707813723666778,-0.02566954374044205,0.16311786052700375,1,0,0,0,0,0,0
19,-1.280326828783604,2.3731895292258307,0.8978154491119801,-0.39070981338973526,0.18114110994567365,0.6812273449691517,-0.9698114469445948,0.14538449761605057,-0.38874638843013776,1.1527624293754875,0,0,0,0,0,0,0
2198,2.1485595356669434,-1.7174212425332356,4.257692092309155,-0.010989197704726108,0.20265072907997544,1.9477041588229937,-0.40029634230543987,-0.48782679741143087,0.18301264584884372,-1.1545081949379161,1,0,0,1,0,1,0
1428,-1.082300390874428,2.502546684598729,1.2933071621199823,-0.11008028487595171,0.3998490579367899,-0.35646146341885704,1.2310718000150418,-1.2282037249240638,0.0483468913877798,0.7148626939057197,0,0,0,0,0,0,0
1386,3.027170547709027,3.2246681189125486,0.04269728152991035,-0.3254570623392053,-0.0716183942453509,-0.051162577722814205,1.4513457539248427,-0.904445489083306,0.20401200587864526,-0.014631092238698629,0,0,0,0,0,0,0
1858,-1.4271370682487432,-0.9931375873319103,0.3180617077947291,-1.3358325531333508,0.5041665850310556,-1.9349283904244248,-0.28330058360131755,-0.70267893005476,-0.9371514323593766,-0.48402937977437976,0,0,1,1,1,1,0
1967,2.981357243887816,-0.7765673995760859,1.0703624285105513,-1.3747993559506506,-1.7754834118310474,1.2781827430426604,0.41902550653153725,0.8372720144614458,0.8912502888710645,-0.20185822930494682,0,0,1,1,1,0,0
