,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,PC_10,W3IWER4_A
5312,-1.417110213541283,-0.5087143872242377,0.16289538903076042,-0.479333878650375,0.4853925072925178,1.733950473463356,0.2760934107384753,-0.05198229544769375,0.6877821027848082,-0.559549267770496,1
4844,-1.3029875649104987,-0.3425431865125605,-0.6749031128426384,0.3782199244335242,0.28689962397864316,-1.1807555481457452,-0.12058223079225647,-0.2418147307077905,0.29790100130357366,-0.3381194388063697,1
4937,-1.3797024465569954,-0.32836838402263796,-0.5212066829154429,-0.10484688405029899,0.3765130279207194,-1.0251064388451594,-0.32350967891041554,0.13471746875513502,0.13078502963082037,-0.41765509744436424,1
4988,-2.0843910286084126,-1.123682321701032,-0.6727639975347245,0.28326176066327297,0.7069885737793984,-0.739236344227242,0.42174698613076556,0.3797675605744428,0.15277595186798876,-0.5669883545877139,1
781,-1.4633580681551777,-0.8323128143688839,-1.0020567389475141,-0.405837875975212,-0.48792632320279117,0.43038946781350285,-0.36537586624103535,0.5468261731563534,-0.12373283698871493,-0.03641537360618311,1
4451,-1.249408364553767,-0.22216793896881415,-0.12386622500960086,-0.5837183116243536,1.3765836623469125,0.6203717820102119,-0.18634700021321918,0.3120910971096644,-0.0968082578456743,0.2973000441194033,1
364,-1.1718997048623676,-0.30760106277338145,-0.2066277828928468,0.4934685997661918,-0.5344388418374488,0.389573154470982,-0.16792310055155232,-0.242858561315607,-0.053122579416374036,-0.1728359798091732,1
186,-1.7260247791961703,-0.9544842916530637,-0.6922324135730978,0.21224483343867412,-0.6445867754437117,-0.15226605778996827,-0.9026493743462308,0.6943328533201453,-0.2721808061889595,-0.03413273299737116,1
5201,-1.556839366142461,-0.9027739449883327,0.262683028771964,1.2011666743295024,-0.22870937425042748,0.28981293649826234,-0.4895961154796367,-0.6750344416901121,-0.13669863255738254,0.9616533152547374,1
1855,-0.7292465042426453,-0.27439188645588886,-1.1484872724307855,-1.3581259789333955,-0.5833319841750393,0.772292719649786,0.26306576036703383,0.5997541748911478,-0.28209634391943494,0.024982765758621527,1
6211,3.304931427392075,-1.271177551259543,-0.11757797765504809,-0.3207739299496935,0.09784222752020594,-0.24246330796218724,-0.02474840998493823,0.18264312203515654,0.04431489330415375,0.32716069546631493,1
1995,-1.50128329405708,-0.4502666163129879,-0.24850061597052242,0.45113626488072944,0.6042005013766578,-0.8343876902768983,0.20781655265324198,-0.6239864998272872,0.048821455556559236,0.0326569494864831,1
5202,-0.9894380401508027,-0.49673865895542957,0.3449436848170724,0.13403099630714427,-0.059437284786305784,0.9027822068342559,0.1954989096619129,-1.092748197894732,0.10003356498178159,0.8056907410828171,1
6145,2.7320975269674657,-0.7358541051968677,-0.021679700156888845,-0.5115049403889024,0.36223854256926813,-0.3723201620703745,-0.1936458366959373,0.21925616683021162,-0.35622745466481154,0.22739335334664865,1
39,-1.6426303992935136,-1.107297958220935,-0.7565754467692504,1.0240747222233493,-0.7382138595404232,-0.5149318292266555,-0.3781305950506149,-0.5403158146128794,-0.353821880659679,0.5730778175605499,1
345,-1.4581390721316223,-0.5836396819084274,-1.2596756722535423,-0.08056416233283174,0.9439458966770193,-0.24677785589780188,0.021759874991822265,0.6152170567617206,-0.4614995243236222,-0.48264488909315395,1
2079,-1.1723607439157995,-0.3444017818560227,-0.9675573418800762,0.04151023649821406,0.44745966311653085,-0.6832799060728694,-0.1360127168522899,-0.27762125766724677,-0.29669658793598014,-0.188573999504664,1
5224,-1.89931261700101,-1.1950118727663288,-0.5288511940815819,0.8890543711606347,-0.6067362598289944,-0.31939328123538296,-0.1973651942642194,0.5914175614062746,-0.7617746325857084,0.06364912582142708,1
898,-1.1861266835112687,-0.46690112055977356,0.290214351589466,0.03627402313571563,-0.1153375329073934,0.8651586959266989,-0.3445170401217018,-0.3624642455313966,-0.36196480446889384,0.7080910075776502,1
5905,4.446906776906744,-2.1025166255929006,0.05041808968902294,0.1800895099750502,-0.020969531596220205,0.17106667411896342,0.021892924541351493,-0.1458404999053887,-0.03333126245542239,-0.26013796881150475,1
2029,-0.9580581743936184,-0.11129460889686427,-0.5633431156878133,-1.1861947266749588,0.5049553769495222,-0.3144967680322326,0.19946595845884488,-0.1740677319143376,0.5745177182120904,-0.6665080726354872,1
997,-0.6824488818243082,-0.3069209739165119,-0.4625941836048156,-0.6374437977552723,-1.1512351304871433,-0.4561162877036605,-0.7488275564653682,-0.31751958633078803,0.279329822231283,0.899443526732492,1
4876,-1.7319989124644308,-1.0719984380934244,-0.4859949079489372,0.849248296597139,-0.8908796503441041,-0.5660476731017848,-0.19463505402682885,-0.6640404429260748,0.06721826233052135,-0.1050996693873904,1
4867,-1.236181942117026,-0.41060104085092347,-1.1675702930723493,0.19516293390115705,0.6429505602123249,-0.7198940257760066,-0.14723619038147723,-0.4261042200972703,-0.08003973515156051,0.10859602202635321,1
