,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,PC_10,label,naive,MLP,logisticRegression,decisionTree,randomForest,xgb
575,-0.8061603951495186,-0.7848616560081207,0.2992548257626563,0.5047641448968831,0.6503779833031997,0.4329899158203888,-0.16503100344956753,0.07674656171508865,-0.13601076275084215,-0.0017475582881537354,1,0,0,0,1,0,0
1428,-0.9344414128096747,-0.23972650702874565,-0.22226132107463986,-0.013448550229286328,0.649224112485403,-0.44320324688735613,-0.07952776511051836,0.20509245752998417,-0.034223971695296077,0.0015406720215309908,0,0,0,0,0,0,0
1386,1.790486440518406,1.14699818925633,1.3078050306581537,-0.7406577736248892,0.37257613643551657,0.07980816825497718,-0.023494348169744123,-0.24382114669546445,-0.2809370840062191,-0.0005887340531972313,0,0,1,1,1,1,1
1967,2.360010664232657,0.015188247578965905,0.5079026780425472,0.1525422278243662,0.28264618593383783,1.1303018583292272,0.19772733148806684,0.0826312572711515,1.3240895264248056,0.00898176684580677,0,0,0,0,0,0,0
2243,1.8628382929141147,-1.4305898747505261,0.12138888078459999,0.5955913100589244,-0.650061662294554,0.22139565619849508,0.08893018067065572,-0.5463428636104957,-0.48217664642192926,-0.0030874476982811015,1,0,0,0,0,0,0
1196,-0.6531258131187369,-0.45604456146933303,0.2695095213981763,0.759481341004181,0.03250954772948077,0.991691825956929,0.8084434429294733,0.4321383861001969,-0.0015376970665143498,0.0004154712826808336,0,0,0,0,0,0,0
419,1.9748054583350334,1.1182512620054392,0.06139055668788091,0.31653063054442937,-0.6069316061789111,1.0199897243639489,-0.3125300109036025,1.2283390274247539,0.10793197533256149,-0.001702811424783855,0,0,0,0,1,0,1
1826,-0.8761548812201826,-0.9175133664726443,0.22573956384296096,0.16230234113525052,0.09503965207043637,0.443534867557173,0.6594521710537412,-0.3954100601528481,-0.1552968551426347,-0.002433602685910154,0,0,1,0,0,0,0
1260,-0.6571479202166579,-0.746827269884685,0.7937612043384119,-0.5783473609769002,-0.20621974647123711,0.5170770576000778,-0.5382722439815502,0.1634286042925578,-0.0693604069062385,0.006231608398306652,1,0,0,0,0,0,0
3072,-0.37038270601128076,1.1831393323162724,0.8878821200826688,-0.6259700644525512,-0.5878081594721659,-0.1621251796776274,-0.3958627814853967,-0.014073042296297484,0.10810085915541788,-0.0015393957773537777,1,0,0,1,1,0,0
1642,-0.30252574984614283,1.2341467510959245,1.1165631192680763,0.4186165439528604,-0.7069644835175055,0.9882778508786845,-0.29404298385424715,-0.4332045905245534,-0.017866437142306825,-9.10931011715066e-05,1,0,0,1,1,0,0
3189,-1.0909977861453823,-0.21888562906665773,-0.5713918176795069,0.39309920831982587,0.5971596572598453,-0.08253159045483317,0.136255363968317,-0.039517341011648964,-0.09941318477610246,0.0004029577648286315,1,0,0,0,0,0,0
928,-0.7986537057868637,1.6375643649124754,-0.4370966611840676,0.5549651476148741,0.3006164636196546,-0.5561099170428363,0.16336387240976014,-0.19982177028604428,0.052856829848968834,0.0007535864742808709,0,0,1,1,1,1,0
610,-0.5939976124434544,0.701470674924112,0.16297307134570804,0.8287708630817334,1.146757299765732,-0.827726059250854,0.2727817616313255,0.07676527731358572,0.03255051061387013,-0.00045554072243607564,0,0,1,1,1,0,0
1575,-0.5592409991181442,0.45805269467482007,0.322257060542174,-0.5481194548968336,-0.7881645849334526,0.3444299148501746,0.38541743163889775,0.6318959378200328,0.1705091678255644,0.0015371014360969929,0,0,0,1,1,1,0
185,0.1703761025636768,-1.4118148542755378,0.35556468782770545,1.1968767237995541,-0.27903045458976816,-0.5296840175344405,-0.918243299150587,0.2745877087732459,0.33151592012406833,8.316987108914667e-05,0,0,0,0,0,0,0
2782,2.248285306447965,1.0766138802342815,1.2078483980558532,-0.03046653132259573,-0.10759641048735673,-0.15887245196072353,-0.3631823742498731,-0.2802338146911193,-0.07316631357899489,0.0004104724071792343,0,0,1,1,1,1,1
449,1.817672615788736,-0.5053840064437948,0.4333049435702058,0.14670218252784203,1.1979078556237444,-0.7798374296586933,-0.25578375081230137,0.19463981883827947,-0.16016720287960504,-0.0027116716348595847,0,0,1,0,0,0,0
1198,-0.582534625322599,-0.19054580149445288,0.6138407842490228,-0.22325579812273036,0.476815051171306,-0.4092857191722782,-0.1733814359223555,0.24939150619162134,0.012945261967112716,2.464712729269173e-05,0,0,0,0,0,0,0
1356,0.6982557870588469,-0.17965419036686395,-0.7777265574855025,-1.2230598629221698,0.25391812275064807,0.43964320404205015,-0.17389349156562914,-0.18104899223211385,-0.4625154430305634,0.0009114141419854341,0,0,1,0,0,0,0
399,0.2727643936490355,-0.6643829861548215,1.185732518746443,1.417475514857462,-0.14135145531515492,0.1828266477700447,1.020876662105041,0.3796761634673931,0.2796881849309211,-0.00043106003807044993,0,0,1,0,0,0,0
3168,-1.163906672162037,-0.6552179915661848,-0.6140900782986618,0.3022191978731343,0.6489177306719444,-0.01695634052258929,0.15783584548773263,-0.00449442883348667,-0.13050921035312754,0.0011491696613058775,1,0,0,0,0,0,0
1781,-0.9640687245624865,-0.33252475445272833,-0.583898186677093,0.8704923684471195,0.6028523990428943,0.5520580728981845,0.3136973359676318,0.834191357246813,0.01335081138450526,-0.002827777497314915,0,0,0,0,0,0,0
2995,1.1083535776878948,0.211314423394284,-1.275955381161581,0.8990587847721409,0.6474260925558339,0.2363974740822488,-0.283985086087067,-0.33292926626693153,-0.30574520284444223,0.010471163647135044,1,0,1,0,0,0,1
411,1.583117192126631,0.9957648218165994,-0.3678992859319978,0.842392972770143,0.38780254084523963,0.15981473608516014,-0.4141964263520858,-0.347649865431815,-0.20618653966428044,-0.0008279353329504811,0,0,1,0,1,1,1
2878,-0.38114877367864686,0.12007820303896173,-0.151171310503708,1.3707064549611043,-0.14773759807574266,0.02238046433658821,-0.09828593547434655,-0.3034773346111359,0.11452039369860736,-0.0017862815145142715,0,0,0,0,0,0,0
3264,-0.08431677743397653,-0.36483135951481477,1.9081937740096788,-0.2974501017539078,0.11474501023272132,0.06332803135704586,-0.13079263823809684,0.11693773813168072,0.02118209135799036,-0.0008896856456779025,0,0,0,0,1,0,0
2071,-1.1362723390554041,-0.2789068513834712,-0.48501870077804843,-0.5330296166472299,-0.3737228555097853,0.18552083869797698,0.10361621422294129,-0.19919835677866785,-0.08647551293230978,-0.0021500984774971894,1,0,1,1,1,0,0
680,-1.0795210325510842,-1.0355050140323718,-0.26592609805527573,-0.04442956168375126,0.3252036522172851,0.05615507382104422,0.5398957570227816,-0.19124904717803667,-0.14069624349124435,-0.00023940634857608215,0,0,1,0,1,0,0
865,-1.1571921595387553,0.37431077871979196,-0.759103836004465,0.09526485519077287,-0.006056086191244596,0.2659680024755488,-0.4108725751971185,-0.02305646543034616,-0.07679913109044091,-0.0007289992363723817,0,0,0,1,1,1,1
444,0.38558598287082674,-0.042113088521527904,1.7045931474539953,-0.17978063921251303,-0.6410415012222679,-0.8181607904118905,-0.1331330288390306,0.01508865197770537,0.31685288133233347,-0.0019123982666802717,0,0,0,1,0,0,0
211,-0.5218771761107708,-1.1231896155327104,-1.23389640844317,0.5586681947652431,-1.0344505767301444,-0.5912242453664689,-0.6663606788979909,-0.02086382747564513,0.3019433842906156,0.007011658413764109,0,0,0,0,1,0,0
569,-1.2501377470683623,-0.9574990179281887,-0.7384113212320016,-0.21033920234395578,0.5321192307719367,-0.3606803087132291,0.41064756511524575,-0.0028206262415462367,-0.11213030990564728,-0.0005752310053374812,0,0,0,0,1,0,0
1243,-0.5753400998500267,1.024047408668744,0.2867844792816327,-0.017668714509616257,0.13048827921998368,-0.6171742516056585,0.22121461590795763,-0.11362423201409132,0.07276184905502794,0.0019011174730850814,0,0,1,1,1,1,0
780,-1.1559070876435709,-0.6073448072066155,-0.6094055363193094,0.3121904325422206,0.6432386938215365,-0.02415118911871466,0.1554674977442198,-0.008336890995146123,-0.12709661554767832,0.001711493468995423,0,0,0,0,0,0,0
779,-1.0202226971357338,-0.5421653618123828,-0.1596105168727219,-0.9900685096105315,-0.29290264319341863,-0.13871850757048318,-0.10017723662371537,0.06486948196562836,-0.03856262216780196,-0.0005864019456315807,0,0,0,1,0,0,0
2076,1.675708730418873,-1.3789522064127757,-0.31947080009999324,0.5589560036953797,-0.8584374934804614,0.1882847823897899,0.5410452215154913,-0.8160122750955613,-0.5052410276098112,0.00014510490793944185,1,0,1,0,0,0,0
1744,-0.6181313242809913,0.4618830645671717,-0.05326325300600559,0.11828255331566664,-0.8822162511723245,1.073502832784567,0.7903717075316364,1.0314450755022322,0.20473731407615728,-0.0009476597504507601,1,0,0,1,1,1,0
144,-0.32875705999754407,-1.2774310849117314,-0.8611150768992565,1.6223249259479606,-0.25431648547970487,-0.4219619241630146,-0.4977252274466278,-0.03867671707987701,0.2507167395232256,0.00040221233948507893,0,0,0,0,1,0,0
898,0.013888970559033077,0.32977720923230797,1.9287949333889296,-0.3775747412516857,-0.04397888034509701,-0.23563986748277352,-0.046219150446196185,0.04988992484665567,0.09064902676517203,-0.00036495610775042435,0,0,1,1,1,0,1
1429,1.53938185685943,-0.35576830871928916,1.160748567681207,-1.0536564447560952,0.5508355028579243,0.3056550450968683,0.05083085493694893,-0.12319923958520988,-0.38803470455568484,0.0018159597664240087,0,0,1,0,0,0,0
