,UMAP_1,UMAP_2,label,naive,MLP,logisticRegression,decisionTree,randomForest,xgb
1011,-5.3089046,4.9376006,0,0,0,0,0,0,0
575,-1.0294819,12.690481,1,0,1,1,1,1,1
2316,11.452965,-1.3342338,0,0,1,0,0,1,0
1092,3.2236075,-7.693592,1,0,0,0,0,0,0
19,-3.4890053,4.965625,0,0,0,0,0,0,0
2198,11.434918,-1.3358244,1,0,1,0,0,1,0
1428,-0.3110281,6.384527,0,0,1,0,1,1,1
1386,13.793462,9.627308,0,0,1,1,1,0,1
1858,-4.6904554,2.4154615,0,0,0,0,0,0,0
1967,11.394146,8.52892,0,0,1,0,1,1,1
1147,-1.848275,12.552265,0,0,1,1,1,1,1
267,11.964537,9.498872,0,0,1,1,1,1,1
2243,11.848474,-1.2703264,1,0,1,0,0,1,0
936,3.454163,-6.2802844,0,0,0,0,0,0,0
1528,13.015189,6.5673532,1,0,1,0,0,1,1
1454,-4.7008424,2.4260428,1,0,0,0,0,0,0
1196,-3.0001812,4.410821,0,0,0,0,0,0,1
419,13.958522,9.485069,0,0,1,1,1,0,1
1826,-1.9030082,14.034724,0,0,1,1,1,1,1
3202,2.837857,-1.2516736,0,0,0,0,0,0,0
2417,11.44804,0.13541728,0,0,0,0,0,1,0
1260,-3.44813,13.2274,1,0,1,1,1,1,1
2741,10.969988,8.838531,0,0,1,0,0,1,1
1831,-4.670562,2.3948977,0,0,0,0,0,0,0
443,13.6760645,8.2936,0,0,1,0,0,0,1
3072,-7.640229,5.6552587,1,0,0,0,0,0,0
1642,-1.7791407,12.595922,1,0,1,1,1,1,1
2742,11.99817,7.614692,0,0,1,0,1,1,0
3189,3.6287992,-6.451898,1,0,0,0,0,0,0
928,-0.23567662,6.2673173,0,0,1,0,1,1,1
698,12.063498,10.133919,0,0,1,1,1,1,1
137,3.2329907,8.550118,0,0,1,1,1,1,1
610,-3.6785302,4.765702,0,0,0,0,0,0,0
2357,11.487903,0.06631375,0,0,0,0,0,1,0
567,2.758348,-5.899014,0,0,0,0,0,0,0
1575,2.842203,-1.2268828,0,0,0,0,0,0,0
307,0.2999108,-4.012122,0,0,0,0,1,0,0
185,2.6079001,-5.9677286,0,0,0,0,0,0,0
1872,13.202366,6.4384346,0,0,1,0,1,1,1
3243,-4.6934385,2.4189382,0,0,0,0,0,0,0
2048,12.194308,6.82859,0,0,1,0,1,1,1
3188,-6.8665934,4.65685,0,0,0,0,0,0,0
465,13.577605,8.236622,0,0,1,0,0,0,1
729,3.437752,-6.3539987,1,0,0,0,0,0,0
695,11.978772,9.44751,0,0,1,1,1,1,1
2782,10.989756,8.826987,0,0,1,0,0,1,1
449,13.700321,9.160785,0,0,1,0,1,1,1
2828,12.284365,6.943098,1,0,1,0,0,1,0
3155,1.6936878,-2.2057216,1,0,0,0,0,0,0
1198,-0.3393153,6.4092903,0,0,1,0,1,1,1
1356,12.828888,7.1782355,0,0,1,0,0,0,0
2698,-7.7620816,5.739504,0,0,0,0,0,0,0
811,13.760336,9.216296,0,0,1,0,1,1,1
868,-2.9195175,4.4056478,0,0,0,0,0,0,1
2237,-1.8922359,12.54836,0,0,1,1,1,1,1
418,13.643307,9.376341,0,0,1,1,1,1,1
3173,3.0017076,-5.2838817,0,0,0,0,0,0,0
1714,2.7817435,-2.0920157,0,0,0,0,0,0,0
1712,13.270945,6.932311,1,0,1,0,0,1,0
1118,13.803161,9.920806,0,0,1,1,1,0,0
399,-2.9345708,4.348354,0,0,0,0,0,0,1
3168,3.7621455,-6.47339,1,0,0,0,0,0,0
329,11.865424,9.413944,1,0,1,1,1,1,1
1781,2.5038097,-5.679752,0,0,0,0,0,0,0
1481,3.3735378,-7.5976653,1,0,0,0,0,0,0
439,13.834556,8.511896,0,0,1,0,0,0,1
1527,4.13528,-5.0274935,1,0,0,0,0,0,0
2995,12.374724,7.572204,1,0,1,0,0,0,0
411,13.920457,9.325104,0,0,1,1,1,0,1
747,-3.9179895,5.515838,0,0,0,0,0,0,0
3140,-1.8078915,14.131323,0,0,1,1,1,1,1
2878,-1.0071243,12.9043045,0,0,1,1,1,1,1
1079,-4.9126964,4.610161,0,0,0,0,0,0,0
926,3.4285192,-6.575551,1,0,0,0,0,0,0
1817,3.6643727,-7.556739,0,0,0,0,0,0,0
2401,11.496959,0.107464425,1,0,0,0,0,1,0
3008,11.621918,8.210256,1,0,1,0,1,1,1
1351,13.833794,8.458748,0,0,1,0,0,0,1
3264,-1.5547761,14.118889,0,0,1,1,1,1,1
3283,13.09502,6.58211,0,0,1,0,1,1,1
724,0.08180506,5.9843273,0,0,1,0,1,1,1
1524,2.5958123,-5.5372605,0,0,0,0,0,0,0
2071,2.9071047,-1.343183,1,0,0,0,0,0,0
451,13.74716,7.738427,0,0,1,0,0,0,0
2767,12.0191555,9.60481,0,0,1,1,1,1,1
680,0.50553083,-3.3626165,0,0,0,0,1,0,0
865,3.7021322,-7.6160655,0,0,0,0,0,0,0
2406,11.445499,-1.3486646,0,0,1,0,0,1,0
1535,4.0608587,8.185375,1,0,1,1,1,1,1
1482,3.2550366,8.577547,0,0,1,1,1,1,1
72,0.094323896,-3.3820622,0,0,0,0,1,0,0
444,-5.3787127,4.741944,0,0,0,0,0,0,0
3079,-6.937752,4.68748,1,0,0,0,0,0,0
1868,-4.766401,2.5121298,0,0,0,0,0,0,0
211,0.07708861,5.987949,0,0,1,0,1,1,1
424,13.889434,9.556196,0,0,1,1,1,0,1
29,12.360271,-0.6910456,0,0,1,0,0,1,0
540,-3.6585548,12.868289,0,0,1,1,0,1,1
1885,2.6784265,-5.474228,0,0,0,0,0,0,0
1951,3.6054366,-6.4465003,0,0,0,0,0,0,0
603,-2.9650207,4.9843845,0,0,0,0,0,0,1
1703,11.041967,8.910434,0,0,1,1,0,1,1
684,3.3377533,-7.6602373,1,0,0,0,0,0,0
771,-1.7079698,14.436938,1,0,1,1,1,1,1
515,13.588213,7.687831,0,0,1,0,0,0,0
2538,12.0757,-1.0222597,0,0,1,0,0,1,0
2488,11.77483,-0.6211521,1,0,1,0,0,1,0
569,0.032589555,-2.9005618,0,0,0,0,0,0,0
1243,-6.697719,5.0222416,0,0,0,0,0,0,0
1186,13.152321,6.4973207,1,0,1,0,1,1,1
780,-3.7150679,5.0302877,0,0,0,0,0,0,0
462,12.671162,6.9861946,0,0,1,0,0,0,0
1324,-3.6961422,5.1118283,0,0,0,0,0,0,0
2476,11.455862,-1.2930983,1,0,1,0,0,1,0
712,-0.031938445,-2.9228024,0,0,0,0,0,0,0
2700,12.184638,6.7824802,0,0,1,0,1,1,1
779,1.5554727,-2.3736162,0,0,0,0,0,0,0
2076,11.737383,-0.39351153,1,0,0,0,0,1,0
693,4.0240088,8.760471,1,0,1,1,1,1,1
337,13.800434,8.455695,0,0,1,0,0,0,1
1744,-3.6245985,12.906011,1,0,1,1,0,1,1
2500,12.368108,-0.17371577,0,0,0,0,0,1,0
2819,11.72335,9.343006,1,0,1,1,1,1,1
144,0.12356682,-3.8637664,0,0,0,0,1,0,0
1653,-3.5598686,12.900349,1,0,1,1,0,1,1
898,4.294271,-5.1726365,0,0,0,0,0,0,0
2376,12.473704,-1.1500096,0,0,1,0,0,0,0
1600,-0.9767088,12.896209,1,0,1,1,1,1,1
1429,13.803897,9.633669,0,0,1,1,1,0,1
2941,10.966941,8.801977,0,0,1,0,0,1,1
2033,11.896144,10.186015,0,0,1,1,1,1,1
1150,1.6299353,-2.3473845,1,0,0,0,0,0,0
1282,2.9498858,-1.270844,0,0,0,0,0,0,0
1788,-7.623827,5.660131,0,0,0,0,0,0,0
1206,4.44451,-4.99721,1,0,0,0,0,0,0
1172,3.288967,-7.5978794,1,0,0,0,0,0,0
222,-6.5856586,4.9142604,0,0,0,0,0,0,0
258,12.085106,-0.13509303,0,0,0,0,0,1,0
393,12.011693,9.575755,1,0,1,1,1,1,1
2119,12.45273,-0.22442418,0,0,0,0,0,1,0
53,11.808776,-0.0044734664,1,0,0,0,0,1,0
960,2.2731333,-6.705662,0,0,0,0,0,0,0
691,0.13591638,5.9316363,0,0,1,0,1,1,1
2283,12.322309,-0.17656991,1,0,0,0,0,1,0
2183,1.8973113,-6.515621,0,0,0,0,0,0,0
2467,12.524976,-1.169314,0,0,1,0,0,0,0
877,2.587841,-5.92675,1,0,0,0,0,0,0
2104,12.112329,-0.94575906,0,0,1,0,0,1,0
947,-0.82853675,12.721017,0,0,1,1,1,1,1
1944,2.8137174,-1.2086608,1,0,0,0,0,0,0
318,13.818886,9.852079,0,0,1,1,1,0,0
1067,-3.0382524,4.399285,0,0,0,0,0,0,1
1950,11.041975,9.569989,0,0,1,1,0,1,1
2899,1.8705271,-6.594466,1,0,0,0,0,0,0
377,11.920924,10.303123,1,0,1,1,1,1,1
1675,-4.848824,2.5940166,0,0,0,0,0,0,0
863,-2.9351919,4.332364,0,0,0,0,0,0,1
1591,4.766027,-4.8335605,0,0,0,0,0,0,0
1471,2.5819983,-5.6581306,0,0,0,0,0,0,0
1155,11.791774,-0.041796308,0,0,0,0,0,1,0
89,12.266026,0.0012942794,1,0,0,0,0,1,0
2501,12.565347,-1.0328997,0,0,1,0,0,0,0
1466,-4.5707626,2.2952273,0,0,0,0,0,0,0
997,-4.9134,4.3722954,0,0,0,0,0,0,0
3087,-0.9453036,13.006232,0,0,1,1,1,1,1
1387,0.30504745,-3.1162565,0,0,0,0,0,0,0
820,11.375826,9.07686,1,0,1,1,1,1,1
1115,-6.645854,4.9637613,1,0,0,0,0,0,0
879,0.58633256,-2.786239,0,0,0,0,0,0,0
298,13.847671,9.830846,0,0,1,1,1,0,0
364,13.405588,9.407504,0,0,1,1,1,1,1
1998,11.826921,9.371709,0,0,1,1,1,1,1
488,13.603824,7.724532,0,0,1,0,0,0,0
2834,12.514905,7.049204,0,0,1,0,0,0,0
1691,-7.8222833,5.8362083,1,0,0,0,0,0,0
1458,0.70440906,-2.8871338,0,0,0,0,0,0,0
3174,11.9299755,-1.2012457,0,0,1,0,0,1,0
1141,2.6515434,-5.9565935,0,0,0,0,0,0,0
2714,10.748154,8.634166,0,0,1,0,1,1,1
1945,3.6533418,-7.569024,0,0,0,0,0,0,0
1971,11.424855,9.064478,0,0,1,1,1,1,1
920,3.0227973,-1.6777413,1,0,0,0,1,1,1
1176,3.0317936,-1.6476643,0,0,0,0,1,1,1
2289,11.996631,-1.003642,1,0,1,0,0,1,0
1852,-0.8519654,13.0392885,1,0,1,1,1,1,1
1566,1.9888941,-6.507648,1,0,0,0,0,0,0
1891,1.9122885,-6.4405127,1,0,0,0,0,0,0
1315,3.3175232,-7.6405487,1,0,0,0,0,0,0
494,11.957019,10.328787,1,0,1,1,1,1,1
3101,-1.0193193,12.989917,1,0,1,1,1,1,1
59,12.16251,-0.7661002,0,0,1,0,0,1,0
1903,-1.631088,14.101891,0,0,1,1,1,1,1
1531,1.8389969,-2.45316,0,0,0,0,0,0,0
854,0.19441304,-3.9539058,0,0,0,0,1,0,0
1820,1.9043232,-2.5399742,0,0,0,0,0,0,0
1650,2.701806,-5.468996,0,0,0,0,0,0,0
1874,4.7335877,-4.8611016,0,0,0,0,0,0,0
311,12.010477,9.568413,1,0,1,1,1,1,1
2730,-4.812613,2.5516417,1,0,0,0,0,0,0
889,-6.5329823,4.8736067,0,0,0,0,0,0,0
776,-3.934,5.5747337,0,0,0,0,0,0,0
1956,11.9459505,7.5849633,0,0,1,0,1,1,0
1530,-4.8029046,2.5477455,0,0,0,0,0,0,0
1177,13.1596,9.219855,0,0,1,1,1,1,1
1769,10.879924,9.775468,1,0,1,1,1,1,0
1263,-5.4267364,4.5722094,0,0,0,0,0,0,0
772,4.3256583,-5.0882683,1,0,0,0,0,0,0
1438,0.023619423,-2.907709,0,0,0,0,0,0,0
430,11.776191,8.45358,0,0,1,0,1,1,1
1313,-3.6958244,5.2316213,0,0,0,0,0,0,0
2732,11.684993,8.32543,0,0,1,0,1,1,1
281,11.197653,9.34253,0,0,1,1,1,1,1
2072,-3.4807072,13.222898,1,0,1,1,1,1,1
2382,12.129586,-0.23660097,0,0,0,0,0,1,0
2014,11.648009,8.384143,0,0,1,0,1,1,1
468,13.834387,8.075793,0,0,1,0,0,0,1
3162,12.489524,-1.0767593,1,0,1,0,0,0,0
1171,0.1085482,5.9588246,0,0,1,0,1,1,1
2060,10.969164,9.605943,0,0,1,1,0,1,1
586,-1.711136,14.491934,1,0,1,1,1,1,1
647,-6.4546466,4.701581,1,0,0,0,0,0,0
1876,4.0347133,8.2003565,1,0,1,1,1,1,1
1134,-6.6247206,4.9641414,0,0,0,0,0,0,0
2027,12.594883,6.7109675,1,0,1,0,0,1,1
826,0.10093528,-3.6083522,0,0,0,0,1,0,0
1622,3.676333,-6.4218297,0,0,0,0,0,0,0
113,12.470782,-1.0264883,1,0,1,0,0,0,0
708,3.2654812,8.597195,0,0,1,1,1,1,1
949,13.73777,9.287082,0,0,1,1,1,1,1
3217,-3.5753384,12.893832,0,0,1,1,0,1,1
522,13.381379,7.4930143,0,0,1,0,1,0,0
842,-4.933221,4.601163,0,0,0,0,0,0,0
2139,11.534442,-0.9465461,0,0,1,0,0,1,0
1132,2.577062,-6.8294244,0,0,0,0,0,0,0
95,-3.4621053,13.289585,1,0,1,1,1,1,1
1343,12.954153,6.6676326,0,0,1,0,0,1,1
2800,3.6621435,-7.5584273,1,0,0,0,0,0,0
2168,11.947764,9.981234,0,0,1,1,1,1,1
1322,-2.1223829,13.838654,0,0,1,1,1,1,1
473,13.57011,8.022757,0,0,1,0,0,0,1
1447,-4.8731666,2.6421676,0,0,0,0,0,0,0
1604,3.4544141,8.458893,1,0,1,1,1,1,1
1336,-0.011824872,-2.9207897,0,0,0,0,0,0,0
642,-6.7285104,4.9865303,0,0,0,0,0,0,0
2712,11.62297,8.354907,0,0,1,0,1,1,1
1726,-6.9536843,4.6819057,1,0,0,0,0,0,0
1451,12.218745,-0.019908067,0,0,0,0,0,1,0
340,10.900009,8.760413,0,0,1,0,0,1,1
220,0.49200353,-2.8558621,0,0,0,0,0,0,0
1232,1.4147019,-2.443095,0,0,0,0,0,0,0
164,11.830149,-0.034063432,0,0,0,0,0,1,0
499,13.799111,9.943259,0,0,1,1,1,0,0
1256,3.2432806,-7.5902467,0,0,0,0,0,0,0
2059,12.7143955,6.6153417,0,0,1,0,0,1,1
1742,-6.515035,4.571152,0,0,0,0,0,0,0
1111,13.403822,7.398737,0,0,1,0,1,0,0
1073,-0.8777393,12.772486,0,0,1,1,1,1,1
1511,4.467486,-4.9988327,1,0,0,0,0,0,0
1463,-3.9252217,5.5276875,0,0,0,0,0,0,0
2598,3.5923536,-7.55503,1,0,0,0,0,0,0
16,12.504625,7.6129727,1,0,1,0,0,0,0
1870,-7.702446,5.7188525,0,0,0,0,0,0,0
593,13.120028,6.494633,1,0,1,0,1,1,1
489,13.756862,8.384763,0,0,1,0,0,1,1
1690,-1.9508778,12.5646715,1,0,1,1,1,1,1
1345,12.026652,10.129187,0,0,1,1,1,1,1
808,3.5221786,-6.51679,1,0,0,0,0,0,0
2044,12.47705,6.962697,0,0,1,0,0,0,0
1105,-0.18543169,6.2227654,0,0,1,0,1,1,1
2257,11.515188,0.12276247,0,0,0,0,0,1,0
1300,-3.5652103,4.6194754,0,0,0,0,0,0,0
1411,3.3348517,8.652892,1,0,1,1,1,1,1
1510,1.7482538,-2.3297381,0,0,0,0,0,0,0
1651,-6.8932366,4.751439,0,0,0,0,0,0,0
506,13.7940645,8.054,0,0,1,0,0,0,1
2131,12.449083,-1.1505319,0,0,1,0,0,0,0
545,13.238525,9.58174,0,0,1,1,1,1,1
1655,2.4556847,-5.769312,1,0,0,0,0,0,0
555,0.5267004,-3.2519739,0,0,0,0,1,0,0
160,2.6520894,-5.7994323,0,0,0,0,0,0,0
1595,-1.367149,12.8985195,0,0,1,1,1,1,1
634,-0.43246347,6.453217,0,0,1,0,1,1,1
2220,-1.90273,12.547579,0,0,1,1,1,1,1
2927,10.716803,8.668437,1,0,1,0,1,1,1
1970,12.874291,6.5189376,1,0,1,0,0,1,1
613,-1.7557504,14.340571,0,0,1,1,1,1,1
293,10.828429,9.822983,1,0,1,1,1,1,0
1476,13.547884,7.7670054,0,0,1,0,0,0,0
1275,-5.2838264,4.9179187,0,0,0,0,0,0,0
1364,3.262346,8.586193,0,0,1,1,1,1,1
883,-1.6704477,14.437355,1,0,1,1,1,1,1
263,13.333212,9.142348,0,0,1,0,1,1,1
1677,-1.4324445,12.905415,0,0,1,1,1,1,1
1570,1.7212536,-2.3105733,0,0,0,0,0,0,0
835,0.13844074,-3.8716156,0,0,0,0,1,0,0
1453,12.211027,10.013301,0,0,1,1,1,1,1
1334,0.06428439,5.999517,0,0,1,0,1,1,1
1955,12.259143,7.1512704,0,0,1,0,0,0,0
3088,4.5097303,-4.9784575,0,0,0,0,0,0,0
1214,-1.1108363,12.6957445,1,0,1,1,1,1,1
1649,2.8411381,-1.262544,0,0,0,0,0,0,0
2479,-1.540009,12.7757635,0,0,1,1,1,1,1
1940,2.5014138,-5.7431893,0,0,0,0,0,0,0
361,2.3266156,-6.70279,1,0,0,0,0,0,0
1299,3.1910613,8.463064,1,0,1,1,1,1,1
423,11.946255,-0.42650816,0,0,0,0,0,1,0
1912,2.8261874,-1.9220955,0,0,0,0,1,1,1
2332,-2.061661,13.741781,0,0,1,1,1,1,1
1146,-7.2536654,5.4327655,1,0,0,0,0,0,0
396,13.211107,9.653835,0,0,1,1,1,1,1
1096,-1.6857252,14.4018955,1,0,1,1,1,1,1
1077,13.797378,9.666701,0,0,1,1,1,0,0
1544,11.645982,9.268055,0,0,1,1,1,1,1
874,12.286048,-0.76655215,0,0,1,0,0,1,0
1803,10.854187,8.714364,1,0,1,0,1,1,1
2281,11.556868,-0.88766,0,0,1,0,0,1,0
1355,0.051521257,-2.9122689,0,0,0,0,0,0,0
1271,11.700694,0.0635654,0,0,0,0,0,1,0
1902,10.675621,8.676974,0,0,1,0,1,1,1
663,-0.262706,6.311332,0,0,1,0,1,1,1
1056,2.9563012,-1.2362494,1,0,0,0,0,0,0
2068,-0.37684727,6.4322615,0,0,1,0,1,1,1
2170,3.6875951,-7.598972,1,0,0,0,0,0,0
3158,11.723322,8.400339,0,0,1,0,1,1,1
2753,11.952207,9.630021,0,0,1,1,1,1,1
3285,-1.4021393,12.899418,1,0,1,1,1,1,1
2444,10.887405,9.7640085,0,0,1,1,1,1,0
252,10.7779,8.804719,0,0,1,0,1,1,1
1592,-1.6171067,14.044941,0,0,1,1,1,1,1
1793,1.8870916,-2.5294712,0,0,0,0,0,0,0
878,0.13224658,-3.9238763,0,0,0,0,1,0,0
661,3.993206,8.748698,1,0,1,1,1,1,1
2590,-1.2692401,12.739291,1,0,1,1,1,1,1
984,-4.8831496,2.6468108,0,0,0,0,0,0,0
595,-3.0853817,4.48779,1,0,0,0,0,0,1
1979,1.9906015,-6.5694537,1,0,0,0,0,0,0
2695,11.692566,8.330682,0,0,1,0,1,1,1
968,2.983135,-1.6818038,1,0,0,0,1,1,1
2167,12.391716,-0.2194626,0,0,0,0,0,1,0
3166,-1.1575099,12.824487,1,0,1,1,1,1,1
1039,0.26124656,-2.7847571,0,0,0,0,0,0,0
1242,-3.9641023,5.573972,0,0,0,0,0,0,0
1901,3.7243993,-7.4918895,0,0,0,0,0,0,0
964,13.702612,7.6491203,0,0,1,0,0,0,0
2326,12.6038,-1.0611552,1,0,1,0,0,0,0
2345,12.426066,7.592871,0,0,1,0,0,0,0
2503,11.949255,-1.212092,1,0,1,0,0,1,1
2041,10.860499,9.789671,0,0,1,1,1,1,0
2961,10.950506,8.860437,0,0,1,0,0,1,1
1194,-3.6716416,4.9680295,0,0,0,0,0,0,0
1667,-3.5971851,12.9316,1,0,1,1,0,1,1
682,2.9043055,-1.2485193,0,0,0,0,0,0,0
1069,-3.082186,4.482707,0,0,0,0,0,0,1
1314,-3.4755738,13.175739,1,0,1,1,1,1,1
192,11.927456,-0.57774615,0,0,1,0,0,1,0
1062,-3.9416275,5.5402546,0,0,0,0,0,0,0
1239,-2.9500294,4.3844275,0,0,0,0,0,0,1
270,13.801336,9.698329,0,0,1,1,0,0,0
266,12.758364,6.6556697,0,0,1,0,0,1,1
1182,2.28545,-6.6603804,1,0,0,0,0,0,0
518,13.740815,9.926988,0,0,1,1,1,1,1
658,-7.2119884,5.371821,1,0,0,0,0,0,0
2910,12.7567215,6.5485945,0,0,1,0,0,1,1
1963,12.229747,6.7873554,0,0,1,0,0,1,1
2239,12.306858,-0.1232585,0,0,0,0,0,1,0
803,-2.8869116,4.668751,0,0,0,0,0,0,1
1658,3.014265,-5.976279,1,0,0,0,0,0,0
1005,-3.4283428,13.269626,1,0,1,1,1,1,1
106,10.686732,8.635883,1,0,1,0,1,1,1
2138,11.946911,-0.45130378,0,0,0,0,0,1,0
1089,-5.401994,4.78424,0,0,0,0,0,0,0
246,4.353662,-5.078105,0,0,0,0,0,0,0
1663,-0.94898516,12.989784,0,0,1,1,1,1,1
2286,12.289825,-0.18470891,0,0,0,0,0,1,0
2520,11.928007,-1.2107193,1,0,1,0,0,1,1
982,0.71750224,-2.868247,1,0,0,0,0,0,0
1406,-4.8977194,4.491322,0,0,0,0,0,0,0
706,0.21670675,-2.8179286,0,0,0,0,0,0,0
2896,11.339045,9.046441,0,0,1,1,1,1,1
2404,12.652226,-1.0467173,1,0,1,0,0,0,0
1659,3.6172142,8.359651,1,0,1,1,1,1,1
2940,11.91586,10.333615,1,0,1,1,1,1,1
1910,-1.8847013,14.033558,0,0,1,1,1,1,1
1850,11.50454,9.014077,0,0,1,1,1,1,1
1037,-3.9267418,5.520594,0,0,0,0,0,0,0
1927,1.9342766,-2.4962485,1,0,0,0,0,0,0
1178,-4.9491982,4.386995,0,0,0,0,0,0,0
3086,-1.2506438,13.502091,1,0,1,1,0,1,1
789,0.088118896,-3.0903249,0,0,0,0,0,0,0
2703,12.378425,0.06302221,1,0,0,0,0,1,0
350,13.926882,9.278793,0,0,1,1,1,0,1
349,13.2982025,9.623115,0,0,1,1,1,1,1
3291,-1.8721066,14.019852,1,0,1,1,1,1,1
291,13.856072,7.9350243,0,0,1,0,0,0,0
1390,-4.9435325,4.3647437,0,0,0,0,0,0,0
814,0.3263788,-3.0959587,0,0,0,0,0,0,0
3309,3.3404346,8.480427,1,0,1,1,1,1,1
402,13.921675,9.362973,0,0,1,1,1,0,1
284,13.768749,9.833105,0,0,1,1,1,1,0
454,11.180125,9.473773,0,0,1,1,1,1,1
1838,-6.96063,4.733652,0,0,0,0,0,0,0
1269,13.680538,9.208299,0,0,1,0,1,1,1
915,-6.565539,4.7816386,0,0,0,0,0,0,0
821,13.770426,8.396217,0,0,1,0,0,0,1
746,0.11413937,5.9552164,0,0,1,0,1,1,1
538,13.145944,9.661176,0,0,1,1,1,1,1
1596,3.6216846,-7.5809264,0,0,0,0,0,0,0
3128,-1.8340935,14.015744,0,0,1,1,1,1,1
1709,3.505711,8.4238825,1,0,1,1,1,1,1
1165,-6.789314,4.8764505,1,0,0,0,0,0,0
2096,-7.3595157,5.493766,0,0,0,0,0,0,0
948,1.5626353,-2.3962412,0,0,0,0,0,0,0
1641,3.6678305,-6.4444957,0,0,0,0,0,0,0
304,13.838681,9.760791,0,0,1,1,1,0,0
269,13.618606,8.250281,0,0,1,0,0,0,1
2769,10.944232,8.870059,1,0,1,0,0,1,1
1450,-0.8067895,12.755136,0,0,1,1,1,1,1
1895,3.6528668,-6.4603133,1,0,0,0,0,0,0
514,13.576318,7.991104,0,0,1,0,0,0,1
935,2.9688299,-1.247603,1,0,0,0,0,0,0
2887,11.345739,8.879519,1,0,1,0,1,1,1
1352,-7.240836,5.4035134,1,0,0,0,0,0,0
1154,-1.4034882,12.70436,1,0,1,1,1,1,1
1565,-3.6318636,12.978928,0,0,1,1,0,1,1
2288,12.595763,-1.0711293,0,0,1,0,0,0,0
3248,3.5177937,8.435749,1,0,1,1,1,1,1
2017,-7.7281375,5.7584515,0,0,0,0,0,0,0
853,-3.5175884,4.6176124,1,0,0,0,0,0,0
975,-0.36894137,6.4005613,0,0,1,0,1,1,1
2255,12.333571,6.986718,0,0,1,0,0,1,0
1715,-3.5666943,12.946394,1,0,1,1,0,1,1
111,-4.920916,4.455798,0,0,0,0,0,0,0
217,-3.5474494,13.165505,0,0,1,1,0,1,1
3305,-1.3093873,12.703876,0,0,1,1,1,1,1
3228,-1.5884397,14.007357,1,0,1,1,1,1,1
611,3.7123997,-7.62628,1,0,0,0,0,0,0
1615,1.8654835,-2.4244258,0,0,0,0,0,0,0
1633,-7.7125936,5.748717,1,0,0,0,0,0,0
1753,4.0434394,8.1930685,1,0,1,1,1,1,1
2132,12.11446,-1.0465956,1,0,1,0,0,1,0
3093,4.7622113,-4.847573,0,0,0,0,0,0,0
70,3.2271388,-7.6697483,1,0,0,0,0,0,0
2475,11.423042,-1.2591368,0,0,1,0,0,1,1
2929,11.667924,8.23754,0,0,1,0,1,1,1
1112,0.53998744,-3.2977095,0,0,0,0,1,0,0
