,UMAP_1,UMAP_2,W3IWER4_A
153,15.576401,-1.4421924,1
1625,11.070581,10.809033,1
234,14.530432,0.8631936,1
1875,5.1112466,12.780489,1
1675,2.363145,4.848094,1
675,10.675185,11.211034,1
1773,1.9131199,13.6219635,1
1329,15.004827,-0.6759445,1
93,2.838903,20.434097,1
2094,12.209814,8.673986,1
1653,3.909565,17.713219,1
2140,1.7590787,15.676947,1
1435,9.013781,18.386984,1
2074,6.3894234,24.1128,1
3,1.9573082,4.2547626,1
368,7.1294885,13.532224,1
2085,2.3407917,13.534097,1
672,7.230101,9.966902,1
1261,4.9777865,21.76732,1
481,9.379756,11.946242,1
1776,3.1196666,13.474727,1
1763,6.907745,9.994082,1
2107,8.983569,18.35652,1
1805,2.8575227,13.347187,1
2039,2.1142092,14.238658,1
1714,12.608603,13.544447,1
1807,4.699366,7.948795,1
1853,5.439349,12.966813,1
591,14.122506,1.1293465,1
1615,5.382464,-6.542661,1
1003,6.3876605,22.704664,1
484,16.878399,-1.0133638,1
841,12.210262,8.683447,1
847,-0.93622035,8.449157,1
1454,13.713443,14.64074,1
1735,1.4564407,16.675322,1
1652,13.880836,13.150815,1
1715,14.072293,13.233208,1
1682,5.4935684,12.943837,1
1557,13.7408905,1.9474127,1
1667,1.4477639,16.91613,1
1645,10.576258,6.2168775,1
2134,5.9048333,16.656713,1
546,2.0435014,4.36095,1
2179,6.4125237,24.188524,1
2042,12.175644,8.659387,1
159,10.627647,7.738781,1
498,14.014509,13.270433,1
1250,9.378586,-2.0125377,1
1140,9.043288,-1.4425367,1
2102,3.1699333,13.6614275,1
459,9.943789,5.3804593,1
557,9.027597,-1.3908459,1
1644,5.2564006,13.052449,1
163,3.03484,20.427086,1
1808,1.8513912,13.753311,1
1141,4.665469,8.004293,1
2111,10.385069,5.8961344,1
1844,6.478395,11.74648,1
1374,1.9674981,17.615673,1
2115,20.923367,9.922765,1
415,8.85665,18.231915,1
1231,19.755987,8.021319,1
524,13.966195,13.2703705,1
1680,2.388208,4.895571,1
1828,12.6272,12.494395,1
2103,14.108064,1.5594337,1
1890,6.813965,7.134844,1
1646,5.7681065,12.730001,1
2130,12.459386,14.535572,1
18,9.836844,5.2699957,1
1624,2.8034146,13.331219,1
1621,14.149716,1.3557235,1
1034,13.723623,9.669828,1
2112,3.8423724,9.460178,1
590,5.1451526,17.551474,1
1842,2.178295,14.292625,1
1996,3.872047,9.545792,1
2002,12.597781,14.645085,1
610,19.95466,9.843022,1
2105,7.77219,13.266285,1
575,19.680954,7.965259,1
1826,7.9209967,12.355819,1
1942,4.7564974,21.985779,1
2084,16.54691,-1.2121713,1
1631,17.55993,-0.5893255,1
139,4.7524977,21.976212,1
2123,1.74126,15.966199,1
2175,0.7065545,5.682997,1
1465,1.4272978,16.879082,1
458,1.936825,17.620491,1
1673,6.728264,13.4505625,1
1617,14.811065,13.064589,1
199,1.0055528,3.564617,1
81,19.71542,8.005896,1
1686,1.4469001,5.3095775,1
42,4.6566167,7.960734,1
318,2.1442194,14.417201,1
1726,8.14361,12.019757,1
1173,8.023039,9.026936,1
1116,13.881944,2.9644537,1
2109,0.8906592,-3.406191,1
1839,2.8324263,13.371539,1
468,9.215575,-1.7168108,1
781,12.372799,14.594162,1
1793,5.7214565,12.974953,1
1778,1.5588017,16.96208,1
2166,8.170428,11.766535,1
507,6.6174884,4.89676,1
543,-0.94467926,8.441726,1
1679,5.2804375,12.93949,1
2086,6.159801,12.163173,1
496,9.994371,-1.2380909,1
483,7.4003744,10.105396,1
2003,6.312439,6.845743,1
2055,6.386374,24.10397,1
525,6.508337,11.691118,1
516,10.650111,7.7218876,1
1651,1.961556,13.863151,1
850,2.9613907,18.193354,1
1247,2.9586027,5.030561,1
299,8.895611,11.313177,1
2013,0.99383134,5.4642043,1
431,8.199788,11.432183,1
1383,7.933942,11.298826,1
2124,13.712609,13.517678,1
1511,9.013697,18.386393,1
2066,9.886484,5.279265,1
143,4.7449937,8.026706,1
1422,8.900921,11.309691,1
604,5.2139983,17.526178,1
1907,1.9364502,15.003301,1
1334,6.3679767,11.95302,1
1421,1.7330925,15.691926,1
644,6.3990784,22.702421,1
1254,12.228252,8.704293,1
661,13.4079685,6.403384,1
1663,7.744247,11.850106,1
717,11.038711,10.849563,1
2174,12.533626,13.766372,1
885,15.1771965,-0.84495413,1
1640,4.918301,15.218904,1
258,1.2153175,3.746324,1
1290,14.954952,-0.6313581,1
1685,5.14384,12.917038,1
76,3.8108473,9.548763,1
1712,-3.4752195,14.765836,1
1997,6.779712,7.3362665,1
1239,3.2960958,5.222649,1
150,7.38895,10.735317,1
1047,5.943865,7.149736,1
2043,6.157751,22.576101,1
683,5.2141867,17.522625,1
1368,10.454756,8.059635,1
1661,3.8490748,9.562146,1
2080,12.6642,12.480308,1
634,12.137832,12.535201,1
