,UMAP_1,UMAP_2,label,naive,MLP,logisticRegression,decisionTree,randomForest,xgb
1011,-4.8266773,-1.3800108,0,0,0,0,0,0,0
575,-3.081618,11.304633,1,0,1,1,0,1,0
2316,7.794112,7.31875,0,0,0,1,0,0,0
1092,12.171114,-3.5005665,1,0,0,0,0,0,0
19,-4.50126,-2.4022493,0,0,0,0,1,1,1
2198,7.797082,7.488354,1,0,0,1,0,0,0
1428,-5.452583,-2.1571357,0,0,0,0,0,0,0
1386,7.991064,11.873174,0,0,1,1,1,1,1
1858,-3.5391684,8.704851,0,0,1,1,1,1,1
1967,10.249079,15.388217,0,0,1,1,1,1,1
1147,-4.573669,11.220331,0,0,1,1,1,1,1
267,8.598291,15.658718,0,0,1,1,1,1,1
2243,7.923586,7.4066916,1,0,0,1,0,0,0
936,12.827559,-2.235492,0,0,0,0,0,0,0
1528,14.114163,6.7843146,1,0,1,1,0,1,1
1454,-2.5180616,9.760765,1,0,1,1,0,0,0
1196,-5.0483418,-2.9508522,0,0,0,0,0,0,0
419,7.8449407,12.446389,0,0,1,1,1,1,1
1826,-5.4853067,9.459485,0,0,1,1,0,0,0
3202,11.719638,-0.91566163,0,0,0,0,1,0,0
2417,12.072294,5.784286,0,0,0,1,0,0,0
1260,-4.588187,11.351521,1,0,1,1,1,1,0
2741,9.750492,15.868997,0,0,1,1,1,1,1
1831,-3.5597386,8.694575,0,0,1,1,1,1,1
443,14.983312,8.133983,0,0,1,1,0,1,1
3072,-2.9890754,8.625562,1,0,1,1,1,1,1
1642,-5.5625296,10.726187,1,0,1,1,1,1,1
2742,13.460641,7.013694,0,0,1,1,0,1,1
3189,10.890032,-1.8921524,1,0,0,0,1,0,0
928,-5.2468824,-2.035435,0,0,0,0,0,0,0
698,8.654343,15.698914,0,0,1,1,1,1,1
137,-3.6379867,10.888136,0,0,1,1,0,1,0
610,-5.244728,-3.0854936,0,0,0,0,0,0,0
2357,12.027739,5.6576695,0,0,0,1,0,0,0
567,12.924324,-2.3282468,0,0,0,0,0,0,0
1575,11.861215,-0.72384477,0,0,0,0,1,0,0
307,10.674132,-7.4741726,0,0,0,0,0,0,0
185,12.919971,-2.525193,0,0,0,0,0,0,0
1872,13.656448,6.9513283,0,0,1,1,0,1,1
3243,-3.6162333,8.982758,0,0,1,1,1,1,1
2048,13.808672,6.474975,0,0,1,1,0,1,1
3188,-3.5554876,9.0460415,0,0,1,1,1,1,1
465,14.968424,8.175507,0,0,1,1,0,1,1
729,12.677506,-2.1893644,1,0,0,0,0,0,0
695,8.574417,15.666364,0,0,1,1,1,1,1
2782,10.001276,15.538432,0,0,1,1,1,1,1
449,8.417334,12.335221,0,0,1,1,1,1,1
2828,13.52143,6.7866,1,0,1,1,0,1,1
3155,11.711224,-0.9566178,1,0,0,0,1,0,0
1198,-5.477354,-2.2977507,0,0,0,0,0,0,0
1356,13.606642,7.252786,0,0,1,1,0,1,1
2698,-2.8036475,8.88773,0,0,1,1,0,1,1
811,8.218916,12.1719055,0,0,1,1,1,1,1
868,-5.011249,-3.0960999,0,0,0,0,0,0,0
2237,-5.49713,11.291394,0,0,1,1,1,1,0
418,8.341255,12.135834,0,0,1,1,1,1,1
3173,10.431026,-1.8026295,0,0,0,0,1,0,0
1714,11.082667,-1.306179,0,0,0,0,1,0,0
1712,13.247197,6.364328,1,0,0,1,0,1,1
1118,7.6199374,11.983327,0,0,1,1,1,1,1
399,-5.0319934,-3.0596344,0,0,0,0,0,0,0
3168,10.81859,-1.9954301,1,0,0,0,1,0,0
329,8.6188345,15.52165,1,0,1,1,1,1,1
1781,10.635253,-2.0213752,0,0,0,0,1,0,0
1481,12.034601,-3.343496,1,0,0,0,0,0,0
439,14.828102,7.8148513,0,0,1,1,0,1,1
1527,11.086032,-1.6516726,1,0,0,0,1,0,0
2995,14.293726,7.010692,1,0,1,1,0,1,1
411,8.033962,12.159726,0,0,1,1,1,1,1
747,-4.398509,-1.5130432,0,0,0,0,1,0,0
3140,-5.335285,9.320858,0,0,1,1,0,1,0
2878,-5.758549,9.4913645,0,0,1,1,0,0,0
1079,-4.7442155,-1.3466821,0,0,0,0,1,0,0
926,12.827948,-2.3464873,1,0,0,0,0,0,0
1817,11.13669,-2.8560395,0,0,0,0,1,0,0
2401,12.085731,5.7896366,1,0,0,1,0,0,0
3008,10.121515,15.038281,1,0,1,1,1,1,1
1351,14.712275,8.013067,0,0,1,1,0,1,1
3264,-5.4551034,9.189034,0,0,1,1,1,1,0
3283,13.303377,6.416232,0,0,0,1,0,1,1
724,-4.385492,-1.4051889,0,0,0,0,1,0,0
1524,10.516681,-1.8090892,0,0,0,0,1,0,0
2071,12.019056,-0.72112066,1,0,0,0,1,0,0
451,14.4994755,8.282124,0,0,1,1,0,1,1
2767,8.7174015,15.737698,0,0,1,1,1,1,1
680,10.989296,-7.9356804,0,0,0,0,0,0,0
865,11.66052,-3.2857955,0,0,0,0,1,0,0
2406,7.747066,7.506599,0,0,0,1,0,0,0
1535,-4.6897645,10.604825,1,0,1,1,1,1,0
1482,-3.546962,10.966591,0,0,1,1,0,1,0
72,10.545246,-7.760641,0,0,0,0,0,0,0
444,-5.104099,-1.4637681,0,0,0,0,0,0,0
3079,-3.4074554,8.635821,1,0,1,1,1,1,1
1868,-3.943891,8.987346,0,0,1,1,1,1,1
211,-4.338502,-1.4462222,0,0,0,0,1,0,0
424,7.801472,12.283683,0,0,1,1,1,1,1
29,8.60318,7.4011383,0,0,0,1,0,0,0
540,-5.235769,11.339908,0,0,1,1,1,1,1
1885,10.394682,-1.6630068,0,0,0,0,1,0,0
1951,10.781325,-1.9944285,0,0,0,0,1,0,0
603,-4.283009,-2.0963898,0,0,0,0,1,0,0
1703,10.097263,15.481709,0,0,1,1,1,1,1
684,12.064665,-3.3229046,1,0,0,0,0,0,0
771,-3.173491,11.276012,1,0,1,1,0,1,0
515,14.548032,8.259244,0,0,1,1,0,1,1
2538,8.158601,7.434238,0,0,0,1,0,0,0
2488,11.861306,5.286758,1,0,0,1,0,0,0
569,10.86921,-8.498316,0,0,0,0,0,0,0
1243,-2.6491637,9.800095,0,0,1,1,0,1,0
1186,13.7496395,7.4216213,1,0,1,1,0,1,1
780,-4.6478853,-2.3827178,0,0,0,0,1,0,1
462,13.84678,7.4203176,0,0,1,1,0,1,1
1324,-4.5416846,-2.3259637,0,0,0,0,1,0,1
2476,7.835634,7.446053,1,0,0,1,0,0,0
712,10.898595,-8.473353,0,0,0,0,0,0,0
2700,13.861358,6.416503,0,0,1,1,0,1,1
779,12.42048,-0.95715994,0,0,0,0,1,0,0
2076,12.041505,5.5051827,1,0,0,1,0,0,0
693,-4.262919,10.794383,1,0,1,1,1,1,0
337,14.900208,7.911602,0,0,1,1,0,1,1
1744,-5.440439,11.215873,1,0,1,1,1,1,0
2500,12.016966,5.144178,0,0,0,1,0,0,0
2819,9.05745,15.02368,1,0,1,1,1,1,1
144,10.450911,-7.6014295,0,0,0,0,0,0,0
1653,-5.2590356,11.249417,1,0,1,1,1,1,1
898,12.378998,-2.0228038,0,0,0,0,0,0,0
2376,8.412987,7.0252104,0,0,0,1,0,0,0
1600,-5.771607,9.445174,1,0,1,1,0,0,0
1429,7.89312,11.858572,0,0,1,1,1,1,1
2941,9.703836,15.845378,0,0,1,1,1,1,1
2033,9.072121,15.296414,0,0,1,1,1,1,1
1150,12.300046,-0.8658981,1,0,0,0,1,0,0
1282,12.302133,-0.82278186,0,0,0,0,1,0,0
1788,-2.9405468,8.713078,0,0,1,1,1,1,1
1206,12.28848,-2.13135,1,0,0,0,0,0,0
1172,12.183338,-3.3865244,1,0,0,0,0,0,0
222,-2.590781,10.003131,0,0,1,1,0,1,0
258,11.588401,5.7054334,0,0,0,1,0,0,0
393,8.668844,15.622967,1,0,1,1,1,1,1
2119,12.13427,5.2869544,0,0,0,1,0,0,0
53,12.168464,5.7620344,1,0,0,1,0,0,0
960,12.274561,-3.4256284,0,0,0,0,0,0,0
691,-4.3850646,-1.337606,0,0,0,0,1,0,0
2283,12.159164,5.298886,1,0,0,1,0,0,0
2183,11.155845,-3.175545,0,0,0,0,1,0,0
2467,8.437275,6.9775543,0,0,0,1,0,0,0
877,12.921988,-2.518564,1,0,0,0,0,0,0
2104,8.355406,7.436477,0,0,0,1,0,0,0
947,-2.9705827,11.34758,0,0,1,1,0,1,0
1944,11.89477,-0.67369014,1,0,0,0,1,0,0
318,7.666482,11.853874,0,0,1,1,1,1,1
1067,-5.0541453,-3.267133,0,0,0,0,0,0,0
1950,9.792541,15.151681,0,0,1,1,1,1,1
2899,10.965494,-2.8960323,1,0,0,0,1,0,0
377,8.840627,15.837083,1,0,1,1,1,1,1
1675,-3.83486,9.073678,0,0,1,1,1,1,1
863,-4.9949684,-3.2545006,0,0,0,0,0,0,0
1591,11.618371,-1.8484892,0,0,0,0,1,0,0
1471,12.826625,-2.38792,0,0,0,0,0,0,0
1155,11.562372,5.818974,0,0,0,1,0,0,0
89,12.202682,5.1693144,1,0,0,1,0,0,0
2501,8.638125,6.9393997,0,0,0,1,0,0,0
1466,-2.6635447,9.296965,0,0,1,1,0,1,1
997,-5.0837464,-1.8879097,0,0,0,0,0,0,0
3087,-5.611835,9.130971,0,0,1,1,0,0,1
1387,11.203833,-8.235397,0,0,0,0,0,0,0
820,9.587454,15.090121,1,0,1,1,1,1,1
1115,-2.672842,9.926063,1,0,1,1,0,1,0
879,11.446728,-7.9216685,0,0,0,0,0,0,0
298,7.7817183,11.843448,0,0,1,1,1,1,1
364,8.28057,11.978431,0,0,1,1,1,1,1
1998,8.917068,15.2965975,0,0,1,1,1,1,1
488,14.64856,8.43614,0,0,1,1,0,1,1
2834,13.62049,6.652283,0,0,1,1,0,1,1
1691,-2.8759897,8.732442,1,0,1,1,1,1,1
1458,11.3533,-8.092923,0,0,0,0,0,0,0
3174,7.9229717,7.4342136,0,0,0,1,0,0,0
1141,12.818592,-2.419424,0,0,0,0,0,0,0
2714,10.126789,15.253963,0,0,1,1,1,1,1
1945,11.106548,-2.8117797,0,0,0,0,1,0,0
1971,10.103989,15.425558,0,0,1,1,1,1,1
920,12.230727,-1.0603267,1,0,0,0,0,0,0
1176,12.4085045,-1.2504622,0,0,0,0,0,0,0
2289,8.299578,7.3702803,1,0,0,1,0,0,0
1852,-5.7596545,9.4317045,1,0,1,1,0,0,0
1566,10.98466,-2.9423928,1,0,0,0,1,0,0
1891,11.148729,-3.188932,1,0,0,0,1,0,0
1315,12.191425,-3.247364,1,0,0,0,0,0,0
494,8.998117,15.911149,1,0,1,1,1,1,1
3101,-5.6787996,9.300618,1,0,1,1,0,1,1
59,8.554794,7.468493,0,0,0,1,0,0,0
1903,-5.5132103,9.385205,0,0,1,1,0,0,0
1531,11.342797,-1.364799,0,0,0,0,1,0,0
854,10.396613,-7.588967,0,0,0,0,0,0,0
1820,11.1943865,-1.3809615,0,0,0,0,1,0,0
1650,10.463545,-1.7157197,0,0,0,0,1,0,0
1874,11.531946,-1.8578571,0,0,0,0,1,0,0
311,8.825598,15.651085,1,0,1,1,1,1,1
2730,-3.7090404,9.069655,1,0,1,1,1,1,1
889,-2.6208863,10.020045,0,0,1,1,0,1,0
776,-4.322722,-1.6076509,0,0,0,0,1,0,0
1956,13.469763,6.984106,0,0,1,1,0,1,1
1530,-4.001267,9.16372,0,0,1,1,1,1,1
1177,8.07941,11.986094,0,0,1,1,1,1,1
1769,9.11054,16.029873,1,0,1,1,1,1,1
1263,-5.220419,-1.6479775,0,0,0,0,0,0,0
772,12.055218,-1.9493461,1,0,0,0,0,0,0
1438,10.938115,-8.440416,0,0,0,0,0,0,0
430,9.909742,14.826906,0,0,1,1,1,1,1
1313,-4.390435,-2.0799847,0,0,0,0,1,0,0
2732,10.113848,15.0055895,0,0,1,1,1,1,1
281,9.376095,15.408451,0,0,1,1,1,1,1
2072,-4.556104,11.349909,1,0,1,1,1,1,1
