,UMAP_1,UMAP_2,W3IWER4_A
4575,-0.31769785,2.739817,1
6265,13.52113,12.017511,1
1789,-0.08566172,3.0417583,1
5083,-7.732488,1.9339083,1
4915,-6.0447435,1.6950585,1
5807,14.771151,11.783472,1
6034,14.870311,11.30293,1
2010,-9.491952,0.4305314,1
1642,-10.452958,11.846669,1
5447,-11.707064,5.108137,1
316,-11.610505,5.091062,1
1447,-0.36848575,5.416927,1
4894,-4.372954,5.738163,1
6244,12.33784,11.83768,1
778,-1.9677995,6.7910566,1
1830,-0.6604972,-2.424488,1
595,-0.7033345,2.156654,1
5180,-2.9432678,8.222114,1
6241,12.947865,11.13602,1
5636,11.24013,12.17559,1
4578,-2.2094848,-0.017341949,1
868,1.6232255,-5.856604,1
1195,-4.492632,1.7064091,1
5515,9.243484,13.426131,1
1023,-0.76088494,5.5163074,1
4846,-0.30042672,5.3813925,1
6454,7.764329,14.097852,1
1183,1.4631283,5.993353,1
5502,15.107707,11.302936,1
1665,-3.4406185,-17.213247,1
5921,10.652217,12.636794,1
5226,-1.916572,4.046083,1
6297,10.257861,12.546627,1
6161,8.262809,11.915556,1
5366,1.5139368,5.9842763,1
5657,13.252111,10.202699,1
2168,-15.3963375,-0.09885598,1
1297,-11.611553,-0.6200556,1
6304,8.432357,14.090644,1
2093,14.024898,0.024827728,1
1433,-11.385169,4.788435,1
2069,-7.6929607,-6.384714,1
5753,14.958567,9.936904,1
150,-0.6889472,1.9743875,1
4978,0.8525404,0.8724934,1
886,14.706728,-7.07939,1
2018,4.615054,1.2711406,1
5543,14.075607,10.745418,1
4394,0.9149864,0.7519043,1
264,-10.012357,1.7982419,1
5146,-9.936362,1.2483704,1
5811,8.019148,12.854952,1
1905,-2.5382502,-13.042696,1
5312,-11.8684435,-0.49218655,1
4874,-15.477953,7.44581,1
2167,-1.6992967,7.1982856,1
4820,-2.8584425,3.3921037,1
1714,-10.46026,-9.389391,1
1932,-2.2871118,-8.712565,1
4923,0.93869257,0.8942461,1
2149,4.516839,2.861637,1
5176,-6.52033,1.227712,1
5966,14.286993,9.817424,1
5894,13.456488,12.061431,1
4383,-8.761743,13.57924,1
5917,9.314692,14.112161,1
1861,-7.8531146,-14.560194,1
5872,10.472191,13.249882,1
1926,-3.9321475,-3.4806302,1
1155,-2.1590512,-0.10672916,1
6516,12.129618,12.098584,1
4540,-1.4132673,-2.447986,1
2019,-3.5464292,7.811074,1
2034,-3.3138752,-10.130729,1
567,-6.2448893,7.924283,1
5123,-12.792526,-1.7664303,1
29,-4.738906,5.3041067,1
4893,-3.5322163,-3.3494625,1
1632,-2.2829692,-9.293248,1
4942,-5.833334,-13.606549,1
5895,7.36281,14.159213,1
408,-12.309604,0.7570912,1
2023,-12.526291,2.8094606,1
5663,10.360878,13.457784,1
5197,14.624328,-7.1377087,1
6086,12.302247,11.790163,1
6532,12.677274,11.376994,1
6041,7.992207,13.017919,1
5243,-7.49194,-6.88792,1
6199,14.007729,12.605476,1
1650,-2.7161603,-9.035763,1
65,0.91382295,0.7494449,1
6507,7.9736066,12.43721,1
5787,8.602246,14.00513,1
484,-8.811655,9.7371235,1
1833,-8.688781,-2.3292093,1
6339,10.079265,11.579241,1
473,3.7413154,-16.72921,1
4914,-6.2974043,8.8279505,1
4537,-7.546604,2.3878088,1
5797,14.780299,11.773647,1
4432,0.34444076,-0.77279454,1
5739,14.315838,11.805062,1
5108,-7.641305,2.2061503,1
5094,-3.4547815,-17.201702,1
1945,-15.851246,7.4717464,1
507,-4.422337,10.235489,1
5361,-5.8330126,7.94402,1
4555,-3.0051146,-11.18868,1
4385,-7.784278,1.8960181,1
1889,-2.7639863,3.104887,1
6018,9.540318,11.745312,1
4955,-2.3223886,-9.246353,1
139,-2.6388083,-0.49016306,1
5572,7.9062166,13.739589,1
1517,-13.991256,-3.7392466,1
6021,9.949263,13.136403,1
6137,11.522364,13.48771,1
4437,-5.668259,2.9646285,1
1181,-4.6343255,1.5309108,1
4655,-2.4228947,-12.906116,1
5220,-9.765145,8.893214,1
1796,-10.072317,12.137205,1
1504,-1.9144882,3.93844,1
1957,-9.032889,9.571504,1
5473,11.709165,13.055293,1
6195,11.646109,12.1161585,1
4863,-11.950341,4.9670877,1
5559,12.997219,11.539497,1
869,-0.7298208,5.260944,1
4553,-3.59087,-6.9898024,1
1411,-11.757114,-0.49052796,1
1674,-1.6510985,3.185696,1
4891,-6.167922,-5.2725015,1
2094,-7.887345,7.0681043,1
6349,15.012595,10.344871,1
5258,-0.5822539,1.6720299,1
5554,15.429673,10.166465,1
4597,-3.9132164,-3.4573932,1
6295,6.959555,13.683894,1
