,UMAP_1,UMAP_2,label,naive,MLP,logisticRegression,decisionTree,randomForest,xgb
575,9.869593,8.158281,1,0,0,0,0,0,0
1428,10.631725,6.609823,0,0,0,0,1,1,1
1386,2.9457126,6.4585867,0,0,1,1,1,1,1
1967,3.3727896,6.349299,0,0,1,1,1,1,0
2243,5.716077,5.9986615,1,0,0,0,0,0,0
1196,7.828722,7.578028,0,0,0,0,0,0,0
419,1.7573633,5.0550714,0,0,1,1,1,1,1
1826,9.9325,7.573463,0,0,0,0,0,0,0
1260,7.306925,1.1012313,1,0,0,0,0,0,0
3072,7.5468135,0.6012151,1,0,0,0,0,0,0
1642,8.056721,3.0381186,1,0,0,0,0,0,0
3189,8.439781,5.5849357,1,0,0,0,1,1,1
928,9.988189,6.6973057,0,0,0,0,1,1,1
610,7.391444,7.019596,0,0,0,0,0,0,0
1575,7.2534757,3.2885935,0,0,0,0,0,0,0
185,9.38697,8.716801,0,0,0,0,0,0,0
2782,2.6560543,5.7631884,0,0,1,1,1,1,1
449,3.3782475,6.3257504,0,0,1,1,1,1,0
1198,10.790176,6.7342463,0,0,0,0,1,1,1
1356,1.781902,4.659064,0,0,1,1,1,1,1
399,7.1647177,6.9287124,0,0,0,0,0,0,0
3168,8.644472,6.122872,1,0,0,0,1,1,1
1781,8.939606,5.8270183,0,0,0,0,1,1,1
2995,2.8733041,6.436881,1,0,1,1,1,1,1
411,3.0808551,5.9745283,0,0,1,1,1,1,1
2878,9.044193,8.6926365,0,0,0,0,0,0,0
3264,10.613081,6.489036,0,0,0,0,1,1,1
2071,7.502855,2.9863272,1,0,0,0,0,0,0
680,9.194841,5.724909,0,0,0,0,1,1,1
865,7.808142,1.4062642,0,0,0,0,0,0,0
444,8.628901,6.4951696,0,0,0,0,1,1,1
211,8.471255,1.1308752,0,0,0,0,0,1,1
569,10.163461,7.0307345,0,0,0,0,1,1,1
1243,8.408702,6.659656,0,0,0,0,0,0,1
780,7.517213,6.8079505,0,0,0,0,0,0,0
779,8.02028,0.74486685,0,0,0,0,0,0,0
2076,5.8124924,5.999517,1,0,0,0,0,0,0
1744,7.187972,2.9765387,1,0,0,0,0,0,0
144,9.038578,8.329959,0,0,0,0,0,0,0
898,9.107229,6.925336,0,0,0,0,1,1,1
1429,2.7197733,6.2323985,0,0,1,1,1,1,1
2033,3.3714085,5.008347,0,0,1,1,1,1,1
1150,7.9069557,3.4958904,1,0,0,0,0,0,0
1282,8.334385,0.8119302,0,0,0,0,0,0,0
1206,9.677323,5.9458394,1,0,0,0,1,1,1
1172,8.093153,3.5538428,1,0,0,0,0,0,0
258,6.0835137,6.3247023,0,0,0,0,0,0,0
393,1.6916777,4.654155,1,0,1,1,1,1,1
960,7.015845,2.4123821,0,0,0,0,0,0,0
877,9.8770685,8.24455,1,0,0,0,0,0,0
947,9.439585,8.344777,0,0,0,0,0,0,0
1944,7.191066,0.9789295,1,0,0,0,0,0,0
1950,3.1326432,5.203095,0,0,1,1,1,1,1
2501,9.628639,7.6843843,0,0,0,0,1,0,0
3087,8.5883465,8.043765,0,0,0,0,0,0,1
1387,8.91072,6.56735,0,0,0,0,1,1,1
820,2.7988646,6.2434807,1,0,1,1,1,1,1
1115,10.21608,8.050693,1,0,0,0,0,0,0
1998,3.0528686,5.241163,0,0,1,1,1,1,1
1691,8.036966,3.8624952,1,0,0,0,0,0,0
1458,7.39018,3.4960642,0,0,0,0,0,0,0
2714,3.246332,6.430991,0,0,1,1,1,1,0
1971,3.5012336,5.681145,0,0,1,1,1,1,1
920,10.036948,6.2704654,1,0,0,0,1,1,1
1176,9.604701,7.066782,0,0,0,0,1,1,1
1903,10.434336,6.790115,0,0,0,0,1,1,1
1874,8.232033,0.8731799,0,0,0,0,0,0,0
311,1.9115003,4.6902547,1,0,1,1,1,1,1
1956,2.5257895,4.5866094,0,0,1,1,1,1,1
1530,7.9850106,6.191331,0,0,0,0,0,0,0
430,3.6671145,6.137567,0,0,1,0,1,1,1
1313,8.037434,1.863418,0,0,0,0,0,0,0
281,2.6651516,5.8129663,0,0,1,1,1,1,1
2072,6.932332,3.215634,1,0,0,0,0,0,0
586,9.252872,8.730697,1,0,0,0,0,0,0
647,10.580169,6.5235963,1,0,0,0,1,1,1
1876,7.202926,2.872998,1,0,0,0,0,0,0
1134,10.500324,6.687449,0,0,0,0,1,1,1
2027,2.982906,5.4558086,1,0,1,1,1,1,1
1622,10.241168,6.3413467,0,0,0,0,1,1,1
1132,7.3749237,2.5567522,0,0,0,0,0,0,0
2800,7.906117,2.966621,1,0,0,0,0,0,0
1447,10.0791,7.2089357,0,0,0,0,0,0,0
1604,10.057993,7.97403,1,0,0,0,0,0,0
642,10.200546,6.7017035,0,0,0,0,1,1,1
2712,2.8268921,5.472748,0,0,1,1,1,1,1
220,7.9526434,2.2205815,0,0,0,0,0,0,0
164,5.9271836,5.874983,0,0,0,0,0,0,0
1256,7.737562,0.7780408,0,0,0,0,0,0,0
2059,2.8715177,5.475354,0,0,1,1,1,1,1
1111,2.5835938,4.5092053,0,0,1,1,1,1,1
1073,8.020308,7.0999417,0,0,0,0,0,0,0
1870,7.830909,2.5074644,0,0,0,0,0,0,0
593,7.904114,1.2067759,1,0,0,0,0,0,0
1345,3.6022093,5.3412843,0,0,1,1,1,1,1
808,9.37745,7.465604,1,0,0,0,0,0,0
2044,3.2302568,5.0314827,0,0,1,1,1,1,1
1411,7.6204967,6.4790044,1,0,0,0,0,0,0
1510,7.6916676,3.5909393,0,0,0,0,0,0,0
1655,9.768883,8.379578,1,0,0,0,0,0,0
160,8.966603,8.517386,0,0,0,0,0,0,0
1275,7.962705,0.59667975,0,0,0,0,0,0,0
883,8.7643795,7.877109,1,0,0,0,1,1,1
2479,8.830182,5.845838,0,0,0,0,1,1,1
1146,8.065397,0.5132105,1,0,0,0,0,0,0
1096,8.011078,7.065272,1,0,0,0,0,0,0
