,UMAP_1,UMAP_2,W3IWER4_A
635,-0.0011092403,8.382125,1
509,7.888373,4.881121,1
129,10.423621,7.896247,1
516,3.747652,7.4054446,1
307,0.79989475,1.745785,1
98,1.8425024,2.288904,1
117,1.3124919,8.095291,1
351,4.9648333,6.508945,1
126,9.895327,7.098699,1
435,0.32405156,1.7087413,1
106,2.6972842,3.7765086,1
355,3.2167785,9.890486,1
378,2.1798317,9.611577,1
535,3.445078,7.3643484,1
590,3.3473048,10.0417,1
586,1.7979869,2.3691442,1
544,-0.7379258,8.639164,1
547,2.671126,3.7454908,1
599,0.622701,9.872646,1
482,2.0873883,0.51850325,1
515,4.307144,8.528355,1
615,4.056829,4.1243863,1
318,0.5937148,2.2878716,1
494,2.5219338,6.718332,1
623,2.620737,5.262452,1
0,3.7022521,7.4425945,1
127,0.1634214,9.399321,1
154,0.8583981,1.7393929,1
208,10.893063,8.072283,1
510,1.9398389,6.6290345,1
588,2.5283332,3.2025847,1
600,8.553823,4.4751997,1
637,10.607832,6.9303794,1
548,3.2438078,7.9671774,1
625,10.150457,9.074069,1
504,6.049088,6.022147,1
12,9.539251,8.234678,1
139,4.3910794,8.629283,1
108,3.3034525,10.006475,1
370,10.918368,8.328723,1
100,1.7125835,1.871136,1
56,0.5643361,7.2903485,1
118,0.4068611,3.0030193,1
570,0.86583644,1.2589973,1
360,0.59387034,1.3118387,1
178,-0.42575318,9.495494,1
131,0.7323988,9.720767,1
611,3.196765,9.81231,1
241,4.294152,8.569424,1
180,1.9094431,0.58324915,1
526,-0.51052356,8.791337,1
589,10.589601,6.6453943,1
103,4.0955234,8.465774,1
22,1.9863951,0.66295415,1
608,2.360992,2.3012712,1
431,0.41647205,3.1486964,1
628,3.2214394,9.9040365,1
408,2.3809164,10.606445,1
14,2.0448294,1.0537068,1
554,0.4446578,9.775807,1
581,1.3376435,1.0038319,1
631,3.2654948,10.084778,1
517,4.329441,8.571572,1
540,4.0413666,7.871385,1
502,0.986662,2.9603748,1
409,3.372102,8.346858,1
254,2.504434,10.477137,1
342,0.6505502,1.318826,1
613,2.9950097,3.928811,1
113,0.39954078,2.178184,1
426,2.8710053,8.914562,1
387,2.1416788,1.3377037,1
120,0.45373255,1.6133801,1
323,2.7813954,3.8262796,1
551,2.674122,5.1987014,1
82,8.445241,4.249111,1
528,8.539235,4.7765245,1
45,-0.033532,8.316919,1
419,7.832684,4.928943,1
466,3.2824805,9.782366,1
39,2.0211284,9.576913,1
514,1.737619,6.8637633,1
