,UMAP_1,UMAP_2,label,naive,MLP,logisticRegression,decisionTree,randomForest,xgb
575,3.2674162,4.139776,1,0,0,1,0,0,0
1428,8.662875,7.388695,0,0,1,0,0,0,0
1386,5.4241767,5.1445284,0,0,0,0,0,0,0
1967,6.8530955,4.28931,0,0,0,0,0,0,0
2243,3.7202427,0.11182527,1,0,0,1,0,0,0
1196,9.187084,6.511726,0,0,1,0,0,0,0
419,6.057789,4.9500446,0,0,0,0,0,0,0
1826,2.8124943,4.206426,0,0,0,1,0,0,0
1260,2.2048287,4.037946,1,0,0,1,0,0,0
3072,7.4871655,8.85398,1,0,1,0,1,1,1
1642,5.715077,5.3890123,1,0,0,0,0,0,0
3189,8.213355,7.2272344,1,0,1,0,0,0,0
928,5.0179243,5.878576,0,0,0,0,0,1,0
610,6.3923826,7.3614926,0,0,0,0,1,0,1
1575,6.7629294,8.641721,0,0,1,0,1,1,1
185,3.9101086,0.10446475,0,0,0,0,0,0,0
2782,6.33356,4.0763535,0,0,0,0,0,0,0
449,7.9412804,3.9387832,0,0,0,0,0,0,0
1198,9.321206,7.8713107,0,0,1,0,0,0,0
1356,2.9182591,5.0343175,0,0,0,1,0,0,0
399,9.217965,6.256102,0,0,1,0,0,0,0
3168,2.7223163,4.200228,1,0,0,1,0,0,0
1781,9.112656,6.488545,0,0,1,0,0,0,0
2995,6.7916408,4.554968,1,0,0,0,0,0,0
411,6.248563,4.7609725,0,0,0,0,0,0,0
2878,6.792314,4.9038644,0,0,0,0,0,0,0
3264,9.222887,7.1732383,0,0,1,0,0,0,0
2071,9.078884,8.874992,1,0,1,0,0,0,1
680,8.778111,7.6019044,0,0,1,0,0,0,0
865,7.5113425,7.4404807,0,0,1,0,1,0,0
444,6.1623073,3.5329704,0,0,0,0,0,0,0
211,3.3000722,0.24652542,0,0,0,1,0,0,0
569,8.834838,7.7573,0,0,1,0,0,0,0
1243,4.620232,5.979816,0,0,0,0,0,1,0
780,2.6426964,4.3571,0,0,0,1,0,0,0
779,2.6020694,5.084726,0,0,0,1,0,0,0
2076,3.6231158,0.3451871,1,0,0,1,0,0,0
1744,7.3092947,7.443856,1,0,0,0,1,0,0
144,4.014487,0.20688441,0,0,0,0,0,0,0
898,3.9040084,5.7627187,0,0,0,0,0,0,0
1429,4.360529,2.2785993,0,0,0,0,0,0,0
2033,7.399895,3.1181092,0,0,0,0,0,0,0
1150,9.186219,8.977155,1,0,1,0,0,0,0
1282,2.7916715,5.2436934,0,0,0,1,0,0,0
1206,6.7087717,7.837898,1,0,1,0,1,0,0
1172,7.7343383,7.8782415,1,0,1,0,0,0,0
258,3.377387,0.5642708,0,0,0,1,0,0,0
393,7.2483664,3.3083766,1,0,0,0,0,0,0
960,7.0201406,6.9341097,0,0,0,0,1,0,0
877,3.575254,4.433863,1,0,0,0,0,0,0
947,3.9960663,4.7163076,0,0,0,0,0,0,0
1944,6.9128785,8.744918,1,0,1,0,1,1,1
1950,6.35417,3.4600372,0,0,0,0,0,0,0
2501,6.0552034,3.50183,0,0,0,0,0,0,0
