,UMAP_1,UMAP_2,W3IWER4_A
1525,-0.5859582,9.34597,1
1547,1.8424959,-4.745483,1
1327,10.67935,17.398209,1
97,-7.4951496,6.7990484,1
599,-4.6610675,21.377884,1
156,14.503474,8.37692,1
516,-7.415691,6.9133697,1
1431,0.4483692,9.366226,1
1774,-4.8148627,-5.469385,1
417,-0.054235198,25.811754,1
1283,20.316532,8.986369,1
1347,-7.360301,6.9952955,1
573,5.768557,16.334301,1
1361,-2.1294072,14.389081,1
351,-12.277157,10.876222,1
1821,-14.742588,-0.16494954,1
1405,-9.641898,14.843256,1
1417,-3.4549649,21.492344,1
1851,-4.55979,-14.587175,1
1324,11.14718,17.77717,1
1287,10.868141,17.485966,1
1823,-1.1647055,-10.03996,1
637,-5.702572,22.597387,1
1788,4.9154778,-6.264308,1
588,13.202723,7.8032074,1
367,-1.2222536,9.673204,1
1850,4.630929,-1.477963,1
1518,11.596251,9.007266,1
1772,-0.88084924,-9.807322,1
1766,6.5723233,-12.498249,1
1391,9.316718,15.710732,1
108,15.618698,8.91499,1
1686,-1.1695396,-10.042194,1
1282,-11.979537,11.631143,1
306,-5.3737955,7.7581296,1
9,20.475962,17.524298,1
25,13.231142,7.6453857,1
1666,-8.954468,-11.082642,1
60,6.9214764,24.222334,1
16,9.985967,16.869226,1
1540,-10.209439,14.826867,1
1585,-10.098025,14.823211,1
1320,15.567122,8.862574,1
1598,-1.1708397,-10.042722,1
628,-10.1039295,14.828898,1
120,3.5624704,20.28178,1
578,-2.2070215,21.94181,1
1402,-10.404711,15.051588,1
1478,-3.0416272,0.8427367,1
1709,-10.682172,-3.5934248,1
2,1.4393609,9.374297,1
1798,-9.352396,-10.362827,1
393,-0.07597895,25.8316,1
64,2.635572,10.517232,1
1392,6.3789477,24.2234,1
1764,7.470737,-12.446425,1
146,9.828738,15.848811,1
1812,-4.7505865,-5.44122,1
1749,0.08592032,-6.460617,1
493,13.207046,4.8971314,1
521,-3.051191,0.85177857,1
1286,9.990385,16.856646,1
1521,-4.6944575,21.4079,1
1628,-14.756143,-0.1783881,1
1696,-0.46434328,-7.8426323,1
1674,4.621059,-1.5162467,1
1439,9.836669,15.845541,1
522,-6.1899357,11.726225,1
1568,-1.6437722,14.770228,1
1562,-7.9714675,-1.2219537,1
585,-2.410331,22.130129,1
51,-3.648581,2.4259117,1
574,-7.838005,-1.1591593,1
1725,-5.123775,-5.6554203,1
1854,-5.120539,-14.852151,1
1301,6.9223585,24.222298,1
173,-6.862943,8.11782,1
1799,5.236792,-6.580788,1
406,10.107321,8.375439,1
1398,-7.918013,-1.1872143,1
1291,4.2788467,17.811049,1
1312,-6.0310884,23.226707,1
1739,-6.1892667,-6.0769744,1
1588,-1.6503204,14.765685,1
1587,12.436605,8.783859,1
1632,7.5568604,-12.380546,1
1663,-9.194696,-10.649513,1
1618,-9.419353,-10.243005,1
1794,-9.857118,-8.468422,1
301,-1.813469,2.4939454,1
1724,-10.00727,-8.198814,1
1668,4.616204,-1.4716914,1
1808,-4.0961285,-5.573996,1
1469,6.1415834,16.407578,1
1803,-9.446662,-9.503901,1
1389,-1.6328001,14.781937,1
1760,-8.040525,-5.4796753,1
1491,14.03977,8.154671,1
1564,-1.9743795,2.3311465,1
1558,-6.7974606,8.085428,1
1676,-9.293725,-10.426164,1
259,-2.205872,21.942955,1
1333,13.212641,7.9806013,1
1575,1.4732656,15.915012,1
1791,-9.915439,-8.312418,1
1911,-0.15223812,-7.2413306,1
1706,-9.410876,-9.576846,1
1411,-6.504945,7.9225416,1
1408,20.463993,17.512384,1
193,6.7882075,20.584991,1
4,-6.125667,23.382391,1
570,-3.0523136,0.84911764,1
1729,-5.1085076,-5.642361,1
141,9.959791,16.996899,1
1873,-7.9849906,-5.532599,1
1748,4.7758675,-1.8452685,1
1496,9.932116,17.045944,1
1533,15.627832,8.921144,1
160,-3.9178731,21.313507,1
216,20.548223,17.596653,1
1602,-10.661565,-3.6134896,1
281,9.595899,15.75105,1
1675,4.6290803,-1.4692996,1
1820,-9.434481,-10.195973,1
1883,0.080228895,-6.4862123,1
1613,6.605634,-12.45135,1
494,-11.701242,6.4023023,1
629,0.70743084,9.342431,1
1861,-5.140765,-14.87248,1
600,10.079963,18.27911,1
560,10.221994,16.287146,1
609,-11.566462,13.66545,1
1415,-0.06597175,25.82167,1
1751,-9.339492,-10.369539,1
1315,-0.5763858,9.334625,1
565,2.3614693,-1.936945,1
1622,-4.71586,-5.457209,1
1437,5.757695,14.115037,1
503,1.4785476,15.90861,1
1634,-5.006594,-5.574023,1
1898,5.179653,-6.525208,1
1757,-5.881111,-5.88564,1
1734,-9.996859,-8.214202,1
597,14.439661,8.332523,1
1872,7.5345964,-12.411865,1
1848,5.147114,-6.4928193,1
450,13.397036,7.605341,1
506,10.024155,16.845743,1
520,-7.9766264,-1.2196431,1
109,11.131084,17.780792,1
139,-9.526205,14.829749,1
324,6.3742914,24.224867,1
1785,-0.48098516,-7.8602996,1
1596,-4.096271,-5.5701118,1
601,-6.7923045,8.079223,1
572,4.1428375,17.957075,1
