,COUNTY,P17_A,W1AGE,WWWBLACK,W1STATE,STRATA,F3,CD2,P1,X1,label,naive,MLP,logisticRegression,decisionTree,randomForest,xgb
575,0.7098886705959395,-0.9999999999999999,0.7272727272727275,-1,0.709090909090909,1.0,-0.33333333333333326,-0.7272727272727273,-1.0,-0.9591836734693877,1,0,0,1,1,0,0
1428,0.3866695772393216,-0.9999999999999999,-0.33333333333333326,-1,0.38181818181818183,1.0,1.0,0.33333333333333326,-1.0,-0.9591836734693877,0,0,0,1,0,0,0
1386,-0.8199810812777415,-0.9999999999999999,-0.15151515151515138,1,-0.8181818181818182,1.0,-0.9999999999999999,0.1515151515151516,-1.0,-0.9387755102040817,0,0,0,0,1,0,0
1967,-0.14658371534599446,0.7142857142857144,0.5151515151515151,-1,-0.1636363636363637,0.0,-0.9999999999999999,-0.4545454545454546,-1.0,-1.0,0,0,1,1,1,0,0
2243,0.7090882631157678,0.7142857142857144,0.3030303030303032,-1,0.709090909090909,-1.0,-0.9999999999999999,-0.24242424242424243,-1.0,-0.9387755102040817,1,0,1,1,1,0,0
1196,0.49363312231681555,-0.9999999999999999,0.5757575757575757,-1,0.49090909090909074,1.0,-0.9999999999999999,-0.5757575757575758,-1.0,-0.9795918367346939,0,0,0,1,1,0,0
419,-0.8186713235829151,-0.1428571428571428,0.6060606060606064,1,-0.8181818181818182,0.0,-0.33333333333333326,-0.6060606060606061,-0.5,-0.9183673469387755,0,0,0,0,1,0,0
1826,0.817288801571709,-0.9999999999999999,-0.09090909090909083,-1,0.8181818181818181,1.0,1.0,0.1515151515151516,-1.0,-0.9795918367346939,0,0,0,1,0,0,0
1260,0.7218947827985154,-0.9999999999999999,0.18181818181818188,-1,0.709090909090909,1.0,-0.33333333333333326,-0.18181818181818188,-1.0,-0.9387755102040817,1,0,0,1,1,0,1
3072,-0.71083460670887,-0.9999999999999999,-0.4242424242424241,-1,-0.7090909090909091,1.0,-0.33333333333333326,0.48484848484848486,-1.0,-0.9591836734693877,1,0,0,1,0,0,0
1642,-0.8186713235829151,-0.1428571428571428,0.666666666666667,-1,-0.8181818181818182,1.0,-0.33333333333333326,-0.6060606060606061,-1.0,-0.9387755102040817,1,0,0,1,1,0,0
3189,0.38470494069708194,-0.1428571428571428,0.09090909090909105,-1,0.38181818181818183,1.0,1.0,-0.030303030303030276,-1.0,-0.9387755102040817,1,0,0,1,0,0,0
928,-1.0,-0.9999999999999999,-0.15151515151515138,-1,-1.0,1.0,1.0,0.1515151515151516,-1.0,-0.9591836734693877,0,0,0,1,1,0,0
610,-0.41883140507894945,-0.1428571428571428,0.18181818181818188,-1,-0.4181818181818182,1.0,0.3333333333333335,-0.18181818181818188,-1.0,-0.9795918367346939,0,0,0,1,1,0,0
1575,-0.0870261223895803,0.7142857142857144,-0.606060606060606,-1,-0.09090909090909094,1.0,-0.33333333333333326,0.6666666666666665,-1.0,-0.9795918367346939,0,0,0,1,0,0,0
185,0.7158553445390379,-0.9999999999999999,0.666666666666667,-1,0.709090909090909,-1.0,0.3333333333333335,-0.6666666666666667,-1.0,-0.9795918367346939,0,0,1,1,1,0,0
2782,-0.9992723568362076,-0.9999999999999999,0.030303030303030498,1,-1.0,0.0,-0.9999999999999999,0.030303030303030276,-1.0,-0.9387755102040817,0,0,0,0,1,0,0
449,0.19915593393000064,1.0,0.030303030303030498,1,0.19999999999999996,0.0,-0.9999999999999999,-0.030303030303030276,-1.0,-0.9591836734693877,0,0,0,0,1,0,0
1198,0.27519464454631426,-0.9999999999999999,-0.36363636363636354,-1,0.2727272727272727,1.0,0.3333333333333335,0.36363636363636376,-1.0,-0.9591836734693877,0,0,0,1,0,0,0
1356,0.4221785636323945,-0.1428571428571428,-0.5454545454545454,1,0.4181818181818182,1.0,0.3333333333333335,0.5454545454545454,-1.0,-0.9183673469387755,0,0,0,0,0,0,0
399,0.2743942370661425,-0.1428571428571428,0.7878787878787881,-1,0.2727272727272727,0.0,0.3333333333333335,-0.7878787878787878,-1.0,-0.9387755102040817,0,0,0,1,1,0,0
3168,0.7138179436804188,0.7142857142857144,2.220446049250313e-16,-1,0.709090909090909,1.0,1.0,0.06060606060606055,-1.0,-0.9795918367346939,1,0,0,1,0,0,0
1781,0.48984937786509475,-0.1428571428571428,0.9393939393939394,-1,0.49090909090909074,1.0,1.0,-0.8787878787878788,-1.0,-0.9387755102040817,0,0,0,1,1,0,0
