,UMAP_1,UMAP_2,W3IWER4_A
1312,13.463299,-2.7577317,1
21,13.56454,-3.5858862,1
1642,8.702006,13.52612,1
2141,7.3033366,-0.7011273,1
17,18.305431,3.262325,1
2080,14.932918,11.065473,1
245,15.677071,12.702516,1
1667,17.137316,1.6703832,1
1071,5.2642593,9.415861,1
139,13.724475,-3.4446313,1
1997,7.6493816,-0.32061517,1
2111,7.8175097,13.232734,1
210,15.679584,12.707715,1
1880,14.2689,10.52879,1
1832,17.852203,1.7923604,1
1291,11.056749,-1.5632514,1
1625,13.221651,10.946253,1
661,4.241157,8.675758,1
1655,15.942966,11.5997,1
2061,8.382654,13.436484,1
384,17.774416,1.5821294,1
759,13.327302,9.474584,1
1047,7.334771,-0.80441993,1
2005,13.797792,-3.5857263,1
2025,14.044895,10.992881,1
2008,14.797224,-1.6039562,1
487,17.595455,1.4333639,1
2089,14.767561,-1.6181082,1
1640,10.925932,-1.4390458,1
1391,6.122998,1.8963829,1
1953,3.2647066,13.044771,1
1460,14.29572,-1.2129902,1
633,5.709384,8.115173,1
1979,16.209698,11.1437025,1
1236,12.408537,3.77369,1
2032,14.756544,-1.6130387,1
116,5.428418,1.7593433,1
441,7.4707575,13.303363,1
1532,6.3148828,1.8034335,1
344,7.498361,13.278891,1
2022,18.438625,3.3221478,1
71,13.694923,-3.4982934,1
703,8.369427,13.459065,1
1698,17.597637,1.4293475,1
1447,17.131792,1.6089768,1
2154,5.8535204,10.666039,1
96,14.605797,-1.7243118,1
191,11.61002,0.9191273,1
431,12.871271,4.819938,1
1404,8.726048,16.144262,1
1631,2.9725895,13.5161495,1
1341,4.9885564,7.968751,1
2050,18.515635,3.2612934,1
117,15.877539,11.458843,1
1810,6.0932813,10.903478,1
473,3.9940612,10.522856,1
1613,14.3237705,-3.9556386,1
1630,5.090311,7.885998,1
1912,9.082567,15.592285,1
698,12.2041645,1.9049405,1
412,15.352914,12.088716,1
921,13.333203,9.425896,1
1941,11.136466,-0.23451704,1
495,12.177608,2.2307346,1
389,14.898475,0.51987284,1
2171,17.264425,1.5300784,1
2062,11.768904,4.9583583,1
791,14.932909,0.100364774,1
320,15.927407,9.6138525,1
2177,17.245607,1.5452232,1
49,13.333974,9.386776,1
270,15.880148,11.401365,1
1371,10.206639,4.9137754,1
407,4.688092,8.955583,1
1504,16.245045,8.830241,1
1905,16.745197,11.783555,1
1723,15.90157,13.005754,1
1091,10.926756,-0.5569121,1
1124,9.052809,15.831242,1
1845,15.910909,11.73517,1
1530,10.993212,-0.69389784,1
1641,3.270456,12.997892,1
790,4.3151965,8.683258,1
551,8.329777,13.494559,1
1612,4.2766614,8.663783,1
1142,8.68317,16.150894,1
973,3.388367,13.399071,1
143,4.9964886,2.0607767,1
451,7.517715,13.280634,1
1848,13.897388,-3.2501168,1
1217,14.285729,-3.9610262,1
822,7.650708,13.548193,1
1894,17.817896,1.7664071,1
1890,6.2015824,1.5113201,1
1788,13.422893,0.08706587,1
1719,5.243305,2.3394232,1
2010,14.1802,-3.6890993,1
1792,14.948452,-2.1751726,1
2110,5.6928086,9.040687,1
1057,9.457105,10.725233,1
1656,5.3919387,8.329675,1
318,14.761348,0.31224716,1
2081,7.69227,-0.44671336,1
1741,5.3166356,8.224384,1
1093,10.226325,4.87095,1
2161,12.154467,2.2648017,1
1187,9.952411,-0.7446099,1
1858,7.423627,-0.41566998,1
1993,17.029764,1.629833,1
1951,13.075306,0.519104,1
1908,16.234665,11.031972,1
1724,13.402088,-2.923072,1
1498,5.415048,8.496444,1
1879,13.800591,10.939445,1
1967,9.342261,10.784601,1
332,15.095231,12.149964,1
1859,5.9721813,10.750101,1
1943,2.8576956,13.586544,1
1704,10.445139,-0.34228417,1
1976,7.3629303,-0.5205138,1
1200,13.892936,-3.2732248,1
1348,9.47349,10.668197,1
854,6.30811,1.9525249,1
1817,14.714061,0.24271518,1
795,5.293379,8.35091,1
186,14.944349,0.52634305,1
430,18.358973,3.2560582,1
1801,13.685373,-3.5392187,1
1999,15.001338,11.008351,1
1645,7.7948475,13.10116,1
1795,5.739358,8.118054,1
1781,8.212215,14.125427,1
1334,12.253816,1.8361145,1
1934,13.134086,5.276424,1
2019,14.662664,-1.813677,1
1982,12.229294,3.6182406,1
2175,16.744503,9.544095,1
64,17.017803,2.9279177,1
2078,5.7652807,2.4279401,1
170,16.948729,2.8285632,1
1684,12.202137,1.8762481,1
316,17.671597,1.4949305,1
454,5.787259,10.514605,1
1713,5.0279408,1.9533699,1
458,17.11008,1.7308102,1
1540,13.413829,9.387181,1
343,16.388214,11.550835,1
2034,12.089998,1.5927935,1
2073,11.744127,4.941174,1
2112,6.205585,1.9266775,1
1213,11.559458,0.9108533,1
65,10.450166,-0.44153187,1
1458,4.9691224,2.0897892,1
13,15.910535,9.509524,1
1984,9.209102,15.946499,1
1785,4.4233904,8.831481,1
1178,3.1279438,13.204749,1
1969,13.07628,5.2796226,1
1692,18.174417,2.9296434,1
1261,13.620474,-3.5888836,1
1863,7.5477524,-0.531058,1
1787,14.960759,9.252051,1
1725,10.399186,-0.43553123,1
2138,15.003056,-2.178408,1
2181,7.6415205,-0.29833168,1
1828,15.234014,11.099478,1
396,7.537658,-0.32846004,1
2094,7.7964435,13.847761,1
897,8.850461,15.549554,1
2109,-1.252827,-2.7110217,1
672,11.555619,0.90855366,1
2127,14.632103,11.493509,1
1615,-2.4762826,1.3771502,1
1693,14.672051,11.221682,1
1827,18.328142,3.2730155,1
63,6.1464357,1.969623,1
1657,8.913067,16.060915,1
1835,9.315718,10.52321,1
1646,13.209693,0.39780843,1
888,8.57678,16.194584,1
2124,16.166122,11.407055,1
2046,13.026342,0.5799139,1
1900,16.2621,8.84131,1
1796,3.3107502,13.3521385,1
1497,14.397222,-1.4702591,1
490,3.0897527,12.164626,1
1003,14.255069,-3.8716035,1
1382,14.996311,-2.1645176,1
544,15.056762,12.22123,1
2108,13.083182,5.2795153,1
382,5.4427915,1.675592,1
1201,12.346409,3.5554886,1
1686,16.502325,9.434847,1
1597,16.475603,9.023804,1
2125,8.445627,13.367363,1
76,6.214942,2.0053039,1
1846,7.2878,12.74897,1
2122,3.999443,10.503467,1
929,16.334543,8.900708,1
2065,15.961569,12.9969015,1
691,13.490218,-3.388499,1
718,14.373189,-4.0057425,1
507,10.410783,-0.41464594,1
345,5.612138,2.498411,1
1954,16.745977,9.569224,1
327,10.589603,-0.5148206,1
459,8.641803,13.494161,1
1930,8.666042,13.523249,1
519,5.218499,2.3017795,1
1743,17.354462,2.8167357,1
2084,3.765039,13.080824,1
1876,16.09326,9.615654,1
400,16.686785,11.811065,1
188,8.528021,16.255268,1
1668,7.4730396,12.736588,1
636,15.302498,12.047463,1
2100,14.804191,-1.6281646,1
285,18.20002,2.969259,1
81,5.6631985,2.525755,1
496,8.540618,16.257532,1
1913,8.163778,13.939316,1
107,13.11399,11.15904,1
1116,3.9972594,10.54977,1
1453,12.191871,5.0321617,1
2155,3.6774936,12.546096,1
1181,16.134762,13.1404915,1
225,13.22635,10.945657,1
19,15.838624,11.460369,1
570,13.409786,-2.966856,1
2085,14.248506,-1.1213933,1
2176,14.924977,-2.1992803,1
1702,7.567647,-0.9710254,1
1647,7.481346,-0.6409044,1
1823,4.289571,8.66252,1
1825,8.909367,15.598725,1
2173,5.770424,2.4384224,1
525,12.198437,1.8392613,1
1699,12.168386,2.0079095,1
1856,15.128565,12.177362,1
1935,13.004858,5.310502,1
825,7.667348,-1.0248935,1
2033,15.872463,9.397052,1
297,9.396165,10.623498,1
965,8.46957,15.787019,1
834,17.151968,2.8530805,1
2051,5.600675,2.389944,1
1098,13.585431,-3.5278823,1
2096,14.590829,10.9635935,1
2086,10.265327,4.8234973,1
528,15.806882,11.602498,1
1873,5.9418902,2.1795526,1
1370,14.738555,0.31552848,1
409,4.514176,8.911484,1
1990,4.0115056,10.541099,1
2042,7.750195,13.74853,1
4,4.984213,2.0731006,1
1681,15.854841,9.563504,1
1421,17.680174,1.4486393,1
936,11.580602,0.8423962,1
634,14.655893,11.704382,1
1311,7.7434335,13.022381,1
2106,15.392272,11.823872,1
2058,13.271991,0.1230457,1
604,18.383936,3.3201203,1
760,7.6965475,13.071262,1
1097,12.224228,1.8445718,1
2167,13.110616,5.1115265,1
1764,7.692859,-1.041544,1
1748,14.387699,-1.5768535,1
1135,15.874415,9.600686,1
2123,17.7712,1.6388667,1
424,14.681307,0.14920601,1
1218,17.219522,1.8180052,1
2113,11.462233,10.262018,1
2114,8.865749,16.101782,1
1891,6.1468205,1.8686148,1
728,16.629154,9.567812,1
1861,11.393511,0.3562748,1
1862,3.9927058,10.613955,1
1296,13.655881,-3.4993405,1
910,4.4736357,10.401807,1
2043,14.153401,-3.4332945,1
1808,14.6693,-1.9534088,1
364,12.786922,4.6370583,1
750,13.634972,9.335892,1
1742,14.6083975,11.183354,1
681,12.140203,3.738645,1
2164,13.213015,5.4113016,1
2168,9.910539,10.594745,1
608,16.111916,13.107178,1
1977,5.3108506,8.309293,1
684,8.416659,13.370541,1
1776,13.82791,-0.5674912,1
2101,18.507622,3.312824,1
1992,8.385948,13.379829,1
1924,11.408604,0.26258743,1
122,10.598798,-0.50591546,1
1623,13.283783,0.23189175,1
2063,14.001174,-3.2119784,1
1622,14.340046,-3.976182,1
1820,5.475597,1.6775142,1
1770,17.806368,1.6751865,1
196,2.9264672,13.562457,1
1242,16.452904,9.029189,1
1691,5.112536,8.050963,1
918,14.890996,0.2159422,1
1709,13.405857,-2.931172,1
2183,9.387138,10.792665,1
1893,14.976753,12.170528,1
1850,11.133984,-0.15737699,1
1635,9.32085,10.530084,1
959,5.5699496,1.7476768,1
1761,18.448215,3.3369184,1
1957,3.7505343,13.112545,1
1966,15.930334,12.929085,1
1938,16.497723,11.509016,1
1239,10.304494,4.9212227,1
1975,14.779574,-1.5907261,1
127,11.720981,1.065255,1
1325,15.786251,9.017259,1
2118,17.383598,1.8832976,1
1076,16.573528,9.308014,1
947,7.6642385,-0.97469693,1
675,13.090506,10.807052,1
1829,16.38865,9.04859,1
2071,13.420629,11.418577,1
1771,16.268145,11.44387,1
1227,5.4742403,8.443329,1
1758,16.712187,9.484533,1
1190,8.818964,15.557075,1
1364,7.7183595,13.734976,1
1791,14.111935,10.517716,1
1256,2.8741403,11.847787,1
213,16.711,9.47641,1
2016,14.627986,11.282577,1
567,14.228792,-1.1070535,1
242,9.162043,15.958924,1
2064,17.628979,1.4180181,1
2115,-2.1861753,9.250668,1
457,17.113785,1.7888223,1
1970,15.736553,12.742919,1
1727,13.328978,5.2913675,1
2013,16.592466,9.401638,1
1675,15.1207,9.198288,1
1834,18.199265,2.9936159,1
1289,15.110604,12.21527,1
1715,16.450436,11.4922285,1
157,5.467489,1.6988801,1
216,18.40703,3.343221,1
2004,13.500194,-3.3093865,1
2102,14.138969,0.31298676,1
1479,17.18504,1.6400764,1
1841,15.857014,9.35602,1
1465,17.200827,1.5517335,1
194,14.780392,-1.6037943,1
1555,15.917914,9.560435,1
1649,15.610138,12.660286,1
1516,13.5560255,-2.6998706,1
