,UMAP_1,UMAP_2,W3IWER4_A
4595,3.7335455,1.5401232,1
4629,2.0981388,-6.2114167,1
5441,17.11604,-0.057333563,1
1758,7.7687807,4.7396874,1
4572,13.628489,4.454047,1
5458,17.795362,13.012542,1
5591,4.7865095,18.065948,1
2106,6.7912593,5.4225616,1
1611,15.366569,4.6685114,1
5079,4.0344963,2.2512984,1
6250,-0.7663733,16.217028,1
5438,8.052689,4.3333855,1
5719,-1.2677878,14.297463,1
343,16.971666,-0.93875796,1
5496,0.15024258,16.627817,1
6217,5.283236,17.439833,1
42,8.40799,3.560565,1
260,6.629975,4.465505,1
1891,9.434424,8.876208,1
1638,18.708405,0.041891847,1
2143,18.382965,11.414179,1
1920,17.787844,-0.99403083,1
6145,-0.827126,17.166872,1
4500,9.454159,7.909087,1
6296,-1.1408383,16.94987,1
6154,5.6298347,18.88347,1
1993,4.4482512,1.2952332,1
4464,17.32579,-2.0332062,1
6169,-1.3143989,14.238669,1
883,7.7178297,8.54559,1
1947,6.81052,5.4352107,1
5287,6.7879167,4.689519,1
5555,0.018329224,13.523317,1
5277,6.885264,4.2938333,1
6034,-0.013191876,17.256962,1
6052,0.13685298,13.282469,1
1594,7.850869,8.697248,1
1858,5.3455024,5.1971655,1
5118,9.145123,13.4777975,1
1942,11.168716,-0.10963388,1
6069,0.17296794,15.057148,1
5922,-1.295614,14.7090025,1
5255,7.955157,4.504568,1
4592,8.836271,12.926556,1
6078,-0.35787603,15.390577,1
1765,18.836824,8.848726,1
1691,13.10616,1.5860182,1
1807,8.426048,3.5279057,1
1541,9.532023,7.7607465,1
1172,10.942391,12.410351,1
760,18.379015,11.410856,1
6134,4.6800103,17.296896,1
655,15.823102,-2.7289643,1
454,18.17964,11.787541,1
6234,5.533759,18.80977,1
4450,6.3853846,3.320093,1
453,15.856572,-2.2236955,1
5939,-0.23396765,14.297443,1
4530,4.994213,5.0458364,1
2026,15.891448,-2.7139423,1
1769,6.431132,2.1329494,1
6194,-0.008736028,14.7204685,1
1762,11.467915,6.4686337,1
5610,-1.0020797,17.484705,1
4586,10.849475,0.7077043,1
6292,0.12419532,13.293969,1
5239,9.48348,8.836343,1
6411,0.043649968,13.840653,1
5073,11.115108,8.822143,1
897,7.681809,6.046465,1
1212,17.300531,-1.8935742,1
5419,18.40053,11.403675,1
6013,5.2253942,18.438284,1
1642,21.114132,-0.2901868,1
4451,6.674319,4.4546065,1
332,16.84955,2.1153584,1
4459,16.112448,-2.4323797,1
5128,13.2250395,4.7196584,1
5187,10.75599,-0.0745633,1
5996,-0.60420907,15.110942,1
2116,10.934007,0.39788744,1
5152,11.379512,7.680154,1
6408,0.0049868836,16.476562,1
1606,14.944068,1.9115013,1
1669,10.899479,12.472954,1
4901,16.85373,4.1484194,1
6012,-0.24208702,14.251361,1
4594,1.134465,-4.9768066,1
5897,0.13647734,17.51922,1
6014,0.020975932,13.739133,1
4768,13.095168,3.3252516,1
1314,10.853669,0.63747364,1
750,11.3763,9.155536,1
5148,12.701005,10.018796,1
5447,16.364437,-0.3622884,1
1648,10.293139,-0.46354657,1
6157,-0.53285134,17.071095,1
4685,9.422938,7.838061,1
6299,0.5211407,16.972366,1
144,0.3758792,-7.9644017,1
5955,-0.9933827,13.574165,1
6498,5.201582,18.399178,1
5477,4.8840556,17.743603,1
6231,-0.7856608,14.011084,1
1901,16.436161,2.6871498,1
2140,14.628166,-1.1675702,1
1187,6.6978145,7.0479236,1
5936,0.10822508,14.297373,1
6326,-0.44575423,16.49187,1
5448,14.904501,-1.959476,1
2129,21.121847,-0.2917822,1
5608,0.3860041,18.066113,1
5944,0.6502662,16.58221,1
6517,-0.4924926,15.358998,1
5803,-0.023978114,14.644194,1
6261,5.206801,18.148916,1
5261,10.22263,9.288846,1
4996,9.884971,0.75842375,1
5078,19.408087,0.4150596,1
5697,5.6350746,18.892992,1
2053,19.787943,6.9917793,1
6203,0.33912304,17.960695,1
5431,11.699461,11.471765,1
6536,0.18437968,18.582584,1
5995,-1.4884093,13.667765,1
5186,18.126558,-1.0112206,1
5880,5.316723,18.647163,1
6110,0.13513537,16.841288,1
5442,18.569584,-2.5231323,1
5227,11.353801,2.7643921,1
1173,5.848125,10.46739,1
1805,4.600223,0.8761781,1
1629,10.999982,9.597642,1
4919,9.986393,7.5220833,1
1954,7.924497,4.508739,1
6290,-0.78769535,15.180372,1
1029,2.8973253,2.783719,1
1800,7.8049455,9.298009,1
5330,18.826164,8.756697,1
4846,16.771158,-1.0766329,1
6512,0.07336583,15.081972,1
6011,3.9963157,16.730335,1
4551,14.858436,3.0556488,1
4961,8.826222,12.91773,1
5627,0.005697716,15.437228,1
703,19.143532,2.230038,1
150,8.511145,4.1726055,1
6109,4.459146,16.145489,1
4793,11.94397,2.4572425,1
4601,9.387109,-0.28345254,1
1789,6.839537,4.6633105,1
1689,8.819084,8.870625,1
6256,5.0314026,17.981333,1
6390,0.85968274,16.183443,1
5135,19.311804,11.341546,1
407,6.4348273,2.1127787,1
1941,6.301462,9.398732,1
4947,12.998639,1.7224603,1
5198,16.544695,0.25510377,1
5702,-1.0931228,12.722362,1
30,13.347874,4.62964,1
434,12.076681,11.124183,1
2037,10.9096775,12.458123,1
4515,7.562606,5.161948,1
5964,-0.44308212,17.145468,1
5149,10.679015,5.927001,1
4546,16.354046,-1.4611537,1
2172,14.872995,-1.9685334,1
5494,4.465755,16.385586,1
5770,-0.060491107,14.676658,1
5764,-1.5724577,15.373394,1
4840,15.954243,-1.9534853,1
2173,10.759291,5.997996,1
5945,-1.1364294,16.935818,1
6185,4.295763,16.647758,1
5968,0.47840336,14.110198,1
6452,0.0016867045,17.770891,1
5821,5.796553,19.035923,1
96,3.5288424,0.9720073,1
6300,-1.0004016,15.943704,1
5901,-1.1428808,14.284398,1
5541,4.9614897,18.400143,1
1850,9.618656,-0.3118454,1
5195,6.60235,7.012112,1
1142,6.77518,4.760659,1
4946,9.032732,7.383608,1
2161,12.430612,2.2070274,1
6253,0.32769722,17.235832,1
5888,0.5219234,16.923302,1
5551,5.311829,18.57442,1
196,18.738699,-0.18557933,1
854,10.600906,7.377725,1
5316,15.379237,4.6476517,1
1913,7.0028315,4.757637,1
6378,0.78980607,15.340217,1
5308,8.862754,13.038536,1
5716,5.1140933,18.12434,1
500,15.302146,4.705253,1
5913,-0.5339534,14.970403,1
6072,0.12435532,14.175355,1
4574,18.516634,-1.4384795,1
6335,-0.5625625,17.466486,1
1677,8.577676,4.1967087,1
2104,7.6797423,4.14082,1
1919,6.614584,6.9998083,1
4696,16.384512,-1.3561474,1
1047,6.5363755,6.6810846,1
303,3.6170013,3.0041423,1
1755,9.272429,4.046893,1
2088,16.541454,1.7634553,1
6367,4.965412,18.301783,1
5532,-0.67354405,14.429338,1
6138,4.7065783,17.530706,1
117,17.180101,-0.9595582,1
5095,16.244423,-1.8911269,1
633,23.311052,-6.01829,1
1713,6.0255795,6.0146303,1
5093,14.680134,-1.3942829,1
5990,0.37459973,14.029239,1
264,11.345846,0.9790517,1
4456,3.28028,2.6205077,1
1671,13.024199,1.6710502,1
439,7.5617304,5.161038,1
6481,-1.0561174,16.438147,1
4808,11.395864,7.7568865,1
6397,5.7284856,18.96391,1
4418,6.3962827,6.063001,1
4985,11.551467,0.25945193,1
4443,14.365139,-9.746792,1
5242,11.090837,8.843277,1
5199,16.9246,-1.2266595,1
5336,3.5227478,0.97209114,1
6455,3.699601,16.220089,1
4988,6.874292,9.762737,1
1454,15.945981,-1.9575961,1
5649,4.124527,16.963192,1
5665,-0.75511986,15.971254,1
6490,0.0073513607,17.659472,1
4604,17.866135,-3.5135794,1
4773,4.1046424,2.947803,1
5489,0.5320477,16.88167,1
6440,-1.2564371,14.212303,1
6303,-0.07243445,15.422125,1
2176,5.164758,1.0357908,1
5307,8.881959,13.321634,1
6000,-0.104868,13.41817,1
6233,0.07307345,17.804485,1
1059,13.937443,-2.58765,1
5805,-0.025693187,16.430948,1
5570,-0.39827493,17.125996,1
6205,-0.41054428,17.093416,1
4591,14.635446,2.4268627,1
1766,13.768023,2.3087204,1
5558,-1.2129257,12.868113,1
4562,10.849645,0.5862506,1
5830,-0.003427912,18.073574,1
6437,-1.1577806,16.897446,1
1555,11.34529,7.696533,1
1743,15.238611,2.5699825,1
5306,3.3543043,1.24688,1
916,11.982994,2.7321231,1
4378,18.457544,-1.2058012,1
1964,11.527339,0.23412922,1
5957,0.017703028,13.740208,1
6030,-1.0547177,16.59858,1
5402,16.425154,3.0737677,1
4466,3.6194205,3.0073824,1
1650,9.369052,10.035795,1
5228,11.504922,6.535131,1
2048,11.428981,6.480549,1
6533,-0.37232852,17.1566,1
4745,2.6926315,2.8179333,1
5538,3.8049037,16.215698,1
5485,-1.2440176,14.607042,1
5051,13.184869,4.753271,1
1912,7.40172,5.535618,1
4801,13.902685,11.848793,1
5276,15.960459,-1.936898,1
4405,11.628248,-8.148054,1
6453,0.68683153,14.706539,1
6229,0.0050479504,13.700753,1
5686,-0.0898697,14.581444,1
