,UMAP_1,UMAP_2,label,naive,MLP,logisticRegression,decisionTree,randomForest,xgb
575,8.997715,13.154659,1,0,0,0,1,1,1
1428,8.122729,12.603148,0,0,0,0,0,1,1
1386,6.205563,7.8510523,0,0,0,0,0,1,1
1967,5.2809463,8.405279,0,0,0,0,0,1,1
2243,7.544362,9.9889145,1,0,0,0,0,1,1
1196,8.211761,11.746547,0,0,0,0,0,1,1
419,4.8871884,7.308474,0,0,0,0,0,1,1
1826,9.545897,13.276857,0,0,0,0,0,1,0
1260,11.20666,10.754856,1,0,0,1,0,1,0
3072,11.752071,13.036518,1,0,0,1,1,1,1
1642,10.943871,11.300257,1,0,0,0,0,1,0
3189,9.904751,11.049412,1,0,0,0,0,0,0
928,9.799013,12.371592,0,0,0,0,0,0,0
610,8.425445,10.613039,0,0,0,0,0,1,1
1575,10.701705,10.208944,0,0,0,0,0,0,0
185,8.25425,12.342491,0,0,0,0,0,1,1
2782,5.3139477,7.8943596,0,0,0,0,0,1,1
449,6.024619,8.543887,0,0,0,0,0,1,1
1198,8.390488,13.61325,0,0,0,0,0,1,1
1356,4.627326,7.0475845,0,0,0,0,0,1,1
399,8.338579,10.548912,0,0,0,0,0,1,1
3168,9.622146,10.885321,1,0,0,0,0,0,0
1781,9.000901,11.570834,0,0,0,0,1,1,1
2995,5.586995,8.193997,1,0,0,0,0,1,1
411,5.6147976,8.02642,0,0,0,0,0,1,1
2878,8.125568,12.127999,0,0,0,0,0,1,1
3264,8.576903,13.536826,0,0,0,0,1,1,1
2071,11.509818,12.203941,1,0,0,1,0,1,1
680,9.835071,11.877851,0,0,0,0,0,0,0
865,12.03402,12.691795,0,0,0,1,1,1,1
444,10.194377,11.805151,0,0,0,0,0,0,0
211,10.689126,12.697074,0,0,0,0,0,0,0
569,8.867336,13.719762,0,0,0,0,1,1,1
1243,9.871935,13.405538,0,0,0,0,0,0,0
780,9.352335,10.298628,0,0,0,0,0,1,1
779,11.318104,13.424222,0,0,0,0,0,1,0
2076,8.068495,9.741287,1,0,0,0,0,1,1
1744,10.880154,10.37953,1,0,0,1,0,0,0
144,8.287198,12.616845,0,0,0,0,0,1,1
898,9.3291855,13.002801,0,0,0,0,1,1,1
1429,6.121876,7.7898955,0,0,0,0,0,1,1
2033,5.066004,7.2616777,0,0,0,0,0,1,0
1150,11.096155,9.891137,1,0,0,1,0,1,0
1282,10.785029,13.420291,0,0,0,0,0,0,0
1206,9.840467,12.322705,1,0,0,0,0,0,0
1172,11.040038,10.787099,1,0,0,1,0,1,0
258,7.839956,9.857407,0,0,0,0,0,1,1
393,4.443686,7.2887397,1,0,0,0,0,1,1
960,11.365673,11.105296,0,0,0,1,0,1,1
877,8.885445,12.763089,1,0,0,0,1,1,1
947,8.431883,13.016606,0,0,0,0,0,1,1
1944,11.521948,13.453495,1,0,0,0,0,1,1
1950,4.6286426,7.811635,0,0,0,0,0,1,1
2501,7.823907,10.284041,0,0,0,0,0,1,1
3087,8.420617,11.788593,0,0,0,0,0,1,1
1387,10.390009,12.00832,0,0,0,0,0,0,0
820,5.8798676,8.33775,1,0,0,0,0,1,1
1115,8.362228,13.224433,1,0,0,0,0,1,1
1998,5.125616,7.80431,0,0,0,0,0,1,0
1691,10.791916,10.997927,1,0,0,0,0,0,0
1458,10.795454,10.279228,0,0,0,1,0,0,0
2714,5.884564,8.455388,0,0,0,0,0,1,1
1971,5.1732736,8.478942,0,0,0,0,0,1,0
920,10.065179,13.463639,1,0,0,0,0,0,0
1176,9.735884,12.977685,0,0,0,0,0,0,0
1903,8.475112,13.48104,0,0,0,0,1,1,1
1874,11.109872,13.323976,0,0,0,0,0,1,0
311,4.4522552,7.323529,1,0,0,0,0,1,1
1956,4.8940716,6.5981326,0,0,0,0,0,1,1
1530,9.538024,10.029547,0,0,0,0,0,1,0
430,5.8056684,8.631422,0,0,0,0,0,1,1
1313,12.098076,12.239556,0,0,0,1,1,1,1
281,5.697009,7.7339015,0,0,0,0,0,1,1
2072,10.943567,10.217475,1,0,0,1,0,1,0
586,8.484961,12.626501,1,0,0,0,1,1,1
647,8.44627,14.013087,1,0,0,0,0,1,1
1876,11.290644,11.492354,1,0,0,1,0,1,0
1134,8.397921,13.83828,0,0,0,0,0,1,1
2027,4.483432,7.972027,1,0,0,0,0,1,1
1622,8.746968,13.644055,0,0,0,0,1,1,1
1132,11.545672,11.65815,0,0,0,1,0,1,1
2800,11.683692,11.003898,1,0,0,1,0,1,1
1447,8.696185,13.117511,0,0,0,0,1,1,1
1604,9.286252,13.384204,1,0,0,0,1,1,1
642,9.768284,13.667404,0,0,0,0,0,0,0
2712,4.7201614,7.725391,0,0,0,0,0,1,1
220,11.862995,11.8802,0,0,0,1,1,1,1
164,7.864791,9.899003,0,0,0,0,0,1,1
1256,11.84676,13.028261,0,0,0,1,1,1,1
2059,4.524527,7.9996386,0,0,0,0,0,1,1
1111,5.486118,9.212112,0,0,0,0,0,1,1
1073,9.002393,11.386481,0,0,0,0,1,1,1
1870,11.469016,11.732458,0,0,0,1,0,1,1
593,5.837681,9.618677,1,0,0,0,0,1,1
1345,5.5805845,7.9746,0,0,0,0,0,1,1
808,9.49696,12.909765,1,0,0,0,0,1,0
2044,4.900352,7.619298,0,0,0,0,0,1,1
1411,9.465327,10.3718605,1,0,0,0,0,1,1
1510,11.079548,10.0271,0,0,0,1,0,1,0
1655,8.561041,12.745713,1,0,0,0,1,1,1
160,8.291368,11.990912,0,0,0,0,0,1,1
1275,11.24153,13.384725,0,0,0,0,0,1,0
883,9.006255,12.119886,1,0,0,0,1,1,1
2479,10.308127,11.25835,0,0,0,0,0,1,0
1146,11.32988,13.1415615,1,0,0,0,0,1,1
1096,9.244407,11.161345,1,0,0,0,1,1,1
874,8.013137,10.188223,0,0,0,0,0,1,1
663,9.444896,10.343763,0,0,0,0,0,1,0
1056,11.211534,13.317689,1,0,0,0,0,1,0
2068,8.307347,13.716431,0,0,0,0,0,1,1
2753,5.1930733,7.151889,0,0,0,0,0,1,0
1793,9.39575,11.593802,0,0,0,0,0,1,1
878,8.533112,13.832418,0,0,0,0,1,1,1
984,8.608885,14.13029,0,0,0,0,1,1,1
968,9.704743,10.297398,1,0,0,0,0,0,0
1039,10.0233965,12.166621,0,0,0,0,0,0,0
1242,12.027223,11.735562,0,0,0,1,1,1,1
2345,5.3932514,8.41813,0,0,0,0,0,1,1
1667,11.311067,11.174388,1,0,0,1,0,1,0
682,10.88501,10.654933,0,0,0,1,0,0,0
1069,8.152164,11.203683,0,0,0,0,0,1,1
1314,11.977984,12.923143,1,0,0,1,1,1,1
192,7.791501,9.960727,0,0,0,0,0,1,1
1239,8.215273,13.218945,0,0,0,0,0,1,1
270,5.8535585,7.966707,0,0,0,0,0,1,1
1182,11.344299,11.661068,1,0,0,1,0,1,1
658,11.057912,12.614851,1,0,0,0,0,1,0
1658,8.6545725,12.205686,1,0,0,0,1,1,1
1005,11.22816,10.540059,1,0,0,1,0,1,0
106,5.942911,8.458088,1,0,0,0,0,1,1
1089,9.679084,10.267428,0,0,0,0,0,0,0
1663,8.676333,12.434256,0,0,0,0,1,1,1
1406,10.117336,12.550592,0,0,0,0,0,0,0
706,10.010729,13.564179,0,0,0,0,0,0,0
2940,4.705154,6.8562665,1,0,0,0,0,1,1
1910,10.12375,11.264913,0,0,0,0,0,0,0
1037,11.883914,11.978633,0,0,0,1,1,1,1
3086,8.20121,12.790784,1,0,0,0,0,1,1
2703,7.833862,9.465586,1,0,0,0,0,1,1
349,5.5962157,7.61134,0,0,0,0,0,1,1
3309,8.522144,13.4108925,1,0,0,0,1,1,1
1269,4.3692374,7.6255393,0,0,0,0,0,1,1
915,9.5858,10.18107,0,0,0,0,0,1,0
1165,9.607152,13.539287,1,0,0,0,0,1,0
304,5.416617,7.360344,0,0,0,0,0,1,1
2769,5.0886474,7.744409,1,0,0,0,0,1,0
1352,10.255977,10.347484,1,0,0,0,0,1,0
1154,8.771876,13.950373,1,0,0,0,1,1,1
1565,11.854952,12.849112,0,0,0,1,1,1,1
2017,11.591099,12.4918995,0,0,0,1,0,1,1
111,8.071171,12.680611,0,0,0,0,0,1,1
611,11.895797,11.418862,1,0,0,1,1,1,1
1753,11.486785,12.010431,1,0,0,1,0,1,1
1112,12.010937,12.460413,0,0,0,1,1,1,1
2247,8.199333,9.793309,0,0,0,0,0,1,1
1881,11.044544,11.266867,0,0,0,1,0,1,0
1552,9.098823,11.406003,1,0,0,0,1,1,1
1347,9.885965,12.861391,0,0,0,0,0,0,0
1656,9.811562,13.180856,0,0,0,0,0,0,0
1168,8.9458065,10.559164,0,0,0,0,1,1,1
3077,8.343049,12.602644,0,0,0,0,0,1,1
668,6.227893,8.218704,0,0,0,0,0,1,1
1508,11.748116,12.587944,0,0,0,1,1,1,1
1419,11.702204,13.1579275,1,0,0,1,0,1,1
1860,5.6153383,8.177999,1,0,0,0,0,1,1
2410,7.360445,9.945984,1,0,0,0,0,1,1
641,9.140026,12.705563,1,0,0,0,1,1,1
1229,11.998785,12.677725,0,0,0,1,1,1,1
1047,8.295647,11.541457,0,0,0,0,0,1,1
476,10.905882,10.013152,1,0,0,1,0,0,0
2064,5.413734,8.609463,0,0,0,0,0,1,1
2218,11.962673,11.464926,0,0,0,1,1,1,1
1188,4.7906013,7.125782,0,0,0,0,0,1,1
1695,9.199189,13.302286,0,0,0,0,1,1,1
637,11.022036,10.0191345,0,0,0,1,0,1,0
34,11.821346,13.087799,0,0,0,1,1,1,1
1249,8.654729,10.746631,0,0,0,0,1,1,1
891,11.489707,11.995263,1,0,0,1,0,1,1
1772,11.566793,13.17031,1,0,0,0,0,1,1
2186,8.947672,13.584656,1,0,0,0,1,1,1
295,6.0176573,7.8624544,0,0,0,0,0,1,1
581,10.692385,12.344847,0,0,0,0,0,0,0
301,4.755413,7.616943,1,0,0,0,0,1,1
2408,10.41478,12.931422,1,0,0,0,0,0,0
1216,9.86155,10.861658,0,0,0,0,0,0,0
169,7.5629497,10.076116,1,0,0,0,0,1,1
215,9.946344,12.059341,0,0,0,0,0,0,0
2031,4.67522,8.011074,0,0,0,0,0,1,1
1990,4.3752995,7.4837613,0,0,0,0,0,1,1
1021,11.733833,12.998321,0,0,0,1,1,1,1
885,9.936917,12.595699,0,0,0,0,0,0,0
371,4.7484465,8.17649,0,0,0,0,0,1,1
1960,4.9330697,8.082222,0,0,0,0,0,1,1
3279,9.3649235,13.464788,0,0,0,0,0,1,1
3013,4.5569587,7.874706,0,0,0,0,0,1,1
892,8.113842,12.249425,1,0,0,0,0,1,1
1357,9.144098,12.578199,0,0,0,0,1,1,1
1389,10.54588,10.176608,0,0,0,0,0,0,0
737,5.361268,7.3398046,0,0,0,0,0,1,1
172,9.4721775,13.332211,1,0,0,0,0,1,0
1607,8.736596,11.633862,1,0,0,0,1,1,1
1015,8.569381,13.320779,0,0,0,0,1,1,1
334,5.700051,8.065,0,0,0,0,0,1,1
2052,4.83572,6.923467,0,0,0,0,0,1,1
1075,8.391628,11.259433,0,0,0,0,0,1,1
412,5.5752153,7.6538315,0,0,0,0,0,1,1
553,9.882509,11.093413,1,0,0,0,0,0,0
755,9.993222,11.443438,0,0,0,0,0,0,0
3277,4.705763,6.7994037,1,0,0,0,0,1,1
3255,10.045838,10.8888445,1,0,0,0,0,0,0
556,9.665214,11.442578,0,0,0,0,0,0,0
1022,11.420698,12.858129,0,0,0,0,0,1,1
861,10.875512,9.920233,0,0,0,1,0,0,0
1914,11.25374,13.176823,1,0,0,0,0,1,0
274,8.855476,10.529669,0,0,0,0,1,1,1
2003,4.808474,6.923998,0,0,0,0,0,1,1
1190,10.609981,10.101402,0,0,0,0,0,0,0
1610,8.594423,12.836441,1,0,0,0,1,1,1
2067,10.784289,12.128692,0,0,0,0,0,0,0
2848,10.748476,10.657852,1,0,0,0,0,0,0
2095,9.720605,13.051,0,0,0,0,0,0,0
130,10.927336,13.217604,1,0,0,0,0,1,0
847,5.56308,9.217653,0,0,0,0,0,1,1
573,9.837063,11.724233,1,0,0,0,0,0,0
2148,7.642627,10.014527,0,0,0,0,0,1,1
1985,5.167502,7.8402224,0,0,0,0,0,1,0
