,UMAP_1,UMAP_2,W3IWER4_A
565,12.722567,5.620448,1
22,9.203113,2.9142692,1
409,11.625346,5.6903234,1
556,10.762413,6.995117,1
122,10.64037,4.7950163,1
154,11.019993,3.0389676,1
127,9.308907,4.9358873,1
521,9.502075,4.322087,1
567,11.367166,3.2206035,1
247,9.31443,6.8948293,1
568,4.570579,5.2319784,1
60,9.666133,4.7451415,1
301,10.829984,3.2448592,1
611,12.277961,7.1422067,1
106,12.332868,4.386523,1
183,9.094439,6.2638636,1
535,11.064364,6.173834,1
587,8.151503,4.237222,1
522,11.242116,3.7737896,1
585,11.732847,6.326809,1
548,6.670535,5.254554,1
254,10.953364,6.7560134,1
108,10.20396,6.412528,1
421,5.503921,6.4033446,1
178,9.444937,3.4234922,1
494,11.665956,5.415687,1
601,12.942882,4.7216716,1
463,9.814355,5.1368456,1
554,9.515716,6.0454803,1
596,6.3893166,6.223036,1
594,9.420071,3.4658856,1
351,7.70857,4.467658,1
513,6.2831445,4.1532383,1
393,7.4616666,4.1670475,1
455,8.635243,7.3341346,1
397,9.050261,6.464427,1
335,11.7278805,6.395167,1
131,8.805488,4.893074,1
322,12.313378,4.5227833,1
342,10.539702,2.8884761,1
583,11.5353365,3.299957,1
9,10.321618,3.0098937,1
59,9.180705,7.559209,1
630,8.968624,7.6578574,1
504,7.711069,3.5418127,1
606,6.356172,6.1921926,1
592,10.282164,4.2686486,1
597,9.482994,2.7971468,1
518,11.175317,5.873222,1
558,10.233794,3.969614,1
582,9.718177,5.141073,1
623,12.013891,5.3972473,1
528,5.807446,3.7833145,1
328,5.108662,4.399947,1
103,12.536087,6.1580687,1
607,11.177952,3.8066776,1
184,12.904852,4.360989,1
543,4.6166687,5.3887906,1
263,5.677682,3.8430722,1
355,11.345636,7.4164267,1
584,11.734583,7.115308,1
469,8.07162,6.409513,1
539,11.566647,7.1312084,1
492,13.0116415,4.7291956,1
499,4.911284,6.3637953,1
112,12.3756275,4.850032,1
557,8.6043,7.321785,1
251,9.60645,2.564015,1
97,12.195314,6.229919,1
482,9.428537,2.7342541,1
484,11.664484,4.240358,1
634,11.298872,4.365151,1
631,12.480663,7.3027577,1
387,9.933874,2.6656291,1
576,10.143829,6.428893,1
547,12.303135,4.1987534,1
295,12.17831,5.943573,1
180,9.144948,2.9628458,1
32,9.51691,4.5242763,1
614,12.048718,5.826259,1
507,11.031117,6.3476195,1
588,11.455537,4.4996333,1
566,12.033011,4.1026735,1
635,9.576375,5.509582,1
370,5.6181436,6.1135716,1
412,10.98983,5.189405,1
454,4.7642345,6.1094494,1
493,9.325287,5.365971,1
579,9.719265,4.5611296,1
460,8.791952,6.9921293,1
519,9.571039,4.3587317,1
602,10.369503,3.4165962,1
533,11.5359125,7.1354046,1
31,10.294504,5.298145,1
574,12.706821,3.9242454,1
464,9.52582,6.6647735,1
225,10.6144085,2.6533232,1
564,8.807597,4.867428,1
603,7.406501,4.1696587,1
542,11.046772,5.2020497,1
163,9.728185,5.5576777,1
111,8.822482,5.161898,1
526,9.637425,4.789457,1
283,11.487951,6.955495,1
605,12.608918,4.0706763,1
379,9.669834,3.1576073,1
419,5.386563,3.5021892,1
259,9.689636,5.7656174,1
621,8.998511,7.7112584,1
598,11.919052,6.836605,1
586,10.449444,4.001769,1
69,10.461685,3.5579138,1
25,12.396732,7.203576,1
399,9.5547,4.723783,1
19,12.994026,4.5421557,1
625,7.966802,6.539984,1
619,12.443578,7.2733035,1
320,12.442702,7.272455,1
505,8.338323,6.4150124,1
632,5.2921433,6.299202,1
502,12.640225,4.200723,1
433,10.729282,4.8864956,1
555,11.239797,6.2274156,1
470,5.889733,5.129074,1
626,6.3937297,5.2170396,1
475,9.810031,3.704102,1
414,5.884097,5.5559645,1
604,12.915792,4.715767,1
531,8.1625185,6.3656583,1
374,10.08697,3.9908352,1
529,10.932663,5.803848,1
569,10.296076,3.0304334,1
618,4.431009,6.337929,1
151,10.989005,4.023646,1
517,12.792174,5.675748,1
13,5.8907743,3.8834064,1
346,12.045985,5.7561355,1
506,9.78738,5.2938643,1
208,5.008935,6.1823125,1
203,11.897109,6.8105435,1
109,6.109758,6.159065,1
378,9.993219,6.657811,1
536,12.513373,6.0546565,1
599,8.918138,4.6677747,1
501,5.66337,6.446608,1
368,10.012506,3.9263413,1
545,7.2401323,4.9491806,1
431,11.569878,4.192774,1
447,9.5205145,3.471625,1
230,4.487686,6.272359,1
550,4.7396865,5.4879208,1
570,9.791185,3.1380346,1
508,9.22118,7.0067654,1
591,10.577181,3.8114948,1
442,11.384816,3.9479723,1
133,5.5185184,3.975639,1
344,9.9337845,4.03129,1
551,11.816846,5.414813,1
590,11.742545,7.141265,1
595,8.634679,6.683039,1
563,12.998033,4.7679543,1
612,9.945656,5.0809836,1
39,9.54013,6.1696615,1
589,4.8884478,6.484902,1
617,8.7073,3.5884728,1
620,9.873179,3.4162557,1
192,9.726306,3.1562815,1
141,11.606212,7.019582,1
169,8.990469,7.750024,1
511,8.802305,6.603872,1
307,9.9285145,3.2464595,1
514,10.653122,4.8626466,1
51,11.452001,7.2438116,1
160,10.754416,3.302766,1
324,8.892072,6.825688,1
417,7.7245455,3.492396,1
84,11.677925,3.5836763,1
4,9.870456,2.78659,1
201,12.359461,6.0623927,1
489,10.215443,5.033235,1
613,12.81096,4.118338,1
299,6.8757644,5.306947,1
435,11.061358,3.3546999,1
593,7.3027267,5.1256175,1
577,9.6342745,4.5544286,1
100,9.817921,4.2713027,1
101,9.924435,3.7726274,1
600,5.466544,4.0241003,1
126,4.7887197,5.4753647,1
198,4.7762523,6.397986,1
530,10.390366,7.18815,1
45,9.63194,5.485565,1
79,4.9347515,5.0082297,1
81,10.1973,4.091399,1
325,11.726948,6.9712873,1
527,8.661172,3.235284,1
90,10.775931,2.557304,1
560,8.770298,6.992724,1
486,7.8973036,3.9801412,1
281,4.6567664,5.314073,1
581,9.525699,3.1717577,1
93,4.7097297,5.3247786,1
496,11.104755,4.3724985,1
580,10.626118,4.0657315,1
610,4.50081,6.2369494,1
16,9.749463,5.293625,1
609,12.02078,4.780234,1
446,11.692809,5.6726413,1
615,12.1889515,4.690872,1
