,UMAP_1,UMAP_2,label,naive,MLP,logisticRegression,decisionTree,randomForest,xgb
575,-1.0513738,11.594421,1,0,0,0,1,1,1
1428,11.661105,12.343687,0,0,0,1,0,0,0
1386,-2.309331,12.216181,0,0,0,0,0,0,0
1967,-1.7846838,9.6507435,0,0,0,0,0,1,0
2243,2.3602378,8.7213125,1,0,1,0,0,0,0
1196,11.95107,11.698178,0,0,0,1,0,0,0
419,-1.9879794,9.173225,0,0,0,0,0,0,0
1826,-1.4877818,11.123241,0,0,0,0,1,1,1
1260,12.12082,10.526411,1,0,0,1,0,0,0
3072,-4.2025566,11.943308,1,0,1,0,1,0,0
1642,10.466841,10.878713,1,0,0,1,0,0,0
3189,-4.63537,10.938072,1,0,1,0,1,1,0
928,10.701127,11.1872835,0,0,0,1,0,0,0
610,-4.171912,12.247894,0,0,0,0,1,0,0
1575,-4.019078,11.673082,0,0,1,0,1,0,0
185,1.3804357,8.124267,0,0,1,0,0,0,0
2782,-2.2794008,9.675944,0,0,0,0,0,1,0
449,-3.8722646,9.880352,0,0,1,0,0,1,1
1198,11.879748,12.742585,0,0,0,1,0,0,0
1356,12.564646,10.872654,0,0,0,1,0,0,0
399,-3.7281826,9.649608,0,0,1,0,0,1,1
3168,12.706652,11.000959,1,0,0,1,0,0,0
1781,11.987612,11.706799,0,0,0,1,0,0,0
2995,-2.0269306,9.479608,1,0,0,0,0,0,0
411,-1.9414461,9.337629,0,0,0,0,0,0,0
2878,-1.962772,9.456866,0,0,0,0,0,0,0
3264,11.929577,13.030515,0,0,0,1,0,0,0
2071,12.309841,13.069548,1,0,0,1,0,0,0
680,12.371548,11.976666,0,0,0,1,0,0,0
865,-4.4523964,11.558616,0,0,1,0,1,1,1
444,9.021399,11.002575,0,0,0,1,0,0,0
211,2.0169094,8.621008,0,0,1,0,0,0,0
569,12.340275,12.3247795,0,0,0,1,0,0,0
1243,-2.5706058,12.1548195,0,0,0,0,0,0,0
780,-0.7797755,11.037173,0,0,0,0,1,0,0
779,11.837904,10.494115,0,0,0,1,0,0,0
2076,1.4167097,8.300173,1,0,1,0,0,0,0
1744,-3.8855186,11.377178,1,0,1,0,0,1,1
144,1.2693359,8.046165,0,0,1,0,0,0,0
898,-2.147166,12.223425,0,0,0,0,1,0,0
1429,12.424567,10.890897,0,0,0,1,0,0,0
2033,8.478417,10.982837,0,0,0,1,0,0,0
1150,11.8600235,13.188441,1,0,0,1,0,0,0
1282,11.697999,10.550485,0,0,0,1,0,0,0
1206,10.869544,11.722081,1,0,0,1,0,0,0
1172,11.9920635,12.146969,1,0,0,1,0,0,0
258,-2.6297529,8.514158,0,0,0,0,0,0,0
393,-3.1980042,9.787217,1,0,0,0,0,1,1
