,UMAP_1,UMAP_2,W3IWER4_A
1612,16.313383,11.911918,1
1593,-9.446632,-0.25789183,1
1501,-4.723821,6.0658293,1
1334,0.9969841,1.2234541,1
1710,13.7392435,-13.075434,1
80,-9.896439,14.486843,1
1350,-5.3918085,1.114848,1
509,-2.6276307,-11.138394,1
248,-0.22171353,7.820472,1
1676,17.866583,12.064841,1
1697,20.27522,-5.0421267,1
17,1.8354943,-6.927226,1
32,-4.812234,-2.0185091,1
1406,-7.251919,0.438802,1
526,-6.9832273,12.743395,1
1772,14.573319,-3.5517778,1
618,-13.403012,-6.882629,1
247,-8.35692,-5.158175,1
1401,-5.3242826,9.197339,1
1277,-4.8249774,-1.979434,1
1810,15.228431,2.2327852,1
1846,8.727686,18.611917,1
1485,1.4091041,-5.1344995,1
1427,2.957125,-7.3308473,1
486,-5.7512937,9.091116,1
1534,-4.8225107,-1.9860628,1
355,-2.7679687,11.019893,1
1581,-9.69194,0.8766083,1
590,-15.482943,5.511186,1
1898,14.528472,-5.934589,1
1844,17.943838,3.77086,1
1413,-9.853053,14.390885,1
1498,-13.5058365,3.6977682,1
1536,0.16679713,-1.0524352,1
1768,15.264363,2.1971793,1
1781,10.021722,-5.388179,1
424,2.9872682,-7.365763,1
632,4.7194448,-8.895563,1
1814,17.934898,3.8713632,1
536,-4.4446387,-0.88838696,1
1445,-13.1075945,-7.0626135,1
259,-7.6252804,12.988056,1
1905,18.12649,4.944952,1
633,1.0310274,-5.620994,1
1757,17.442541,3.1557534,1
595,1.7039307,-6.4560413,1
1353,0.9829147,1.1975489,1
281,4.6860795,-8.894191,1
431,13.888688,-0.8172229,1
1870,16.172182,11.97601,1
1420,-9.6823635,0.7778075,1
1747,18.7968,12.893115,1
1737,17.393387,3.106542,1
608,-7.238395,0.4636603,1
1369,5.1391172,9.707172,1
1695,15.808423,18.434998,1
1361,-5.650459,15.368135,1
1805,16.295551,11.908744,1
1458,-9.509682,-1.6013564,1
1404,0.684769,-0.24060245,1
1326,-0.4847919,8.353658,1
399,-6.9275894,12.715743,1
1324,2.0139925,-7.086126,1
517,5.131061,9.712979,1
1390,-0.3990692,1.1156639,1
1461,-12.147324,13.5622,1
1712,8.896618,18.775166,1
1516,-4.4968076,-0.6276348,1
482,1.5726223,-4.866566,1
1783,14.628155,-5.835419,1
1791,16.01639,12.099314,1
1645,16.269953,11.912435,1
455,-10.387833,1.572888,1
1863,15.998223,12.113555,1
1592,-9.704025,10.27072,1
1649,18.561026,-2.41286,1
1540,-2.9903471,11.133092,1
1742,8.453528,18.339682,1
1696,18.672243,-2.3022454,1
1382,1.5984831,-6.02524,1
511,1.4823806,-5.4912286,1
603,-12.186336,13.523006,1
106,5.1097636,14.143425,1
1663,18.123667,12.277147,1
173,-5.389473,1.104113,1
397,-1.4402785,4.567468,1
1346,-7.1264195,12.770097,1
510,2.9703474,-7.32625,1
602,1.1718565,-6.6498632,1
1486,-2.1327674,11.160738,1
599,-8.739438,13.16647,1
1735,17.837969,12.057176,1
1877,18.831923,12.927357,1
1399,-8.748185,13.180312,1
1719,17.083801,11.851885,1
626,-15.02997,-3.3568811,1
1407,-12.993842,-7.1382146,1
1490,2.5615034,-0.8556301,1
1660,13.739374,-13.075466,1
586,-9.842851,14.384732,1
1908,13.739573,-13.075592,1
635,-9.7059145,10.260255,1
1808,18.101286,4.9122386,1
1532,-8.751366,13.164398,1
1812,17.946234,4.1804686,1
419,-2.6382062,-11.149586,1
598,5.1579776,14.265377,1
546,-5.635751,9.1723995,1
587,-3.410829,10.931891,1
1317,-0.3426811,4.577565,1
1902,20.23116,-5.0894055,1
1862,18.310482,18.800226,1
1396,-2.0281818,-14.009311,1
1789,14.415836,-6.046265,1
1618,17.743128,11.998836,1
1635,15.999872,12.111377,1
1388,-3.3201802,5.030044,1
113,2.317092,-1.072867,1
1595,14.564895,-5.8985696,1
1726,9.722184,-5.450526,1
1855,14.655656,-5.807319,1
1332,-8.249484,-5.725587,1
1460,-13.323622,-6.9442754,1
1340,-6.5349655,5.1605697,1
1421,1.8495065,12.327706,1
634,-11.412638,-2.4765506,1
1825,15.252067,2.2094512,1
1659,18.822681,12.919502,1
1861,15.796847,18.42956,1
619,-10.820918,10.130078,1
1699,13.738205,-13.074989,1
1776,14.579968,-3.5507846,1
1364,-4.5303717,0.1513081,1
77,-3.0691617,11.156885,1
1692,9.290615,-5.55367,1
577,-4.829737,-1.9736576,1
1694,17.749165,12.001294,1
