,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,PC_10,label,naive,MLP,logisticRegression,decisionTree,randomForest,xgb
1011,-1.488278281747874,1.9932569385926835,-1.7396439457465969,0.9071114432928068,-0.18633172104866966,1.3032603236975129,-0.7799596550991703,0.20220548451426376,0.9745425739550112,-0.3673512987080027,0,0,1,1,0,0,0
575,-1.5627512215871697,-0.07977891434997054,1.072358668900435,-1.6344208311455648,0.40674797193476836,0.41383830776693264,0.1360906506624409,-0.366168494114682,0.4972072343978679,-1.1315049351691568,1,0,1,1,1,1,1
2316,2.0840552529597525,-1.269701537534429,3.387244401408432,-0.6745411896730674,1.4150012265464729,1.096625238159004,-0.9321434179212486,-0.2288632811748683,-0.10641753355966636,0.32332462321229105,0,0,0,0,1,0,0
1092,-0.25707598651683466,-1.2114339171404267,-1.8052254802569652,-0.9378115580053549,0.33616272943755976,-1.200853492286749,1.1005406030114455,2.4910251689255754,0.1454508625948154,-0.23277451252738607,1,0,1,1,1,1,1
19,-0.6295497156220587,2.3800353433621995,0.36992781274527503,-0.368610518694827,0.36646206138393317,0.9811064754539028,-0.8808925255139354,0.1255072072021455,-0.43488676083082956,1.1444935143831887,0,0,0,0,0,0,0
2198,2.2310056997167944,-1.1560373407566598,3.3947379985338,0.13392378615744724,2.262431867167749,1.1167436454078863,-0.20999274808714716,-0.22129053970818277,0.2329476900553441,-1.1997677292110973,1,0,0,0,1,0,0
1428,-0.26384668600234107,2.5571497994774925,0.7187971200897902,0.3646227727654282,-0.31907908216158154,0.5438394077261924,1.3617309733765457,-1.2007949216552454,-0.13713297408368777,0.6085318139881816,0,0,0,0,0,0,0
1386,2.627602025145879,2.6447982934578147,-0.7071663407017004,-0.5002255955576189,-0.3329573535527032,0.3588187752434348,1.5586788096815942,-0.8367307635630186,0.1372795553015672,0.08511067481211355,0,0,0,0,0,0,0
1858,-1.1872131823643952,-1.1841828682732296,0.43130274747615505,0.9196253632891099,-1.7680776200434611,0.3365060285943096,-0.23214233421598857,-0.8118491999124577,-1.1159750768031453,-0.7175797447557364,0,0,1,1,1,1,1
1967,3.150711197632994,-1.3978568876010562,0.5870416888079627,-2.533602591220949,0.22066644862095844,0.2564945442696396,0.1103614421744424,0.27288487722891425,0.6030706009270553,-1.1787282279116815,0,0,0,0,0,0,0
1147,-1.942911870466307,0.04928884677773826,-0.3284811144783489,-1.6707908742983912,0.9070826174618647,0.7543597167514532,-0.29707706669780803,-0.39383553926263554,0.3276134677293662,-1.1604261378281386,0,0,1,1,1,1,0
267,1.171340323836334,-1.1829299880865622,-2.361756610878946,0.2177617384561655,-0.3627029984058708,1.0506924427943958,-0.5359686093255248,0.4142422306653413,1.7138892815488171,-0.7679524141343449,0,0,1,1,1,1,1
2243,1.2160551958913666,-1.5277630088120386,1.0827004908596973,0.8209621622494366,1.6503972637623698,1.1598859594934228,0.16471453843412223,0.2885582699163421,0.08248747113118782,-0.6854038864801378,1,0,1,1,1,1,1
936,-0.7644573604074207,0.3080509448270688,2.0951519371469587,-0.33462900343486063,-0.8617640641372293,-1.7039060943647715,1.3802843549807684,1.4495426028428604,-0.07933083171578059,0.043210769960487005,0,0,1,1,0,1,1
1528,3.4116135677605333,-1.2527088237077884,-0.5182193819004336,-0.605529119410588,-0.14145219468356066,-1.5280700614503784,1.5974836533175998,-0.25961646756798,0.5838049849457657,0.5607640727963634,1,0,0,0,1,0,1
1454,-1.3401544002577819,-0.10414561996770776,0.15301683391355303,1.190079496173795,-1.7487114765576321,0.12614057092419634,0.3459753334528416,-0.2550096967086865,-0.4772123218668228,-1.1177413202148287,1,0,1,1,1,1,1
1196,-0.5552616937333951,2.5419299915346314,1.4492016450899559,-1.418304234209225,0.33413636409378006,0.43161245520540403,-0.3502814517030688,-0.6220224237816137,-0.1013652060660323,-0.7849345659132505,0,0,0,0,0,0,0
419,1.4274929404052075,1.3033137475837255,-2.0844513098502637,-2.064167085492101,1.374044580535161,0.9769058019947147,-1.0379461155532574,-0.43927504147801893,-0.474684362124874,-1.1567007220896126,0,0,0,0,0,0,0
1826,-1.4791488685723535,-1.2175621900238731,0.8179160933137872,-0.4587889950046722,-0.7227362187591997,0.6920934030489497,0.8233686128905812,1.01094811252891,-0.8350420123372448,0.040178607014053826,0,0,1,1,1,1,1
3202,-1.9428141695887786,-1.711326535866742,-1.0739261926908392,0.9443794292197465,-0.19292447369137175,-0.563019971093767,-0.8731225270474198,-0.06155940076583788,1.0524208812148879,0.0612298996631786,0,0,1,1,1,1,1
2417,0.7967724446551744,-2.1334333312787352,-0.5669589672694235,1.637296370138791,2.600983015102437,-0.11444140464594832,0.8315280495414712,-0.6895898548346241,-0.1312254939126173,0.30561309642411993,0,0,1,1,1,1,1
1260,-2.27783137756294,-0.699754342964487,-0.862773334244384,-0.44522123461898,0.04128893256625373,0.8824640402624158,0.9858559672763645,1.506529796603876,-0.4742807951190186,-0.3435269576869935,1,0,1,1,1,1,1
2741,0.9855115857902788,-1.4366888051107876,-2.0960079850659104,-1.2359726317803899,-0.20995029644249635,0.9941619574366153,0.21993260589053884,1.0796818736533575,-1.164099622638284,-0.23486844755030675,0,0,1,0,1,1,1
1831,-1.1228043294101877,-0.9301234463139091,0.41103155406345604,1.1398324045680317,-1.7266381765185077,0.3937336580518659,-0.32467214958395774,-0.7734434318835568,-1.1227718581208073,-0.7310805546669062,0,0,1,1,1,1,1
443,2.9006093142535536,2.3273179428177433,0.12124793806127947,-0.04003480322547564,-1.3447929402905598,-1.3293691099730525,-1.1881453540384146,0.6004969772265901,1.4258484709499137,1.178533516136267,0,0,0,0,0,0,0
3072,-1.813386327434885,-1.2675029064230097,-0.8598427141986091,0.5294924213248342,-0.8325833039021387,1.2231145719049643,-0.6976250205501625,-0.21843493516604917,1.0525932217203524,-0.24908122417554804,1,0,1,1,1,1,1
1642,-1.757400879424846,-1.4543181323379728,0.17097523758038688,-1.7131709154587331,0.8701772215678435,1.1744041273870685,-1.6135201181245664,-0.6693333483707197,-0.4012210422932066,0.7506344650531425,1,0,1,1,1,1,1
2742,1.0357948961643784,-1.631729172671556,-1.534196553887997,-2.4012506324110316,0.7738200388216624,-0.9886816445757032,-1.8277311122081503,-0.3906715768483289,-0.16266911988136684,0.7100429579951814,0,0,0,0,0,0,0
3189,-1.5640078586760549,-1.3526655701861627,0.6038573333491165,-0.298881295563991,-0.33193909513648506,-1.1721256899192118,0.6027717894497354,1.0890742652187264,-0.737984735592514,0.32481948695634544,1,0,1,1,1,1,1
928,-0.6176772533584455,2.456194816520323,-0.21703088434450754,0.41210393667161255,0.3318619553980424,0.8803421378703649,1.1317465571000367,-1.1231223512200685,-0.2624043357405254,0.511819525870045,0,0,0,0,0,0,0
698,1.1247110604514161,-0.402512463304162,-2.5844599748280164,0.17109907271968236,-1.4363381222881837,0.25169867094805676,-0.021623989325623975,-0.12309017457981362,-0.5911493543922313,-1.477077440230292,0,0,1,0,0,1,1
137,-0.5969898870792346,0.5708138457683604,1.1261238186256823,0.14679924228194074,-0.5381728525609968,0.4687731622986909,1.789649623815421,-1.1591019451245672,0.2889792229683838,0.4022662808371201,0,0,1,1,1,1,1
610,-0.21151470051840918,3.0198260903367253,1.7189719050263788,-0.3747268367645997,-0.7292450851724579,0.3889379777645944,1.0918064115492616,1.3499434194160154,-0.6511565628088261,-0.11235179392757019,0,0,0,0,0,0,0
2357,1.6285401488510838,-1.970660425236239,0.8619262136349947,2.1460572547630465,2.803392103527972,-0.2345665223395352,0.9950815403127012,-0.5965542404355841,0.17623139584645497,0.39601758290937183,0,0,1,1,1,1,1
567,-1.271001616080253,0.31800630131659163,1.578237454493444,-1.455287702078064,0.2794989891624494,-1.7333138225692284,0.30110195234770964,-0.25355860568254446,0.8507800883121402,-0.8990706619344189,0,0,1,0,1,1,1
1575,-1.8480403417786844,-1.3229343132194942,-0.9792510780206409,0.9072760496954102,-0.3402582105125447,-0.6430370927473003,-0.8899443230788394,-0.04174720566903722,1.1281775178531404,0.051945438958615094,0,0,1,1,1,1,1
307,-1.5301371466883222,1.581312596134037,-0.7922037250763633,-0.9292884546122215,2.0493494332966247,-0.681290778602232,-1.2344285137095208,-0.4695957429893676,-0.4690747475655398,-0.5144256210721214,0,0,0,0,0,0,0
185,-1.3260019451587282,0.31092988225653834,0.8429316806249256,-0.838366365399591,1.587110718382395,-1.3319987668942326,-0.015089812213392407,0.08185862970529738,0.9864128774966672,-0.9348524814320103,0,0,1,1,1,1,1
1872,2.7702381996147496,-2.411040940983331,-2.243875123376707,0.3121115416104108,1.8945584144922756,-0.7087417348187286,1.1408826464235846,0.046690329731307934,0.7173567462904864,0.36001268769744554,0,0,1,0,1,0,1
3243,-1.1464871724415981,-1.169771807529303,0.5726483642240205,1.0038425202746932,-1.5276661349270724,0.39831952024854494,-0.24702068602904295,-0.7352772669295417,-1.1416247658690328,-0.729440029181627,0,0,1,1,1,1,1
2048,2.297255814417892,-1.074508473019087,-0.15729952260549088,0.6579162378206606,-1.8088776817359409,-1.75497112277952,-0.49568636971264496,-0.618516866288565,-1.06902533218175,-0.664769292764221,0,0,0,0,0,0,0
3188,-0.5718044097496446,-0.7403175202318921,1.482633600108537,1.0567064757113722,-0.98138116658032,0.8769922212430853,-0.3275289036457072,-0.1616628911869373,1.4058339909441544,-0.06848485950676832,0,0,1,1,0,1,1
465,2.557525340581172,1.6734136839743954,-0.6000036368206874,-0.0569617609726138,-1.167380888693893,-1.1096481724893381,-1.5464763736116252,0.405140636516267,1.138270259217141,1.3260816327378382,0,0,0,0,0,0,0
729,-1.300102181754389,-0.06497872967913339,1.137504857393403,-0.4652667612790028,-0.8222561142262513,-1.6419619842995372,1.393029695337326,1.4636148786422327,-0.017347389576197088,-0.005274038214508661,1,0,1,1,1,1,1
695,1.7943898211282618,-0.9231675145650375,-1.9266447950452175,0.472894996790008,0.03613655329400401,1.4055034507437034,-1.3086908499024055,0.6854517357995343,1.63716239004802,0.657036848525827,0,0,1,1,1,1,1
2782,1.6419483957449528,-1.2840861784151547,-0.6407131686799576,-1.2725382757513939,-0.9026595433717755,0.6638083770697665,0.5347157560359957,0.9829733478433355,-1.0230738520019313,-0.20565865307291417,0,0,0,0,0,0,0
449,2.8296140684784437,2.014027556797127,0.5883975359518002,-1.4163575393907248,-1.305742935659985,0.3969145283093831,-0.03257766364901704,1.4535772239587077,-0.9045488545021048,1.2684845876967226,0,0,0,0,0,0,0
2828,1.2749778762619013,-1.6563559571190465,-2.2363851175918787,0.5794283373011972,-0.6670919523016031,-1.2173633577924525,-0.95655589124404,-0.45209324499472053,-1.2119503288384743,-0.7897943615829375,1,0,1,0,1,1,1
3155,-1.6648877769281785,-1.2002714001229715,-1.083143364170294,1.429832163209565,-0.3525053340168802,-1.0382870954334285,-0.9350520668156906,-0.5770239581876333,-1.319126468143722,-0.4508452995595008,1,0,1,1,1,1,1
1198,-0.3262331318827296,2.7826035930021873,0.5824480732536298,0.3404593787043927,-0.3907589283151378,0.48831910566325004,1.477767500439716,-1.1235895677290904,-0.0038272883812638363,0.5309511041857891,0,0,0,0,0,0,0
1356,0.9878655945544441,-0.7787808057010276,-2.484297873281449,0.09278318456899334,-0.5727855212377223,-1.0491583382456209,-0.4526868020519617,0.5123901491059842,1.6766867375700543,-0.5700160462757747,0,0,1,1,1,1,1
2698,-1.8126161793167679,-1.4259134492791632,-0.7486904503021937,0.6500727983490848,-0.7216636288402009,1.2487454916682437,-0.6591403215814,-0.1705903084846679,1.0375989379225279,-0.24683204401588982,0,0,1,1,1,1,1
811,2.290547615660817,2.2501958044692167,-0.3271596675311351,-1.0949196996119828,-0.7990658835420247,0.31125799939699644,0.9410021798161821,1.5153641453101339,-0.6655039800139084,-0.4074626766424555,0,0,0,0,0,0,0
868,-0.5410829328741418,2.5566785626893997,1.4398532142671479,-1.4092393840505937,0.5202013059985218,0.5301752929273922,-0.39262272592995484,-0.625766847764882,-0.17034096686943925,-0.7949277468085324,0,0,0,0,0,0,0
2237,-1.834125618445558,-1.1334484709092256,0.04738717216030952,-1.545118775509507,1.1360946397716336,1.0642456602149244,-0.806674198300218,-0.8231579066266992,-0.3463050199755717,-0.7967051458143822,0,0,1,1,1,1,1
418,4.065819711885556,2.2489076285397815,-0.020253961099381632,-0.11481322343368686,-0.9899539574522257,0.37727259973676536,0.36951877886889883,1.401554592054027,2.024764692596417,-0.8133804381164638,0,0,0,0,0,0,0
3173,-0.5497686103208251,-0.04033239117182037,1.6895877562625858,-0.3152684414192892,-0.04148891358602861,-1.0855348155181832,-0.9921677215651157,-0.1823711730412817,-0.340696545696875,1.6727862001208589,0,0,1,0,1,1,1
1714,-0.6092594881058384,-0.13965701198800395,1.2878713771391437,0.6639617399741224,-1.2477303787186917,-0.9406133445246773,-1.5165354505622237,0.03151974735272648,1.1683035298531208,1.714962504556627,0,0,1,1,0,1,1
1712,3.5626437028342215,-0.6715589733222925,-1.033678682297595,0.49181472532912124,0.5134330305325723,-0.6207803613373172,-1.6133182170928904,1.4757766526229306,1.7088224479558212,1.337011212888725,1,0,1,0,1,1,1
1118,1.6069175373781028,1.9264485004875165,-2.9915197630519392,-0.4299237828146804,0.3745069606992048,0.8293587439117661,1.0760363796989392,-0.7925976455778267,-0.07713855323140852,0.03438955992814514,0,0,0,0,0,0,0
399,0.007895756783577571,2.7417014209677624,2.2814221924889386,-1.001208311936117,0.7876863301510146,0.41679875003298084,-0.21673945570334643,-0.42317097898386835,0.2584333853426725,-0.8056937287215256,0,0,0,0,0,0,0
3168,-1.5464555838501481,-1.356936700861755,0.6748798622800464,-0.21552373894010923,-0.23217529039011414,-1.1531280163141038,0.615625460228394,1.1417310941212304,-0.7443068235154363,0.321586423837763,1,0,1,1,1,1,1
329,1.5169451463953807,-0.06921340878393627,-1.3647553314943508,-0.39214705058883764,-1.695744869108389,0.4620837947024291,0.14295160496634754,0.3490487649744157,1.7659639632582493,-0.8534618308546918,1,0,1,0,0,1,0
1781,-1.1008567966271299,-0.7613506414350578,1.9034382857375787,-1.5395057669738506,0.16940392850159525,-1.5484374463890775,-0.38221116440894787,-0.8382590758391395,0.08845794301296794,-0.40636007109600786,0,0,1,1,1,1,1
1481,-2.139049561254417,-0.7900349738093426,-0.835893586908938,-0.11913620957168294,0.4769307622784121,-0.8727312252695766,0.5648858300220998,1.4661452688617884,-0.5388917478181507,0.03657411565453273,1,0,1,1,1,1,1
439,2.6948394787361796,2.267199520339868,0.8001944507515221,-2.002628870085358,0.40377127060358986,-1.726079384567447,-0.4029238927129593,-0.3133980204618863,0.13816597876355258,-0.8723187506393902,0,0,0,0,0,0,0
1527,-0.4098305123274343,0.5516783128558194,1.2008545391158036,0.29176919710411997,-0.08496854714312521,-1.1028833608929072,0.09374648021636385,-1.1982369089283706,-0.3520166795493193,2.7049906014851253,1,0,1,0,1,1,1
2995,1.7805169321212484,-1.4382431152939916,0.6861716121669887,-2.3314052780765104,0.05178537336188156,-1.6483256527074475,-0.4135870623809283,-0.6743799306742972,0.15533314984855412,-0.7660640734939977,1,0,0,0,0,0,0
411,2.126494631350155,2.2465016260230586,-0.6415084806059401,-2.372697947668275,0.8005091186594318,0.7292544976597369,-1.3648336228730236,-0.04170308646167025,-0.11792984070187605,0.2195782672033619,0,0,0,0,0,0,0
747,-1.6042476998564437,2.1969575460183632,-1.3243883104137444,-0.2012156742757746,0.4169462625521932,1.0518999053756974,0.49758958080677745,1.4937562783548959,-0.910564922009337,-0.20454845791283072,0,0,0,0,0,0,0
3140,-1.5080744774249557,-1.2080457731568446,0.7581585663088136,-0.5046610990051273,-0.8294688804891366,0.6539976977538766,0.8441959600683346,0.9967034534966345,-0.8021772912170321,0.0362305638592619,0,0,1,1,1,1,1
2878,-0.9189671632420063,-0.4860551165461173,2.1864918843733183,-1.6096009681809227,0.06185175177470739,0.48185333656210366,-0.30177351537157665,-0.8910370073302587,-0.04447652023203326,-0.7308721338332921,0,0,1,1,0,0,1
1079,-1.3595984837216475,2.1057959090562948,-1.629682212027681,1.3711763918027269,-0.2408286955368331,0.8083719278418781,-0.6360472002574549,-0.20138629588325027,-1.2655351147269511,-0.9586777282776794,0,0,0,0,0,0,0
926,-1.6791573737504843,0.1219771542519567,0.31804942706801637,-0.27254030272081164,-0.08083008401006143,-1.3849435004540043,1.2777055233665544,1.7720436402256712,0.062061735448136396,-0.19904308615878788,1,0,1,1,1,1,1
1817,-1.921514931328013,-1.1250634600939522,-0.7710978222366809,-0.05377755488508971,0.7072682627700916,-0.6029120240890229,-0.016362371217839178,1.1550901957155895,-1.0559395717247875,0.28763194642539053,0,0,1,1,1,1,1
2401,0.7266184584906606,-2.1331659042044655,-0.6686499993655399,1.8352421809584838,2.6175790564125623,-0.29081485661227807,0.8175746801531218,-0.5253771102318294,0.19891361925749826,0.42420188807672804,1,0,1,1,1,1,1
3008,1.0904193567733582,-1.6046307060748688,-1.281895818684751,-2.6580637084885024,0.42034490356622745,0.887117434013792,-1.619612524448729,-0.4981407924876324,-0.25679879666644134,0.4162191258986589,1,0,0,0,0,0,0
1351,1.8067332266308354,2.154722985294359,-1.088401238528412,-1.8476691941641628,0.9500793144657843,-1.433688713986835,-0.5938900636441284,-0.12042539025242303,0.17008624094910485,-1.0225691447681828,0,0,0,0,0,0,0
3264,-1.0261921787652022,-0.7825428774489179,1.5548128035311017,-0.5671917877522146,-1.3231756450328764,0.4471792529812531,0.9509279822304015,0.8356632244291058,-0.810898160264943,0.13704003466463832,0,0,1,1,0,1,1
3283,3.1837070775139087,-2.438843791631308,-0.8564626113689428,0.7851289417197805,0.5798130118447767,-0.7545382802189622,-0.24384621523505093,1.2337242785869076,2.0872995373219534,-0.41974439333989055,0,0,1,1,1,0,0
724,-1.282183542662229,2.4686482652312343,-1.7096201394240058,0.43183267971279604,0.6317922652237299,1.0202464792769346,1.0979562890661934,-0.9183279089886152,-0.10385692497226005,0.3423487029902175,0,0,0,0,0,0,0
