,UMAP_1,UMAP_2,label,naive,MLP,logisticRegression,decisionTree,randomForest,xgb
1011,11.937703,9.31265,0,0,1,1,0,1,1
575,8.811008,-3.0706525,1,0,0,1,0,0,0
2316,3.5048618,5.0631814,0,0,0,0,0,0,0
1092,8.249972,0.69086146,1,0,0,1,0,0,0
19,11.723225,6.815259,0,0,1,1,0,1,0
2198,3.384958,4.9479566,1,0,0,0,0,1,0
1428,10.333648,5.116019,0,0,1,1,0,0,0
1386,-1.0219198,6.5400143,0,0,0,0,0,0,0
1858,15.174196,12.735653,0,0,1,1,1,1,1
1967,-3.648586,3.3695488,0,0,0,0,0,0,0
1147,9.252142,-2.6264782,0,0,0,1,0,0,0
267,-3.607887,5.1461434,0,0,0,0,0,0,0
2243,3.085726,5.5144887,1,0,0,0,0,0,0
936,7.316318,-0.4862575,0,0,0,0,1,0,0
1528,-4.7658877,2.985135,1,0,0,0,0,0,0
1454,15.120563,12.759253,1,0,1,1,1,1,1
1196,12.843182,6.673571,0,0,1,1,1,1,1
419,-1.0543944,6.0960684,0,0,0,0,0,0,0
1826,9.774699,-3.9727695,0,0,1,1,0,1,0
3202,12.0865135,14.437907,0,0,1,1,0,1,1
2417,2.323526,5.5101156,0,0,0,0,0,0,0
1260,10.709987,-2.8576891,1,0,0,1,0,0,0
2741,-2.7264466,3.635415,0,0,0,0,0,0,0
1831,15.117627,12.696193,0,0,1,1,1,1,1
443,-1.8517509,6.1680775,0,0,0,0,0,0,0
3072,9.856185,13.948536,1,0,1,1,0,1,1
1642,9.053388,-2.3614388,1,0,0,1,0,0,0
2742,-3.3824432,2.9256094,0,0,0,0,0,0,0
3189,7.2305803,-0.22243303,1,0,0,0,1,0,0
928,10.207474,5.2479825,0,0,1,1,0,0,0
698,-3.8319485,6.538338,0,0,0,0,0,0,0
137,3.5637994,-0.5008258,0,0,0,0,0,0,0
610,11.868993,7.1454463,0,0,1,1,0,1,0
2357,2.3594494,5.527968,0,0,0,0,0,0,0
567,7.7840304,-1.1544607,0,0,0,1,1,0,1
1575,12.066008,14.454093,0,0,1,1,0,1,1
307,12.562293,7.49181,0,0,1,1,1,1,1
185,8.0268135,-1.1097753,0,0,0,1,1,0,1
1872,-5.087788,2.7232735,0,0,0,0,0,0,0
3243,15.015399,12.770942,0,0,1,1,1,1,1
2048,-4.013466,6.005581,0,0,0,0,0,0,0
3188,10.562717,13.05892,0,0,1,1,0,0,0
465,-1.954897,6.1168337,0,0,0,0,0,0,0
729,7.349677,-0.3368432,1,0,0,1,1,0,0
695,-3.732175,5.0588865,0,0,0,0,0,0,0
2782,-2.6254294,3.6411276,0,0,0,0,0,0,0
449,-1.549551,6.0296516,0,0,0,0,0,0,0
2828,-4.0853057,6.513013,1,0,0,0,0,0,0
3155,15.552843,12.047356,1,0,1,1,1,1,1
1198,10.283978,5.1473064,0,0,1,1,0,0,0
