,UMAP_1,UMAP_2,W3IWER4_A
1021,0.7901872,-3.1557558,1
1251,5.617671,4.441887,1
400,4.754393,3.3856697,1
1320,18.030802,-3.3286324,1
761,13.390149,10.888235,1
355,15.162937,14.748646,1
1205,11.452845,-6.273884,1
661,2.8654196,5.305361,1
662,20.742504,3.687117,1
814,0.8154672,1.7754389,1
780,4.7099566,19.723562,1
815,3.456025,-4.2878814,1
1129,-4.983615,16.830805,1
877,11.486707,-6.231651,1
102,-3.1638901,9.9336405,1
302,-8.112659,-6.7957063,1
144,5.327837,3.3305907,1
775,10.575708,-6.7090273,1
895,3.1461966,-4.741866,1
826,4.693098,19.705791,1
587,2.3384223,4.6335735,1
1288,0.5417002,1.6174002,1
1250,19.513851,-1.7234645,1
680,16.147287,-2.865572,1
965,7.9966884,14.866859,1
455,5.061498,3.5299919,1
648,11.496938,-6.2481284,1
799,20.09235,-2.0509758,1
859,5.1713862,4.2667465,1
905,5.373789,4.2039213,1
340,4.76102,3.4360106,1
191,0.66724634,22.347246,1
125,8.202124,-5.8262625,1
280,7.868103,-4.9874697,1
48,3.3498435,4.5837674,1
804,7.8010635,15.9404335,1
745,4.926923,4.8610306,1
653,14.815024,9.312344,1
339,7.6778636,16.111618,1
1007,0.74585605,22.42546,1
752,3.2661808,4.7463837,1
1448,1.011396,-2.9583862,1
1116,17.500372,-3.4741542,1
304,13.409419,10.872473,1
763,0.7095055,22.389238,1
1261,8.041092,-5.0378513,1
1000,2.690299,4.4514847,1
836,7.847161,-4.9886208,1
1240,15.934779,9.759888,1
502,0.73530895,22.41371,1
539,13.864379,15.96719,1
1330,14.824329,9.3215065,1
1043,8.176709,-5.123159,1
1304,18.100351,-3.271523,1
431,-8.180904,-6.7544656,1
837,1.1940666,-2.6860847,1
192,12.716184,9.91841,1
1332,20.184408,-2.5212276,1
567,7.7973294,-4.919689,1
1222,3.2004585,-5.0780363,1
445,4.2218127,4.3255925,1
1324,13.8331375,15.994315,1
98,7.8701825,-5.0090117,1
1171,19.530565,-1.7214421,1
1463,17.46114,-3.4789689,1
1068,1.8794905,-2.1470401,1
1244,10.582945,-6.7048273,1
768,15.978336,-2.7167635,1
795,2.4072762,4.593306,1
1415,7.8422728,-4.975431,1
1274,-7.6765413,-7.791378,1
1045,8.152295,-5.7103353,1
1378,15.30979,14.617583,1
384,18.818314,-1.6039765,1
1215,2.3923802,-4.0375156,1
1182,12.748511,9.956712,1
1438,22.186182,-0.04084496,1
881,0.88420516,-3.045768,1
1307,19.4238,-1.7007426,1
402,-8.168123,-6.746298,1
1235,7.2496014,15.354364,1
1262,19.789207,-1.7359189,1
151,15.286249,14.621111,1
407,3.8139338,3.513512,1
1337,18.077965,-3.2989812,1
51,2.7620223,4.443643,1
322,10.127864,-6.4359145,1
1243,12.169309,10.592422,1
1180,0.6878333,22.367392,1
501,-5.0657005,16.91617,1
410,2.3926966,4.586254,1
1248,3.9786935,-3.2184446,1
793,20.232395,-2.5684404,1
1004,5.392157,4.877184,1
1207,7.4275656,14.968043,1
220,10.593892,-2.2588358,1
1325,5.3306117,3.3329387,1
592,13.814933,16.014303,1
920,20.762825,3.7328222,1
688,18.071133,-3.3408225,1
1088,11.872317,12.175631,1
1051,-8.109746,-7.0301332,1
544,20.251608,-2.6016512,1
788,13.556739,11.834965,1
546,13.903336,3.608118,1
591,5.3894305,4.8771305,1
1216,5.5919085,4.4743657,1
749,-1.3732538,9.413113,1
1067,4.7939425,3.6505687,1
957,13.082337,11.707578,1
1347,-5.0678678,16.918293,1
321,4.6834183,19.69563,1
360,11.859386,12.123269,1
247,5.3063073,3.4202547,1
196,-4.9861116,16.83366,1
1228,0.86580217,1.9020765,1
1354,3.363505,4.7714324,1
481,13.502825,10.317627,1
989,11.942734,12.198582,1
331,13.12789,11.643438,1
622,4.5594845,4.5557976,1
1137,7.357898,15.631819,1
846,3.3306336,4.474389,1
1384,7.722825,16.065487,1
1186,10.185969,-6.4915,1
808,12.234488,11.911443,1
1271,13.808944,16.021315,1
904,20.509848,1.4522735,1
969,15.968526,-2.712216,1
72,13.8995695,15.930938,1
237,7.7337117,16.070076,1
1091,8.225124,-5.137332,1
465,7.464132,14.950869,1
116,13.633913,11.504416,1
570,9.955928,-6.1975336,1
245,0.6860539,22.365847,1
702,15.329775,14.587449,1
1185,20.06997,0.1773821,1
603,4.867861,4.811637,1
1391,19.745209,-1.6974188,1
638,12.741344,9.916235,1
983,8.042632,14.857638,1
504,7.464709,14.94223,1
1179,20.200108,-2.5177367,1
607,17.475658,-3.503932,1
944,13.381578,10.882366,1
249,13.622127,10.3743,1
107,-4.9642663,16.812534,1
1316,8.013235,14.842862,1
292,18.844557,-1.5489589,1
1110,4.7952757,3.4022906,1
323,15.901703,9.736384,1
758,10.594312,-6.6967916,1
1079,-7.6069813,-7.892582,1
612,2.4598796,-3.9630334,1
900,15.199548,14.714787,1
817,8.1891575,-5.8197966,1
60,13.815459,16.014154,1
994,8.051307,14.818689,1
694,13.870717,3.6403842,1
1462,-7.97896,-8.046511,1
1297,4.2882266,4.2744174,1
675,2.5187607,-3.9545515,1
381,4.384278,4.209495,1
508,11.480806,-6.1969566,1
1146,13.097825,11.588928,1
163,20.201946,-2.5159838,1
456,4.897093,4.8354,1
1176,5.314258,3.2383974,1
240,7.203004,15.272604,1
451,-8.213758,-6.711853,1
1098,-7.6473527,-7.9198284,1
416,9.985892,-6.3405924,1
377,20.223005,-2.5558417,1
551,14.86926,9.361615,1
1406,13.840078,15.989038,1
616,8.234244,-5.7885985,1
91,20.040438,-2.023564,1
1142,2.7908251,4.550202,1
523,20.215061,-2.5400827,1
1217,3.9504848,-3.8257852,1
566,10.072229,-6.4066033,1
813,13.553515,10.420155,1
878,-4.9933906,16.840761,1
1291,13.294629,10.962552,1
1128,15.976754,9.653645,1
785,10.615976,-6.7055626,1
1123,3.4127061,-4.5469933,1
378,2.551937,-3.7325342,1
1263,4.99706,3.254255,1
1195,7.3754473,15.008208,1
1001,20.503847,1.4606752,1
1395,4.675581,4.475273,1
626,3.400389,4.7139893,1
967,0.89708567,1.8391424,1
734,3.4178452,-4.6013293,1
1155,20.130323,0.2305631,1
1364,20.207062,-2.5385551,1
16,13.886462,3.6274254,1
853,7.2480154,15.362824,1
1107,20.772167,3.7439902,1
24,11.504366,-6.217794,1
405,9.9690075,-6.1878777,1
487,10.548525,-6.700535,1
1198,9.862819,-6.163547,1
970,12.076127,11.899084,1
5,13.880063,15.951071,1
701,9.937819,-6.1738377,1
278,4.6616416,4.5171485,1
380,2.4855027,-3.8729422,1
1267,13.873294,15.954802,1
645,20.273827,-2.6106417,1
608,7.457272,20.922825,1
305,13.650954,11.843973,1
1145,7.848596,-4.9798427,1
264,12.206671,10.564223,1
225,7.8067355,-4.935954,1
664,4.5253663,4.5333414,1
184,-8.022684,-7.750214,1
212,13.672691,11.893851,1
50,5.5435023,4.5151877,1
1455,12.841081,10.018595,1
18,7.490102,20.890423,1
459,4.7617154,19.775326,1
156,22.10549,-0.06604498,1
1080,13.63196,11.850774,1
986,-5.057472,16.906977,1
833,3.2231572,-4.2087092,1
37,13.866324,3.645457,1
564,-5.102339,16.952715,1
243,3.238733,4.6543064,1
359,21.882803,-0.25073454,1
1020,15.896173,9.727467,1
533,8.023993,14.892065,1
1018,16.004034,-2.7431035,1
783,16.192081,-2.884323,1
1321,16.061613,-2.7958167,1
1095,2.5323024,-3.843435,1
541,7.7284446,16.014317,1
1313,22.160051,-0.010320236,1
1357,5.048572,4.2975245,1
568,13.650784,10.414164,1
1200,20.095358,0.1801362,1
1125,-5.078575,16.930803,1
1212,10.115073,-6.411596,1
226,20.21775,-2.5482876,1
477,4.021989,-3.374392,1
1148,10.549617,-6.6999354,1
729,2.950434,5.3793845,1
228,-5.0171566,16.864368,1
394,19.689926,-1.9179666,1
88,22.196053,-0.052526593,1
111,7.3999295,20.9808,1
110,15.319232,14.600275,1
179,5.180554,4.264942,1
993,5.6434183,4.518461,1
417,20.723196,3.690902,1
443,4.9490805,4.8601084,1
117,11.546967,-6.248142,1
169,10.177042,-6.4956684,1
506,3.2739115,-4.1383734,1
842,5.4135785,4.843939,1
12,8.037879,14.872413,1
4,14.821239,9.320947,1
28,3.345376,-4.162992,1
404,20.515629,1.4593749,1
632,13.887656,3.6247513,1
691,3.1331978,4.636169,1
480,14.920826,9.392392,1
36,4.457008,19.444216,1
613,16.017548,-2.7558098,1
277,0.65140235,1.7956285,1
1218,0.6570476,22.336714,1
62,13.629108,11.861744,1
246,20.71789,3.6999552,1
829,3.2724638,4.7315025,1
242,7.913256,-5.0178294,1
892,-8.109399,-8.024042,1
406,12.092576,10.602401,1
330,3.2304604,-5.0004745,1
3,7.3019934,15.10312,1
1353,14.787453,9.28758,1
820,16.038208,-2.7753942,1
1206,12.223783,10.640636,1
295,18.796131,-1.6106685,1
1398,13.833138,15.997886,1
279,4.394117,4.2119,1
1105,12.18691,12.003687,1
639,22.15785,-0.01821736,1
41,14.808252,9.305779,1
484,4.738531,19.75085,1
153,4.019579,-3.384873,1
422,17.491741,-3.435913,1
633,11.528398,-6.225241,1
588,20.471132,1.431038,1
863,13.529587,10.31674,1
395,11.496886,-6.251619,1
433,8.0646105,-5.099068,1
663,5.59896,4.5178747,1
864,4.7734275,19.789005,1
505,5.225995,3.820616,1
1099,20.071512,0.1587853,1
1100,4.5564404,3.9186416,1
198,2.5120904,-3.8998554,1
201,13.91966,3.5925412,1
399,13.900946,3.612175,1
1382,21.859478,-0.20890327,1
1028,2.4096687,-3.8573112,1
1223,15.880792,9.740538,1
1390,9.950672,-6.179479,1
514,8.191675,-5.143304,1
1296,18.82167,-1.6288488,1
137,14.806456,9.305393,1
289,15.188113,14.719677,1
147,0.93306994,1.9211191,1
336,7.3482766,15.05572,1
362,15.972132,9.661975,1
55,7.685329,16.115143,1
560,13.93163,3.5803962,1
61,16.204678,-2.8894184,1
869,13.325376,10.934183,1
54,19.83709,-1.7832081,1
945,5.337301,3.3156974,1
973,7.7100477,16.077631,1
720,0.71824855,22.398031,1
444,3.9416628,-3.8307343,1
76,15.887853,9.756706,1
485,5.4480324,4.8429575,1
1457,7.355626,15.590833,1
437,0.88246083,-3.0552409,1
1360,7.532218,14.929367,1
38,21.837925,-0.29162574,1
1150,-8.149035,-6.844419,1
1269,3.4679055,4.610733,1
1057,5.52713,4.7096105,1
1135,3.406984,4.4671817,1
1310,3.3079116,4.681057,1
1097,2.6441977,4.511061,1
858,4.449317,19.43877,1
1044,14.825765,9.333082,1
1465,13.8798,3.6323915,1
1445,13.566945,10.39445,1
928,13.603232,11.829478,1
936,18.046812,-3.326856,1
1181,0.59335333,1.592868,1
366,20.760221,3.7763722,1
383,0.710209,22.387075,1
1254,17.489912,-3.4872637,1
1371,7.22551,15.352511,1
29,13.872148,3.634777,1
754,20.492212,1.4527045,1
717,17.451317,-3.4998095,1
373,18.812475,-1.6042839,1
772,12.098509,10.571087,1
538,7.4364686,20.943571,1
1041,15.932639,9.703115,1
424,11.543638,-6.2528653,1
174,20.516708,1.4344401,1
1326,7.4702883,20.909925,1
1111,4.6279798,4.4640284,1
1351,5.2661886,3.8875363,1
0,20.007368,0.1015279,1
1431,4.3962393,4.258206,1
1019,20.172354,0.23268737,1
811,7.4872622,20.892761,1
379,13.830616,15.999397,1
880,15.3063,14.613569,1
1343,4.7328115,3.917255,1
1199,21.891312,-0.22634265,1
644,5.470727,4.796821,1
67,20.054096,0.14729114,1
1204,4.914365,4.829781,1
121,5.3243594,4.1312985,1
375,7.7247534,16.074997,1
248,3.4470956,-4.7678194,1
806,12.8515005,10.008055,1
