,UMAP_1,UMAP_2,label,naive,MLP,logisticRegression,decisionTree,randomForest,xgb
1011,-2.8509648,1.3203561,0,0,0,0,0,0,0
575,-2.2157428,9.780167,1,0,1,1,0,1,0
2316,6.9256105,3.335184,0,0,1,1,1,1,1
1092,4.751065,-7.004577,1,0,1,0,1,0,0
19,-3.845369,3.0461364,0,0,0,1,0,0,0
2198,6.9745603,3.3644648,1,0,1,1,1,1,1
1428,-3.0611758,2.6701133,0,0,0,1,0,0,0
1386,13.04779,16.377813,0,0,1,1,1,1,1
1858,-0.9884861,0.796119,0,0,0,0,0,0,1
1967,10.900718,17.779316,0,0,1,1,1,1,1
1147,-2.3052902,11.152743,0,0,1,1,0,1,0
267,11.299504,15.793162,0,0,1,1,1,1,1
2243,6.889747,3.3819911,1,0,1,1,1,1,1
936,5.9600053,-6.6881175,0,0,1,0,1,1,1
1528,12.014933,5.13419,1,0,0,1,1,1,1
1454,-1.1653457,0.7022388,1,0,0,0,0,0,1
1196,-3.2389784,3.6846528,0,0,0,1,0,0,0
419,13.268066,16.41372,0,0,1,1,1,1,1
1826,-1.6259043,10.731287,0,0,1,1,0,1,1
3202,9.87599,-4.5171037,0,0,1,0,1,1,1
2417,9.088984,3.7528567,0,0,1,1,1,1,1
1260,-2.5369563,11.383827,1,0,1,1,0,0,0
2741,10.203137,17.272806,0,0,1,1,1,1,1
1831,-1.0432168,0.77006084,0,0,0,0,0,0,1
443,12.648454,6.4773517,0,0,1,1,1,1,1
3072,-0.9513282,-1.1049135,1,0,0,0,0,0,1
1642,-1.6489868,11.29704,1,0,1,1,0,1,1
2742,11.77348,4.9428263,0,0,1,1,1,1,1
3189,5.7043552,-7.992476,1,0,1,0,1,1,1
928,-3.1198444,2.474915,0,0,0,0,0,0,0
698,11.883081,15.448397,0,0,1,1,1,1,1
137,-1.466779,8.7835,0,0,1,1,0,1,1
610,-3.4709175,3.8234022,0,0,0,1,0,0,0
2357,9.108986,3.8327365,0,0,1,1,1,1,1
567,6.1240616,-6.8039675,0,0,1,0,0,0,1
1575,9.9815035,-4.4324408,0,0,1,0,1,1,1
307,9.911254,-7.5579824,0,0,1,0,0,0,1
185,6.026762,-7.039607,0,0,1,0,1,1,0
1872,11.921488,5.208659,0,0,1,1,1,1,1
3243,-1.0920335,0.655213,0,0,0,0,0,0,1
2048,11.578782,5.637299,0,0,1,1,1,1,1
3188,-1.2519008,-0.6091098,0,0,0,0,0,0,1
465,12.505217,6.4665747,0,0,1,1,1,1,1
729,6.017166,-6.634903,1,0,1,0,1,1,1
695,11.354313,15.776361,0,0,1,1,1,1,1
2782,10.46319,17.52601,0,0,1,1,1,1,1
449,13.070473,16.720402,0,0,1,1,1,1,1
2828,11.689758,5.734421,1,0,1,1,1,1,1
3155,10.060312,-5.362516,1,0,1,0,1,1,1
1198,-3.0852964,2.7363267,0,0,0,1,0,0,0
1356,12.124901,5.609133,0,0,1,1,1,1,1
2698,-1.1002408,-1.1692531,0,0,0,0,0,0,1
811,13.00723,16.776846,0,0,1,1,1,1,1
868,-3.2695599,3.5843084,0,0,0,1,0,0,0
2237,-1.7640592,11.425194,0,0,1,1,0,1,0
418,12.774755,16.412283,0,0,1,1,1,1,1
3173,6.289481,-8.274542,0,0,1,0,1,1,1
1714,10.024703,-4.422519,0,0,1,0,1,1,1
1712,11.469152,5.2774944,1,0,1,1,1,1,1
1118,13.317916,16.167198,0,0,1,1,1,1,1
399,-3.315673,3.692065,0,0,0,1,0,0,0
3168,5.7539473,-8.053838,1,0,1,0,1,1,1
329,11.425105,15.955617,1,0,1,1,1,1,1
1781,5.9528136,-8.268961,0,0,1,0,1,1,1
1481,4.7202506,-7.193192,1,0,1,0,1,0,1
439,12.835905,6.3427043,0,0,1,1,0,1,1
1527,6.4889126,-8.061128,1,0,1,0,1,1,1
2995,12.157058,5.029747,1,0,0,1,1,1,1
411,13.124169,16.707024,0,0,1,1,1,1,1
747,-4.307747,2.7234175,0,0,0,1,0,0,0
3140,-1.6346442,10.666229,0,0,1,1,0,1,1
2878,-0.81584877,10.508102,0,0,1,1,0,1,1
1079,-2.5385506,1.4790975,0,0,0,0,0,0,0
926,5.8864474,-6.775982,1,0,1,0,0,1,1
1817,4.7696495,-7.760411,0,0,1,0,1,1,1
2401,9.1871605,3.7910008,1,0,1,1,1,1,1
3008,10.267447,17.25176,1,0,1,1,1,1,1
1351,12.740577,6.2172084,0,0,1,1,1,1,1
3264,-1.5410414,10.492266,0,0,1,1,0,1,1
3283,11.434276,5.229403,0,0,1,1,1,1,1
724,-3.0760026,1.9561703,0,0,0,0,0,0,0
1524,6.2964234,-8.220893,0,0,1,0,1,1,1
2071,9.989764,-4.479879,1,0,1,0,1,1,1
451,12.547367,6.0752335,0,0,1,1,1,1,1
2767,11.331878,15.775263,0,0,1,1,1,1,1
680,10.051786,-7.52981,0,0,1,0,0,0,1
865,4.5919256,-7.435331,0,0,1,0,1,1,1
2406,6.901983,3.3032763,0,0,1,0,1,1,1
1535,-0.65493333,8.734355,1,0,1,1,0,1,1
1482,-1.5439868,8.828668,0,0,1,1,0,1,1
72,10.169021,-7.831953,0,0,1,0,0,0,0
444,-2.6072254,1.0789602,0,0,0,0,0,0,0
3079,-1.0217544,-0.8309562,1,0,0,0,0,0,1
1868,-1.11856,0.6452238,0,0,0,0,0,0,1
211,-3.1045003,2.0084345,0,0,0,0,0,0,0
424,13.3097725,16.286865,0,0,1,1,1,1,1
29,7.0349274,4.1332316,0,0,1,1,1,1,1
540,-2.3877978,11.769547,0,0,1,1,0,1,0
