,UMAP_1,UMAP_2,W3IWER4_A
1321,11.1124115,-6.700016,1
3881,9.125623,7.835393,1
3548,6.1816306,8.938781,1
3978,0.08518028,17.217096,1
3903,0.7093707,16.87447,1
4020,-1.1089956,16.527685,1
3557,11.887617,-7.7255864,1
224,12.74518,-5.671856,1
4164,-0.30503568,16.521303,1
842,3.387215,-5.70514,1
4296,0.09876472,16.673246,1
3592,12.39976,-4.142713,1
3936,-0.084716484,17.17012,1
886,8.917447,7.3100853,1
3731,10.7390785,-5.9370403,1
4282,-0.21052259,14.710568,1
4047,3.5932202,15.926012,1
3480,8.984558,7.329966,1
3720,5.213927,5.9941354,1
836,8.790738,5.958218,1
20,12.347608,-4.085311,1
4281,3.2030284,16.058332,1
3587,10.823124,-4.54646,1
4368,-0.26567844,16.820204,1
209,12.696492,-7.8359795,1
4196,3.736258,15.990749,1
911,3.8430188,-5.156196,1
4062,-1.5225511,16.391659,1
3992,-0.52086586,15.64133,1
4128,1.5240754,16.006884,1
4103,3.7130504,15.704615,1
3907,3.4274366,15.402474,1
4241,-0.043610603,17.209396,1
418,10.570561,-8.089324,1
4220,2.7809305,16.141317,1
116,8.115899,4.800142,1
3407,10.939105,-7.9845667,1
3477,7.29685,-6.4906,1
3492,5.5629883,-7.2604537,1
3896,12.762898,-4.208714,1
3437,6.9420886,-7.503818,1
4141,1.836584,14.80921,1
3518,4.003236,7.064811,1
937,10.968677,-8.189225,1
3911,3.0737524,15.284291,1
975,4.9422584,6.4011664,1
3786,10.943383,-9.525135,1
4077,3.4615834,15.4430685,1
3510,8.3651085,-5.420429,1
505,5.903939,6.518242,1
4107,-0.6721991,15.174668,1
4351,2.6941683,16.180927,1
461,5.4185104,-5.480776,1
3550,8.480822,-4.41443,1
1353,8.003182,4.926821,1
1195,3.9167516,7.521477,1
3857,5.586566,-7.7213564,1
4227,-1.1412975,16.771927,1
3963,0.84776026,15.18042,1
1223,5.2392473,4.9003434,1
4167,1.5584486,14.9245405,1
380,8.396876,-3.9744866,1
1045,6.782474,4.9425592,1
3516,12.044012,-3.9113193,1
3457,9.878903,5.9123964,1
3972,3.6494617,15.8379,1
1316,3.8362458,6.224027,1
833,13.63135,-7.876435,1
4289,-0.7760191,15.497994,1
3387,11.771971,-4.0323453,1
4175,-0.42418623,14.92612,1
586,13.825847,-4.4917855,1
4111,1.6213188,14.785086,1
3435,9.835408,5.955073,1
710,9.8427925,4.7615676,1
829,5.9781933,6.3986673,1
4267,3.8754518,15.958969,1
417,12.2936,-7.022415,1
69,9.148328,6.670879,1
3844,11.099816,-6.695917,1
4158,2.9556415,15.983034,1
3884,10.3922,-4.3397717,1
3831,7.6749034,5.4535,1
3996,2.0707495,14.835226,1
4091,-0.62705344,15.473907,1
3397,12.587591,-6.0661592,1
3836,5.658538,-7.645738,1
4092,0.793271,14.614296,1
1247,8.410609,4.6663218,1
4049,0.14842767,17.20726,1
41,9.381615,6.211415,1
289,7.5771003,4.524877,1
4003,0.61756295,14.58077,1
3448,9.966075,4.63316,1
3660,8.01985,8.43145,1
3602,10.924804,-9.530407,1
4226,-1.2755524,16.759228,1
3805,8.239591,-5.412542,1
4388,0.16061556,15.089664,1
501,10.790765,-6.685778,1
3960,3.9961908,16.143677,1
3688,9.635947,5.6533427,1
340,5.540965,-7.236177,1
0,12.587222,-6.04728,1
4118,2.1996114,15.520722,1
3906,3.8684416,16.273586,1
4071,-0.3447748,15.565429,1
3957,0.21564431,17.216574,1
3981,2.997468,15.486283,1
3966,0.08156718,17.244892,1
3465,10.242307,-8.51592,1
4057,-0.6068629,14.857927,1
3675,3.2987323,-5.7167325,1
477,8.472186,-4.4337053,1
620,17.838717,13.175384,1
4066,-0.23172593,17.261795,1
905,7.3378882,8.070421,1
811,8.050224,-8.727739,1
4145,1.0683199,15.196783,1
4163,-0.022047257,16.57464,1
192,3.6414769,5.7678294,1
4048,-1.5331805,16.546476,1
437,8.392081,-4.2721605,1
448,10.950522,-8.804405,1
602,12.502377,-6.146028,1
680,11.912357,-4.7154264,1
1240,4.3467617,7.2848954,1
608,8.024562,-8.741378,1
360,9.850648,4.8937764,1
4373,1.8716466,15.404941,1
3984,1.6783934,14.880096,1
4200,0.17105211,17.11913,1
3901,1.41791,16.132175,1
3885,6.240169,8.972901,1
4365,1.9184521,15.358709,1
502,10.835736,-7.036411,1
3858,6.7872205,7.5856824,1
3436,5.9157925,7.4637623,1
4380,0.8192772,15.185681,1
533,4.553021,6.869133,1
1271,4.0180206,5.609834,1
4345,3.355349,15.241271,1
231,7.582504,4.8763137,1
433,7.6110373,5.2063465,1
3945,1.2938663,15.235087,1
3423,6.821795,6.301972,1
3389,7.7038546,-8.005629,1
3421,7.756392,5.144019,1
4330,0.97774243,16.950317,1
806,7.998002,8.457765,1
3580,11.69445,-4.8595424,1
3701,13.449899,-4.0658355,1
1109,6.8430037,6.3644476,1
3742,6.009049,4.6803946,1
3619,8.359095,-3.8857868,1
3689,8.530069,-4.896474,1
3490,3.6608605,6.9176407,1
419,8.495045,-4.3636312,1
3559,10.832687,-7.0466323,1
4028,-0.41490746,17.13438,1
3736,9.498286,-6.8114004,1
3728,10.799652,-5.5037293,1
3570,5.2891564,4.79599,1
4376,0.8370726,14.855331,1
612,8.335768,-3.860315,1
4140,3.1248558,15.23676,1
3712,4.25397,7.2692027,1
4315,-0.084727146,14.974979,1
261,10.305807,-8.361088,1
3695,6.915357,4.5257263,1
4168,1.4737216,14.893866,1
3445,11.766341,-4.1224465,1
107,10.427626,-6.777916,1
3923,-0.52879846,14.680975,1
3684,10.732044,-6.9106307,1
3943,1.7268195,15.8228655,1
3611,6.731833,-8.121127,1
567,6.4453077,5.2007647,1
