,UMAP_1,UMAP_2,label,naive,MLP,logisticRegression,decisionTree,randomForest,xgb
575,2.3478274,13.779048,1,0,0,0,0,0,0
1428,1.1280783,12.114196,0,0,0,0,0,0,0
1386,1.8921764,9.263403,0,0,0,0,0,0,0
1967,3.2094576,9.846205,0,0,0,0,0,0,0
2243,3.7098107,10.202726,1,0,0,0,0,0,0
1196,3.001688,11.759153,0,0,0,0,0,0,0
419,5.0050464,8.936344,0,0,0,0,0,0,0
1826,1.7605467,13.308034,0,0,0,0,0,0,0
1260,8.43918,11.875709,1,0,0,0,0,0,0
3072,8.992783,11.720033,1,0,0,0,0,0,0
1642,7.4545197,9.833728,1,0,0,0,0,0,0
3189,4.481674,12.09248,1,0,0,0,0,0,0
928,1.1892959,12.942086,0,0,1,0,0,0,0
610,2.7985282,11.067096,0,0,0,0,0,0,0
1575,6.885521,10.11387,0,0,0,0,0,0,1
185,2.8566258,14.024735,0,0,0,0,0,0,0
2782,2.378226,8.6327505,0,0,0,0,0,0,0
449,2.1778953,10.194444,0,0,0,0,0,0,0
1198,0.9975845,12.310192,0,0,1,0,0,0,0
1356,5.4470325,9.296151,0,0,0,0,0,0,0
399,2.802214,10.872117,0,0,0,0,0,0,0
3168,3.0709822,12.368743,1,0,0,0,0,0,0
1781,3.5805511,12.661628,0,0,0,0,0,0,0
2995,2.6885505,9.716495,1,0,0,0,0,0,0
411,2.9957592,9.39719,0,0,0,0,0,0,0
2878,3.0098917,14.067846,0,0,0,0,0,0,0
3264,0.37268,12.476945,0,0,1,0,0,0,0
2071,8.518587,9.853567,1,0,0,0,0,0,0
680,3.5619965,12.397738,0,0,0,0,0,0,0
865,8.824893,10.653914,0,0,0,0,0,0,0
444,2.641091,11.810532,0,0,0,0,0,0,0
211,8.0450735,11.366947,0,0,0,0,0,0,1
569,1.5675148,12.850764,0,0,0,0,0,0,0
1243,2.670156,12.352424,0,0,0,0,0,0,0
780,3.2727325,10.8224125,0,0,0,0,0,0,0
779,8.996515,11.34397,0,0,0,0,0,0,0
2076,2.6385589,8.253285,1,0,0,0,0,0,0
1744,7.212183,10.047798,1,0,0,0,0,0,1
144,2.889804,13.510248,0,0,0,0,0,0,0
898,1.830558,12.180408,0,0,0,0,0,0,0
