,UMAP_1,UMAP_2,W3IWER4_A
16,-1.9751201,3.3039625,1
4,-0.29720303,5.945651,1
252,6.487955,5.1221724,1
434,-1.9210647,3.2258475,1
361,6.2229404,5.506979,1
304,-1.1830509,6.4719157,1
287,6.6783137,5.1926146,1
363,7.812376,5.706943,1
256,6.425629,5.1191015,1
326,8.293268,4.6610003,1
149,8.397689,5.996389,1
118,7.1257167,6.1412168,1
54,-0.37844282,6.391969,1
135,7.4969387,2.5851402,1
402,5.705537,2.7641733,1
288,6.0767975,2.7963336,1
231,6.862287,5.8296056,1
26,-0.6913064,4.6453967,1
8,-0.27008384,6.1358924,1
314,6.220779,2.973492,1
59,-0.55959433,6.233813,1
358,5.7359805,2.701747,1
406,6.598964,5.18798,1
48,7.669444,4.7982993,1
70,-0.6293008,7.1484303,1
302,-0.32348672,6.0372233,1
266,7.4593987,3.7627435,1
392,7.8113933,4.5670896,1
109,6.641859,5.7995095,1
202,-0.8962848,5.387402,1
203,-1.6380156,3.158972,1
113,7.032888,8.794584,1
137,-1.6746919,3.5140812,1
161,6.282591,5.905807,1
349,8.422709,6.113955,1
338,7.564221,4.1398206,1
22,6.2141447,2.7562528,1
96,5.565497,8.494377,1
180,6.9087033,8.60654,1
359,7.1669555,3.1065023,1
310,8.360217,3.0233264,1
420,-1.3059326,6.5095005,1
95,6.026101,3.5193381,1
74,-1.1389842,4.854531,1
437,-2.0091681,4.2333922,1
83,-2.0015898,2.9897974,1
330,5.879842,8.254652,1
104,7.1264167,4.9562035,1
120,-1.694659,7.3341055,1
221,8.198376,4.6895556,1
93,-1.6571008,3.3895411,1
100,-0.94895893,5.418019,1
43,6.140654,2.7708101,1
87,-1.4148409,6.320211,1
435,8.482641,6.00138,1
50,8.237101,5.7088413,1
281,-1.0484612,5.612688,1
205,7.186358,8.605506,1
227,5.8637,2.7592657,1
140,-0.67642814,5.8207345,1
268,-0.6000481,5.4969897,1
158,-1.8621441,3.0440133,1
238,-2.0898714,2.5523648,1
114,8.391145,5.9502077,1
1,-1.2342881,6.7949896,1
262,7.3696985,2.7685375,1
224,-0.84760505,6.787727,1
187,7.0590296,8.652682,1
271,8.224688,5.142526,1
336,7.252485,3.3469613,1
229,7.8068237,2.8262446,1
116,6.35434,9.207891,1
431,7.8728604,4.6620574,1
37,8.725687,4.5484996,1
19,-0.6785898,7.152579,1
71,-1.8349437,6.626862,1
84,6.918157,2.6082237,1
337,-0.41597724,6.742206,1
55,8.19187,3.037623,1
380,6.1086297,5.6355505,1
129,-0.6995703,7.3184223,1
366,-1.1549597,8.041905,1
303,-1.4742377,4.983873,1
12,-1.6674262,7.8583775,1
332,-1.745096,6.697303,1
401,7.019921,5.297838,1
49,5.6282063,2.724102,1
14,8.549294,4.876032,1
428,6.472196,7.5791187,1
0,6.4741383,3.0547554,1
368,6.855223,8.746986,1
196,-1.4354022,6.6411266,1
128,6.5443783,2.910501,1
356,6.949388,5.162624,1
371,6.139754,5.7365084,1
222,6.613332,6.3129077,1
27,7.995422,5.356698,1
13,-0.9257065,6.976493,1
295,6.5447555,2.8277915,1
107,-0.5862143,5.6706395,1
427,-1.8698988,3.176966,1
6,7.215533,3.7135024,1
15,7.8754015,2.7435367,1
389,-1.4133787,4.8665004,1
382,-0.21383989,5.7669954,1
407,-0.9547639,4.884268,1
319,-0.35748348,6.0895505,1
409,8.265377,5.2735834,1
67,-0.94981736,5.232084,1
342,-1.2035834,6.876078,1
3,-0.7747854,7.235678,1
179,-2.172106,2.8092108,1
88,-1.4662641,6.775952,1
69,5.087633,9.2149105,1
242,7.163132,5.911266,1
412,6.2041855,2.867248,1
234,-1.5534571,8.063751,1
47,8.516635,4.765415,1
188,6.5619617,8.110804,1
415,6.942145,6.2125754,1
80,5.4568853,8.99069,1
182,7.105398,2.6004925,1
322,-1.9720862,7.58454,1
377,-0.45308015,5.579611,1
305,7.1847787,2.8076634,1
85,-0.5549048,7.0615067,1
32,8.284955,3.8409348,1
285,-2.1092157,2.8078413,1
416,5.7862854,9.307328,1
378,-1.1239814,4.503536,1
159,-0.47767785,5.680273,1
174,-0.5193574,6.689008,1
327,-1.7865871,6.6391673,1
155,5.6385055,2.6907759,1
72,-1.6187441,7.2692275,1
79,-0.86220187,5.3836575,1
251,5.2535625,9.1145935,1
364,-1.9899646,7.450431,1
393,-0.80194265,7.022689,1
373,8.028622,3.1280751,1
272,-0.80324787,5.917963,1
436,5.9731503,5.4240856,1
10,-1.2186508,6.6179867,1
38,8.117691,4.269629,1
351,8.204301,5.288523,1
362,6.369016,7.824435,1
142,-1.1117429,6.799898,1
165,-0.6498325,7.168833,1
283,6.0234313,3.07136,1
286,-1.645357,3.2742283,1
164,7.277345,6.1411004,1
99,-2.1578825,2.7097769,1
313,-0.76501113,5.3532295,1
146,-1.284435,5.0115285,1
199,5.1241517,9.051826,1
228,7.999056,5.4133325,1
329,6.5095444,8.185641,1
175,6.3576922,8.690167,1
105,-1.3485456,4.6827736,1
78,6.1660037,3.3034976,1
168,-1.9373825,2.900075,1
52,7.700096,4.3326125,1
127,6.1267204,3.1299477,1
183,6.7012796,2.705394,1
167,8.406736,5.0832267,1
58,7.227214,5.022626,1
347,7.400426,8.327129,1
132,6.767621,8.178221,1
126,7.4896216,2.5667276,1
290,-1.9968307,7.428128,1
316,-1.8434345,4.118421,1
98,6.4255395,5.9788027,1
29,5.968239,3.8524268,1
90,7.4779544,2.892932,1
215,7.603532,2.7420642,1
410,8.367743,4.745536,1
425,-0.6739773,7.2607327,1
396,5.8493423,8.3105955,1
400,6.694699,8.270543,1
11,5.3067493,9.136657,1
134,8.775331,4.087439,0
119,-1.0089641,5.486491,0
143,-1.6790183,6.740418,0
439,8.708328,4.0077662,0
200,8.62404,4.6688576,0
241,8.147174,6.0392895,0
154,8.107996,5.2286925,0
293,7.4619513,4.8380275,0
226,6.4593163,8.072031,0
57,5.307255,8.7582655,0
212,-2.0482194,4.4657536,0
190,8.311834,3.2125113,0
204,5.6099415,8.549205,0
139,-1.2749622,7.7347736,0
150,-1.1711123,7.9867616,0
388,7.79403,4.3946786,0
41,6.602457,2.8439486,0
24,8.277553,2.975834,0
244,-1.1659306,4.753361,0
399,5.861869,2.720075,0
17,-1.2138764,7.808067,0
193,5.9769588,7.8202777,0
25,7.829231,5.818115,0
306,-1.0725241,4.3396816,0
311,6.834976,5.409219,0
170,6.0414524,9.188454,0
264,-2.0094674,2.5153127,0
292,8.590478,5.5014677,0
66,6.2569976,2.9177015,0
403,-0.89371175,5.1151466,0
153,-1.0408378,3.9649322,0
270,-1.5700023,2.677666,0
86,8.598186,5.5715623,0
395,6.497825,9.18315,0
317,5.6313496,8.361423,0
152,7.296434,5.463017,0
346,6.7819657,3.830973,0
115,8.644561,4.882183,0
411,6.2276483,3.7735245,0
81,-1.0101707,4.1904864,0
309,8.47285,5.966015,0
82,-1.6782898,4.1561174,0
390,-0.19228946,5.8612804,0
21,7.149205,4.4729376,0
237,5.7276917,8.579786,0
299,8.611437,3.8902175,0
133,-0.7666339,4.649327,0
250,5.181967,9.003726,0
277,6.0247393,5.584613,0
246,-1.9367423,3.344467,0
269,-1.9065553,7.5786304,0
136,7.7781453,2.652801,0
321,7.927454,4.7349153,0
123,6.8548236,8.50702,0
374,6.8730903,3.4167836,0
210,6.928545,8.865256,0
424,7.6997128,4.5377755,0
245,5.552174,8.76494,0
278,7.731104,5.7880335,0
404,-1.5265653,3.180366,0
341,6.492268,4.9597163,0
369,-1.0970929,8.056152,0
340,8.565791,5.683426,0
430,6.433908,3.6484354,0
144,5.9121695,8.250802,0
376,8.055693,4.27619,0
23,8.529631,5.932506,0
218,5.5891004,9.226966,0
68,6.0071077,3.9790182,0
312,-1.8399487,2.5396204,0
249,6.6517377,5.79418,0
36,7.26638,8.307256,0
284,5.1639514,9.068986,0
40,6.0371437,3.8813865,0
387,8.548653,3.9188504,0
151,-0.4549948,4.604693,0
263,6.900253,7.259899,0
191,-2.0440516,2.7797425,0
352,5.4496813,8.946001,0
274,-1.5849729,7.7425194,0
379,8.076034,4.051227,0
432,6.4735436,8.14192,0
65,-1.4179268,7.9561915,0
121,5.4210443,8.693252,0
178,-0.62400365,4.802061,0
331,6.717773,8.497974,0
233,6.3635488,8.035704,0
325,8.301982,3.015548,0
261,7.442436,4.9088492,0
89,-0.59173405,5.446293,0
169,-1.1525999,4.5806227,0
211,-1.1226991,8.114369,0
372,-0.6740178,7.252888,0
433,-0.63719124,4.62314,0
108,6.705454,8.288096,0
394,-1.1590462,5.6181383,0
207,-1.640562,2.6286137,0
201,8.180618,3.277651,0
156,6.1030073,4.42093,0
423,-1.1952363,7.943068,0
301,5.3114147,8.789126,0
18,6.008394,8.369041,0
236,-1.4236208,7.914897,0
31,-1.2016387,5.776554,0
145,6.1902523,4.0712852,0
318,6.8248305,4.0474977,0
42,8.490073,3.8987842,0
354,-0.46709615,4.4522443,0
2,8.41911,6.0619974,0
30,-0.44284233,4.45762,0
176,6.4149055,4.7773604,0
35,5.8479567,2.6602302,0
45,6.3377314,7.725739,0
177,5.8806505,2.6945527,0
219,-0.23305538,5.9322352,0
216,-1.3999615,8.105228,0
421,6.2829914,8.463999,0
91,6.1941566,9.294379,0
195,5.194105,9.155063,0
243,6.138654,3.8752236,0
289,6.5551662,6.2035584,0
110,6.288306,8.318465,0
413,5.918516,9.203306,0
334,7.0282555,5.3042674,0
34,-1.1439775,6.78652,0
163,8.256032,3.2259774,0
419,-1.7479432,2.6981459,0
324,8.444141,6.082513,0
192,-2.1405666,2.6250792,0
259,6.5207815,5.0259967,0
418,8.629313,4.78235,0
273,6.306932,4.6344347,0
375,7.7946095,2.6893852,0
