,UMAP_1,UMAP_2,label,naive,MLP,logisticRegression,decisionTree,randomForest,xgb
575,-2.7790234,5.017393,1,0,0,0,0,0,0
1428,13.995105,4.5693355,0,0,1,1,0,0,0
1386,11.641127,5.779392,0,0,0,1,0,0,1
1967,11.5174265,3.8738394,0,0,1,1,0,0,0
2243,-3.8552673,5.9201536,1,0,0,0,0,0,0
1196,12.819377,4.135379,0,0,1,1,0,0,0
419,11.166533,8.364806,0,0,0,1,1,1,1
1826,-2.7160113,4.325561,0,0,0,0,0,0,0
1260,15.031944,7.155827,1,0,0,1,1,1,1
3072,12.693133,7.670116,1,0,0,1,1,1,1
1642,11.122836,4.6715627,1,0,0,1,0,0,1
3189,-3.1796052,4.755779,1,0,0,0,0,0,0
928,-4.551139,4.859928,0,0,0,0,0,0,0
610,12.000997,4.9834733,0,0,0,1,0,0,1
1575,13.077476,7.8697734,0,0,0,1,1,1,1
185,-3.9921064,5.862084,0,0,0,0,0,0,0
2782,-4.4191837,5.2139125,0,0,0,0,0,0,0
449,13.370869,4.0820603,0,0,1,1,0,0,0
1198,13.788437,4.7808995,0,0,1,1,0,0,0
1356,14.168996,6.743456,0,0,0,1,1,1,1
399,12.85761,3.8128183,0,0,1,1,0,0,0
3168,-2.6267498,4.5806866,1,0,0,0,0,0,0
1781,12.745248,4.1033287,0,0,1,1,0,0,0
2995,11.608891,3.9527714,1,0,1,1,0,0,0
411,-4.0216794,5.223051,0,0,0,0,0,0,0
2878,11.707678,4.1006885,0,0,1,1,0,0,0
3264,13.707095,4.5580263,0,0,1,1,0,0,0
2071,13.67631,7.438912,1,0,0,1,1,1,1
680,-2.8541868,4.581356,0,0,0,0,0,0,0
865,12.405689,8.618848,0,0,0,1,1,1,1
444,-5.0898476,5.346168,0,0,0,0,0,0,0
211,14.125973,1.3893665,0,0,1,1,1,1,1
569,14.239212,5.065248,0,0,1,1,0,0,0
1243,-4.918587,4.651282,0,0,0,0,0,0,0
780,-2.7031088,4.2946134,0,0,0,0,0,0,0
779,14.082636,6.9033294,0,0,0,1,1,1,1
2076,-4.0582404,5.913145,1,0,0,0,0,0,0
1744,12.376773,8.616247,1,0,0,1,1,1,1
144,13.992271,1.7543719,0,0,1,1,1,1,1
898,12.932899,5.611846,0,0,0,1,0,1,1
1429,14.026064,4.3502717,0,0,1,1,0,0,0
2033,-5.3119335,5.185261,0,0,0,0,0,0,0
