,UMAP_1,UMAP_2,W3IWER4_A
1051,9.006797,-0.9426389,1
1300,-2.2801983,13.236584,1
984,4.087708,-9.053238,1
1010,18.663052,-5.119116,1
87,19.094826,-4.6981435,1
1012,0.73131835,-6.3588467,1
362,0.96108556,-8.065593,1
1217,-0.2998658,13.319222,1
973,19.087015,-6.380186,1
1232,5.3957195,14.595685,1
11,6.9545493,-3.6227736,1
1022,18.625162,3.98826,1
1016,8.015917,-2.8742418,1
1228,-2.8830884,11.680585,1
1183,-9.01725,11.12002,1
252,17.70072,5.568196,1
15,7.716417,-6.5068474,1
1294,6.3512263,15.050483,1
1156,-2.7176933,11.4524555,1
84,12.84299,2.7429395,1
71,10.911158,0.46163112,1
1226,-8.70363,11.516149,1
27,14.0829525,3.366417,1
338,20.97365,-6.55768,1
431,21.712872,-7.465567,1
427,9.255481,-1.1081278,1
1249,6.3276525,15.060575,1
215,1.3022634,-7.809206,1
174,0.8612642,-7.7952895,1
316,17.72268,5.6643486,1
188,10.025143,1.4176602,1
1207,-2.9212954,12.0146885,1
1026,13.849638,3.2525408,1
351,20.861149,-7.911589,1
1126,14.158669,3.7461114,1
1124,8.938371,-6.457578,1
118,19.933062,-6.228457,1
10,18.64033,-4.911408,1
120,3.1780305,-6.008907,1
1274,-2.8854067,11.620393,1
980,8.961189,-0.96376324,1
1206,-2.848357,11.534762,1
1298,4.6423216,14.474216,1
1134,20.21014,-8.438921,1
1233,7.708734,13.881114,1
1193,-2.8562365,12.086227,1
434,16.373695,4.402764,1
982,8.375496,-4.9518237,1
363,1.2445122,-7.7849436,1
1189,12.467363,16.521032,1
415,9.221468,-7.744144,1
1302,-2.9315639,11.820773,1
1095,17.807093,5.760767,1
1061,3.1139266,-6.0348697,1
1288,12.6821,16.11539,1
1198,-0.2668227,13.290467,1
1220,7.720201,13.860871,1
393,19.68983,-9.092948,1
1153,12.568008,16.254023,1
1236,-9.011883,11.124307,1
1135,21.669607,-7.433937,1
1148,-2.900057,12.048422,1
310,18.757607,-4.6530056,1
1096,18.614458,3.9578805,1
1212,-2.918214,11.9926605,1
1136,16.370138,4.3962297,1
1251,12.50384,16.307663,1
1100,9.978818,0.6278989,1
1271,4.488352,14.371159,1
1229,6.306292,15.032911,1
961,17.68338,5.597799,1
392,4.881584,-7.6696315,1
1117,7.7279234,-6.5106215,1
401,10.501917,1.0500073,1
1018,7.456962,-3.3593657,1
113,7.979592,-2.8926656,1
104,0.725494,-6.3550787,1
4,4.8273206,-2.4774504,1
203,9.00996,-0.9311743,1
126,21.686754,-7.4440165,1
356,17.735186,4.4654064,1
285,4.27093,-2.992078,1
1157,12.595473,16.212614,1
314,18.81572,-7.0502386,1
167,2.8811474,-6.000425,1
1305,-2.2801034,13.232396,1
1043,9.446736,-1.6424491,1
1296,12.353824,17.225515,1
1160,-1.7676076,13.428908,1
72,8.273073,-5.39351,1
349,9.941155,0.67807746,1
1313,-2.3377037,13.168583,1
155,10.558631,0.99903005,1
1040,0.79474944,-7.75723,1
337,18.647158,3.9622724,1
67,18.88544,-7.0708404,1
295,20.265879,-6.1772604,1
1056,20.765873,-8.421649,1
1140,-0.33788022,13.350832,1
1246,4.602075,14.436949,1
409,14.149715,3.7617598,1
1213,7.7087874,13.869428,1
1035,7.0267897,-6.039454,1
1086,18.879002,-6.987167,1
428,20.240396,-8.470153,1
1034,17.785805,5.746739,1
99,18.658915,-5.147638,1
1175,-0.27180958,13.310032,1
1065,17.693216,5.54334,1
1284,-2.9213696,11.988034,1
1319,-2.8946958,11.625395,1
1185,-1.9932581,13.3595705,1
1074,4.282245,-2.9647648,1
997,4.945367,-7.6312437,1
158,-2.739619,-9.218214,1
1147,-1.1873716,13.528536,1
1028,10.07552,0.48766464,1
251,8.009904,-2.9027934,1
1076,4.226066,-3.06119,1
1161,7.7255554,13.854548,1
29,20.861017,-6.4467173,1
288,-3.3136487,-9.191305,1
1199,-9.00558,11.132664,1
1280,12.382111,17.229649,1
1219,7.7088304,13.873559,1
358,9.208899,-7.8088064,1
995,8.250301,-5.4626775,1
992,1.0152377,-7.7023783,1
1180,12.64466,16.153425,1
996,18.898483,-7.688738,1
256,7.0389347,-6.0505915,1
90,6.9336634,-3.6210077,1
435,7.8923755,-2.9645567,1
1269,12.683763,16.11551,1
1033,-2.7343297,-9.219553,1
69,1.0438561,-7.690404,1
329,18.605972,4.0112996,1
1202,-2.9636679,11.767762,1
1192,6.28682,15.044265,1
1282,-2.8667853,12.064295,1
1292,12.615548,18.090008,1
1045,4.16749,-8.422944,1
1308,4.6154685,14.450313,1
1052,9.165012,-7.8332963,1
49,4.079765,-9.058058,1
6,6.6991315,-3.7387068,1
1258,6.3409023,15.057842,1
1270,-2.9148927,11.692443,1
1075,8.91694,-6.1231084,1
976,14.097032,3.3871083,1
100,7.957989,-5.6375527,1
1111,4.918485,-7.6529403,1
1252,12.344199,17.259779,1
1152,-8.661171,11.567807,1
960,8.021646,-2.8483016,1
1009,19.002636,-6.5893326,1
1234,-0.32141832,13.331022,1
128,8.100424,-5.5881352,1
1287,7.747685,13.8525505,1
1127,10.011397,0.57529247,1
1000,19.181482,-6.2199545,1
1173,-8.647936,11.584786,1
1037,8.447362,-5.6169567,1
977,20.870068,-6.463116,1
16,19.817472,-6.205756,1
1159,5.6209693,14.728111,1
1261,-2.9978225,11.791875,1
406,8.927681,-6.460117,1
396,9.504268,-1.6051066,1
326,10.673862,0.32304683,1
1255,3.9153368,14.017263,1
1166,5.466041,14.647176,1
1014,7.03308,-6.061987,1
182,12.988107,2.8498783,1
967,6.9508357,-3.6236477,1
168,0.79676247,-7.8327007,1
1129,9.212281,-7.750919,1
999,11.909375,1.7099681,1
1128,7.621897,-6.412856,1
1190,12.654701,16.141148,1
1247,-8.652908,11.578862,1
1059,18.576225,6.409501,1
1210,-9.006599,11.13068,1
1230,-9.053394,11.078515,1
1145,-2.9805262,11.796789,1
1279,12.667355,16.13051,1
1039,0.75922054,-7.784985,1
1290,3.8756588,13.982039,1
202,20.772089,-8.473756,1
32,2.9782622,-4.875516,1
989,21.702082,-7.470601,1
85,4.7406406,-2.559961,1
361,12.874406,2.766911,1
1108,19.04632,-4.2828674,1
330,-3.375519,-9.152303,1
1222,12.335121,17.226442,1
1259,-9.013358,11.120411,1
268,-2.270545,-6.2960567,1
991,18.906183,-7.0648737,1
1107,1.3935605,-7.952929,1
1023,8.112461,-5.611642,1
1142,-8.716674,11.50374,1
1297,4.643374,14.456086,1
1256,-0.3603666,13.371398,1
1003,19.087294,-4.6952786,1
1306,12.361221,17.238049,1
50,2.9865303,-4.004791,1
1314,12.592045,16.215034,1
1121,8.844763,-7.049441,1
1162,-1.2069716,13.546222,1
1054,9.2998705,-1.5684009,1
1036,15.095174,3.4881823,1
1106,0.96264476,-8.085248,1
1144,-1.7089639,13.416567,1
969,4.281516,-3.0888715,1
78,4.9120293,-7.6632004,1
196,18.194933,4.321683,1
1070,12.988659,2.8644722,1
