,COUNTY,USAWT2RC,W1STATE,WWWHISP,CENSDIV,F2,STRATA,WWWRACE3,WWWBLACK,WWWAGE,WWWEDU5,label,naive,MLP,logisticRegression,decisionTree,randomForest,xgb
575,0.7098886705959395,-0.6108049905028925,0.709090909090909,-1,0.41935483870967727,0.3333333333333335,1.0,-1,-1,0.7272727272727275,0.0,1,0,0,0,1,0,0
1428,0.3866695772393216,-1.0,0.38181818181818183,-1,-0.3548387096774195,0.3333333333333335,1.0,-1,-1,-0.33333333333333326,-0.5,0,0,0,0,0,0,0
1386,-0.8199810812777415,-1.0,-0.8181818181818182,-1,0.9999999999999998,-0.9999999999999999,1.0,0,1,-0.15151515151515138,-0.5,0,0,0,0,0,0,0
1967,-0.14658371534599446,-1.0,-0.1636363636363637,-1,0.29032258064516125,-0.33333333333333326,0.0,1,-1,0.5151515151515151,-0.5,0,0,0,0,0,0,0
2243,0.7090882631157678,-1.0,0.709090909090909,1,0.41935483870967727,0.3333333333333335,-1.0,-1,-1,0.3030303030303032,0.0,1,0,1,0,0,1,1
1196,0.49363312231681555,-1.0,0.49090909090909074,-1,-0.935483870967742,1.0,1.0,-1,-1,0.5757575757575757,-0.5,0,0,0,1,1,1,1
419,-0.8186713235829151,-1.0,-0.8181818181818182,-1,0.9999999999999998,-0.33333333333333326,0.0,0,1,0.6060606060606064,1.0,0,0,0,0,0,0,0
1826,0.817288801571709,-1.0,0.8181818181818181,-1,0.29032258064516125,1.0,1.0,-1,-1,-0.09090909090909083,0.0,0,0,1,0,1,0,1
1260,0.7218947827985154,-0.6298717361063247,0.709090909090909,-1,0.41935483870967727,-0.33333333333333326,1.0,-1,-1,0.18181818181818188,1.0,1,0,0,0,1,0,0
3072,-0.71083460670887,-1.0,-0.7090909090909091,-1,-1.0,-0.33333333333333326,1.0,-1,-1,-0.4242424242424241,0.5,1,0,0,0,0,0,0
