,COUNTY,USAWT2RC,W1STATE,WWWHISP,CENSDIV,F2,STRATA,WWWRACE3,WWWBLACK,WWWAGE,WWWEDU5,W3IWER4_A
1244,-0.9878444868925653,-0.28494866889373804,-0.20639300955621975,0.7372655928133631,-0.21162009867392428,0.9524518456966553,0.008068085154956384,-0.6556582545110997,0.2986862099929463,-0.47717648906305465,-0.48950780005162425,1
330,-0.7808931477564407,-0.9975757644518994,-0.969388409036174,0.9938969014407695,-0.8280363264404045,0.9552326548054876,0.6766395558522332,-0.4179956126388207,-0.162489497784805,-0.26977392183852666,-0.1505377237339801,1
1077,-0.7065379906455137,-0.9899222555883099,-0.9571437726506435,0.9938969014407695,-0.8324203058386246,0.9641861238443901,0.6797565424924621,-0.42323271663682127,-0.16468075271960902,-0.30242702216860906,-0.14565499188663805,1
1084,0.7448398221798853,-1.0,-0.7122510449400352,1.0000000000000002,-0.8674921410243854,0.9552326548054876,0.6766395558522332,-0.42323271663682127,-0.16468075271960902,-0.25888955506183253,-0.14565499188663805,1
1305,-0.983807942884153,-0.03367135711322855,0.05259751045407124,0.6505201267406162,0.05262356385393696,0.9665684620146313,-0.2102643298462077,-0.7305418254207434,0.45093235329599024,-0.30918341445441677,-0.597257434429734,1
437,0.30916507348304756,-1.0,-0.7857188632532177,0.9938969014407695,-0.9595557083870077,0.9552326548054876,0.6766395558522332,-0.42323271663682127,-0.16468075271960902,-0.3895019563821621,-0.13100679634461188,1
316,0.4171397987017471,-0.9884481119107026,-0.7673519086749221,0.9938969014407695,-0.9200998938030267,0.9552326548054876,0.6797565424924621,-0.42323271663682127,-0.16468075271960902,-0.49834562414910333,-0.13588952819195393,1
1014,-0.37767616783751734,-0.9859204594901835,-0.9020429089157567,0.9938969014407695,-0.9200998938030267,0.9641861238443901,0.6797565424924621,-0.42323271663682127,-0.16468075271960902,-0.4765768905957152,-0.13588952819195393,1
393,0.749922694248015,-0.9881868782140992,-0.7122510449400352,0.9938969014407695,-0.8674921410243854,0.9552326548054876,0.6797565424924621,-0.42323271663682127,-0.16468075271960902,-0.5527674580325741,-0.13100679634461188,1
1022,0.31025426035478954,-0.9697868348467703,-0.7857188632532177,0.9938969014407695,-0.9595557083870077,0.9641861238443901,0.6797565424924621,-0.42323271663682127,-0.16468075271960902,-0.4221550567122445,-0.14565499188663805,1
1273,-0.9968094607823815,-0.7943515274674603,-0.7937017174739234,0.9223913772593274,-0.7991495974426751,0.9344779471846969,0.49656790691845376,-0.4900153670516787,-0.040928831158618076,-0.8683012312831184,-0.2391657216071725,1
140,0.4887356824042608,-1.0,-0.7551072722893917,0.9938969014407695,-0.8280363264404045,0.9641861238443901,0.6797565424924621,-0.42323271663682127,-0.16468075271960902,-0.29154265539191493,-0.13588952819195393,1
1125,0.0594508300216432,-0.9860531116606626,-0.8285750906025742,0.9938969014407695,-0.9157159144048066,0.9552326548054876,0.6797565424924621,-0.42323271663682127,-0.16468075271960902,-0.5527674580325741,-0.13588952819195393,1
1304,-0.9883884886680873,-0.31224941548591145,-0.24220290978268644,0.747940893367872,-0.24776652255983478,0.9506198007041619,0.03741687151775941,-0.6456778019522269,0.27819963477301163,-0.4996787249032665,-0.4740164362308449,1
1074,-0.05019398173372758,-0.9894403446176439,-0.8469420451808698,0.9938969014407695,-0.9200998938030267,0.9462791857665852,0.6797565424924621,-0.42323271663682127,-0.16468075271960902,-0.5092299909257975,-0.13588952819195393,1
1241,-0.9906100990441561,-0.4248113436419261,-0.3916596960402047,0.791538059807684,-0.39310591524519656,0.951830216004353,0.1599664882082107,-0.6046937432705469,0.19332839507427713,-0.6051112291993441,-0.4085431006546755,1
52,-0.41804869455009097,-0.9803348772324428,-0.9081652271085219,0.9938969014407695,-0.8324203058386246,0.9552326548054876,0.6797565424924621,-0.42323271663682127,-0.16468075271960902,-0.5418830912558799,-0.140772260039296,1
168,-0.7808931477564407,-0.9549457638657203,-0.969388409036174,0.9938969014407695,-0.8280363264404045,0.9641861238443901,0.6797565424924621,-0.42323271663682127,-0.16468075271960902,-0.5963049251393505,-0.13588952819195393,1
1289,-0.9905645844084299,-0.4177696252276838,-0.3895771960836445,0.7894244512463598,-0.38939984184095777,0.9535490528642122,0.15803454244823,-0.6063504760599535,0.19484601699560006,-0.6067696435738661,-0.40824739199528065,1
1118,-0.3436209249810478,-0.9675020877984056,-0.8959205907229915,0.9938969014407695,-0.9200998938030267,0.9462791857665852,0.6797565424924621,-0.42323271663682127,-0.16468075271960902,-0.3895019563821621,-0.140772260039296,1
1266,-0.973227180036438,0.5783227141527403,0.7469203906191466,0.42992108884284763,0.7446650417009193,0.9817902841212678,-0.7885645647759487,-0.9275640895656181,0.8526646537365148,0.16068106062054666,-0.8919393090199821,1
362,-0.9607542065101186,-0.9809580642726905,-1.0,0.9938969014407695,-0.8718761204226055,0.9462791857665852,0.6797565424924621,-0.41275850864082003,-0.16468075271960902,-0.7378016932363742,-0.14565499188663805,1
1039,-0.7808931477564407,-0.9549457638657203,-0.969388409036174,0.9938969014407695,-0.8280363264404045,0.9641861238443901,0.6797565424924621,-0.42323271663682127,-0.16468075271960902,-0.5963049251393505,-0.13588952819195393,1
1223,-0.9855804808393518,-0.14455272752291815,-0.05791380811816249,0.6881033161013181,-0.06399533196267149,0.9535861129285244,-0.11630089936308086,-0.6990255247487546,0.38499435735805054,-0.374483303988826,-0.5511257287432207,1
1238,-0.9967129941080024,-0.7782520262005209,-0.791682018548935,0.918806635676232,-0.7925404488137666,0.9424636577836473,0.4932255384965876,-0.4908410114484735,-0.03833978100022553,-0.8755080178888808,-0.23907011361090935,1
1272,-0.9800148272221518,0.1757595753373662,0.3061418801652622,0.5726915115375533,0.30027953431335885,0.9642381629117134,-0.41970665529631135,-0.8019649328755316,0.5959578140627102,-0.13022895242252885,-0.705962962509037,1
