,UMAP_1,UMAP_2,label,naive,MLP,logisticRegression,decisionTree,randomForest,xgb
1011,9.80537,7.574635,0,0,1,0,0,0,0
575,7.9786644,-3.811224,1,0,1,0,0,0,0
2316,-0.21239497,13.407597,0,0,1,1,1,1,1
1092,14.991646,-5.072579,1,0,1,0,1,1,1
19,8.778233,4.587904,0,0,0,0,1,1,0
2198,-0.13446273,13.261289,1,0,1,1,1,1,1
1428,9.724383,5.056157,0,0,0,0,0,0,0
1386,-4.1809793,7.6169763,0,0,1,1,1,1,0
1858,12.011553,10.952534,0,0,1,0,0,0,0
1967,-4.0591807,4.975247,0,0,1,1,1,1,0
1147,8.199573,-4.0843983,0,0,1,0,0,0,0
267,-7.020595,5.341666,0,0,1,1,1,1,1
2243,-0.065081075,12.637797,1,0,1,1,1,1,1
936,14.44583,-4.345328,0,0,1,0,0,0,0
1528,-4.3136973,5.130628,1,0,1,1,1,1,1
1454,12.17121,10.825877,1,0,1,0,0,0,0
1196,7.6844835,2.8411934,0,0,0,0,0,0,0
419,-4.0842485,7.0672417,0,0,1,1,1,1,0
1826,15.083461,-3.4418821,0,0,1,0,0,0,0
3202,14.490295,14.182314,0,0,1,0,1,1,1
2417,0.17018549,12.153193,0,0,1,1,1,1,1
1260,15.651285,-4.012955,1,0,1,0,0,0,0
2741,-5.923007,4.530535,0,0,1,1,1,1,1
1831,12.091311,10.882493,0,0,1,0,0,0,0
443,-4.911478,7.102589,0,0,1,1,1,1,1
3072,14.1746645,14.853322,1,0,1,0,1,1,1
1642,8.522809,-4.175142,1,0,1,0,0,0,0
2742,-5.4471025,3.700379,0,0,1,1,1,1,1
3189,14.8155155,-4.196348,1,0,1,0,0,0,0
928,9.830186,5.238675,0,0,0,0,0,0,0
698,-7.1690006,6.4266663,0,0,1,1,1,1,1
137,12.438419,2.1031513,0,0,0,0,0,0,0
610,8.446318,4.838701,0,0,0,0,1,1,0
2357,-0.02274994,12.292768,0,0,1,1,1,1,1
567,7.8705974,-4.0054145,0,0,1,0,0,0,0
1575,14.452638,14.189695,0,0,1,0,1,1,1
307,7.9781146,3.3367214,0,0,0,0,0,0,0
185,7.9938207,-4.1809616,0,0,1,0,0,0,0
1872,-4.3535857,5.2419987,0,0,1,1,1,1,1
3243,12.061846,10.932406,0,0,1,0,0,0,0
2048,-6.555679,6.256333,0,0,1,1,1,1,1
3188,13.761711,14.578736,0,0,1,0,1,1,1
465,-4.996662,7.1131463,0,0,1,1,1,1,1
729,14.562599,-4.439145,1,0,1,0,1,0,1
695,-7.0640097,5.2773,0,0,1,1,1,1,1
2782,-6.021969,4.431596,0,0,1,1,1,1,1
449,-4.725313,6.8528337,0,0,1,1,1,1,1
2828,-7.0525293,6.381316,1,0,1,1,1,1,1
3155,11.922164,10.384516,1,0,1,0,0,0,0
1198,9.709161,5.0828547,0,0,0,0,0,0,0
1356,-6.7701087,5.2882476,0,0,1,1,1,1,1
2698,14.131583,14.708325,0,0,1,0,1,1,1
811,-4.4931774,6.9774537,0,0,1,1,1,1,1
868,7.6914725,2.8520317,0,0,0,0,0,0,0
2237,8.426996,-4.3251476,0,0,1,0,0,0,1
418,-3.9223423,5.037813,0,0,1,1,1,1,0
3173,12.93711,-3.29612,0,0,1,0,0,0,0
1714,13.796085,13.489264,0,0,1,0,1,1,1
1712,-4.1560335,5.124396,1,0,1,1,1,1,0
1118,-4.4327154,7.8334413,0,0,1,1,1,1,1
399,7.707777,2.7453675,0,0,0,0,0,0,0
3168,14.922138,-4.244304,1,0,1,0,0,0,0
329,-7.0176835,5.371072,1,0,1,1,1,1,1
1781,8.839567,-3.9560962,0,0,1,0,0,0,0
1481,15.2451935,-4.750138,1,0,1,0,1,1,1
439,-4.178202,6.795928,0,0,1,1,1,1,0
1527,12.060139,2.3348846,1,0,0,0,0,0,0
2995,-5.376169,3.9864185,1,0,1,1,1,1,1
411,-4.1466565,6.865892,0,0,1,1,1,1,0
747,8.641958,5.363097,0,0,0,0,1,1,0
3140,15.070805,-3.4635823,0,0,1,0,0,0,0
2878,8.706339,-3.4036367,0,0,1,0,0,0,0
1079,11.344868,7.9182353,0,0,1,0,0,0,0
926,14.820301,-4.6691008,1,0,1,0,1,1,1
1817,15.254282,-4.443776,0,0,1,0,1,1,1
2401,0.24602927,12.203505,1,0,1,1,1,1,1
3008,-5.4165115,3.7052698,1,0,1,1,1,1,1
1351,-4.167234,6.8614025,0,0,1,1,1,1,0
3264,14.861924,-3.42236,0,0,1,0,0,0,0
3283,-4.2917247,5.2798457,0,0,1,1,1,1,1
724,9.639457,5.6401052,0,0,0,0,0,0,0
1524,9.060535,-3.9183965,0,0,1,0,0,0,0
2071,14.421161,14.061397,1,0,1,0,1,1,1
451,-4.672159,7.6354184,0,0,1,1,1,1,1
2767,-6.997138,5.327446,0,0,1,1,1,1,1
680,9.834819,5.486668,0,0,0,0,0,0,0
865,15.337092,-4.650085,0,0,1,0,1,1,1
2406,-0.15645365,13.300981,0,0,1,1,1,1,1
1535,12.351249,2.9792185,1,0,0,0,0,0,0
1482,12.630021,2.0163345,0,0,0,0,0,0,0
72,8.425983,4.733459,0,0,0,0,1,1,0
444,9.939238,7.8213534,0,0,1,0,0,0,0
3079,14.098191,14.781982,1,0,1,0,1,1,1
1868,12.092535,11.010612,0,0,1,0,0,0,0
211,9.755644,5.643328,0,0,0,0,0,0,0
424,-4.1313562,7.127505,0,0,1,1,1,1,0
29,-0.6491441,11.987605,0,0,1,1,1,1,1
540,15.615096,-3.5526497,0,0,1,0,0,0,0
1885,9.04581,-3.807982,0,0,1,0,0,0,0
1951,14.896462,-4.295094,0,0,1,0,0,0,0
603,7.962213,3.3143992,0,0,0,0,0,0,0
1703,-5.998084,4.433203,0,0,1,1,1,1,1
684,15.02455,-4.952704,1,0,1,0,1,1,1
771,15.011652,-3.874631,1,0,1,0,0,0,0
515,-4.912166,7.068659,0,0,1,1,1,1,1
2538,-0.5141064,12.64495,0,0,1,1,1,1,1
2488,-0.7140741,13.278821,1,0,1,1,1,1,1
569,10.072553,7.9490013,0,0,1,0,0,0,0
1243,13.524702,14.150883,0,0,1,0,1,1,1
1186,-4.5064597,5.2051344,1,0,1,1,1,1,1
780,8.481138,5.023277,0,0,0,0,1,1,0
462,-5.9593897,4.8085265,0,0,1,1,1,1,1
1324,8.481319,5.0403695,0,0,0,0,1,1,0
2476,-0.32295445,13.385803,1,0,1,1,1,1,1
712,10.123277,7.9881444,0,0,1,0,0,0,0
2700,-6.5441117,6.287074,0,0,1,1,1,1,1
779,11.937725,10.326777,0,0,1,0,0,0,0
2076,-0.08686467,12.674455,1,0,1,1,1,1,1
693,12.57673,2.6100492,1,0,0,0,0,0,0
337,-4.2775073,6.765671,0,0,1,1,1,1,1
1744,15.712658,-3.6245096,1,0,1,0,0,0,0
2500,-1.0765378,12.702818,0,0,1,1,1,1,1
2819,-6.6861243,5.6166053,1,0,1,1,1,1,1
144,8.105927,3.048603,0,0,0,0,0,0,0
1653,15.670891,-3.543824,1,0,1,0,0,0,0
898,12.323019,1.9094167,0,0,0,0,0,0,0
2376,-0.42111614,12.447731,0,0,1,1,1,1,1
1600,8.5988865,-3.5229092,1,0,1,0,0,0,0
1429,-4.164004,7.563584,0,0,1,1,1,1,0
2941,-5.9196715,4.5360293,0,0,1,1,1,1,1
2033,-6.873148,6.405877,0,0,1,1,1,1,1
1150,12.02444,10.33374,1,0,1,0,0,0,0
1282,14.366288,13.984336,0,0,1,0,1,1,1
1788,14.272605,14.860421,0,0,1,0,1,1,1
1206,12.113249,2.0941293,1,0,0,0,0,0,0
1172,15.108214,-4.996521,1,0,1,0,1,1,1
222,13.455454,13.955632,0,0,1,0,1,1,1
258,-0.73709106,12.013245,0,0,1,1,1,1,1
393,-7.0417542,5.275275,1,0,1,1,1,1,1
2119,-1.0892112,12.422977,0,0,1,1,1,1,1
53,-0.100591026,12.316831,1,0,1,1,1,1,1
960,8.181315,-4.4830003,0,0,1,0,1,1,1
691,9.661975,5.6970468,0,0,0,0,0,0,0
2283,-1.0034825,12.364026,1,0,1,1,1,1,1
2183,8.760187,-4.671693,0,0,1,0,1,1,1
2467,-0.5305721,12.799068,0,0,1,1,1,1,1
877,7.899884,-4.0344534,1,0,1,0,0,0,0
2104,-0.5143213,12.368825,0,0,1,1,1,1,1
947,7.9522333,-3.6992192,0,0,1,0,0,0,0
1944,14.427244,14.182195,1,0,1,0,1,1,1
318,-4.352067,7.77377,0,0,1,1,1,1,1
1067,7.7221484,2.7938912,0,0,0,0,0,0,0
1950,-5.6773863,5.362532,0,0,1,1,1,1,1
2899,8.559544,-4.593375,1,0,1,0,1,1,1
377,-7.073812,6.523045,1,0,1,1,1,1,1
1675,12.03578,11.076716,0,0,1,0,0,0,0
863,7.643291,2.8162394,0,0,0,0,0,0,0
1591,11.990884,2.8069232,0,0,0,0,0,0,0
1471,7.937709,-4.041851,0,0,1,0,0,0,0
1155,-0.35776088,11.675621,0,0,1,1,1,1,1
89,-1.0509101,12.333499,1,0,1,1,1,1,1
2501,-0.34629104,12.467665,0,0,1,1,1,1,1
1466,12.102893,10.675492,0,0,1,0,0,0,0
997,11.040058,7.6163473,0,0,1,0,0,0,0
3087,8.638275,-3.4955816,0,0,1,0,0,0,0
1387,11.280128,7.9320087,0,0,1,0,0,0,0
820,-6.157503,4.180584,1,0,1,1,1,1,1
1115,13.501722,14.041648,1,0,1,0,1,1,1
879,9.801807,7.610411,0,0,1,0,0,0,0
298,-4.279538,7.6955132,0,0,1,1,1,1,1
364,-5.0387526,7.3060617,0,0,1,1,1,1,1
1998,-6.8177066,5.433027,0,0,1,1,1,1,1
488,-5.3297453,7.52044,0,0,1,1,1,1,1
2834,-6.7439656,5.503649,0,0,1,1,1,1,1
1691,14.206548,14.7994795,1,0,1,0,1,1,1
1458,11.3209,8.085498,0,0,1,0,0,0,0
3174,-0.58784586,13.218899,0,0,1,1,1,1,1
1141,8.014598,-4.1672997,0,0,1,0,0,0,0
2714,-4.0465794,4.8368964,0,0,1,1,1,1,0
