,UMAP_1,UMAP_2,W3IWER4_A
1146,-9.037884,9.790756,1
4,-4.062827,16.082445,1
1330,-4.0521255,16.174534,1
836,10.581887,-5.7975845,1
829,19.048265,7.4436755,1
1269,18.94099,7.435773,1
29,-4.4187007,13.572605,1
597,6.8930745,13.386032,1
1415,10.577976,-5.9123297,1
467,5.2652802,11.955115,1
632,-4.3672814,13.531727,1
1465,-4.3874493,13.625249,1
729,19.365372,7.7968206,1
539,-4.8177037,16.61881,1
176,10.38177,-6.84692,1
1365,8.931301,4.5192423,1
1198,11.204411,-6.964589,1
76,-4.092724,16.857302,1
1445,4.746977,11.987864,1
1348,-5.090656,15.036179,1
1175,10.651847,-5.8049345,1
1005,6.7398925,12.710778,1
1267,-4.544019,16.857471,1
752,19.176588,7.4695067,1
5,-4.733955,16.628199,1
24,11.671154,-6.3640265,1
48,18.885368,7.395809,1
81,-5.3873734,15.189191,1
459,-9.36106,-3.3221066,1
813,4.6832037,12.069144,1
44,4.7724147,11.95083,1
305,4.6802545,12.50756,1
231,-8.827629,9.916135,1
121,17.227644,11.656833,1
745,17.080816,11.338105,1
111,-9.923112,-3.9737198,1
423,-5.0313315,15.062725,1
936,-5.1227074,15.106633,1
201,-4.425166,13.572433,1
133,6.7213173,12.694344,1
864,-9.339001,-3.398585,1
1091,10.643301,-6.0629826,1
1455,5.197974,11.8845415,1
446,-1.4323007,-4.0748253,1
567,10.513234,-6.0890546,1
1359,-9.33084,-3.2880385,1
468,4.5865846,12.588743,1
975,-4.126389,16.049004,1
1235,-7.8972874,-3.8506424,1
1250,-9.243672,9.606316,1
869,-8.857887,9.42795,1
91,5.1617217,13.741534,1
182,5.0363584,13.739786,1
1274,-1.4473268,-4.332385,1
808,-8.574211,9.861495,1
1378,-4.1968226,16.001144,1
362,-3.9915748,16.874754,1
842,17.328228,11.471915,1
587,18.930538,8.103423,1
1115,6.9905267,13.421483,1
1185,6.7086687,12.644994,1
826,-9.36252,-3.3565226,1
691,18.942982,7.444188,1
36,-9.315801,-3.1680486,1
1162,4.507458,12.559967,1
1028,8.418463,3.7921216,1
546,-4.4189887,13.645204,1
607,-4.987308,15.10363,1
1079,-1.5460062,-4.3024216,1
50,17.448956,11.507359,1
240,-7.9768534,-3.828065,1
168,-4.3672547,14.4670315,1
570,11.357642,-6.799996,1
1460,10.59786,-6.2419596,1
915,17.683788,8.233624,1
1471,8.765036,3.654944,1
1122,8.21441,2.5977368,1
870,-9.160887,-4.2396607,1
1251,15.279853,9.552422,1
456,17.094074,11.334879,1
340,18.167915,9.417367,1
749,2.3248055,2.4717114,1
531,-4.175135,16.79574,1
895,9.119502,4.713642,1
1129,-8.724995,-3.1949294,1
1007,-9.294061,-4.327225,1
825,10.547483,-6.1209464,1
612,8.81498,3.6706486,1
485,17.462416,11.425767,1
1391,4.742249,13.497402,1
1099,6.439667,12.889181,1
1297,17.556652,10.104125,1
1457,-7.996059,-4.0562954,1
1368,6.056361,12.837452,1
477,9.327647,2.8909352,1
945,18.617514,9.586426,1
1182,5.5446715,11.99826,1
283,5.061967,12.848951,1
648,11.701621,-6.294102,1
1233,17.579563,10.068561,1
1418,-7.1453357,-4.206401,1
280,10.629374,-5.8746414,1
949,5.120132,13.658799,1
533,-7.178588,-4.247835,1
344,9.075194,4.693084,1
514,10.53316,-6.1294417,1
1321,-4.2492814,14.255649,1
560,-4.463142,13.5212555,1
573,17.351665,11.490135,1
292,-5.3572783,15.213087,1
1463,-4.746295,14.78492,1
1326,-9.851927,-3.9575565,1
773,17.421898,11.518657,1
675,8.784026,3.677948,1
331,-8.968984,9.705813,1
196,-8.744005,-3.181841,1
1351,17.958885,10.0488615,1
117,11.56915,-6.3790045,1
373,-5.430695,15.216148,1
523,5.290823,13.770025,1
1100,17.65385,10.129259,1
380,8.634032,3.8200727,1
417,6.781164,13.06161,1
107,-8.721146,-3.1546779,1
277,16.706867,8.301062,1
622,16.794987,11.194067,1
402,-1.3401468,-4.6753182,1
457,10.338359,-6.8590446,1
967,16.88227,8.213104,1
953,8.979959,3.8434901,1
323,-4.0263095,16.777409,1
101,18.77641,7.895637,1
1364,5.3035097,13.64797,1
261,11.305486,-6.1884394,1
1137,-7.94348,-4.18235,1
1074,8.855505,4.497514,1
1145,10.563048,-5.75826,1
28,9.422908,4.0158625,1
726,5.3590293,13.7655945,1
137,-4.064712,16.073776,1
511,-4.926406,14.963021,1
3,-7.740173,-3.5245411,1
1405,19.00616,7.427137,1
783,-4.2643223,14.396607,1
1019,6.7290854,12.735777,1
663,15.429005,9.708249,1
437,8.425449,2.727663,1
16,-4.469497,13.586485,1
1353,-4.038937,16.10208,1
1127,-4.032278,16.815977,1
504,-7.4504304,-3.7534385,1
424,11.5324745,-6.4240413,1
798,6.686816,12.741592,1
297,-8.948804,9.645314,1
153,9.154053,3.051433,1
547,-1.0200726,-4.492477,1
526,6.258131,12.493108,1
98,10.619892,-5.922465,1
671,-7.8047323,-4.4112787,1
957,-8.982618,9.855961,1
