,UMAP_1,UMAP_2,label,naive,MLP,logisticRegression,decisionTree,randomForest,xgb
1011,0.22494937,1.1617141,0,0,1,0,0,0,0
575,-1.0227098,6.194701,1,0,1,1,0,0,1
2316,7.4151626,2.996863,0,0,0,1,0,0,1
1092,13.785357,2.1346111,1,0,0,0,0,1,0
19,-0.86535263,2.738462,0,0,1,1,0,0,0
2198,7.3525586,3.0185318,1,0,0,1,0,0,1
1428,0.10502057,1.8387421,0,0,1,0,0,0,0
1386,10.932757,11.483591,0,0,1,1,1,1,1
1858,-3.6733246,3.5281868,0,0,0,1,0,0,0
1967,11.791078,9.241464,0,0,1,1,1,1,1
1147,-0.9871575,6.1842785,0,0,1,1,0,0,1
267,12.56482,12.531272,0,0,1,1,1,1,1
2243,7.3025055,3.36516,1,0,1,1,0,0,1
936,13.498286,1.4047695,0,0,0,0,0,1,0
1528,12.277121,8.312537,1,0,1,1,1,1,1
1454,-3.5413945,3.8730462,1,0,0,1,1,0,0
1196,0.16594492,3.0506792,0,0,1,1,0,0,0
419,11.529574,10.892071,0,0,1,1,1,1,1
1826,-2.8221524,6.91213,0,0,1,1,0,0,0
3202,12.168301,0.4559124,0,0,0,0,0,1,0
2417,9.260413,3.1801753,0,0,0,1,0,0,1
1260,-3.356075,6.8492355,1,0,1,1,0,0,0
2741,13.117959,11.828186,0,0,1,1,1,1,1
1831,-3.5208044,3.5533876,0,0,0,1,0,0,0
443,14.142877,8.495415,0,0,1,1,1,1,1
3072,-4.187688,3.6050053,1,0,0,1,0,0,0
1642,-1.4796664,4.6029224,1,0,1,1,1,0,0
2742,12.7075205,7.1944904,0,0,1,1,1,1,1
3189,14.428709,1.5046567,1,0,0,0,0,1,0
928,0.18841448,1.5793829,0,0,1,0,0,0,0
698,12.224653,12.694341,0,0,1,1,1,1,1
137,-3.8378754,4.7653794,0,0,1,1,1,0,0
610,-0.09010472,2.0022516,0,0,1,0,0,0,0
2357,9.122061,3.2194335,0,0,0,1,0,0,0
567,12.625746,2.4049604,0,0,0,0,0,1,0
1575,12.252205,0.459985,0,0,0,0,0,1,0
307,10.539038,1.9650553,0,0,0,0,0,1,1
185,12.552652,2.5381906,0,0,0,0,0,1,0
1872,12.314492,8.255087,0,0,1,1,1,1,1
3243,-3.5132246,3.602954,0,0,0,1,0,0,0
2048,13.436604,7.163982,0,0,1,1,1,1,1
3188,-3.8585236,3.7516606,0,0,0,1,0,0,0
465,14.104081,8.532671,0,0,1,1,1,1,1
729,13.457967,1.3848399,1,0,0,0,0,1,0
695,12.277424,11.884705,0,0,1,1,1,1,1
2782,13.0390215,11.724671,0,0,1,1,1,1,1
449,11.835495,11.401524,0,0,1,1,1,1,1
2828,13.350145,7.178429,1,0,1,1,1,1,1
3155,12.02291,-0.07629561,1,0,0,0,0,1,0
1198,0.07371553,1.708353,0,0,1,0,0,0,0
1356,13.0789585,7.8550863,0,0,1,1,1,1,1
2698,-4.2365036,3.9126098,0,0,0,1,1,0,0
811,11.1805105,11.2831545,0,0,1,1,1,1,1
868,0.1740721,2.972359,0,0,1,1,0,0,0
2237,-1.5347911,6.0673156,0,0,1,1,0,0,1
418,11.586664,9.519421,0,0,1,1,1,1,1
3173,11.67741,2.2439902,0,0,0,0,0,0,0
1714,11.652647,1.7623074,0,0,0,0,0,1,0
1712,12.164518,8.471987,1,0,1,1,1,1,1
1118,11.0903845,11.431685,0,0,1,1,1,1,1
399,0.19203787,3.0404186,0,0,1,1,0,0,0
3168,14.41493,1.5033246,1,0,0,0,0,1,0
329,12.684378,12.549216,1,0,1,1,1,1,1
1781,12.117759,2.986892,0,0,0,0,0,1,0
1481,14.001383,1.7839569,1,0,0,0,0,1,0
439,13.533787,8.34896,0,0,1,1,1,1,1
1527,11.666202,1.8771709,1,0,0,0,0,1,0
2995,13.142863,7.7764363,1,0,1,1,1,1,1
411,11.661886,11.012525,0,0,1,1,1,1,1
747,-0.36331022,1.5816813,0,0,1,0,0,0,0
3140,-2.8582757,6.9643083,0,0,1,1,0,0,0
2878,-1.508858,6.170951,0,0,1,1,0,0,1
1079,0.6309072,1.1287752,0,0,1,0,0,0,0
926,13.470048,1.4821614,1,0,0,0,0,1,0
1817,14.471045,1.677,0,0,0,0,0,1,0
2401,9.277828,3.1495264,1,0,0,1,0,0,1
3008,12.738043,11.039413,1,0,1,1,1,1,1
1351,13.608432,8.367138,0,0,1,1,1,1,1
3264,-2.7019186,6.8018694,0,0,1,1,0,0,0
3283,12.221499,8.370027,0,0,1,1,1,1,1
724,0.029966023,1.2642274,0,0,1,0,0,0,0
1524,12.002459,2.9537978,0,0,0,0,0,1,0
2071,12.384331,0.32608688,1,0,0,0,0,1,0
451,13.686978,8.1265,0,0,1,1,1,1,1
2767,12.642102,12.461579,0,0,1,1,1,1,1
