,UMAP_1,UMAP_2,W3IWER4_A
877,7.547829,4.7673798,1
88,11.402999,6.7723336,1
4258,1.4965534,15.71798,1
3749,8.547725,5.8609056,1
3932,0.8871633,15.780874,1
976,9.711738,4.834738,1
3456,9.278151,-7.3342505,1
3492,8.1489105,-3.4898915,1
3654,8.024509,5.68762,1
3495,9.119859,-7.5725703,1
3980,0.89641786,15.457185,1
3407,9.109922,-7.218989,1
76,4.150818,5.9844885,1
330,3.5067508,5.654463,1
4390,-0.22882001,14.887599,1
4045,1.3906558,15.518702,1
3765,8.149727,-5.462031,1
4124,-2.405268,13.42968,1
798,3.711897,5.7176294,1
3920,-0.8373821,14.697119,1
3559,4.6077743,5.1242504,1
3942,-4.8488693,13.497863,1
940,6.4709563,-7.253297,1
4394,-4.128677,13.57959,1
1455,11.7786665,4.6631346,1
3879,8.9595175,-2.7860236,1
3627,6.4669557,-7.2019067,1
3919,-4.845843,13.436702,1
3847,9.080812,-7.0254717,1
1217,4.10492,4.234336,1
3809,7.2862134,5.5257173,1
3889,8.118376,7.0653424,1
162,6.8012266,7.4563394,1
3735,8.775251,6.2582855,1
3784,3.672896,5.7296953,1
547,7.5397286,7.933089,1
4098,-0.84153926,13.731676,1
4234,-0.68436,14.743915,1
3828,10.270299,4.362211,1
3382,8.292996,-3.2069345,1
3714,4.538661,5.3026404,1
3747,10.142094,4.415944,1
3536,7.9344854,8.175245,1
344,3.1884036,5.2279277,1
4075,0.6551487,14.193963,1
4263,-0.088860996,15.817042,1
4348,-2.0824878,14.316783,1
3891,7.5156093,8.060108,1
3448,6.421731,-7.247083,1
3691,5.1594925,4.0053153,1
1250,7.9409976,-7.890025,1
3502,7.7798276,-2.4772267,1
4020,-1.3389726,13.481652,1
3794,12.651843,8.152555,1
3470,6.502181,-4.799391,1
3764,8.700181,-5.472125,1
4057,-4.9106636,13.553661,1
36,8.149938,-4.093519,1
1128,8.689496,6.2653704,1
3956,-1.2809597,13.5720825,1
4140,-1.2625775,14.710027,1
3966,0.9177246,14.464575,1
3501,10.747249,4.373808,1
3782,5.1252456,3.9684074,1
3845,3.8688421,4.858295,1
3902,-2.7329264,14.8173685,1
3428,11.425408,6.8167453,1
568,12.089865,7.7546477,1
1175,9.268792,-6.9301167,1
3390,6.632948,8.14795,1
299,7.6196895,6.6688004,1
3459,8.914549,3.9233081,1
3569,12.428155,7.8852167,1
3526,3.0337515,5.274347,1
1105,7.028767,-5.4539433,1
1205,7.540928,5.0566278,1
887,4.3188815,6.0418305,1
1154,8.244272,4.1397953,1
4240,-2.3660877,14.454125,1
3471,8.044392,-5.5316887,1
1352,6.7035155,8.11581,1
209,4.337884,4.6763372,1
196,7.9510307,5.304132,1
741,12.418658,7.848205,1
4340,-1.2453495,13.561906,1
4081,0.97722584,14.608498,1
1150,5.181609,3.9566445,1
4337,-1.1796,14.203913,1
3842,8.265336,6.912122,1
602,12.741243,7.8258777,1
3625,8.183677,3.3194513,1
4087,0.08392776,15.866734,1
4211,0.08666384,15.863904,1
4201,-1.1209269,14.72731,1
4135,-0.6198806,13.708067,1
4035,-4.0875325,13.732859,1
3987,0.6088707,14.157517,1
4165,-3.0238724,14.516311,1
55,9.168993,-4.2521634,1
4232,-3.620075,14.312697,1
3985,-2.1506574,13.442794,1
826,8.055852,-4.016337,1
4381,-0.7655737,14.081051,1
3833,8.568728,-6.8022714,1
837,8.737852,-5.4386425,1
3629,7.0823255,5.7417345,1
3716,9.368529,-4.073826,1
60,10.015334,4.382521,1
4004,-2.3838582,13.423916,1
4037,1.0947845,15.368184,1
4345,-0.55058795,15.5987835,1
402,8.13258,7.078748,1
3772,7.204088,7.339191,1
4296,0.78383857,14.319388,1
3922,-2.3188038,14.446075,1
3882,7.946476,-7.882379,1
920,11.686079,4.7286363,1
242,9.149062,-3.5646167,1
3570,11.026379,3.9001482,1
3875,12.0716505,6.804874,1
4142,-2.051996,14.811012,1
4266,-0.25285462,13.815886,1
560,8.173649,5.996053,1
3594,11.371642,6.6417174,1
3724,6.4586744,-3.154346,1
3375,12.650132,8.045382,1
4134,1.503502,15.581903,1
881,8.248373,2.527584,1
4107,-4.7120776,13.472696,1
339,9.1992655,-4.049638,1
680,8.591269,6.125248,1
3914,-1.1112612,13.578769,1
1332,6.5497828,-4.198558,1
3972,-0.6566281,15.144683,1
3434,6.741797,7.6583734,1
4318,-0.5677685,14.4290495,1
4072,0.2983262,15.804517,1
726,6.49541,-4.2942834,1
780,8.704029,-1.2846451,1
3379,4.6107583,5.877238,1
3546,8.706428,4.489604,1
4268,-4.983296,13.533831,1
247,8.922641,4.4774346,1
3494,9.1165085,-7.7882113,1
4227,-1.9068624,13.477379,1
1382,11.2105255,5.7356286,1
3957,0.7963393,14.556095,1
4155,-1.9997895,13.451912,1
4313,0.4018691,15.136155,1
3410,9.160591,-3.587801,1
116,12.064374,7.7293806,1
191,6.9127135,8.027952,1
4079,-3.9072526,13.94992,1
4376,-3.072708,14.509248,1
322,8.4247465,-1.3208792,1
362,8.711506,6.3371906,1
4252,-3.7428548,13.417856,1
3576,4.385043,5.6013417,1
702,9.656367,-7.4740243,1
3887,11.785879,4.6502643,1
3416,12.022535,7.7303166,1
4117,-0.83745253,13.608994,1
4148,-0.9848389,13.790206,1
3446,4.287303,4.6687565,1
4191,0.28077516,15.796729,1
409,8.334907,-4.600796,1
4036,-2.3062935,14.048144,1
3533,9.143172,-3.448505,1
3658,6.8021917,6.4477897,1
4118,-1.2063774,14.705753,1
3409,6.253703,-7.1579957,1
4308,-2.3759305,13.422776,1
632,6.6371,8.123048,1
752,7.342843,7.4057755,1
468,6.49924,-4.80743,1
416,8.93517,-5.09785,1
936,7.476682,-4.4402323,1
4324,-2.4416757,13.882939,1
4047,1.3881645,15.476423,1
688,9.416863,-7.7245083,1
3939,0.96944386,15.412766,1
4000,-0.71365356,13.763541,1
3986,-1.8999424,13.351392,1
785,8.8924,-5.7247624,1
871,9.401164,4.731454,1
3787,7.269442,-2.2266717,1
4022,-3.8442473,13.799455,1
1074,3.1801715,5.39806,1
3936,-0.48559988,13.852228,1
878,7.1876884,5.686804,1
506,7.442178,7.244728,1
3791,5.1137404,4.529769,1
4326,0.327125,15.822737,1
4163,0.5372173,14.299377,1
4301,-0.7040285,15.52254,1
511,9.430842,-7.7398095,1
4350,-2.9037466,14.733439,1
1137,9.372696,-4.0114264,1
3512,9.113267,-7.7971635,1
998,12.249888,7.422992,1
4286,1.1491243,15.384459,1
1182,11.477895,6.738118,1
4251,-4.735261,13.362703,1
3989,-3.7488837,13.932087,1
304,11.067656,3.8414295,1
3926,-1.3297399,14.163239,1
3499,8.695504,6.3473296,1
1330,9.596522,-7.3330646,1
4366,-0.34026903,14.051589,1
4040,1.443439,15.915468,1
3948,1.2958677,15.397669,1
4242,-0.69931895,15.1112,1
1279,7.9105034,-7.907109,1
5,6.8505545,6.4531054,1
3474,7.6242013,-2.3083546,1
3763,11.958574,7.0720534,1
4144,-1.3475285,14.173185,1
3797,7.228391,5.6883435,1
3752,6.43096,-7.2473497,1
859,12.095912,6.8445497,1
1457,9.32098,-7.4579196,1
3384,7.5307484,4.9992414,1
3698,7.1090775,8.087586,1
4051,-1.6617477,14.030955,1
1122,4.516026,3.9482858,1
179,12.645404,7.518248,1
404,6.599122,8.151399,1
3841,11.299187,6.783413,1
3527,8.965609,-7.3793283,1
3455,9.561767,-3.969352,1
3450,20.15588,0.42231044,1
3880,8.522903,6.614447,1
4408,1.4588513,15.64117,1
3476,9.45661,-7.7040186,1
4219,-2.3193562,13.542733,1
3574,8.352452,-0.7502561,1
4038,-2.552955,14.895837,1
3631,4.011339,4.176875,1
3983,-2.82675,13.626153,1
3603,6.443829,-4.7555113,1
607,9.447966,-7.7523966,1
1099,11.57389,4.795974,1
3581,8.194117,-4.267618,1
4406,0.44191968,15.657916,1
1461,6.5003896,-4.5883894,1
305,5.921983,-7.1812844,1
4109,-0.9368958,14.672944,1
3796,7.445126,7.297407,1
3907,0.9226798,15.305274,1
4094,0.3162837,15.156939,1
4194,-0.22195904,13.820539,1
3417,7.059569,7.6811566,1
4353,0.98896027,15.401075,1
4116,-3.6820436,13.807511,1
1116,7.5213256,-4.400753,1
526,12.486928,7.93711,1
4389,0.5933109,14.192198,1
3918,-1.7411981,15.073198,1
3731,6.40894,5.664401,1
3808,4.10541,4.232061,1
394,7.3714046,-4.41033,1
4359,-2.6575134,14.95177,1
967,8.199366,2.9368248,1
3940,-4.8186555,13.388663,1
3566,6.3564353,-2.642445,1
54,6.435298,-4.431119,1
502,4.6040783,5.128001,1
176,9.216715,-7.5612698,1
4358,-2.967673,13.758205,1
1018,6.7044787,7.8007708,1
16,9.733347,5.1222506,1
4197,-3.720563,14.1076355,1
3750,3.1399672,5.365859,1
3760,11.5621,4.792567,1
3393,3.949721,6.240834,1
1406,4.362663,6.059187,1
3541,7.8696537,7.715698,1
1408,8.361475,-0.64714026,1
4342,-0.7383802,13.722429,1
3934,-4.970229,13.52268,1
4152,-3.747055,13.52175,1
3973,-3.0878136,13.548295,1
4355,1.5326753,15.796931,1
3586,11.302891,5.28355,1
