,UMAP_1,UMAP_2,label,naive,MLP,logisticRegression,decisionTree,randomForest,xgb
575,12.327736,5.805028,1,0,1,1,1,1,1
1428,11.302566,5.123623,0,0,1,1,1,1,1
1386,12.213021,6.4176307,0,0,0,1,0,0,0
1967,8.286307,4.7519045,0,0,0,1,0,0,0
2243,9.145208,4.313698,1,0,1,1,0,0,0
1196,10.827152,5.420002,0,0,1,1,1,1,1
419,7.493676,4.012718,0,0,0,0,0,0,0
1826,12.758396,5.080345,0,0,1,1,1,1,1
1260,10.6283,2.1045814,1,0,1,1,1,1,0
3072,12.848654,2.4162803,1,0,1,1,1,1,1
1642,10.960614,2.8781872,1,0,1,1,1,1,1
3189,10.704721,3.5995145,1,0,1,1,1,1,1
928,11.763951,4.3338637,0,0,1,1,1,1,1
610,9.810978,4.950198,0,0,1,1,1,0,0
1575,9.835181,2.5561929,0,0,1,1,0,1,0
185,11.830891,5.9500866,0,0,1,1,1,1,1
2782,7.7484097,5.317408,0,0,0,0,1,0,0
449,9.095467,5.641911,0,0,0,1,0,0,0
1198,13.427672,5.139119,0,0,1,1,1,1,1
1356,7.6855407,3.3156853,0,0,1,0,0,0,0
399,9.586842,5.1738544,0,0,0,1,0,0,0
3168,10.622195,3.7850735,1,0,1,1,1,1,1
1781,11.074687,4.910303,0,0,1,1,1,1,1
2995,8.518737,5.3197827,1,0,0,1,0,0,0
411,8.05643,5.075585,0,0,0,0,1,0,0
2878,11.060323,5.869945,0,0,0,1,1,1,1
3264,13.304341,5.096735,0,0,1,1,1,1,1
2071,12.107354,2.5293365,1,0,1,1,1,1,0
680,11.368898,3.9211192,0,0,1,1,1,1,0
865,12.56477,2.0250223,0,0,1,1,1,1,0
444,11.493068,4.1887836,0,0,1,1,0,1,1
211,12.257161,3.1454027,0,0,1,1,1,1,1
569,13.273439,4.7213426,0,0,1,1,1,1,1
1243,11.939117,4.88461,0,0,1,1,1,1,1
780,10.002149,4.5435314,0,0,1,1,1,1,1
779,13.255127,2.841567,0,0,1,1,1,1,1
2076,12.610904,5.6732354,1,0,1,1,1,1,1
1744,10.257126,2.6051078,1,0,1,1,1,1,1
144,11.601126,5.6804686,0,0,1,1,1,1,1
898,12.694025,4.6174183,0,0,1,1,1,1,1
1429,8.261362,5.2417603,0,0,0,1,0,1,1
2033,8.356609,3.858112,0,0,1,1,0,0,0
1150,9.505267,2.5984352,1,0,1,1,0,0,0
1282,13.147919,3.2140179,0,0,1,1,1,1,1
1206,11.999685,4.166066,1,0,1,1,0,1,1
1172,10.815789,2.3549926,1,0,1,1,1,1,0
258,9.242336,4.535371,0,0,1,1,0,0,0
393,7.528478,3.427422,1,0,1,0,0,0,0
960,11.105291,2.4646494,0,0,1,1,1,1,1
877,12.07674,5.8721423,1,0,1,1,1,1,1
947,12.148381,6.1994147,0,0,1,1,0,0,0
1944,13.244209,2.6228254,1,0,1,1,1,1,1
1950,7.515234,4.565806,0,0,0,0,1,0,0
2501,12.373303,4.720057,0,0,1,1,1,1,1
3087,10.936627,5.631814,0,0,1,1,1,1,1
1387,11.8330145,3.829411,0,0,1,1,1,1,1
820,8.272132,5.238019,1,0,0,1,0,1,1
1115,12.551624,5.861226,1,0,1,1,1,1,1
1998,7.3176622,4.7742176,0,0,0,0,1,0,0
1691,10.652376,2.3005967,1,0,1,1,1,1,0
1458,9.953718,2.6873603,0,0,1,1,1,1,1
2714,8.569624,5.535873,0,0,0,1,0,0,0
1971,13.457474,5.446063,0,0,1,1,1,1,1
920,13.068838,4.15046,1,0,1,1,0,1,1
1176,12.503985,4.511206,0,0,1,1,1,1,1
1903,13.023039,5.6128078,0,0,1,1,1,1,1
1874,13.311203,2.87566,0,0,1,1,1,1,1
311,7.779308,3.4745734,1,0,1,0,0,0,0
1956,11.059326,2.146845,0,0,1,1,1,1,0
1530,9.840733,3.7245438,0,0,1,1,0,1,1
430,9.183663,5.5942154,0,0,0,1,0,0,0
1313,12.2112875,1.8973978,0,0,1,1,1,1,0
281,7.539427,5.1845117,0,0,0,0,1,1,1
2072,10.036455,2.9188242,1,0,1,1,1,1,1
586,11.729022,5.793595,1,0,1,1,1,1,1
647,13.233661,5.6938996,1,0,1,1,1,1,1
1876,11.166488,2.6924865,1,0,1,1,1,1,1
1134,12.9923315,5.533063,0,0,1,1,1,1,1
2027,7.5037155,4.399937,1,0,0,0,0,0,0
