,UMAP_1,UMAP_2,W3IWER4_A
224,10.095755,3.1968098,1
149,6.7744126,4.8078218,1
70,10.129828,2.508263,1
281,9.956012,4.9487104,1
54,10.309521,4.425645,1
227,6.2876997,6.085884,1
109,7.960717,5.7304735,1
67,9.979126,5.131747,1
380,8.298384,5.827569,1
142,9.943806,2.981228,1
80,6.8264694,2.471308,1
114,6.6743236,4.907276,1
356,6.864734,6.6696515,1
242,6.9407845,5.763272,1
98,7.9107933,5.6451697,1
55,6.1986194,7.110829,1
231,6.984225,6.3648725,1
304,10.161648,3.7697318,1
256,6.685693,6.519509,1
146,10.451789,4.8426156,1
266,8.241548,6.5054693,1
229,7.6717772,7.9059715,1
215,8.175066,7.5643883,1
16,10.588206,6.421063,1
272,10.657968,3.8173828,1
221,6.5256524,6.410604,1
6,6.97793,5.1816792,1
382,9.805924,4.666512,1
286,10.235772,6.7206483,1
238,10.08545,6.18494,1
167,6.626276,5.6524563,1
168,10.347072,6.498763,1
407,9.95478,5.767966,1
49,6.5644903,5.216996,1
313,9.9727745,4.121161,1
12,8.93214,2.9301617,1
377,10.1656685,4.521287,1
15,7.2540874,7.9341564,1
342,9.876754,3.3990123,1
187,5.9197516,2.6315815,1
287,6.7362432,6.688,1
425,9.9845,2.6915905,1
85,10.161442,3.5641315,1
4,9.705975,4.8106294,1
164,10.410306,2.699887,1
431,7.3538485,6.6563373,1
99,10.171357,6.5093036,1
336,5.974338,4.125866,1
104,6.919844,6.55861,1
10,10.336605,2.8169856,1
59,10.226356,4.3693814,1
159,9.842425,4.1664205,1
113,6.931921,2.5258107,1
132,6.1724534,2.6403608,1
329,6.118377,2.609546,1
326,6.3317924,5.7796826,1
400,6.1921434,2.368292,1
337,10.5618515,2.9006648,1
310,6.9140105,7.596387,1
202,10.439204,3.906807,1
435,6.522824,4.9008074,1
428,7.330402,5.5992036,1
52,7.3377104,7.0544033,1
11,7.3988514,2.8405645,1
69,7.2542977,2.5762892,1
330,6.2398252,2.8162038,1
271,6.6766067,5.2396493,1
100,10.165918,4.4661937,1
203,10.1593275,6.60456,1
434,10.493335,6.697577,1
409,6.813637,5.431989,1
179,10.55536,5.378248,1
180,5.9934297,2.4997745,1
78,8.497334,6.6071596,1
126,8.150546,7.5765753,1
84,8.103151,7.7156324,1
410,6.3148375,5.6685696,1
436,7.9186363,5.303787,1
183,7.5650883,7.6668587,1
347,8.069157,4.527027,1
406,6.286418,6.652817,1
182,7.9797087,7.808441,1
3,9.969409,2.815124,1
268,10.080484,4.1896367,1
105,10.337699,5.065888,1
175,6.473109,2.2947571,1
252,7.1717668,7.210342,1
234,8.954929,2.762524,1
363,7.252279,5.2431855,1
48,7.238889,5.9968095,1
302,9.848813,4.117509,1
420,10.122887,3.6411572,1
371,8.230269,5.7118764,1
87,9.9977,3.6884382,1
262,8.18555,7.872573,1
38,6.697933,7.355424,1
0,7.630847,7.408485,1
285,9.809799,6.016449,1
366,9.514023,2.4916735,1
96,6.7150445,2.6114922,1
