,UMAP_1,UMAP_2,label,naive,MLP,logisticRegression,decisionTree,randomForest,xgb
575,7.2332473,5.434413,1,0,1,0,0,0,0
1428,11.735803,5.3932056,0,0,0,1,1,1,0
1386,8.732139,3.1102726,0,0,0,1,1,1,1
1967,6.781662,8.874996,0,0,0,0,0,1,1
2243,1.3463991,5.6272526,1,0,1,0,1,1,1
1196,12.026221,5.8339276,0,0,0,1,1,1,0
419,6.060681,8.596702,0,0,0,0,1,1,1
1826,6.881106,5.7831497,0,0,1,0,0,0,0
1260,6.189603,3.8024457,1,0,0,0,1,1,0
3072,9.621579,8.147476,1,0,1,0,1,1,1
1642,8.850618,3.4693348,1,0,0,1,1,1,1
3189,9.735843,7.015722,1,0,1,0,1,1,1
928,9.227428,3.1629982,0,0,0,1,1,1,1
610,11.414196,4.373622,0,0,0,1,1,1,1
1575,9.491472,7.49439,0,0,1,0,1,1,1
185,1.376519,5.9014664,0,0,1,0,1,1,1
2782,6.4422226,8.679925,0,0,0,0,1,1,1
449,7.2032475,9.934017,0,0,0,0,0,1,1
1198,11.604935,6.576351,0,0,1,0,1,1,0
1356,7.3131385,6.2742243,0,0,1,0,0,0,0
399,2.9444532,5.686519,0,0,1,0,1,1,1
3168,6.822214,5.5705485,1,0,1,0,0,0,0
1781,11.22076,7.2654376,0,0,1,0,1,1,1
2995,6.5141406,8.122253,1,0,1,0,0,0,0
411,6.1667943,8.588864,0,0,0,0,1,1,1
2878,11.087622,4.4625654,0,0,0,1,1,1,1
3264,10.816814,6.80117,0,0,1,0,1,1,1
2071,11.017031,6.5901303,1,0,1,0,1,1,1
680,8.73217,5.992365,0,0,1,0,1,1,1
865,9.699644,7.389051,0,0,1,0,1,1,1
444,6.6898437,8.220453,0,0,1,0,0,0,0
211,5.6212325,6.918291,0,0,1,0,1,0,0
569,8.4270115,6.0546036,0,0,1,0,1,1,1
1243,10.3310175,3.9038022,0,0,0,1,1,1,1
780,6.105729,3.9058688,0,0,0,0,1,1,0
779,7.3183265,5.6117883,0,0,1,0,0,0,0
2076,1.3860023,5.7499294,1,0,1,0,1,1,1
1744,9.867024,7.7162066,1,0,1,0,1,1,1
144,5.339782,6.615059,0,0,1,0,0,1,0
898,8.608297,4.251014,0,0,0,1,1,1,1
1429,7.836671,5.4707313,0,0,1,0,1,1,1
2033,7.172565,9.538223,0,0,0,0,0,1,1
1150,11.477326,6.5526023,1,0,1,0,1,1,1
1282,7.588407,5.4853005,0,0,1,0,0,0,0
1206,9.509435,8.050855,1,0,1,0,1,1,1
1172,9.65345,6.99985,1,0,1,0,1,1,1
258,1.559031,5.9249277,0,0,1,0,1,1,1
393,7.208986,9.342135,1,0,0,0,0,1,1
960,11.51003,4.5176535,0,0,0,1,1,1,1
877,6.278897,4.1633425,1,0,0,0,1,1,0
947,8.663682,4.190777,0,0,0,1,1,1,1
1944,11.784804,4.6279993,1,0,0,1,1,1,0
1950,6.614247,8.811271,0,0,0,0,0,1,1
2501,1.916161,5.5442758,0,0,1,0,0,1,1
3087,12.099245,5.2891707,0,0,0,1,1,1,0
1387,10.647517,7.16614,0,0,1,0,1,1,1
820,11.694613,6.6253686,1,0,1,0,1,1,0
1115,10.108434,3.7769473,1,0,0,1,1,1,1
1998,7.3004446,9.430537,0,0,0,0,0,1,1
1691,11.719558,4.8330245,1,0,0,1,1,1,0
1458,11.471456,6.472188,0,0,1,0,1,1,1
