,UMAP_1,UMAP_2,W3IWER4_A
1084,-2.5455835,-4.888516,1
1172,2.5472045,-11.575983,1
1266,23.294418,-3.009339,1
1101,-1.2427005,-16.73408,1
272,-2.4012523,-3.0875347,1
1306,22.195507,-2.7331018,1
1065,-14.339383,1.7419688,1
3,-14.816311,-7.7914815,1
1029,-15.678632,-1.868945,1
1305,13.561272,2.6076326,1
1283,12.040826,-7.6480713,1
1056,-5.4725833,2.9244778,1
140,9.705732,2.2371998,1
1277,19.272783,-10.76956,1
1018,1.6427944,1.6996381,1
1199,19.547523,-10.440475,1
1080,-7.016203,13.51634,1
180,-10.090677,-2.4048781,1
1108,-2.8393185,-5.1435504,1
1229,11.095237,-7.4707756,1
1302,12.706124,2.2312126,1
135,-6.0303917,-13.169318,1
58,-2.815002,-3.188241,1
1125,0.9956198,1.0729823,1
1109,-6.1680803,1.0924402,1
168,4.929777,0.3163269,1
19,-2.2416441,-5.329208,1
70,-14.851348,-7.826406,1
1223,9.653755,-17.590591,1
1209,13.630013,2.6579936,1
1039,4.9282875,0.29158664,1
98,-1.8669887,-4.092353,1
1319,12.368353,2.018188,1
79,-5.470758,2.9257843,1
1090,-7.7612762,-6.0186176,1
1166,11.988954,-7.627357,1
1111,-5.44123,0.8146313,1
271,13.214776,-1.2203625,1
1011,0.28742996,7.4836793,1
13,8.021365,6.617296,1
1264,23.190825,-3.0505614,1
420,2.3780775,2.2374692,1
1279,23.470125,-2.8225212,1
47,1.0601854,1.1380148,1
88,11.430172,10.124535,1
314,-2.2491598,-5.3464913,1
380,6.198742,-14.682783,1
1224,20.696745,-2.3082879,1
436,-7.8119683,-5.4894996,1
251,2.2278907,2.106294,1
1092,3.227591,-4.959952,1
382,-7.0189395,6.141697,1
434,-1.7688284,4.703116,1
1313,13.617487,2.646402,1
1190,23.346945,-2.9484868,1
406,3.2783866,9.5290365,1
1267,20.668507,-2.2944725,1
368,5.4692507,8.554039,1
991,-2.6443684,-4.935761,1
167,-4.949442,-1.3730012,1
1256,11.56916,-10.943929,1
1003,-1.2203817,-16.757725,1
1002,-15.637449,-2.0342689,1
1257,9.460748,-7.8532505,1
90,-11.638848,5.858181,1
54,3.026293,-4.864129,1
11,-10.85866,-2.5290885,1
1228,12.443558,2.0008168,1
1281,19.512703,-10.476494,1
1038,-4.9537315,-1.37822,1
1021,-3.8922367,-15.968235,1
1030,-1.2485523,-16.73726,1
1273,9.315691,-7.9810934,1
401,-14.332582,1.7349572,1
1147,9.660129,-17.597021,1
1275,20.660866,-2.2774887,1
1255,17.636992,-6.385335,1
1294,10.979585,-7.4242744,1
1174,12.2402315,1.9603965,1
187,-1.7379361,-16.698425,1
1045,-9.461743,9.700089,1
976,6.187903,-14.687311,1
1220,9.357206,-7.939519,1
1,6.225775,-14.6531315,1
1214,20.635057,-2.2540565,1
1115,6.189873,-14.687888,1
1022,2.541722,-4.8108335,1
1218,16.923632,-5.4899983,1
1015,6.1466374,-14.739763,1
1110,5.4416194,8.515936,1
1237,17.488943,-5.9415884,1
1033,4.7050714,-0.32944062,1
1134,-2.3128262,-3.1122124,1
262,-1.7562218,-16.693249,1
1215,12.100477,-7.706158,1
338,-14.829777,-7.804866,1
1060,8.118159,-12.641442,1
1303,17.666162,-6.419053,1
199,-9.792801,10.347322,1
268,-7.8268805,13.267029,1
1274,12.3645935,2.0693274,1
231,8.140077,-12.664627,1
1168,17.3321,-5.8074813,1
1285,20.621683,-2.2399952,1
310,-2.6036475,-4.8635354,1
1141,12.126391,2.1388984,1
1304,17.480366,-5.9260216,1
1051,-11.632138,5.8493457,1
1262,9.357815,-7.9388466,1
1198,11.649248,-10.863261,1
1069,-7.863516,13.295701,1
337,3.2432733,-4.9823627,1
409,-7.0501647,6.034275,1
1236,19.551882,-10.43496,1
27,6.203832,-14.67106,1
1032,-15.290902,-2.9830923,1
149,12.956093,-0.68872833,1
1201,23.428442,-2.8750522,1
428,-2.3445265,-3.0553918,1
962,-14.805357,-7.7804365,1
977,-2.2839901,-3.1283133,1
15,0.14448513,7.5466743,1
1239,22.135113,-2.7345164,1
100,0.24878068,7.525694,1
975,7.9881682,6.6257653,1
351,-1.2357436,-16.732801,1
1078,-6.9302244,13.439002,1
305,-5.434434,2.9617114,1
410,-9.112955,-10.176341,1
1161,9.430691,-7.878468,1
371,-5.4420457,0.84878886,1
359,-15.296023,-2.9749484,1
1289,12.019426,-7.62925,1
332,-7.723227,-6.1025496,1
1282,12.959659,2.3861196,1
179,-7.0508246,6.0530496,1
1265,22.929201,-2.9112356,1
988,0.25667608,7.539051,1
1077,9.393707,-3.7139108,1
1238,9.3524685,-7.944427,1
48,-6.994948,6.209903,1
322,-3.0431933,-3.0883076,1
1163,22.162498,-2.7123163,1
1072,-6.816608,5.9753346,1
50,7.785295,6.8450522,1
1292,20.623238,-2.2437246,1
