,Augmentation Methods,GAN,Data Type,Data Transformation,Classifiers,Improvement in Accuracy
0,smote,True,raw,normal,MLP,-0.0921
1,smote,True,raw,normal,logisticRegression,-0.3026
2,smote,True,raw,normal,decisionTree,0.0029
3,smote,True,raw,normal,randomForest,0.0117
4,smote,True,raw,normal,xgb,0.0059
5,smote,True,raw,oneW,MLP,-0.0973
6,smote,True,raw,oneW,logisticRegression,-0.2256
7,smote,True,raw,oneW,decisionTree,-0.1638
8,smote,True,raw,oneW,randomForest,-0.0664
9,smote,True,raw,oneW,xgb,-0.031
10,smote,True,pca,normal,MLP,-0.0877
11,smote,True,pca,normal,logisticRegression,-0.174
12,smote,True,pca,normal,decisionTree,-0.0761
13,smote,True,pca,normal,randomForest,-0.1184
14,smote,True,pca,normal,xgb,-0.1228
15,smote,True,pca,oneW,MLP,-0.0929
16,smote,True,pca,oneW,logisticRegression,-0.0132
17,smote,True,pca,oneW,decisionTree,0.0221
18,smote,True,pca,oneW,randomForest,-0.0045
19,smote,True,pca,oneW,xgb,-0.0442
20,smote,True,umap,normal,MLP,-0.0512
21,smote,True,umap,normal,logisticRegression,-0.0936
22,smote,True,umap,normal,decisionTree,0.0029
23,smote,True,umap,normal,randomForest,-0.0132
24,smote,True,umap,normal,xgb,0.0556
25,smote,True,umap,oneW,MLP,0.2522
26,smote,True,umap,oneW,logisticRegression,-0.0089
27,smote,True,umap,oneW,decisionTree,0.0752
28,smote,True,umap,oneW,randomForest,0.0177
29,smote,True,umap,oneW,xgb,0.062
30,smote,True,pca_umap,normal,MLP,-0.1521
31,smote,True,pca_umap,normal,logisticRegression,-0.2134
32,smote,True,pca_umap,normal,decisionTree,-0.057
33,smote,True,pca_umap,normal,randomForest,-0.0936
34,smote,True,pca_umap,normal,xgb,-0.0833
35,smote,True,pca_umap,oneW,MLP,0.2256
36,smote,True,pca_umap,oneW,logisticRegression,0.2124
37,smote,True,pca_umap,oneW,decisionTree,0.1681
38,smote,True,pca_umap,oneW,randomForest,0.2168
39,smote,True,pca_umap,oneW,xgb,0.0885
40,smote,False,raw,normal,MLP,0.0643
41,smote,False,raw,normal,logisticRegression,0.0234
42,smote,False,raw,normal,decisionTree,0.0438
43,smote,False,raw,normal,randomForest,0.0644
44,smote,False,raw,normal,xgb,0.0205
45,smote,False,raw,oneW,MLP,0.0133
46,smote,False,raw,oneW,logisticRegression,0.0089
47,smote,False,raw,oneW,decisionTree,0.0
48,smote,False,raw,oneW,randomForest,-0.0089
49,smote,False,raw,oneW,xgb,0.0663
50,smote,False,pca,normal,MLP,0.0775
51,smote,False,pca,normal,logisticRegression,0.0234
52,smote,False,pca,normal,decisionTree,0.0146
53,smote,False,pca,normal,randomForest,0.0029
54,smote,False,pca,normal,xgb,-0.0102
55,smote,False,pca,oneW,MLP,0.0442
56,smote,False,pca,oneW,logisticRegression,0.0133
57,smote,False,pca,oneW,decisionTree,0.1062
58,smote,False,pca,oneW,randomForest,0.0354
59,smote,False,pca,oneW,xgb,0.031
60,smote,False,umap,normal,MLP,0.1637
61,smote,False,umap,normal,logisticRegression,0.0277
62,smote,False,umap,normal,decisionTree,0.1842
63,smote,False,umap,normal,randomForest,0.2149
64,smote,False,umap,normal,xgb,0.2456
65,smote,False,umap,oneW,MLP,0.2522
66,smote,False,umap,oneW,logisticRegression,0.1194
67,smote,False,umap,oneW,decisionTree,0.0531
68,smote,False,umap,oneW,randomForest,-0.146
69,smote,False,umap,oneW,xgb,-0.1416
70,smote,False,pca_umap,normal,MLP,-0.1755
71,smote,False,pca_umap,normal,logisticRegression,-0.0511
72,smote,False,pca_umap,normal,decisionTree,-0.0497
73,smote,False,pca_umap,normal,randomForest,-0.0482
74,smote,False,pca_umap,normal,xgb,-0.0482
75,smote,False,pca_umap,oneW,MLP,0.1106
76,smote,False,pca_umap,oneW,logisticRegression,0.1548
77,smote,False,pca_umap,oneW,decisionTree,-0.0045
78,smote,False,pca_umap,oneW,randomForest,0.0266
79,smote,False,pca_umap,oneW,xgb,-0.0974
80,editNN,True,raw,normal,MLP,-0.0278
81,editNN,True,raw,normal,logisticRegression,-0.3128
82,editNN,True,raw,normal,decisionTree,-0.0293
83,editNN,True,raw,normal,randomForest,0.0351
84,editNN,True,raw,normal,xgb,-0.0219
85,editNN,True,raw,oneW,MLP,-0.0708
86,editNN,True,raw,oneW,logisticRegression,-0.3053
87,editNN,True,raw,oneW,decisionTree,-0.1239
88,editNN,True,raw,oneW,randomForest,-0.0841
89,editNN,True,raw,oneW,xgb,-0.0974
90,editNN,True,pca,normal,MLP,0.0409
