,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,PC_10,label,naive,MLP,logisticRegression,decisionTree,randomForest,xgb
1011,-1.4882788113395076,1.9932567258086211,-1.7396430520219477,0.9071100206372269,-0.18632140219435686,1.3032478815763582,-0.7799567385290186,0.2021766989169846,0.9745020798012802,-0.36723606213230064,0,0,1,1,0,0,0
575,-1.5627507378300418,-0.0797782047026224,1.072357761048602,-1.63442198302174,0.4067214328887004,0.41384554331480106,0.1360949710382325,-0.3661464896459237,0.4973254145103763,-1.131569441684397,1,0,1,0,0,0,1
2316,2.084054825913039,-1.269701115492891,3.387244560379457,-0.6745455748180692,1.415007991496051,1.0966318784027773,-0.9321474681283536,-0.22887035168460448,-0.10641603128722114,0.32333195867647485,0,0,0,0,0,0,0
1092,-0.25707876983263833,-1.211432898464723,-1.8052224029752801,-0.9378086558430659,0.3362582749789918,-1.2008700098324565,1.1005092619242198,2.490940826979734,0.14511308388288846,-0.23268934710682343,1,0,1,1,1,1,1
19,-0.6295502698325276,2.3800354491862548,0.3699282080705551,-0.3686168103316493,0.3664615176924272,0.9811069500196743,-0.8808853214639516,0.12548225466525867,-0.43485922477903766,1.1446147517946677,0,0,0,0,0,0,0
2198,2.2310046745420933,-1.1560373531847092,3.3947391446901594,0.1339185701650698,2.262469046285259,1.1167449773956728,-0.21000650596759135,-0.22131962540199493,0.23282603003082084,-1.1997115161879797,1,0,0,0,0,0,0
1428,-0.2638458597060897,2.5571497433028276,0.7187959604916895,0.3646291825212713,-0.31907689825923435,0.5438578429727248,1.3617174812266446,-1.200744736853899,-0.13716236652008412,0.6082981380529481,0,0,0,0,0,0,0
1386,2.6276029512562524,2.644797963801318,-0.7071674223238938,-0.5002223634757704,-0.3329915773236855,0.3588192903730485,1.5586952737967958,-0.8367073145727232,0.13738692812903605,0.08509680726435945,0,0,0,0,0,0,0
1858,-1.1872129013228918,-1.1841819325589513,0.43130246188278093,0.9196262202737026,-1.7681020253565487,0.3364994849182269,-0.2321389352302291,-0.8118400046043471,-1.1158685208295434,-0.7176103769094214,0,0,1,1,0,1,1
1967,3.150712454694183,-1.3978579636812303,0.5870398079740472,-2.533603162835393,0.2206326417688956,0.25651675380783406,0.11037848608215271,0.27292822461676325,0.6031758236874069,-1.1787791687589093,0,0,0,0,1,0,1
1147,-1.9429129341672915,0.049288175570711176,-0.3284797053839791,-1.6707948687620864,0.9071126394082087,0.7543527886995764,-0.2970757311986402,-0.39388570814495394,0.3275004771545054,-1.1602399665892273,0,0,1,1,0,1,0
267,1.1713402799082833,-1.1829301978527589,-2.3617565371852924,0.21776041396273718,-0.36270481735476934,1.0506909561741264,-0.5359643470770558,0.41423530811855674,1.7138916960392176,-0.7679026361249817,0,0,1,1,1,1,1
2243,1.2160539500722232,-1.5277636932285992,1.082702030101589,0.8209577009312327,1.6504563266990766,1.1598897875004652,0.1646947752776373,0.2885225551373331,0.08226834755308746,-0.685340170924122,1,0,1,1,1,0,1
936,-0.7644580534638578,0.3080517266204456,2.095152525565518,-0.3346337032711947,-0.8617479649966906,-1.7039013550180444,1.3802723496691525,1.4495278837596568,-0.07935269635752355,0.04320676498705002,0,0,0,0,1,0,0
1528,3.411613515847479,-1.2527104766371453,-0.5182195047270814,-0.6055338378308227,-0.14144301019142702,-1.5280575815056905,1.597494851317464,-0.2596271585424566,0.5837542884651413,0.5608800622396967,1,0,0,0,0,0,1
1454,-1.34015384646647,-0.1041447483319863,0.15301586727903327,1.1900795898296215,-1.7487337134359424,0.12614885182807825,0.3459732302140307,-0.2549785722125657,-0.477109959794631,-1.117865677847063,1,0,1,1,0,0,1
1196,-0.5552610851379801,2.5419296847030313,1.449200925398434,-1.4182985513759043,0.3341404400229282,0.4316231253922622,-0.3502900491485879,-0.6219890366466327,-0.10140489470317134,-0.7850870009951723,0,0,0,0,0,0,0
419,1.4274933036551605,1.3033137212839638,-2.084451373401973,-2.064163763759809,1.374038488067346,0.9768997060731432,-1.0379477095982337,-0.4392642357863555,-0.4746748231701872,-1.1567412871520206,0,0,0,0,0,0,0
1826,-1.4791482831355964,-1.2175614832453405,0.817915093016261,-0.4587890242319028,-0.7227599003156975,0.6921029835909744,0.8233688022429999,1.010978149632898,-0.8349383679855451,0.04007117524448183,0,0,1,1,1,1,1
3202,-1.9428130783784348,-1.711326122939835,-1.073928050524258,0.9443807159737236,-0.1929691481450741,-0.5630040204292314,-0.8731090333214044,-0.06151563758701001,1.0525959043721669,0.06112202076486403,0,0,1,1,1,1,1
2417,0.7967726480934901,-2.133433289875666,-0.5669592260744891,1.6372988840974885,2.600980141083436,-0.11443973409416451,0.8315275864238117,-0.689580316797284,-0.13122170375026332,0.30557033499288694,0,0,1,1,1,1,1
1260,-2.277831008011566,-0.6997545881952467,-0.8627737667872474,-0.4452215808565509,0.041271991270390856,0.882462623178868,0.9858658692422572,1.5065363721771183,-0.47422514439918667,-0.3435010326549645,1,0,1,1,1,1,1
2741,0.985512688262565,-1.436688193390185,-2.096009268910894,-1.2359672550238088,-0.20997776360088183,0.9941664637644384,0.21992944840919038,1.0797284569921988,-1.1639966807283322,-0.2350610231630656,0,0,1,1,0,1,1
1831,-1.122803405245227,-0.9301220180376848,0.41102999072328267,1.139833257938263,-1.7266860943036892,0.39374194052867534,-0.32466566314663137,-0.7734029740915891,-1.1225622038213805,-0.7312194252966849,0,0,1,1,0,1,1
443,2.900609139808655,2.327319223639484,0.12124768786059129,-0.040041063227506876,-1.3448181744203382,-1.329367635210743,-1.1881387213024632,0.6004921530692219,1.4259923431522474,1.1785676810561805,0,0,0,0,0,0,0
3072,-1.8133861669127829,-1.2675025655620624,-0.8598430393134545,0.5294926692322581,-0.8325942199674978,1.2231167258331141,-0.697622671028233,-0.218427538656824,1.0526407634156318,-0.24910330483111665,1,0,1,1,1,1,1
1642,-1.7573998359639345,-1.454317718100723,0.17097379485285755,-1.7131677392101297,0.8701417219939599,1.1744133287475058,-1.613514026068498,-0.6692902266403351,-0.401090008849419,0.7505054554641906,1,0,1,1,1,1,1
2742,1.035795144160761,-1.6317290721111433,-1.53419705381819,-2.401250187088658,0.773820603410464,-0.9886713659977755,-1.8277369273106046,-0.3906527864973798,-0.1626677314875509,0.7099535164510818,0,0,0,0,1,0,0
3189,-1.564007767290025,-1.3526648748012131,0.603857330692813,-0.2988808027283178,-0.3319506443925331,-1.1721316357050473,0.6027706806922971,1.089078403699998,-0.7379306617010041,0.324794306331098,1,0,1,1,1,1,1
928,-0.6176774665003544,2.4561953894055173,-0.2170308127196225,0.4121018689304444,0.3318656689466392,0.8803459266793906,1.1317397189518992,-1.1231213542686238,-0.2623981691380375,0.5117850524927398,0,0,0,0,0,0,0
