,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,PC_10,label,naive,MLP,logisticRegression,decisionTree,randomForest,xgb
575,-1.8029040779519265,-2.6676778011631734,1.125523076308279,0.033437010965927695,0.9664885753512991,-0.2957946995996988,0.6505841433308812,-0.4392365579013224,-0.26071963529399433,1.4218858465357165,1,0,1,1,1,1,1
1428,-0.6452239761677295,-2.7467002554624833,-1.9675882307615737,0.29920311739382616,-2.256913566666351,-1.7959833359412871,-1.4771220324913052,-0.48474193598590753,0.30977423996122627,-0.5574122314051753,0,0,1,1,0,1,1
1386,0.3243287417291063,-3.1298941306110923,1.9763522357509955,2.2013461038532993,1.531082563981277,0.9631428141004262,-2.3506569023717723,-1.5648002987438232,1.4139175000470743,-0.7180579545461225,0,0,1,1,1,1,1
1967,5.019341206475734,-1.9287942725130878,2.265671204340307,-0.41667954087596065,0.7615683269310145,0.5681728056691425,0.7300845741478608,1.9437009976108257,-0.1989125478927332,-0.40701567459638094,0,0,0,0,1,0,1
2243,3.2038180159276575,0.3444529478875805,-0.39599438361608574,-0.5822143346059458,-1.8209199146104906,-0.07446847124160905,3.087332974601445,1.3444448234209396,-0.18085107401504769,0.07224493736700323,1,0,0,0,0,0,0
1196,0.3420285548264534,-3.5078682949533886,0.8676074958272018,-0.6577011621999308,-2.3919269287337532,-1.8755484451910198,-2.0666777448068694,0.93440372670946,-0.3665342919208216,-2.281248984290131,0,0,1,1,0,1,1
419,3.070000973554507,1.5660051545700964,2.8000363057085225,0.46122707636357857,1.3104540564190588,0.5101605230479759,-2.487483958037057,-0.8375567748716208,0.7065449460261074,-0.8404147319916773,0,0,0,1,1,1,0
1826,-2.633055626313791,-0.7262173033359223,0.03704658599457677,0.16925185734109977,1.4593861099552352,0.7760605135862577,1.9595669741653152,-0.26489318070984746,-1.4300210522366386,-0.5960523246387912,0,0,1,1,1,0,0
1260,-1.9311174277335128,1.0142573706084184,2.888915438229125,-0.5547630136342835,-0.38808710238804556,-2.7078854990559087,-1.0562707876706632,1.5959316502475411,-1.0381878001812581,-2.456126174744193,1,0,1,1,1,1,1
3072,-3.4559017458967087,0.534120875723372,3.2428364168021715,1.332202127654872,-0.23059416906244792,0.9690269435992903,-0.18503027715094642,-0.5063940054488104,0.3446447627366793,-0.05238662703146443,1,0,0,0,1,1,0
1642,-1.521395521535962,2.834584932813713,-1.8590474707469817,-0.8239219468968104,1.2324684957933103,-0.7516813603793189,-1.1146463941939573,1.8717515544197136,0.9573839930185317,-0.8217479569308639,1,0,1,1,1,1,1
3189,0.20472485151620304,1.7862546532285952,-1.1424710141309875,-2.5935413197516444,1.9061642529009648,-1.005066956169333,0.29523347604069117,-1.0637126539706605,-1.7729302456524643,-0.48562845919398945,1,0,1,1,1,1,1
928,-1.6745226926075907,-1.6268369052590483,-0.4133519654238851,0.4637879051182868,-2.3614921192958462,-1.7472024901898084,0.08963936885191852,-0.8340506893078365,1.7244953842397666,-1.405548077042629,0,0,0,0,0,0,0
610,1.627977260693073,-1.8731103140442185,-1.0338910900901115,-2.322060362667007,-1.9609172369256935,-0.011238722798185741,-1.769893542940357,0.5633100276829605,-1.16492947912088,0.4021969020893811,0,0,1,1,0,0,0
1575,-0.751724762779564,2.745226879172103,1.3482737615563607,-1.014908217505009,-0.6779207430332564,1.3176707214686816,1.0854401679940655,-1.5781675253852223,1.3100881254494727,0.5612189989873602,0,0,0,0,1,0,0
185,-1.3422884365063164,-2.056092118419954,2.394010987527998,-1.6862882709369358,0.2596604330876185,-1.7660446932253973,1.7278827778385786,0.9010985687596799,-0.48847634618110464,0.00873314522571651,0,0,1,1,1,0,0
