,UMAP_1,UMAP_2,label,naive,MLP,logisticRegression,decisionTree,randomForest,xgb
1011,-2.5737698,0.31974912,0,0,0,0,0,0,0
575,-2.0285773,11.902705,1,0,1,1,1,1,1
2316,8.51554,6.580096,0,0,0,1,0,0,0
1092,-2.3750587,15.308721,1,0,1,1,1,1,1
19,-1.3604615,1.9301577,0,0,0,0,0,0,0
2198,8.441228,6.426551,1,0,0,1,0,0,0
1428,0.037961677,3.1073406,0,0,1,0,1,1,1
1386,10.5989895,3.9019327,0,0,0,0,0,0,0
1858,-7.269232,0.42940062,0,0,0,0,0,0,1
1967,14.914968,6.2992473,0,0,0,0,1,1,1
1147,-1.7723836,11.50166,0,0,1,1,1,1,1
267,13.537647,4.8875017,0,0,0,0,1,1,1
2243,9.130866,6.7487836,1,0,0,1,0,0,0
936,-0.8679603,14.841455,0,0,1,1,1,1,1
1528,13.727854,7.220061,1,0,0,0,1,1,1
1454,-7.3767304,0.5389294,1,0,0,0,0,0,1
1196,-2.2090538,2.4417977,0,0,1,0,0,0,0
419,11.39552,4.180553,0,0,0,0,0,0,0
1826,-3.4239454,11.097857,0,0,1,1,1,1,1
3202,-3.4000902,-3.7855635,0,0,0,0,0,0,0
2417,9.597167,7.761545,0,0,0,1,0,0,0
1260,-2.6612775,9.895536,1,0,1,1,1,1,1
2741,14.930305,7.173875,0,0,0,0,1,1,1
1831,-7.4338036,0.52260655,0,0,0,0,0,0,1
443,11.844447,3.7623527,0,0,0,0,0,0,0
3072,-0.4795133,-4.340504,1,0,0,0,0,1,1
1642,-1.5155832,11.625084,1,0,1,1,1,1,1
2742,15.321676,6.366128,0,0,0,0,1,1,1
3189,-1.2448331,14.957232,1,0,1,1,1,1,1
928,-0.109639674,3.2505317,0,0,1,0,1,1,1
698,13.644998,3.598605,0,0,0,0,1,1,1
137,4.849968,13.002887,0,0,1,1,1,1,1
610,-1.6291447,1.7749956,0,0,0,0,0,0,0
2357,9.597174,7.6029644,0,0,0,1,0,0,0
567,-0.81136596,13.764466,0,0,1,1,1,1,1
1575,-3.344191,-3.721508,0,0,0,0,0,0,0
307,-2.439501,1.8155371,0,0,0,0,0,0,0
185,-0.8661996,13.75597,0,0,1,1,1,1,1
1872,13.395165,7.4934645,0,0,0,1,1,1,1
3243,-7.275644,0.48226517,0,0,0,0,0,0,1
2048,14.257688,4.01197,0,0,0,0,1,1,1
3188,-1.3507558,-3.4641795,0,0,0,0,0,0,0
465,11.879152,3.8205788,0,0,0,0,0,0,0
729,-0.9740107,14.912115,1,0,1,1,1,1,1
695,13.437238,4.9467278,0,0,0,0,1,1,1
2782,14.75364,7.250292,0,0,0,0,1,1,1
449,11.442842,3.4162433,0,0,0,0,0,0,0
2828,13.926434,3.5836139,1,0,0,0,1,1,1
3155,-6.6577744,0.55413723,1,0,0,0,0,0,1
1198,-0.0071009235,3.0338001,0,0,1,0,1,1,1
1356,13.424928,4.8091173,0,0,0,0,1,1,1
2698,-0.47616848,-4.3340015,0,0,0,0,0,1,1
811,11.300524,3.509378,0,0,0,0,0,0,0
868,-2.255665,2.3805118,0,0,0,0,0,0,0
2237,-1.6913728,11.41623,0,0,1,1,1,1,1
418,11.613931,3.4840243,0,0,0,0,0,0,0
3173,-0.2522176,13.4464,0,0,1,1,1,1,1
1714,-2.0408459,-3.143196,0,0,0,0,0,0,0
1712,13.432993,5.2067204,1,0,0,0,1,1,1
1118,10.724706,4.439254,0,0,0,0,0,0,0
399,-2.3179169,2.4347563,0,0,1,0,0,0,0
3168,-1.196188,14.92193,1,0,1,1,1,1,1
329,13.673262,4.8523445,1,0,0,0,1,1,1
1781,-0.65584064,13.45269,0,0,1,1,1,1,1
1481,-2.4438934,15.194352,1,0,1,1,1,1,1
439,11.296793,3.8587947,0,0,0,0,0,0,0
1527,4.258813,13.246594,1,0,1,1,1,1,1
2995,14.672037,6.315529,1,0,0,0,1,1,1
411,11.4178295,3.7572076,0,0,0,0,0,0,0
747,-0.6671106,1.7064852,0,0,0,0,0,0,1
3140,-3.3545253,11.099204,0,0,1,1,1,1,1
2878,-2.1859963,11.874367,0,0,1,1,1,1,1
1079,-4.25142,-0.024484795,0,0,0,0,0,0,0
926,-1.0944363,15.021121,1,0,1,1,1,1,1
1817,-2.643283,14.949923,0,0,1,1,1,1,1
2401,9.594159,7.749019,1,0,0,1,0,0,0
3008,15.31187,6.4130697,1,0,0,0,1,1,1
1351,11.322152,3.889478,0,0,0,0,0,0,0
3264,-3.2045686,11.3209305,0,0,1,1,1,1,1
3283,13.382872,5.3082485,0,0,0,0,1,1,1
724,-0.3667857,3.7264328,0,0,1,1,1,1,1
1524,-0.4619948,13.444898,0,0,1,1,1,1,1
2071,-3.3109722,-3.6790688,1,0,0,0,0,0,0
