,UMAP_1,UMAP_2,W3IWER4_A
2930,0.33197743,-0.0069117355,1
2490,-5.186548,0.90807426,1
1582,7.0625205,17.424644,1
1936,16.521587,-3.4282002,1
2313,-5.5942807,2.9934258,1
1925,2.006502,-7.5939603,1
701,-2.4079747,15.760153,1
650,2.128111,-8.308543,1
1645,-3.5961668,19.743153,1
601,-3.8200977,17.225222,1
638,9.927498,6.424703,1
1100,1.6695112,-7.6270227,1
2049,-0.25822788,2.9039297,1
1374,16.137926,-2.1244984,1
588,4.2024264,-8.8872,1
2455,-4.4850626,-0.6130686,1
639,7.400732,-3.3767426,1
1722,-0.63271326,8.930763,1
1723,14.27036,17.144604,1
1833,-3.691488,21.259007,1
3117,-3.663143,21.255648,1
716,0.107508525,0.22743607,1
2882,-0.85301256,2.5054088,1
1934,8.033696,-13.246668,1
934,15.425802,-2.1030283,1
749,9.544358,6.680842,1
493,0.77759266,0.94912535,1
1207,4.991606,-8.517041,1
1410,12.914871,7.1875954,1
1545,-3.80837,19.5529,1
47,-2.3884578,15.768284,1
2473,1.5311625,17.469435,1
1561,5.952703,-8.434229,1
1896,-0.9623114,9.632326,1
1061,4.9136705,-8.555466,1
1848,-1.8161826,22.05344,1
1733,-11.394417,8.217588,1
1657,-1.4497987,8.418304,1
1824,6.6306996,-13.726077,1
1995,-0.36683053,3.4109871,1
133,15.499851,-2.1771164,1
1130,-1.813704,16.14136,1
174,-4.8300056,8.290094,1
385,0.81350636,0.8870074,1
3012,-0.4230784,2.9797008,1
446,10.28664,8.131568,1
2016,-6.1012917,8.006242,1
1567,5.932667,-8.426401,1
2085,-1.7977277,16.163683,1
1786,-0.14601259,3.0249097,1
1440,-5.5297885,5.2383738,1
1149,-2.364353,15.770028,1
3288,14.265202,17.139452,1
3214,6.596318,-13.787375,1
3113,-2.983603,2.1717918,1
1086,-2.6546264,8.938114,1
757,1.4625129,-7.7016106,1
1571,8.079247,-13.210762,1
993,-4.7834234,8.275161,1
2063,-3.7492352,15.2172575,1
352,-3.5191877,8.570972,1
2087,12.963446,7.2381,1
1696,-3.1869197,2.2727594,1
2791,-1.20806,2.6283379,1
890,-1.8130056,16.145475,1
1065,-3.2362146,8.838197,1
2250,-4.1924024,3.0138402,1
2228,-5.465941,2.8705842,1
1908,3.707473,-8.839757,1
2850,-0.6981949,3.6291883,1
277,-0.64628613,2.0478318,1
1143,7.9828887,12.506478,1
33,-4.4487147,2.6081681,1
420,-1.7433419,1.6956623,1
2391,-5.1413927,0.89993525,1
941,-1.8730417,16.083162,1
1623,0.22138673,8.510684,1
1924,-0.9503945,9.655406,1
3258,-4.3041883,3.2330282,1
1368,4.971106,-8.51975,1
3226,0.0683553,8.650278,1
1001,2.1540596,-8.293883,1
773,-5.6263895,5.227325,1
2273,1.5618349,17.439362,1
1816,14.226012,17.10028,1
1640,-11.453148,8.274688,1
1225,-3.8027604,16.574554,1
830,-2.9412189,15.843367,1
1071,12.886076,7.165117,1
343,-0.61785203,1.9940604,1
888,-3.2532227,8.831349,1
1787,-0.6741429,8.9453125,1
3016,-0.022287747,19.06705,1
850,2.1297112,-8.102373,1
1226,12.673745,7.000081,1
1430,-0.4522164,1.8484392,1
2367,-3.6337225,3.713692,1
648,15.409699,-2.1170664,1
3121,7.071819,17.422016,1
1705,14.147353,17.021555,1
2317,16.48191,-3.4882226,1
690,-2.8509355,15.903288,1
1805,-0.55858207,8.930709,1
3238,-11.385375,8.20792,1
1837,-0.69317603,8.948005,1
1937,-0.9527583,9.642811,1
1257,12.692606,6.9830008,1
1228,1.5066592,-7.6885047,1
386,-0.13457277,2.1990035,1
1222,-3.4795673,8.89939,1
145,-3.3655548,3.7263806,1
3230,14.29468,17.168951,1
1286,2.1391118,-8.298184,1
3280,7.955678,-13.474671,1
2545,-3.6160893,2.3902965,1
1761,0.1403435,8.586221,1
1435,0.78848827,0.94358796,1
1606,-3.8459942,19.518257,1
286,0.25179872,0.90887976,1
2106,-3.9681113,3.054381,1
3191,-3.6317174,2.488247,1
