,UMAP_1,UMAP_2,label,naive,MLP,logisticRegression,decisionTree,randomForest,xgb
575,1.6999284,12.313511,1,0,1,1,1,1,0
1428,2.9978902,12.218953,0,0,1,1,1,1,1
1386,1.2343141,6.658483,0,0,1,1,0,1,0
1967,1.5332676,7.697626,0,0,1,1,1,1,0
2243,2.2776997,8.594018,1,0,1,1,1,1,1
1196,0.9392206,11.020817,0,0,1,1,1,1,0
419,3.2841692,6.7350316,0,0,0,1,0,0,1
1826,2.4726307,12.246992,0,0,1,1,1,1,1
1260,6.7712264,4.9862695,1,0,0,0,0,0,0
3072,7.0510244,5.0917206,1,0,0,0,1,1,1
1642,5.438756,6.9363537,1,0,0,1,0,0,1
3189,3.7896662,9.492584,1,0,1,1,1,1,1
928,3.0541837,11.560326,0,0,1,1,1,1,1
610,1.4274665,9.833764,0,0,1,1,1,1,0
1575,5.870606,7.8300786,0,0,0,1,0,1,0
185,1.1339684,11.993595,0,0,1,1,1,1,0
2782,2.1771326,6.78304,0,0,1,1,0,0,0
449,0.89036673,7.6090884,0,0,1,1,0,1,0
1198,3.293128,12.633827,0,0,1,1,1,1,1
1356,3.593335,6.7257376,0,0,0,1,0,0,1
399,1.5073518,9.806589,0,0,1,1,1,1,0
3168,3.3506162,10.5709715,1,0,1,1,1,1,1
1781,3.453717,10.041829,0,0,1,1,1,1,1
2995,1.4078369,7.205413,1,0,1,1,1,1,0
411,1.6262738,7.300909,0,0,1,1,1,1,0
2878,0.96930766,11.8038645,0,0,1,1,1,1,0
3264,3.4978213,12.370785,0,0,1,1,1,1,1
2071,5.9780307,7.510655,1,0,0,1,0,0,1
680,3.483713,10.26026,0,0,1,1,1,1,1
865,6.3069,5.963735,0,0,0,0,0,0,0
444,2.7292435,10.081063,0,0,1,1,1,1,1
211,5.9681807,5.1929007,0,0,0,0,0,1,0
569,2.8847935,12.379127,0,0,1,1,1,1,1
1243,2.5667937,10.738744,0,0,1,1,1,1,1
780,1.9791081,9.053195,0,0,1,1,1,1,1
779,6.472432,5.405825,0,0,0,0,1,0,0
2076,3.5957704,11.979601,1,0,1,1,1,1,1
1744,6.020911,7.462158,1,0,0,1,1,0,1
144,1.1789119,11.788387,0,0,1,1,1,1,0
898,2.424435,11.350345,0,0,1,1,1,1,1
1429,1.5384551,6.7924633,0,0,1,1,1,0,0
2033,2.6067185,7.697942,0,0,1,1,0,1,0
1150,5.0009613,7.921749,1,0,0,1,0,1,1
1282,6.0799394,5.471383,0,0,0,0,0,0,0
1206,3.596104,10.818712,1,0,1,1,1,1,1
1172,5.0680656,7.4075055,1,0,0,1,1,0,1
258,2.0044448,9.209552,0,0,1,1,1,1,1
393,3.442999,6.7427783,1,0,0,1,0,0,1
960,6.3256717,7.0620728,0,0,0,1,0,0,0
877,1.6395284,12.281882,1,0,1,1,1,1,0
947,1.232822,12.229637,0,0,1,1,1,1,0
1944,7.121099,5.3054023,1,0,0,0,1,0,1
1950,2.3377562,7.5225067,0,0,1,1,0,0,1
2501,2.5579586,11.798915,0,0,1,1,1,1,1
3087,1.1162819,11.333155,0,0,1,1,1,1,0
1387,2.6604593,10.585876,0,0,1,1,1,1,1
820,1.3982815,7.1383624,1,0,1,1,1,0,0
1115,1.8018037,12.621202,1,0,1,1,1,1,0
1998,2.3250234,6.794835,0,0,1,1,1,0,0
1691,4.741976,7.930484,1,0,0,1,1,1,1
1458,5.579664,7.924602,0,0,0,1,0,1,1
2714,1.2824756,7.429588,0,0,1,1,1,0,0
1971,0.93894017,7.895588,0,0,1,1,0,1,0
920,3.6060753,11.639848,1,0,1,1,1,1,1
1176,2.528417,11.518419,0,0,1,1,1,1,1
1903,3.3410485,12.547897,0,0,1,1,1,1,1
1874,6.1532173,5.211523,0,0,0,0,0,1,0
311,3.6942022,6.799515,1,0,0,1,0,0,1
1956,5.0461187,6.8772984,0,0,0,1,0,0,1
1530,2.5606303,9.577767,0,0,1,1,1,1,1
430,0.9572722,7.8551807,0,0,1,1,0,1,0
1313,6.054387,6.127283,0,0,0,1,0,0,0
281,1.9835508,6.584552,0,0,1,1,0,1,0
2072,5.675552,7.606396,1,0,0,1,0,1,0
586,1.0297631,12.0831375,1,0,1,1,1,1,0
647,3.322664,12.407506,1,0,1,1,1,1,1
1876,6.261041,7.392871,1,0,0,1,1,0,1
1134,3.1627166,12.555173,0,0,1,1,1,1,1
2027,1.9663112,7.2523613,1,0,1,1,0,1,0
1622,3.6482394,11.799476,0,0,1,1,1,1,1
1132,6.2153163,6.9823656,0,0,0,1,0,0,1
2800,5.471107,6.985639,1,0,0,1,0,0,1
1447,2.4898777,12.467176,0,0,1,1,1,1,1
1604,1.9729851,12.31532,1,0,1,1,1,1,1
642,3.1506667,12.113809,0,0,1,1,1,1,1
2712,1.8218378,7.787876,0,0,1,1,1,1,0
220,6.533544,6.435762,0,0,0,0,1,0,0
164,4.65964,7.6526136,0,0,0,1,0,1,0
1256,6.72078,5.3410773,0,0,0,0,0,0,0
2059,2.1633458,7.580539,0,0,1,1,0,1,0
1111,3.735995,6.1919427,0,0,0,1,0,0,0
1073,1.543485,10.3597975,0,0,1,1,1,1,0
1870,6.4022346,6.6698685,0,0,0,1,1,0,0
593,5.7021646,5.5500765,1,0,0,1,0,0,0
1345,2.4066696,8.432554,0,0,1,1,1,1,1
808,2.8488472,11.15275,1,0,1,1,1,1,1
2044,2.63369,7.524215,0,0,1,1,0,0,1
1411,1.9328796,9.531561,1,0,1,1,1,1,1
1510,4.9413605,7.7189465,0,0,0,1,0,1,0
1655,1.4006469,12.358934,1,0,1,1,1,1,0
160,1.0789558,11.641392,0,0,1,1,1,1,0
1275,6.674434,5.6712937,0,0,0,0,0,0,0
883,1.4492958,11.08044,1,0,1,1,1,1,0
2479,3.475154,9.836002,0,0,1,1,1,1,1
1146,6.5623703,5.466471,1,0,0,0,0,0,0
1096,1.5824603,10.187244,1,0,1,1,1,1,0
874,1.3699647,9.560815,0,0,1,1,1,1,0
663,2.0951958,9.662451,0,0,1,1,1,1,1
1056,6.3446345,5.3393493,1,0,0,0,0,0,0
2068,3.1300986,12.5240345,0,0,1,1,1,1,1
2753,3.0879753,6.4167943,0,0,0,1,0,0,0
1793,3.310977,10.124952,0,0,1,1,1,1,1
878,3.4660704,12.477154,0,0,1,1,1,1,1
984,2.3579576,11.287107,0,0,1,1,1,1,1
968,2.2553618,9.30285,1,0,1,1,1,1,1
1039,2.7916636,10.28866,0,0,1,1,1,1,1
1242,5.9000845,6.492268,0,0,0,1,0,1,1
2345,1.4215405,7.889845,0,0,1,1,1,1,0
1667,6.302465,7.2060513,1,0,0,1,1,1,0
682,4.8658943,7.5070286,0,0,0,1,1,0,1
1069,1.9648508,11.134276,0,0,1,1,1,1,1
1314,6.8192897,5.269831,1,0,0,0,0,0,0
