,UMAP_1,UMAP_2,W3IWER4_A
1922,7.078863,7.903911,1
2693,7.775992,2.755696,1
288,7.3957267,2.1108437,1
974,-0.24778157,5.384793,1
1231,-0.31550148,5.240233,1
519,0.19358362,2.8884497,1
2505,7.7038517,5.8338265,1
890,7.3371267,7.5325775,1
3319,-0.29681224,4.632014,1
2092,6.958668,3.387765,1
1192,10.091955,4.1393313,1
1942,10.890639,4.290951,1
1802,10.430817,5.686464,1
3214,-0.3909858,4.7647862,1
2351,1.2964919,3.5033243,1
26,0.6229654,5.3943043,1
1936,0.22968255,2.9102938,1
2855,6.4521904,3.3056314,1
830,6.925789,7.2701187,1
1764,1.7978591,4.9245977,1
943,10.670571,4.734506,1
2273,1.3830013,4.460626,1
1839,9.275632,5.105726,1
1722,10.144891,5.725152,1
3206,8.853329,6.7099214,1
1103,6.991533,7.3524647,1
391,6.25542,1.9005208,1
1842,0.48943326,2.5760446,1
2996,-0.5227404,3.974584,1
2327,1.2373537,3.3722756,1
1880,10.312802,5.2678995,1
626,0.62937826,3.3924913,1
1561,-0.5901149,4.552507,1
2046,6.140165,2.1355095,1
749,-0.07763316,4.9930334,1
1708,-0.37408775,4.473798,1
1534,0.65628654,2.653459,1
932,-0.17369579,5.115321,1
365,7.522844,2.7792082,1
959,9.10381,4.9838586,1
2781,2.3479888,2.896075,1
68,7.9767838,7.0500984,1
1197,0.41791356,5.0644174,1
2079,10.264478,5.0788836,1
1861,8.70289,4.331601,1
1864,0.53730375,2.4584377,1
1925,1.7470685,5.0054326,1
1752,-0.1945549,5.0734057,1
727,2.3323948,4.8430185,1
1023,6.84776,7.2309217,1
894,7.364704,7.2784023,1
3224,8.68342,7.3050146,1
1052,8.183894,7.2555404,1
1701,-0.35963684,4.3010917,1
3238,1.3659731,4.3157496,1
3303,-0.14633417,2.82262,1
3306,7.9360757,6.6433682,1
3245,8.49679,7.569787,1
906,10.909996,4.1745234,1
632,7.9855223,7.959128,1
2234,6.420981,2.9434884,1
1321,10.528689,4.10693,1
1280,6.2815886,6.9474087,1
2823,1.6273429,5.0500154,1
124,6.9540586,1.7731812,1
1305,1.8098366,5.0076714,1
2979,1.605196,5.2213106,1
1787,8.82037,6.694679,1
386,7.641578,2.7370667,1
1569,-0.0024653915,2.7892597,1
1671,8.494061,7.255552,1
2455,2.081573,2.3596091,1
3237,0.043118212,2.7619936,1
686,0.49130946,3.3621168,1
1969,0.8237586,3.7363994,1
416,7.1867127,1.9946868,1
1849,10.29919,4.4342427,1
1114,6.4698734,7.684892,1
2760,9.008561,5.1461706,1
498,2.319145,2.916609,1
1837,8.93539,6.6799717,1
1893,6.4769144,7.5094304,1
1407,0.323381,2.954012,1
917,10.368262,5.464054,1
2930,2.3376367,2.6689246,1
245,7.518981,6.045068,1
1425,10.705169,4.393153,1
2049,7.495732,2.2891557,1
2037,8.34103,7.4905457,1
1725,2.2658923,4.7518845,1
710,0.7148341,2.9608808,1
1066,0.4244511,3.2870324,1
1857,9.935498,4.642942,1
2508,10.069884,3.8586247,1
1654,-0.070941225,4.097501,1
1704,9.620181,5.1745358,1
2371,0.37279823,3.0928054,1
1794,-0.55847585,4.289457,1
1833,10.140323,4.869231,1
766,6.493255,7.2083597,1
448,0.4225026,2.3852794,1
1710,1.8974918,5.234021,1
1509,6.014061,6.58228,1
2806,6.77634,1.6791214,1
574,1.916056,5.0273013,1
1765,0.32339644,4.8276105,1
3083,8.430932,7.7393684,1
3227,10.312154,4.8769536,1
1061,0.3498471,3.0841978,1
1149,10.413566,4.979544,1
2852,7.1431327,2.394367,1
690,7.544801,8.017742,1
1889,10.7952585,4.436566,1
2808,1.6314,2.710813,1
1143,1.4163913,4.6636467,1
1035,0.3508069,2.5584402,1
145,8.151625,3.8152473,1
3226,9.808475,4.1616344,1
1863,9.100419,5.2085786,1
81,9.681012,6.1002674,1
3098,-0.12399637,2.8526313,1
3164,7.8419867,7.525689,1
1274,6.1092796,7.1321774,1
1645,7.383945,7.991876,1
2387,1.7757874,4.883338,1
277,6.762954,1.7579373,1
1918,-0.4265494,3.7607818,1
1000,10.756203,4.377179,1
806,6.739524,7.9403005,1
1017,6.203346,7.2673364,1
2343,-0.51683474,4.426349,1
1785,6.3205266,7.166299,1
1705,0.6436868,4.1866784,1
2845,6.3384414,2.0040867,1
1579,10.615607,4.0941844,1
257,0.617206,2.6105423,1
1014,2.3578053,4.8471365,1
1702,-0.49288142,4.3696036,1
374,5.980924,2.3816378,1
3288,0.07097575,4.8267922,1
1786,8.794828,7.212694,1
2553,-0.28368467,3.057727,1
2771,6.071234,2.2803757,1
650,6.550219,6.914013,1
588,7.5251994,6.427911,1
1974,7.5466156,2.9497483,1
782,10.855738,4.130631,1
133,-0.2601851,4.9327374,1
1924,8.435751,6.6242476,1
1896,10.237378,4.627453,1
640,8.35319,4.9145494,1
2004,1.8573303,2.7204106,1
1900,-0.15162954,4.6930656,1
1025,10.202875,5.2389617,1
1845,9.945579,5.387389,1
2424,8.184308,6.2877793,1
1174,7.543262,6.603642,1
1226,8.4530115,7.7118964,1
2085,8.815322,5.205978,1
565,0.25137836,5.1341667,1
941,8.308557,7.5645847,1
888,7.7887535,7.986297,1
3018,7.005837,6.17628,1
1805,8.7241,7.2235656,1
2070,8.955189,7.356942,1
343,6.9654727,2.4203053,1
1754,7.3280272,2.2635264,1
648,-0.45707285,4.4607778,1
1268,0.11924311,5.4662366,1
837,0.10757503,5.437311,1
348,0.64798146,4.391942,1
1310,6.3023834,7.510778,1
1053,-0.2358633,4.3751802,1
1063,10.268034,5.012526,1
3239,0.5852277,2.5018039,1
2317,-0.4692023,4.234048,1
508,7.6274047,2.7023544,1
601,10.343927,5.178662,1
1374,7.1220145,6.140194,1
910,1.5935878,5.1168275,1
1166,0.82837087,4.934183,0
2084,6.554962,1.9102266,0
2099,6.6534996,3.5024881,0
1104,1.084809,3.2286315,0
42,9.22468,4.656082,0
407,6.7040253,2.1651974,0
1142,6.4045687,3.2554202,0
1193,7.5592093,2.677599,0
816,9.614639,5.8229375,0
54,10.119842,5.685256,0
1628,10.750432,4.152018,0
1762,8.77834,4.472657,0
2759,6.43297,2.087446,0
2143,6.830343,6.083893,0
2954,6.8948317,2.154543,0
2383,7.84607,5.9924264,0
1167,9.369531,4.723091,0
1013,9.849692,5.473819,0
3234,8.123731,7.0863733,0
829,10.144507,5.8687477,0
2426,7.9851084,4.2787633,0
1350,9.321649,5.4047933,0
1674,0.22743312,2.697855,0
2787,7.285289,2.342788,0
2216,2.539834,3.8809397,0
1342,7.4164124,7.226738,0
1834,1.1425736,3.2112043,0
46,9.631896,5.447533,0
1298,2.3321068,4.914551,0
762,0.13655588,5.5029244,0
763,-0.5867586,4.1772103,0
2777,7.726642,2.6574993,0
