,WWWSEX,WWWWHITE,W12EDUC3,AGE65PLM,WWWBLACK,AGE4049M,W1FIPCOM,AGE5059M,W2TOTCL,AGE3039,W2FIPCOM,WWWHOMLN,W1TRUAM2,AGE1829,EDUCAT4,WWWBRNUS,W2CIVLIB,WWWHISP,CENSDIV,WWWEDU3,WWWAGEC1,WWWEDU5,W1STATE,AGE6064M,W12RACE4,W2SECURE,WWWRACE4,RAC3,WWWRACE3,NEWRACE,WWWAGE,COMPLET2,IMPHISP,RACES,W12OTHET,USAWT2CC,USAWT2NC,RACWT1RV,W2MISSCL,USAWT2RC,USAWT1RV,RHWT2CC,RHWT2RC,MULT2,W3IWER4_A
2525,-1,-1,-1.0,-1.0,-1,-1.0,-1.0,1.0,1.0000000000000002,-1.0,0.4285714285714285,-1.0,-1.0,-1.0,-0.33333333333333326,-1.0,-0.09090909090909083,1,-0.935483870967742,0.0,0.33333333333333326,-0.5,0.2727272727272727,-1.0,0.3333333333333335,0.2727272727272727,0.3333333333333335,-1.0,-1,-1.0,-0.013698630136986356,-1.0,-0.9999999999999999,-0.9999999999999999,-1.0,-0.997910402881298,-0.998643986370401,-1.0,-0.8,-1.0,-1.0,-0.9975834642135459,-1.0,-1.0,1
1427,-1,1,1.0,-1.0,-1,-1.0,0.9999999999999999,-1.0,1.0000000000000002,-1.0,0.4285714285714285,-1.0,-0.19999999999999996,-1.0,1.0,1.0,0.09090909090909105,-1,0.29032258064516125,1.0,0.6666666666666667,0.5,-0.6000000000000001,1.0,-0.9999999999999999,0.09090909090909105,-0.9999999999999999,-1.0,-1,-1.0,0.20547945205479445,-1.0,0.1428571428571428,-0.9999999999999999,-1.0,-0.8331915019074511,-1.0,-0.795698777142293,-0.8,-0.7869803377470761,-0.8254829562570357,-0.9168714801431299,-0.8886061735488054,-1.0,1
3303,1,1,1.0,1.0,-1,-1.0,-1.0,-1.0,1.0000000000000002,-1.0,0.9999999999999999,-1.0,-1.0,-1.0,1.0,1.0,0.09090909090909105,-1,-0.935483870967742,1.0,0.9999999999999998,0.5,0.2727272727272727,-1.0,-0.9999999999999999,0.09090909090909105,-0.9999999999999999,-1.0,-1,-1.0,0.5342465753424659,-1.0,0.1428571428571428,-0.9999999999999999,-1.0,-0.9125492925751839,-0.9132357906971282,-1.0,-0.8,-1.0,-1.0,-0.956419199550459,-1.0,-1.0,1
2305,-1,1,1.0,1.0,-1,-1.0,-1.0,-1.0,1.0000000000000002,-1.0,0.9999999999999999,-1.0,-1.0,-1.0,1.0,1.0,-0.09090909090909083,-1,0.9354838709677418,1.0,0.9999999999999998,0.5,0.23636363636363633,-1.0,-0.9999999999999999,0.2727272727272727,-0.9999999999999999,-1.0,-1,-1.0,0.6438356164383559,-1.0,0.1428571428571428,-0.9999999999999999,-1.0,-0.9984664903940697,-0.9984718106018647,-1.0,-0.8,-1.0,-1.0,-0.9992357800401546,-1.0,-1.0,1
1578,1,1,0.0,1.0,-1,-1.0,-1.0,-1.0,1.0000000000000002,-1.0,0.4285714285714285,-1.0,-1.0,-1.0,0.3333333333333335,1.0,0.6363636363636365,-1,-0.935483870967742,0.0,0.9999999999999998,0.0,0.49090909090909074,-1.0,-0.9999999999999999,-0.4545454545454545,-0.9999999999999999,-1.0,-1,-1.0,0.5616438356164382,-1.0,0.1428571428571428,-0.9999999999999999,-1.0,-0.8594295414151404,-0.8597845546748171,-1.0,-0.8,-1.0,-1.0,-0.9299471292446764,-1.0,-1.0,1
2056,-1,-1,1.0,-1.0,1,-1.0,-1.0,-1.0,1.0000000000000002,-1.0,0.4285714285714285,-1.0,-1.0,1.0,1.0,-1.0,0.4545454545454546,-1,-0.935483870967742,1.0,-0.6666666666666666,0.5,0.2727272727272727,-1.0,-0.33333333333333326,-0.2727272727272727,-0.33333333333333326,0.0,0,0.0,-0.7534246575342466,-1.0,0.1428571428571428,-0.5999999999999999,-1.0,-0.9934948743911135,-0.9953869914232522,-1.0,-0.8,-1.0,-1.0,-0.9926410494942837,-1.0,-1.0,1
1761,-1,1,-1.0,1.0,-1,-1.0,-1.0,-1.0,0.8181818181818183,-1.0,-0.1428571428571429,-1.0,-1.0,-1.0,-0.33333333333333326,1.0,0.2727272727272727,-1,-0.935483870967742,0.0,0.9999999999999998,-0.5,0.49090909090909074,-1.0,-0.9999999999999999,-0.2727272727272727,-0.9999999999999999,-1.0,-1,-1.0,0.7534246575342467,-1.0,0.1428571428571428,-0.9999999999999999,-1.0,-0.46481359418491286,-0.46723042000418513,-1.0,-0.6000000000000001,-1.0,-1.0,-0.7332914433518742,-1.0,-1.0,1
1614,-1,1,0.0,1.0,-1,-1.0,-1.0,-1.0,0.4545454545454546,-1.0,0.9999999999999999,-1.0,-1.0,-1.0,0.3333333333333335,1.0,-0.09090909090909083,-1,-0.935483870967742,0.0,0.9999999999999998,0.0,0.49090909090909074,-1.0,-0.9999999999999999,-0.2727272727272727,-0.9999999999999999,-1.0,-1,-1.0,0.28767123287671237,0.0,0.1428571428571428,-0.9999999999999999,-1.0,-0.9137536432212104,-0.9146272748636304,-1.0,-0.19999999999999996,-1.0,-1.0,-0.957019384119777,-1.0,-1.0,1
1084,1,1,1.0,-1.0,-1,-1.0,0.9999999999999999,1.0,1.0000000000000002,-1.0,0.9999999999999999,-1.0,-0.19999999999999996,-1.0,1.0,1.0,0.4545454545454546,-1,0.9999999999999998,1.0,0.33333333333333326,0.5,-0.8181818181818182,-1.0,-0.9999999999999999,-0.2727272727272727,-0.9999999999999999,-1.0,-1,-1.0,-0.06849315068493156,0.0,0.1428571428571428,-0.9999999999999999,-1.0,-0.9442536657931287,-1.0,-0.9427363332906268,-0.8,-0.9298529069279492,-0.9510845520735699,-0.9722189798297984,-0.9633181602624112,-1.0,1
365,1,-1,-1.0,-1.0,1,-1.0,0.1428571428571428,-1.0,1.0000000000000002,-1.0,-0.1428571428571429,-1.0,0.6000000000000001,-1.0,-0.33333333333333326,1.0,0.4545454545454546,-1,0.41935483870967727,0.0,0.6666666666666667,-0.5,-0.23636363636363644,1.0,-0.33333333333333326,-0.2727272727272727,-0.33333333333333326,0.0,0,0.0,0.15068493150684925,-1.0,-0.9999999999999999,-0.5999999999999999,-1.0,-0.9573392068035487,-1.0,-0.967932044406754,-0.8,-0.9458221125513021,-0.9872065297995798,-0.9726385075266795,-0.9730634402422984,-1.0,1
47,1,1,0.0,1.0,-1,-1.0,0.4285714285714285,-1.0,1.0000000000000002,-1.0,0.9999999999999999,-1.0,0.20000000000000018,-1.0,0.3333333333333335,1.0,0.8181818181818183,-1,0.41935483870967727,0.0,0.9999999999999998,0.0,0.709090909090909,-1.0,-0.9999999999999999,-0.6363636363636362,-0.9999999999999999,-1.0,-1,-1.0,0.31506849315068486,-1.0,0.1428571428571428,-0.9999999999999999,-1.0,-0.9981275489542447,-1.0,-0.997834667125514,-0.8,-0.9976512699705247,-0.9981503415070055,-0.9990668695796108,-0.9987717846207228,-1.0,1
1918,1,1,1.0,-1.0,-1,1.0,-1.0,-1.0,1.0000000000000002,-1.0,0.4285714285714285,-1.0,-1.0,-1.0,1.0,1.0,0.4545454545454546,-1,0.9999999999999998,1.0,0.0,0.5,-0.8181818181818182,-1.0,-0.9999999999999999,-0.2727272727272727,-0.9999999999999999,-1.0,-1,-1.0,-0.3150684931506851,-1.0,0.1428571428571428,-0.9999999999999999,-1.0,-0.8803950256171362,-0.8805336615200934,-1.0,-0.8,-1.0,-1.0,-0.940395216061152,-1.0,-1.0,1
626,-1,1,1.0,1.0,-1,-1.0,0.4285714285714285,-1.0,1.0000000000000002,-1.0,-0.1428571428571429,1.0,0.20000000000000018,-1.0,1.0,1.0,-0.09090909090909083,-1,0.29032258064516125,1.0,0.9999999999999998,0.5,0.9272727272727272,-1.0,-0.9999999999999999,0.2727272727272727,-0.9999999999999999,-1.0,-1,-1.0,0.5342465753424659,-1.0,0.1428571428571428,-0.9999999999999999,-1.0,-0.9201757915169837,-1.0,-0.9022340972240739,-0.8,-0.8980619924938014,-0.9164869593403838,-0.9602198426590877,-0.9466938187920215,-1.0,1
87,-1,-1,-1.0,-1.0,-1,-1.0,0.1428571428571428,1.0,0.8181818181818183,-1.0,-0.1428571428571429,1.0,1.0,-1.0,-0.9999999999999999,1.0,0.2727272727272727,1,0.41935483870967727,-1.0,0.33333333333333326,-1.0,0.709090909090909,-1.0,0.3333333333333335,-0.2727272727272727,0.3333333333333335,-1.0,-1,-1.0,-0.12328767123287676,0.0,-0.9999999999999999,-0.9999999999999999,-1.0,-0.9507166051301015,-1.0,-0.9927575931541028,-0.6000000000000001,-0.945933063859864,-0.9938134318793455,-0.9430057180309529,-0.9701662584888279,-1.0,1
1671,1,1,-1.0,-1.0,-1,-1.0,-1.0,1.0,1.0000000000000002,-1.0,0.9999999999999999,-1.0,-1.0,-1.0,-0.33333333333333326,1.0,0.2727272727272727,-1,-0.3548387096774195,0.0,0.33333333333333326,-0.5,0.9636363636363636,-1.0,-0.9999999999999999,-0.09090909090909083,-0.9999999999999999,-1.0,-1,-1.0,-0.041095890410958846,-1.0,0.1428571428571428,-0.9999999999999999,-1.0,-0.6039156420642449,-0.600204064649926,-1.0,-0.8,-1.0,-1.0,-0.802612535990884,-1.0,-1.0,1
832,-1,1,-1.0,-1.0,-1,-1.0,0.9999999999999999,-1.0,1.0000000000000002,1.0,0.9999999999999999,-1.0,-0.6,-1.0,-0.33333333333333326,1.0,-0.09090909090909083,-1,0.41935483870967727,0.0,-0.33333333333333326,-0.5,0.4181818181818182,-1.0,-0.9999999999999999,0.2727272727272727,-0.9999999999999999,-1.0,-1,-1.0,-0.5616438356164384,-1.0,0.1428571428571428,-0.9999999999999999,-1.0,-0.6923437043450965,-1.0,-0.7395205642541987,-0.8,-0.6142499450972396,-0.7774947186003878,-0.8466803983317266,-0.7982807116728463,-1.0,1
3102,1,1,-1.0,-1.0,-1,-1.0,-1.0,-1.0,0.8181818181818183,1.0,0.7142857142857141,-1.0,-1.0,-1.0,-0.33333333333333326,1.0,-0.09090909090909083,-1,-0.29032258064516125,0.0,-0.33333333333333326,-0.5,0.09090909090909083,-1.0,-0.9999999999999999,0.09090909090909105,-0.9999999999999999,-1.0,-1,-1.0,-0.47945205479452047,-1.0,0.1428571428571428,-0.9999999999999999,-1.0,-0.7261629179945894,-0.7235968799565027,-1.0,-0.6000000000000001,-1.0,-1.0,-0.8635341030623224,-1.0,-1.0,1
386,1,-1,-1.0,1.0,1,-1.0,0.1428571428571428,-1.0,1.0000000000000002,-1.0,0.4285714285714285,-1.0,1.0,-1.0,-0.33333333333333326,1.0,1.0000000000000002,-1,-0.3548387096774195,0.0,0.9999999999999998,-0.5,-0.4181818181818182,-1.0,-0.33333333333333326,-0.8181818181818181,-0.33333333333333326,0.0,0,0.0,0.6438356164383559,-1.0,0.1428571428571428,-0.5999999999999999,-1.0,-0.9881999868429306,-1.0,-0.9917175883183634,-0.8,-0.9855610121742333,-0.9966957423672053,-0.9866511858476087,-0.9855610121741987,-1.0,1
1717,-1,1,1.0,-1.0,-1,1.0,-1.0,-1.0,0.8181818181818183,-1.0,0.9999999999999999,-1.0,-1.0,-1.0,1.0,1.0,0.6363636363636365,-1,0.29032258064516125,1.0,0.0,1.0,-0.1636363636363637,-1.0,-0.9999999999999999,-0.6363636363636362,-0.9999999999999999,-1.0,-1,-1.0,-0.26027397260273966,-1.0,0.1428571428571428,-0.9999999999999999,-1.0,-0.6951067206541823,-0.6909332269363377,-1.0,-0.6000000000000001,-1.0,-1.0,-0.848057339307362,-1.0,-1.0,1
1545,1,1,0.0,-1.0,-1,-1.0,-1.0,1.0,0.6363636363636365,-1.0,0.1428571428571428,-1.0,-1.0,-1.0,0.3333333333333335,1.0,-0.09090909090909083,-1,0.29032258064516125,0.0,0.33333333333333326,0.0,0.3090909090909091,-1.0,-0.9999999999999999,-0.09090909090909083,-0.9999999999999999,-1.0,-1,-1.0,-0.06849315068493156,0.0,0.1428571428571428,-0.9999999999999999,-1.0,-0.45246617608652673,-0.45482425242903735,-1.0,-0.4,-1.0,-1.0,-0.7271381441954765,-1.0,-1.0,1
1268,1,1,1.0,-1.0,-1,1.0,0.7142857142857141,-1.0,1.0000000000000002,-1.0,0.9999999999999999,-1.0,0.6000000000000001,-1.0,1.0,1.0,0.6363636363636365,-1,0.29032258064516125,1.0,0.0,0.5,0.8181818181818181,-1.0,-0.9999999999999999,-0.4545454545454545,-0.9999999999999999,-1.0,-1,-1.0,-0.15068493150684925,-1.0,0.1428571428571428,-0.9999999999999999,-1.0,-0.8274800042691449,-1.0,-0.8279210796910305,-0.8,-0.7825927796835563,-0.8530077106600964,-0.9140251722494863,-0.8863117990469569,-1.0,1
1464,1,1,0.0,-1.0,-1,-1.0,-0.1428571428571429,-1.0,1.0000000000000002,1.0,0.4285714285714285,-1.0,0.20000000000000018,-1.0,0.3333333333333335,1.0,-0.09090909090909083,-1,0.9354838709677418,0.0,-0.33333333333333326,0.0,-0.4545454545454546,-1.0,-0.9999999999999999,0.2727272727272727,-0.9999999999999999,-1.0,-1,-1.0,-0.5616438356164384,-1.0,0.1428571428571428,-0.9999999999999999,-1.0,-0.6161613770136676,-1.0,-0.47719777062909274,-0.8,-0.5170056651372541,-0.5534148143809373,-0.8087151616517818,-0.7474290093902487,-1.0,1
632,1,1,-1.0,1.0,-1,-1.0,0.4285714285714285,-1.0,1.0000000000000002,-1.0,0.9999999999999999,-1.0,0.20000000000000018,-1.0,-0.33333333333333326,1.0,0.4545454545454546,-1,-1.0,0.0,0.9999999999999998,-0.5,-0.12727272727272732,-1.0,-0.9999999999999999,-0.2727272727272727,-0.9999999999999999,-1.0,-1,-1.0,0.36986301369863006,-1.0,0.1428571428571428,-0.9999999999999999,-1.0,-0.6979665595593456,-1.0,-0.731301824497852,-0.8,-0.6239063513974181,-0.7704741528616634,-0.8494825315364403,-0.8033303114898294,-1.0,1
653,-1,-1,0.0,-1.0,1,-1.0,-0.1428571428571429,-1.0,0.8181818181818183,-1.0,0.9999999999999999,-1.0,1.0,-1.0,0.3333333333333335,1.0,0.4545454545454546,-1,0.35483870967741926,0.0,0.6666666666666667,0.0,-0.0181818181818183,1.0,-0.33333333333333326,-0.4545454545454545,-0.33333333333333326,0.0,0,0.0,0.20547945205479445,-1.0,0.1428571428571428,-0.5999999999999999,-1.0,-0.3252884389398504,-1.0,0.5182608945429079,-0.6000000000000001,-0.28742540231256464,-0.3942917422843111,-0.2367297294379418,-0.28742540231244973,-1.0,1
1764,-1,1,1.0,-1.0,-1,-1.0,-1.0,1.0,1.0000000000000002,-1.0,0.4285714285714285,-1.0,-1.0,-1.0,1.0,1.0,0.2727272727272727,-1,0.29032258064516125,1.0,0.33333333333333326,0.5,0.8181818181818181,-1.0,-0.9999999999999999,-0.09090909090909083,-0.9999999999999999,-1.0,-1,-1.0,0.09589041095890405,-1.0,0.1428571428571428,-0.9999999999999999,-1.0,-0.6951067206541823,-0.6909332269363377,-1.0,-0.8,-1.0,-1.0,-0.848057339307362,-1.0,-1.0,1
640,1,1,0.0,1.0,-1,-1.0,0.4285714285714285,-1.0,1.0000000000000002,-1.0,0.4285714285714285,-1.0,0.6000000000000001,-1.0,0.3333333333333335,1.0,0.6363636363636365,-1,0.29032258064516125,0.0,0.9999999999999998,0.0,-0.6000000000000001,-1.0,-0.9999999999999999,-0.4545454545454545,-0.9999999999999999,-1.0,-1,-1.0,0.5068493150684932,-1.0,0.1428571428571428,-0.9999999999999999,-1.0,-0.756979586356754,-1.0,-0.7189672370791835,-0.8,-0.695164610822714,-0.7599377708371864,-0.8788914982618881,-0.8405932106030413,-1.0,1
1665,1,1,0.0,-1.0,-1,-1.0,-1.0,1.0,1.0000000000000002,-1.0,0.4285714285714285,-1.0,-1.0,-1.0,0.3333333333333335,1.0,0.4545454545454546,-1,0.41935483870967727,0.0,0.33333333333333326,0.0,0.709090909090909,-1.0,-0.9999999999999999,-0.2727272727272727,-0.9999999999999999,-1.0,-1,-1.0,0.013698630136986134,-1.0,0.1428571428571428,-0.9999999999999999,-1.0,-0.6853478859881785,-0.6867030053865834,-1.0,-0.8,-1.0,-1.0,-0.8431940530204238,-1.0,-1.0,1
519,-1,1,1.0,-1.0,-1,-1.0,0.9999999999999999,-1.0,1.0000000000000002,1.0,0.9999999999999999,-1.0,0.20000000000000018,-1.0,1.0,1.0,0.6363636363636365,-1,0.29032258064516125,1.0,-0.33333333333333326,0.5,-0.5636363636363637,-1.0,-0.9999999999999999,-0.4545454545454545,-0.9999999999999999,-1.0,-1,-1.0,-0.5068493150684932,-1.0,0.1428571428571428,-0.9999999999999999,-1.0,-0.9977365209268447,-1.0,-0.9972277698806118,-0.8,-0.9971094665247908,-0.9976319211494105,-0.9988720019229048,-0.9984884607322633,-1.0,1
1935,-1,1,0.0,-1.0,-1,-1.0,-1.0,1.0,0.6363636363636365,-1.0,0.9999999999999999,-1.0,-1.0,-1.0,0.3333333333333335,1.0,0.2727272727272727,-1,0.29032258064516125,0.0,0.33333333333333326,0.0,-0.5636363636363637,-1.0,-0.9999999999999999,-0.4545454545454545,-0.9999999999999999,-1.0,-1,-1.0,0.041095890410958846,-1.0,0.1428571428571428,-0.9999999999999999,-1.0,-0.6722600059193803,-0.6714628379979386,-1.0,-0.4,-1.0,-1.0,-0.8366717468392421,-1.0,-1.0,1
1065,-1,1,-1.0,-1.0,-1,-1.0,0.4285714285714285,-1.0,1.0000000000000002,-1.0,-0.1428571428571429,-1.0,0.20000000000000018,-1.0,-0.33333333333333326,1.0,-0.09090909090909083,-1,0.29032258064516125,0.0,0.6666666666666667,-0.5,-0.1636363636363637,1.0,-0.9999999999999999,0.2727272727272727,-0.9999999999999999,-1.0,-1,-1.0,0.15068493150684925,0.0,0.1428571428571428,-0.9999999999999999,-1.0,-0.9339970315924917,-1.0,-0.9441181077352944,-0.8,-0.9172432059852061,-0.9522648836832464,-0.9671076166226639,-0.9567242016409956,-1.0,1
3198,-1,1,1.0,-1.0,-1,1.0,-1.0,-1.0,1.0000000000000002,-1.0,0.9999999999999999,-1.0,-1.0,-1.0,1.0,1.0,1.0000000000000002,-1,-0.3548387096774195,1.0,0.0,1.0,-0.4181818181818182,-1.0,-0.9999999999999999,-0.8181818181818181,-0.9999999999999999,-1.0,-1,-1.0,-0.15068493150684925,-1.0,0.1428571428571428,-0.9999999999999999,-1.0,-0.820385308941149,-0.8199103388465084,-1.0,-0.8,-1.0,-1.0,-0.910489551893402,-1.0,-1.0,1
1720,-1,1,1.0,1.0,-1,-1.0,-1.0,-1.0,0.8181818181818183,-1.0,0.9999999999999999,-1.0,-1.0,-1.0,1.0,1.0,0.09090909090909105,-1,-0.935483870967742,1.0,0.9999999999999998,1.0,0.19999999999999996,-1.0,-0.9999999999999999,-0.09090909090909083,-0.9999999999999999,-1.0,-1,-1.0,0.7534246575342467,-1.0,0.1428571428571428,-0.9999999999999999,-1.0,-0.7710457022169208,-0.7720556886161335,-1.0,-0.6000000000000001,-1.0,-1.0,-0.8859013053459546,-1.0,-1.0,1
1878,1,1,-1.0,-1.0,-1,-1.0,-1.0,1.0,0.09090909090909105,-1.0,-1.0,-1.0,-1.0,-1.0,-0.33333333333333326,1.0,-0.6363636363636362,-1,-0.3548387096774195,0.0,0.33333333333333326,-0.5,-0.38181818181818183,-1.0,-0.9999999999999999,-0.09090909090909083,-0.9999999999999999,-1.0,-1,-1.0,-0.041095890410958846,-1.0,0.1428571428571428,-0.9999999999999999,-1.0,-0.6039156420642449,-0.600204064649926,-1.0,0.19999999999999996,-1.0,-1.0,-0.802612535990884,-1.0,-1.0,1
2823,-1,1,1.0,1.0,-1,-1.0,-1.0,-1.0,1.0000000000000002,-1.0,0.9999999999999999,-1.0,-1.0,-1.0,1.0,1.0,0.09090909090909105,-1,-0.29032258064516125,1.0,0.9999999999999998,0.5,0.018181818181818077,-1.0,-0.9999999999999999,0.09090909090909105,-0.9999999999999999,-1.0,-1,-1.0,0.45205479452054775,-1.0,0.1428571428571428,-0.9999999999999999,-1.0,-0.9914164116264402,-0.9913937133284272,-1.0,-0.8,-1.0,-1.0,-0.9957223942141945,-1.0,-1.0,1
2016,-1,1,1.0,1.0,-1,-1.0,-1.0,-1.0,1.0000000000000002,-1.0,-0.1428571428571429,1.0,-1.0,-1.0,1.0,1.0,0.6363636363636365,-1,-0.29032258064516125,1.0,0.9999999999999998,0.5,0.018181818181818077,-1.0,-0.9999999999999999,-0.4545454545454545,-0.9999999999999999,-1.0,-1,-1.0,0.5068493150684932,-1.0,0.1428571428571428,-0.9999999999999999,-1.0,-0.9957077934181535,-0.9956964431787554,-1.0,-0.8,-1.0,-1.0,-0.9978609915913136,-1.0,-1.0,1
