,UMAP_1,UMAP_2,W3IWER4_A
1816,-9.555363,3.7354178,1
286,8.171168,15.489368,1
2900,2.7669413,-5.7141,1
26,16.231071,-2.83655,1
2771,12.140241,13.751861,1
1693,-10.853203,3.1239626,1
2163,17.853886,-3.7943654,1
1571,-0.13556834,3.3794024,1
638,8.514857,0.89508224,1
1654,3.720311,-6.567431,1
3113,9.762163,7.577428,1
1974,11.709989,13.579966,1
1238,2.6423008,-4.778557,1
1174,4.018928,-4.7581124,1
653,9.951995,14.858864,1
365,9.959187,14.648927,1
1268,-9.723557,4.4661746,1
1722,12.352337,0.046996314,1
592,-10.343612,2.712237,1
2747,11.833111,13.431484,1
1028,16.457523,-3.5487716,1
1794,-1.4729822,13.131425,1
1942,-1.2595006,12.210173,1
1702,-10.901181,2.920554,1
1207,-1.0197014,12.747861,1
1851,-1.6705977,12.565413,1
1918,-9.747037,4.057252,1
1665,4.2910476,-6.030052,1
1936,-10.863947,2.8672614,1
917,4.196806,-4.9384236,1
1086,3.0816197,-5.356414,1
1961,7.9001374,15.818587,1
33,8.737234,7.0429683,1
1756,9.315937,8.181543,1
852,-0.8960466,12.685613,1
1698,2.4139113,-5.851619,1
288,11.525812,13.684202,1
2037,18.159254,-2.6893728,1
1276,2.960397,-5.0844717,1
1504,-1.4625342,13.286635,1
1179,-10.412254,3.1483693,1
1752,-10.967971,2.920476,1
1638,-10.781447,4.1486573,1
565,3.7548132,-4.7792163,1
448,2.7174594,-4.823726,1
1569,-9.592532,3.7812214,1
2398,8.012244,15.590955,1
1799,2.5435722,-5.8891897,1
1863,18.130468,-2.7526975,1
2973,-0.039373975,3.5989027,1
1579,-11.040751,4.4035163,1
830,12.474657,-0.5177732,1
3237,3.723247,-6.563075,1
757,-1.1574897,13.436565,1
3206,2.7512412,-5.675871,1
1717,-10.8726015,2.8777971,1
346,7.810953,14.34541,1
1657,11.913217,-0.057454214,1
993,16.456482,-3.5216877,1
1621,18.26376,-2.6691065,1
1550,-9.56029,3.780759,1
1845,18.376596,-3.0422628,1
2882,10.377353,15.660186,1
145,8.696421,6.614902,1
1701,16.731258,-3.8666346,1
1606,4.253922,-6.0369697,1
766,-1.4509106,12.248162,1
1228,-1.2888044,13.464611,1
1734,-10.992151,4.4193616,1
1733,17.971111,-3.9114106,1
2331,7.634355,15.638623,1
1926,7.6265926,14.1505165,1
86,9.115065,8.058969,1
23,9.251055,7.0704803,1
1578,18.277967,-3.1798508,1
278,11.473548,13.68439,1
1935,2.7181127,-5.733434,1
1439,4.073587,-4.8471603,1
2484,9.810537,6.719572,1
2889,9.890461,15.206609,1
1286,-1.8750361,12.683939,1
1855,18.344795,-3.0539489,1
916,-1.5365833,12.330108,1
1751,-1.4302464,13.346878,1
588,-1.4308498,12.431686,1
1103,16.716612,-2.8513534,1
1368,-1.055795,12.828145,1
2032,9.912514,15.200892,1
2976,8.058446,15.077069,1
3003,11.930092,13.467688,1
1613,-10.9081,3.4941607,1
193,2.6844327,-4.8143907,1
2490,9.41644,8.166563,1
1020,-10.504858,4.2320156,1
1023,4.137134,-4.912322,1
1226,-10.262632,4.4622416,1
601,4.2504706,-5.0602846,1
1559,10.437503,12.231769,1
690,12.644085,-0.3751025,1
2234,9.289194,8.192524,1
3142,-0.8052431,12.235979,1
2553,18.017776,-3.7571929,1
