,UMAP_1,UMAP_2,label,naive,MLP,logisticRegression,decisionTree,randomForest,xgb
575,9.078608,7.760001,1,0,1,1,1,1,1
1428,8.695245,6.5025067,0,0,1,1,1,1,1
1386,8.164197,7.663164,0,0,1,1,1,0,0
1967,5.8778033,4.922987,0,0,1,0,0,0,0
2243,7.1799197,4.4092636,1,0,1,0,0,0,0
1196,8.087848,6.3689036,0,0,1,0,1,0,0
419,5.603785,4.269038,0,0,1,0,0,0,0
1826,9.81796,7.0790677,0,0,1,1,1,1,1
1260,9.440253,4.2123322,1,0,0,0,0,0,0
3072,11.423074,5.2216067,1,0,0,1,0,0,0
1642,9.7077,4.3063216,1,0,0,1,1,0,0
3189,8.975596,4.8563457,1,0,0,0,0,0,0
928,9.84357,5.98532,0,0,1,1,1,1,1
610,7.4077234,5.717624,0,0,1,0,0,0,0
1575,8.8551,3.5970116,0,0,0,0,0,0,0
185,8.420275,7.189334,0,0,1,1,1,0,0
2782,5.8551645,4.513269,0,0,1,0,0,0,0
449,6.5215635,5.958248,0,0,1,0,0,0,0
1198,10.472304,7.5934987,0,0,1,1,1,1,1
1356,6.060057,3.2602253,0,0,0,0,0,0,0
399,7.1075273,5.542928,0,0,1,0,0,0,0
3168,8.825948,5.119107,1,0,0,0,0,0,0
1781,8.605793,5.8626623,0,0,1,1,0,1,1
2995,5.7531033,5.459632,1,0,1,0,0,0,0
411,5.728578,5.0093355,0,0,1,0,0,0,0
2878,7.97573,6.8963666,0,0,1,0,1,0,0
3264,10.304501,7.494959,0,0,1,1,1,1,1
2071,10.505314,4.723243,1,0,0,1,1,1,0
680,9.466466,5.675276,0,0,0,1,0,1,1
865,11.397577,4.4162593,0,0,0,1,0,0,0
444,9.1329155,5.4424677,0,0,0,1,0,0,1
211,10.353733,5.4654965,0,0,0,1,1,1,1
569,10.51782,7.356307,0,0,1,1,1,1,1
1243,9.289739,6.5974064,0,0,1,1,1,1,1
780,7.8263335,5.594284,0,0,1,0,0,0,0
779,11.498833,5.4441285,0,0,0,1,0,0,0
2076,9.376652,8.002565,1,0,1,1,1,1,1
1744,9.223054,3.6680577,1,0,0,0,0,0,0
144,8.724161,6.96086,0,0,1,1,1,1,1
898,9.897395,6.689705,0,0,1,1,1,1,1
1429,6.105524,5.1428647,0,0,1,0,0,0,0
2033,6.410108,4.017634,0,0,1,0,0,0,0
1150,8.338314,3.402286,1,0,0,0,0,0,0
1282,11.37008,5.93042,0,0,0,1,0,0,0
1206,9.70093,5.979659,1,0,1,1,1,1,1
1172,9.3923235,4.0784836,1,0,0,0,0,0,0
258,7.318394,4.7132635,0,0,1,0,0,0,0
393,5.735169,3.5443695,1,0,1,0,0,0,0
960,9.918713,4.1469874,0,0,0,1,1,0,0
877,8.897405,7.3325834,1,0,1,1,1,1,1
947,8.8335705,7.4838977,0,0,1,1,1,1,1
1944,10.843921,5.3421283,1,0,0,1,1,1,0
1950,5.178059,4.0378737,0,0,1,0,0,0,0
2501,9.692465,6.823324,0,0,1,1,1,1,1
3087,7.892691,6.694259,0,0,1,0,1,0,0
1387,9.755817,5.373705,0,0,0,1,1,1,1
820,5.8587213,5.3270345,1,0,1,0,0,0,0
1115,9.217166,7.4422326,1,0,1,1,1,1,1
1998,5.4080963,3.9219582,0,0,1,0,0,0,0
1691,9.189259,4.1199274,1,0,0,0,0,0,0
1458,8.780376,3.5652428,0,0,0,0,0,0,0
2714,6.1198225,5.7375593,0,0,1,0,0,0,0
1971,10.039218,7.9581847,0,0,1,1,1,1,1
920,10.493476,6.672194,1,0,1,1,1,1,1
1176,9.863423,6.4918876,0,0,1,1,1,1,1
1903,10.050935,7.5791655,0,0,1,1,1,1,1
1874,11.587511,5.272668,0,0,0,1,0,0,0
311,6.2050605,3.482434,1,0,0,0,0,0,0
1956,9.906532,3.8196886,0,0,0,1,0,0,0
1530,8.124639,4.6351175,0,0,0,0,0,0,0
430,6.584079,6.025511,0,0,1,0,1,0,0
1313,11.158359,4.1565213,0,0,0,1,0,0,0
281,5.841202,4.7292304,0,0,1,0,0,0,0
2072,8.8094,3.8460088,1,0,0,0,0,0,0
586,8.540296,7.1726885,1,0,1,1,1,1,1
647,9.897353,7.8708863,1,0,1,1,1,1,1
1876,9.89743,4.346651,1,0,0,1,1,0,0
1134,9.802461,7.4672923,0,0,1,1,1,1,1
2027,5.0920258,4.3995643,1,0,1,0,0,0,0
1622,10.447904,7.252597,0,0,1,1,1,1,1
1132,10.404715,4.262313,0,0,0,1,1,1,1
