,UMAP_1,UMAP_2,W3IWER4_A
1114,9.481633,2.423189,1
1974,7.366331,3.3529463,1
1103,8.888386,2.2322717,1
2046,7.305205,3.6406524,1
1857,11.85474,2.651895,1
2049,6.829103,2.603883,1
917,12.32308,2.1287322,1
906,12.7585945,3.1041193,1
3227,12.082689,1.8346425,1
3018,11.193988,3.063038,1
2852,7.0418105,2.9573185,1
1704,10.435025,3.9901752,1
1701,9.911091,5.8420496,1
1280,9.449005,3.1790466,1
3237,9.236448,6.4935327,1
3214,9.924393,5.6471925,1
1052,10.67938,2.1412554,1
1837,10.606006,3.6056712,1
2760,10.305602,1.2449564,1
1192,12.230765,2.5024729,1
1407,8.688635,6.2379184,1
1143,10.388065,5.1691604,1
1197,10.64829,5.127573,1
1842,8.582896,6.7984743,1
1786,10.025385,2.1544325,1
3083,10.79812,2.2148485,1
565,10.823658,5.632377,1
974,10.596379,6.024212,1
710,8.479306,6.7373257,1
257,8.590026,6.4382515,1
68,11.550211,2.3556473,1
124,7.259437,2.4570405,1
1864,8.514968,6.4716043,1
1534,8.674001,6.466775,1
1321,12.363258,2.7403114,1
1061,8.811178,6.197087,1
3224,10.414995,2.836602,1
2979,11.947725,4.454077,1
1274,9.724415,2.944315,1
2553,9.226646,6.006409,1
288,6.8212547,2.6301594,1
1017,9.652284,2.8280091,1
2387,12.341119,4.7688036,1
1066,9.069275,5.859532,1
2996,8.775347,7.236378,1
1922,9.49586,2.1406975,1
1863,10.104356,1.3238131,1
2037,10.476693,1.9119003,1
2845,7.2922287,3.2413025,1
448,8.692351,6.757472,1
498,7.571153,4.7302766,1
727,12.204654,5.439474,1
888,9.679398,1.9996253,1
932,10.456862,5.8813457,1
2234,8.565141,3.2929204,1
2781,7.723463,5.274899,1
391,7.4115853,3.034531,1
1889,12.396374,2.9328418,1
2823,12.001006,4.591766,1
1918,8.917446,7.109964,1
2808,8.538834,5.4352365,1
1268,10.93472,5.5811157,1
1765,10.154431,5.2863417,1
2317,10.121512,6.207585,1
3245,10.545751,2.3239484,1
2508,11.640865,1.8718011,1
2351,8.572176,5.2326922,1
1023,9.07473,2.2239594,1
1149,12.427902,3.2083795,1
2505,10.05951,3.3861043,1
1063,12.154187,2.6773765,1
1000,12.6524315,2.8077123,1
910,12.015839,4.7076564,1
2343,10.087263,5.7004533,1
2273,9.886439,5.1872497,1
1579,12.731273,2.7678478,1
277,6.6952376,3.1265178,1
806,9.512689,1.7764695,1
365,6.509322,2.6471603,1
749,10.123015,4.261687,1
1509,8.562227,7.2145214,1
1722,11.718855,3.453124,1
3239,8.816607,6.4536557,1
3288,10.417853,5.394408,1
690,9.830745,1.7608765,1
1035,8.850229,7.1515455,1
1893,9.564766,2.5634615,1
3164,11.414867,2.018255,1
133,11.085391,5.7668214,1
1725,12.267151,5.133478,1
1710,12.385564,5.1138763,1
1708,9.92426,5.8624363,1
2004,7.7431865,5.403883,1
648,10.198285,6.062782,1
1787,10.609546,3.7059584,1
1861,10.3123865,1.6949476,1
766,9.706974,2.290005,1
2806,7.0704155,2.526972,1
1839,10.326201,1.5532612,1
1654,10.371702,6.1339936,1
1702,10.021878,6.157063,1
632,10.8503685,1.9279802,1
1880,12.175986,3.2514424,1
1752,10.853512,5.8324876,1
416,6.5517497,2.646896,1
1942,12.667457,3.0440857,1
1924,10.311812,3.414839,1
2771,7.24708,3.6029117,1
3226,11.695124,1.952081,1
943,12.352023,2.7145498,1
2855,7.36146,3.9527419,1
1896,11.980747,1.7010701,1
386,6.9588857,2.7212324,1
640,9.236235,2.0452898,1
1025,12.176917,2.0634055,1
1310,9.600425,2.9004178,1
26,11.229949,4.9509735,1
245,10.16346,3.266007,1
601,12.079006,2.1910286,1
959,9.937648,1.7252088,1
1900,9.690531,5.5615363,1
890,9.023052,1.8883138,1
1794,9.952708,6.141088,1
2424,8.99214,3.2913084,1
2371,8.913774,7.115544,1
2455,7.828344,5.664326,1
1569,9.0422125,6.5213733,1
894,9.580765,1.921254,1
2079,11.802548,2.1722608,1
1845,11.934459,3.3055818,1
837,11.475462,5.8019967,1
1174,11.585699,2.631324,1
1014,12.282811,5.2612247,1
1305,12.312806,4.929813,1
3319,9.858917,5.698631,1
650,10.034842,2.1344402,1
3098,9.158124,6.096641,1
1849,12.123645,2.3331494,1
374,6.919755,3.8979874,1
81,11.000275,3.7829006,1
1645,9.692267,1.7540327,1
2930,7.5507665,5.471293,1
1226,10.761111,2.1212542,1
626,9.012208,5.7479916,1
3238,11.432489,6.01337,1
343,6.7852893,3.295888,1
1969,9.654499,6.703055,1
2085,10.280507,1.2306842,1
588,9.90394,2.8458452,1
574,12.3769045,4.971638,1
1833,12.069501,2.6911147,1
348,10.087936,6.5472326,1
1785,9.758781,2.6534975,1
1754,6.78519,2.8646011,1
830,9.156162,2.3594341,1
782,12.739063,2.9205103,1
2070,10.42556,3.0650547,1
145,8.461408,3.51103,1
2092,6.3029084,3.0384505,1
519,9.096047,6.156857,1
1936,8.81345,7.063151,1
1231,10.76211,6.092858,1
686,8.818333,5.7147818,1
