,Data Type,Data Transformation,X_train Size,X_test Size,Classifiers,Training Accuracy,Accuracy,Weighted F1,Cohen Kappa,Data Augmentation Methods,GAN,seed
0,raw,,"(1044, 44)","(684, 44)",naive,0.5,0.6915,0.8176,0.0,,False,1
1,raw,,"(1044, 44)","(684, 44)",MLP,0.7328,0.6594,0.6489,0.3576,,False,1
2,raw,,"(1044, 44)","(684, 44)",logisticRegression,0.7308,0.6944,0.6828,0.3861,,False,1
3,raw,,"(1044, 44)","(684, 44)",decisionTree,0.7395,0.6813,0.6691,0.359,,False,1
4,raw,,"(1044, 44)","(684, 44)",randomForest,0.7634,0.6564,0.6446,0.3395,,False,1
5,raw,,"(1044, 44)","(684, 44)",xgb,0.818,0.6827,0.6713,0.3835,,False,1
6,pca,,"(1044, 10)","(684, 10)",naive,0.5,0.6915,0.8176,0.0,,False,1
7,pca,,"(1044, 10)","(684, 10)",MLP,0.7174,0.6082,0.5955,0.2556,,False,1
8,pca,,"(1044, 10)","(684, 10)",logisticRegression,0.7088,0.6316,0.6175,0.2557,,False,1
9,pca,,"(1044, 10)","(684, 10)",decisionTree,0.7404,0.6404,0.6266,0.2767,,False,1
10,pca,,"(1044, 10)","(684, 10)",randomForest,0.8295,0.6769,0.6658,0.3187,,False,1
11,pca,,"(1044, 10)","(684, 10)",xgb,0.7826,0.6754,0.6631,0.3531,,False,1
12,umap,,"(1044, 2)","(684, 2)",naive,0.5,0.6915,0.8176,0.0,,False,1
13,umap,,"(1044, 2)","(684, 2)",MLP,0.7146,0.4971,0.486,0.0797,,False,1
14,umap,,"(1044, 2)","(684, 2)",logisticRegression,0.5105,0.5015,0.4842,0.0416,,False,1
15,umap,,"(1044, 2)","(684, 2)",decisionTree,0.7251,0.4708,0.4679,0.0678,,False,1
16,umap,,"(1044, 2)","(684, 2)",randomForest,0.75,0.443,0.4648,0.0797,,False,1
17,umap,,"(1044, 2)","(684, 2)",xgb,0.7931,0.4342,0.4286,-0.0055,,False,1
18,pca_umap,,"(1044, 2)","(684, 2)",naive,0.5,0.6915,0.8176,0.0,,False,1
19,pca_umap,,"(1044, 2)","(684, 2)",MLP,0.6916,0.6667,0.6605,0.2521,,False,1
20,pca_umap,,"(1044, 2)","(684, 2)",logisticRegression,0.5795,0.6827,0.6728,0.3198,,False,1
21,pca_umap,,"(1044, 2)","(684, 2)",decisionTree,0.7672,0.6023,0.5877,0.2213,,False,1
22,pca_umap,,"(1044, 2)","(684, 2)",randomForest,0.7902,0.6038,0.5905,0.2432,,False,1
23,pca_umap,,"(1044, 2)","(684, 2)",xgb,0.772,0.5789,0.5672,0.215,,False,1
24,raw,oneW,"(360, 100)","(226, 100)",naive,0.5,0.6549,0.7914,0.0,,False,1
25,raw,oneW,"(360, 100)","(226, 100)",MLP,0.7361,0.6637,0.6554,0.3256,,False,1
26,raw,oneW,"(360, 100)","(226, 100)",logisticRegression,0.75,0.6858,0.6781,0.3717,,False,1
27,raw,oneW,"(360, 100)","(226, 100)",decisionTree,0.75,0.6903,0.6826,0.3788,,False,1
28,raw,oneW,"(360, 100)","(226, 100)",randomForest,0.8833,0.708,0.701,0.4238,,False,1
29,raw,oneW,"(360, 100)","(226, 100)",xgb,0.8472,0.6726,0.6645,0.3469,,False,1
30,pca,oneW,"(360, 10)","(226, 10)",naive,0.5,0.6549,0.7914,0.0,,False,1
31,pca,oneW,"(360, 10)","(226, 10)",MLP,0.8,0.5354,0.5244,0.0858,,False,1
32,pca,oneW,"(360, 10)","(226, 10)",logisticRegression,0.7056,0.5088,0.4968,0.0123,,False,1
33,pca,oneW,"(360, 10)","(226, 10)",decisionTree,0.625,0.4867,0.4986,0.095,,False,1
34,pca,oneW,"(360, 10)","(226, 10)",randomForest,0.7667,0.531,0.5196,0.0696,,False,1
35,pca,oneW,"(360, 10)","(226, 10)",xgb,0.8444,0.5265,0.5149,0.0531,,False,1
36,umap,oneW,"(360, 2)","(226, 2)",naive,0.5,0.6549,0.7914,0.0,,False,1
37,umap,oneW,"(360, 2)","(226, 2)",MLP,0.575,0.4027,0.3921,-0.1385,,False,1
38,umap,oneW,"(360, 2)","(226, 2)",logisticRegression,0.5639,0.5133,0.5019,0.0449,,False,1
39,umap,oneW,"(360, 2)","(226, 2)",decisionTree,0.7333,0.5487,0.5413,0.0422,,False,1
40,umap,oneW,"(360, 2)","(226, 2)",randomForest,0.8111,0.5664,0.5664,0.0407,,False,1
41,umap,oneW,"(360, 2)","(226, 2)",xgb,0.7611,0.5575,0.5589,0.0152,,False,1
42,pca_umap,oneW,"(360, 2)","(226, 2)",naive,0.5,0.6549,0.7914,0.0,,False,1
43,pca_umap,oneW,"(360, 2)","(226, 2)",MLP,0.5917,0.4027,0.3989,-0.1039,,False,1
44,pca_umap,oneW,"(360, 2)","(226, 2)",logisticRegression,0.55,0.3717,0.4493,-0.0192,,False,1
45,pca_umap,oneW,"(360, 2)","(226, 2)",decisionTree,0.825,0.4558,0.455,0.0043,,False,1
46,pca_umap,oneW,"(360, 2)","(226, 2)",randomForest,0.7528,0.4115,0.414,-0.066,,False,1
47,pca_umap,oneW,"(360, 2)","(226, 2)",xgb,0.8056,0.531,0.5195,0.0542,,False,1
