,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,PC_10,label,naive,MLP,logisticRegression,decisionTree,randomForest,xgb
1011,-1.0972272468630022,2.3441058902596223,-1.7184225641912474,0.9125087728869488,-0.1715201993131512,1.329546338447548,-0.61462837546423,0.4055798487955287,0.9669095837367787,-0.14295197522832914,0,0,0,0,0,0,0
575,-1.736392698840475,-0.12793772892698957,1.0853069263908977,-1.6843635762192197,0.38932586626708104,0.3582806429006737,0.41985702674201614,-0.20636297997838166,0.7073039499372064,-1.327726031658475,1,0,1,1,1,1,1
2316,1.9325972031772816,-1.51443461520293,3.3625185034913248,-0.5996442654857942,1.4549636022570946,1.1549957751163404,-0.9455963370017821,-0.1202231305404414,0.04164752218474179,0.21771308004588277,0,0,1,1,1,0,0
1092,-0.5773316891006507,-1.3754819936105636,-1.8077824019352289,-1.0064105191473538,0.2891597360667682,-1.3074986666998463,1.411007063480613,2.3482228805734917,-0.32208756600322513,-0.21468550217222,1,0,1,1,1,1,1
19,-0.23052028503350516,2.5354880154349333,0.4071174911536889,-0.3702131010812752,0.3863956033801194,1.0199833723497902,-0.8305568317131237,0.19459701464786874,-0.32063787234627394,0.9719527962319923,0,0,0,0,0,0,0
2198,1.9193461873493065,-1.6567422465667316,3.3928600420859922,0.11896268654415054,2.2527947796048333,1.0657194933038225,0.08559307403005814,-0.07025852257031337,0.4277092353853529,-1.2368661648458787,1,0,1,1,1,1,1
1428,0.1411846337784195,2.635613241337484,0.7632394652732147,0.3268514290838439,-0.33144644627910247,0.5018387552681277,1.1436891525196031,-1.4117205120754108,-0.19249873363649786,0.7456476741486877,0,0,0,0,0,0,0
1386,2.9761544896996908,2.2742453065735475,-0.6368395750085085,-0.6050360369762199,-0.37054913863871064,0.263254954515653,1.583799789582172,-0.9704788547835488,0.12368193782280024,0.05699733296076026,0,0,0,0,0,0,0
1858,-1.2430608412552413,-0.8794033804808622,0.38711884874262753,1.0018999728943359,-1.7332482738519845,0.42093927338382553,-0.5916791610759617,-0.9469147576107062,-0.9778219201116314,-0.7644306888449468,0,0,0,1,1,1,1
1967,2.9514670082279175,-1.8053779652725899,0.5751792391341243,-2.5058208592529616,0.24301895466774487,0.2747499057068402,0.08516385841197889,0.2938847481976618,0.4789864578871124,-0.995419554928674,0,0,1,1,0,1,1
1147,-1.904453549217051,0.32692573185968193,-0.3362940534213647,-1.6365495807205612,0.9304640007503605,0.7733557390705746,-0.2527977379747002,-0.28319046874258447,0.46585815765085675,-1.2147395118143172,0,0,0,0,0,1,1
267,1.0282335492635934,-1.2716709954721317,-2.3807684222889285,0.2249827401919969,-0.35796313690862996,1.0459779625354402,-0.2057494404367487,0.7152283790403889,1.6973061697792224,-0.6436609070719986,0,0,0,1,1,1,1
2243,0.8914329334312214,-1.8264319411327252,1.066864120273087,0.8087150758840324,1.6352338084998683,1.0965377869003066,0.454449953152452,0.34740027688454994,0.13321113808517218,-0.7270672641427968,1,0,1,1,1,1,1
936,-0.742267585289292,0.34237830159219573,2.1011309036212436,-0.35951106439872516,-0.8912288849005883,-1.7577723138042312,1.306968993056908,1.1796931905421655,-0.5438070527284522,0.17281728365508384,0,0,1,1,1,1,1
1528,3.0666407779313403,-1.9032075761535605,-0.5070856770109765,-0.6889915898497454,-0.1910516414914882,-1.6251550098598508,1.576816024210128,-0.40075412686660433,0.38096865974222294,0.710739460455077,1,0,1,0,0,0,1
1454,-1.500577786521609,-0.13829005282285461,0.1622048632359349,1.1113436152857707,-1.7907025466462312,0.05676266197152169,0.6143163685063565,-0.2060037167403861,-0.20481499810981166,-1.5266321080824794,1,0,1,1,1,1,1
1196,-0.15388951293837494,2.644136776474137,1.492850039793759,-1.4228276518276932,0.3535021025061753,0.46606329527929086,-0.44996567778640234,-0.593533099556021,0.012965425885789682,-0.6730295067115987,0,0,0,0,0,0,0
419,1.6671924611150872,1.2136458522635276,-2.0550017467000057,-2.056324235722053,1.407267805033156,1.0302104146464741,-1.0444331464513372,-0.33380018445339577,-0.226400559119027,-1.1723270679783033,0,0,0,0,1,0,0
1826,-1.5525979586019487,-0.9068398545916865,0.7755161973046748,-0.37572122874583624,-0.6904495191634945,0.7269204688250993,0.5249913508635453,0.6680640950308665,-1.243721908443415,0.28336250224472026,0,0,1,1,1,1,1
3202,-2.03440167498077,-1.243689488919641,-1.134994035603516,1.053152280008586,-0.15670143932647457,-0.47248414156189783,-1.0495427284807677,0.0786367886590199,0.9599029604318207,0.3587746309093827,0,0,0,1,1,1,1
