,UMAP_1,UMAP_2,label,naive,MLP,logisticRegression,decisionTree,randomForest,xgb
1011,1.8695569,-1.9453064,0,0,1,0,1,1,1
575,-1.6639433,12.313515,1,0,0,1,1,1,1
2316,4.184326,7.9115806,0,0,0,0,1,1,1
1092,-2.0502484,8.722043,1,0,0,0,0,1,0
19,3.324556,-3.2903464,0,0,1,0,1,1,1
2198,4.115468,7.8408065,1,0,0,0,1,1,1
1428,5.3770137,-1.8644375,0,0,0,0,1,0,0
1386,8.564164,5.737893,0,0,0,0,1,1,1
1858,-6.450681,-1.229002,0,0,1,0,1,1,1
1967,11.33526,11.242874,0,0,1,1,1,1,1
1147,-2.478311,13.0575695,0,0,0,1,1,1,1
267,10.940139,9.3877945,0,0,1,1,1,1,1
2243,4.4457803,8.59786,1,0,0,1,1,1,1
936,-2.352496,10.067825,0,0,0,0,1,1,1
1528,12.19858,12.289282,1,0,1,1,1,1,1
1454,-6.379251,-1.3064281,1,0,1,0,1,1,1
1196,2.9516578,-4.6875014,0,0,1,0,1,1,1
419,8.707035,6.3390646,0,0,0,0,1,1,1
1826,-3.2464345,11.761422,0,0,0,1,1,1,1
3202,-3.602715,1.0524118,0,0,1,0,1,1,1
2417,4.2238975,9.51404,0,0,0,1,1,1,1
1260,-3.8556294,12.538919,1,0,0,1,1,1,1
2741,10.836985,12.092261,0,0,1,1,1,1,1
1831,-6.502197,-1.2178472,0,0,1,0,1,1,1
443,9.452396,6.2830553,0,0,0,1,1,0,1
3072,-2.273147,3.1729312,1,0,0,0,0,0,0
1642,-2.486068,12.954323,1,0,0,1,1,1,1
2742,10.944332,11.087319,0,0,1,1,1,1,1
3189,-2.6433923,9.646708,1,0,0,0,1,1,1
928,5.2709346,-1.748242,0,0,0,0,1,0,0
698,10.618933,8.484059,0,0,1,1,0,1,1
137,2.375918,11.662738,0,0,0,1,1,1,1
610,3.0261815,-3.3933744,0,0,1,0,1,1,1
2357,4.2813835,9.4122,0,0,0,1,1,1,1
567,-1.2321358,10.531237,0,0,0,1,1,1,1
1575,-3.5629375,1.0933024,0,0,1,0,1,1,1
307,3.082724,-4.1279907,0,0,1,0,1,1,1
185,-1.2792543,10.426212,0,0,0,1,1,1,1
1872,12.5792055,12.589623,0,0,1,1,1,1,1
3243,-6.4761963,-1.1709074,0,0,1,0,1,1,1
2048,11.316887,8.523605,0,0,1,1,0,1,1
3188,-2.977263,2.4956536,0,0,0,0,1,1,1
465,9.531551,6.39056,0,0,0,1,1,0,0
729,-2.3109596,9.984666,1,0,0,0,1,1,1
695,10.896662,9.340138,0,0,1,1,1,1,1
2782,10.847041,12.149571,0,0,1,1,1,1,1
449,9.265685,5.74547,0,0,0,0,1,0,1
2828,10.81263,8.647184,1,0,1,1,0,1,1
3155,-5.705548,-0.88086927,1,0,1,0,1,1,1
1198,5.3881874,-1.8070272,0,0,0,0,1,0,0
1356,11.128962,9.547643,0,0,1,1,1,1,1
2698,-2.2665539,3.1409097,0,0,0,0,0,0,0
811,9.082294,5.8202186,0,0,0,0,1,0,1
868,3.03478,-4.628671,0,0,1,0,1,1,1
2237,-2.565107,12.993093,0,0,0,1,1,1,1
418,9.282808,6.073946,0,0,0,0,1,0,1
3173,-0.60850006,10.882011,0,0,0,1,1,1,1
1714,-3.203677,2.174382,0,0,0,0,1,1,1
1712,11.193561,9.4963255,1,0,1,1,1,1,1
1118,8.237132,6.181486,0,0,0,0,1,1,1
399,2.9851413,-4.835909,0,0,1,0,1,1,1
3168,-2.5411785,9.640955,1,0,0,0,1,1,1
329,11.101715,9.502425,1,0,1,1,1,1,1
1781,-0.72545666,10.53808,0,0,0,1,1,1,1
1481,-2.124107,8.807489,1,0,0,0,1,1,1
439,8.957018,6.0685997,0,0,0,0,1,0,1
