,UMAP_1,UMAP_2,W3IWER4_A
2481,12.171674,7.806514,1
1862,18.562258,8.980178,1
1584,7.454489,11.961991,1
1440,16.79517,12.092571,1
1787,19.198233,9.196088,1
1084,10.058485,15.291554,1
1606,7.9510627,20.783138,1
843,21.30531,-0.47679836,1
3258,12.187951,7.7998886,1
1238,16.805487,12.091145,1
352,18.382494,11.3039465,1
133,-3.2836318,-6.4418817,1
25,8.25203,2.3808334,1
3083,-2.2293649,-5.7474403,1
498,7.5719113,5.533748,1
900,9.461942,17.233429,1
2843,7.6039953,22.29778,1
648,-3.3338337,-6.4915953,1
2466,13.102232,8.229768,1
2367,11.609656,8.165541,1
1833,7.605781,22.295519,1
1222,18.165407,11.296179,1
1705,-7.2865047,2.7270708,1
1100,21.42875,-0.62488,1
1727,19.711199,11.481033,1
1710,2.2679977,15.680065,1
1517,11.547959,21.804329,1
1816,-7.278473,2.7008443,1
2313,13.354391,8.547543,1
1995,7.3441634,4.856864,1
2423,2.2947645,15.649753,1
1219,16.851797,12.137152,1
1823,5.4977574,22.814943,1
734,18.311424,11.436639,1
2016,19.813734,12.629374,1
1722,19.140207,9.146319,1
749,0.62216634,4.3077435,1
639,12.339035,-3.8923085,1
2295,18.44638,8.765726,1
2473,11.446735,21.692356,1
3113,11.214675,6.387621,1
601,9.443698,17.246838,1
333,8.470165,2.798438,1
1789,-2.31107,-5.8186297,1
1525,7.4223313,11.993584,1
1427,18.892504,11.651875,1
2817,7.5512657,22.245035,1
2391,13.696082,6.7956467,1
2101,11.619981,8.102613,1
1919,19.64967,11.465925,1
1504,21.668451,-0.8350516,1
716,9.03854,2.6234703,1
1764,22.79764,14.578615,1
3142,7.482596,11.934829,1
1103,18.281866,11.391035,1
2020,9.148835,4.0496116,1
1936,-4.6270456,-4.9800677,1
1582,22.846287,14.627265,1
1425,10.864991,16.50908,1
1571,9.541813,-5.2864685,1
3239,7.449146,11.9673395,1
47,11.370561,16.664137,1
2106,11.99016,7.624116,1
831,18.155678,11.22737,1
1878,7.7603474,20.957201,1
2771,7.2963223,5.2891827,1
2907,7.262962,5.2200346,1
1439,9.753482,16.819689,1
563,9.699199,16.895761,1
147,-2.6612954,-6.097267,1
1698,22.812603,14.593942,1
519,21.401684,-0.5690999,1
650,21.379622,-1.5551467,1
916,22.830091,-2.365624,1
1028,18.706787,12.070383,1
245,-2.748303,-6.1614733,1
2991,9.253005,2.6780307,1
1559,7.810657,5.5448856,1
2845,7.334053,5.2621617,1
1645,7.7219124,21.033867,1
501,9.047636,2.7535222,1
910,18.899132,11.653652,1
1791,13.375513,8.582245,1
23,13.339213,8.525252,1
196,11.656216,6.8802557,1
