,UMAP_1,UMAP_2,label,naive,MLP,logisticRegression,decisionTree,randomForest,xgb
1011,7.412811,0.72875303,0,0,1,1,0,0,0
575,9.558052,12.301454,1,0,0,0,1,1,1
2316,1.4262989,-4.6261663,0,0,0,1,0,0,0
1092,12.48809,9.813778,1,0,1,0,1,1,1
19,6.4495196,3.1475732,0,0,0,1,0,0,0
2198,1.4864676,-4.553384,1,0,0,1,0,0,0
1428,6.624635,2.371935,0,0,0,1,0,0,0
1386,-3.337309,1.7076397,0,0,0,0,1,0,1
1858,8.115024,-3.8033795,0,0,1,1,0,0,0
1967,-3.1008294,4.2740993,0,0,0,0,0,0,0
1147,9.943774,12.588958,0,0,0,0,1,1,1
267,-5.0544143,5.9453917,0,0,0,0,0,0,0
2243,1.145547,-3.800382,1,0,0,1,0,0,0
936,11.727356,9.653129,0,0,1,0,1,1,1
1528,-3.3806694,4.3437276,1,0,0,0,1,0,1
1454,8.023616,-3.7538466,1,0,1,1,0,0,0
1196,6.424536,5.3339095,0,0,0,0,0,0,0
419,-3.8798294,1.8061491,0,0,0,0,1,0,1
1826,11.641384,8.555587,0,0,1,0,1,1,1
3202,12.884154,-3.137446,0,0,1,1,1,1,1
2417,1.1244831,-3.3836038,0,0,0,1,0,0,0
1260,12.316081,8.626188,1,0,1,1,1,1,1
2741,-4.835505,3.99189,0,0,0,0,1,0,1
1831,8.170877,-3.7602785,0,0,1,1,0,0,0
443,-3.6370566,2.480003,0,0,0,0,1,0,1
3072,12.6502285,-3.5975158,1,0,1,1,1,1,1
1642,9.857827,13.140078,1,0,0,0,1,1,1
2742,-5.573541,4.027,0,0,0,0,1,0,0
3189,12.088225,9.228094,1,0,1,0,1,1,1
928,6.7641287,2.236528,0,0,1,1,0,0,0
698,-4.0894337,6.084909,0,0,0,0,0,0,0
137,12.162053,0.9618872,0,0,1,1,1,1,1
610,6.169013,3.4928916,0,0,0,1,0,0,0
2357,1.0934174,-3.513988,0,0,0,1,0,0,0
567,9.712133,12.070793,0,0,0,0,1,1,1
1575,12.811705,-3.1376812,0,0,1,1,1,1,1
307,6.377304,4.9469438,0,0,0,0,0,0,0
185,9.917254,12.107654,0,0,1,0,1,1,1
1872,-3.4262705,4.321906,0,0,0,0,1,0,1
3243,8.082354,-3.791616,0,0,1,1,0,0,0
2048,-4.092551,6.4910874,0,0,0,0,0,0,0
3188,12.3203535,-3.7450256,0,0,1,1,1,1,1
465,-3.6054595,2.5334258,0,0,0,0,1,0,1
729,11.740339,9.683683,1,0,1,0,1,1,1
695,-4.962851,6.0405006,0,0,0,0,0,0,0
2782,-4.8471603,4.109697,0,0,0,0,1,0,1
449,-3.8021407,2.2453887,0,0,0,0,1,0,1
2828,-3.994059,6.347979,1,0,0,0,0,0,0
3155,7.8349247,-3.3875222,1,0,1,1,0,0,0
1198,6.634719,2.3616664,0,0,0,1,0,0,0
1356,-5.018116,5.832244,0,0,0,0,0,0,0
2698,12.662404,-3.632934,0,0,1,1,1,1,1
811,-3.739372,2.1448529,0,0,0,0,1,0,1
868,6.4087467,5.30379,0,0,0,0,0,0,0
2237,9.919517,13.092381,0,0,0,0,1,1,1
418,-2.9045162,4.090806,0,0,0,0,0,0,0
3173,10.430283,10.224204,0,0,1,0,1,1,1
1714,11.768621,-3.5030642,0,0,1,1,1,1,1
1712,-3.2278776,4.256598,1,0,0,0,1,0,1
1118,-3.1050441,1.9588264,0,0,0,0,0,0,0
399,6.518313,5.3353753,0,0,0,0,0,0,0
3168,12.11006,9.252035,1,0,1,0,1,1,1
