,UMAP_1,UMAP_2,W3IWER4_A
1848,15.192206,-5.771127,1
1936,-3.201726,-7.341247,1
2733,6.6512537,15.15862,1
1017,-5.910927,5.485523,1
2779,7.1682324,15.503788,1
2973,-6.2142844,5.6076927,1
895,-4.6770797,-8.478454,1
709,-3.2715216,-8.115768,1
3090,15.695596,5.8082833,1
1765,14.05816,4.3397403,1
1207,-9.398399,9.187476,1
2771,2.7469065,15.038192,1
1722,8.483234,-1.5883455,1
1071,-4.7875614,-8.568068,1
2852,2.6552653,15.107847,1
2367,6.256869,6.966416,1
1525,-8.904397,9.066027,1
2234,5.14606,8.735145,1
1654,15.707036,5.8114405,1
830,8.870056,-1.5107733,1
1974,3.0444312,15.303963,1
1410,-4.8168974,-8.667524,1
1571,-6.07656,5.704868,1
1227,-8.942127,10.836002,1
3239,-9.002158,9.02851,1
288,3.0692298,15.428233,1
1276,14.800143,4.1239095,1
900,16.499054,4.144888,1
917,16.517519,4.0723157,1
241,8.933321,-1.6162825,1
2054,15.140089,-5.6943355,1
1226,-4.596726,-8.289917,1
1063,8.531111,-1.3326204,1
1149,16.194962,-4.289791,1
3245,-5.1296782,-7.836063,1
2484,6.2349176,7.7093163,1
3227,-5.157888,-7.855624,1
1542,-5.395351,-8.075879,1
1671,16.582,5.0082426,1
3319,15.8365345,5.667377,1
1905,-6.252545,5.723862,1
1756,5.071879,8.744652,1
2455,6.74318,13.609284,1
993,14.7354355,-3.9042213,1
1014,-3.2583635,-7.972055,1
3237,15.684416,5.834294,1
1321,14.7205515,4.3193164,1
907,8.786633,-1.7823921,1
86,5.065032,8.6157875,1
2553,15.972488,-5.5589485,1
2780,5.5524197,16.061653,1
1789,-3.843463,-7.329118,1
1734,-5.158817,-7.866576,1
701,16.277159,-4.353178,1
1264,8.850357,-1.8634452,1
592,-3.249223,-8.093232,1
1425,8.621411,-1.6916288,1
2432,6.209887,6.890407,1
1816,-6.1877484,-8.672439,1
2101,6.319712,6.951076,1
1559,4.909532,13.552936,1
921,-3.8591828,-7.814589,1
3198,-3.2236376,-7.279083,1
346,6.7432413,13.597709,1
843,-8.953864,10.806399,1
3108,15.146534,-5.660333,1
1702,-3.247357,-7.293917,1
588,-9.478178,9.6258335,1
3121,13.995133,4.3394637,1
643,-4.4286103,-9.230745,1
33,5.187836,7.538089,1
2016,14.368457,-4.205205,1
1733,16.035517,-5.492528,1
1289,14.652491,3.6943219,1
1708,15.699975,5.8413563,1
2791,5.448618,16.023722,1
622,16.332088,-4.70384,1
1028,14.709874,-3.8687913,1
716,4.989942,13.608236,1
1145,-4.660828,-8.520341,1
1568,-3.2271304,-7.3678374,1
1824,-5.850632,5.3096204,1
1752,-3.2446144,-7.310851,1
2056,6.661934,13.539493,1
3014,4.7778683,15.646621,1
1606,16.439978,5.212241,1
2481,6.2857237,7.6901455,1
501,6.6667366,15.025966,1
1382,-6.2510295,5.747877,1
3113,5.753958,8.337021,1
2057,2.8373039,14.973225,1
1693,-3.369978,-7.3067417,1
757,-8.946132,10.80067,1
1001,-9.419562,10.234843,1
749,2.021405,4.821283,1
1928,15.779805,5.7391634,1
1130,15.940806,-4.049355,1
1433,-4.3193536,-9.3486805,1
1268,-4.43261,-9.180419,1
81,14.748787,4.0899825,1
3214,-5.963075,5.405975,1
638,1.9101006,4.8527923,1
1862,14.273934,-5.0254908,1
1504,-8.801292,10.498326,1
1545,16.536028,5.1210103,1
2724,6.1143384,14.219116,1
1845,15.231283,-5.7309394,1
1274,-9.264446,9.444079,1
1698,14.113076,4.415255,1
1883,-6.189572,-8.670629,1
1942,-8.982543,9.556406,1
1621,14.664794,-5.610691,1
1732,-3.893393,-7.286799,1
416,5.5312543,15.463163,1
2747,2.5827177,15.304088,1
894,-9.335159,9.649973,1
1785,-5.3398647,-8.052502,1
3226,14.327577,-5.024749,1
1368,-9.393365,9.332344,1
2976,6.6096272,15.096292,1
2085,15.933738,-4.04855,1
1362,-9.424555,9.855414,1
1286,-9.428793,10.314206,1
766,-9.3052,9.588947,1
1926,6.7037983,13.539238,1
787,16.008669,-4.106368,1
869,-9.355539,9.151023,1
1228,-8.923204,10.733055,1
3306,-5.254094,-8.033614,1
1569,-6.1210704,-8.612037,1
2392,16.589958,4.9802504,1
1657,8.514685,-2.1029718,1
333,6.8492656,15.045957,1
601,16.443447,4.131879,1
1310,-9.491394,9.581175,1
2806,4.7158203,15.593966,1
890,15.828597,-4.2472715,1
1613,-3.7726681,-7.2838073,1
2331,7.321332,14.860111,1
3565,5.7034736,8.100111,1
145,5.480616,7.1130557,1
1761,14.392423,-5.121433,1
988,16.520502,4.1668277,1
