,Data Type,Data Transformation,X_train Size,X_test Size,Classifiers,Training Accuracy,Accuracy,Weighted F1,Cohen Kappa,Data Augmentation Methods,GAN,seed
0,raw,,"(1044, 45)","(684, 45)",naive,0.5,0.6915,0.8176,0.0,,False,1
1,raw,,"(1044, 45)","(684, 45)",MLP,0.9895,0.9854,0.9854,0.9656,,False,1
2,raw,,"(1044, 45)","(684, 45)",logisticRegression,0.9952,0.9942,0.9941,0.9864,,False,1
3,raw,,"(1044, 45)","(684, 45)",decisionTree,0.9952,0.9942,0.9941,0.9864,,False,1
4,raw,,"(1044, 45)","(684, 45)",randomForest,0.9904,0.9883,0.9883,0.9726,,False,1
5,raw,,"(1044, 45)","(684, 45)",xgb,0.9952,0.9942,0.9941,0.9864,,False,1
6,pca,,"(1044, 10)","(684, 10)",naive,0.5,0.6915,0.8176,0.0,,False,1
7,pca,,"(1044, 10)","(684, 10)",MLP,0.9521,0.7237,0.7145,0.4132,,False,1
8,pca,,"(1044, 10)","(684, 10)",logisticRegression,0.8669,0.693,0.6814,0.3921,,False,1
9,pca,,"(1044, 10)","(684, 10)",decisionTree,0.9339,0.7091,0.6993,0.3836,,False,1
10,pca,,"(1044, 10)","(684, 10)",randomForest,0.9741,0.7047,0.6934,0.406,,False,1
11,pca,,"(1044, 10)","(684, 10)",xgb,0.9943,0.7032,0.692,0.4104,,False,1
12,umap,,"(1044, 2)","(684, 2)",naive,0.5,0.6915,0.8176,0.0,,False,1
13,umap,,"(1044, 2)","(684, 2)",MLP,0.7289,0.6067,0.5923,0.1861,,False,1
14,umap,,"(1044, 2)","(684, 2)",logisticRegression,0.6686,0.5015,0.4825,-0.013,,False,1
15,umap,,"(1044, 2)","(684, 2)",decisionTree,0.8103,0.6155,0.6022,0.2608,,False,1
16,umap,,"(1044, 2)","(684, 2)",randomForest,0.8429,0.6974,0.6887,0.3432,,False,1
17,umap,,"(1044, 2)","(684, 2)",xgb,0.8075,0.6096,0.5955,0.2397,,False,1
18,pca_umap,,"(1044, 2)","(684, 2)",naive,0.5,0.6915,0.8176,0.0,,False,1
19,pca_umap,,"(1044, 2)","(684, 2)",MLP,0.705,0.4722,0.4551,-0.1262,,False,1
20,pca_umap,,"(1044, 2)","(684, 2)",logisticRegression,0.6159,0.5629,0.5471,0.1505,,False,1
21,pca_umap,,"(1044, 2)","(684, 2)",decisionTree,0.7356,0.3289,0.4285,-0.0148,,False,1
22,pca_umap,,"(1044, 2)","(684, 2)",randomForest,0.7778,0.405,0.4744,0.0815,,False,1
23,pca_umap,,"(1044, 2)","(684, 2)",xgb,0.7682,0.3465,0.4381,0.0067,,False,1
